日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/1,二林,CO,0.32,0.29,0.28,0.27,0.27,0.28,0.3,0.31,0.3,0.4,0.51,0.5,0.48,0.42,0.37,0.36,0.36,0.38,0.46,0.48,0.52,0.75,0.57,0.53
2018/1/1,二林,NOx,7.6,9.2,8.4,8.9,9.3,8.8,9.9,11,11,15,25,19,18,14,13,13,11,10,12,12,12,18,16,15
2018/1/1,二林,O3,31,32,33,32,32,32,30,31,34,35,33,41,47,55,54,50,46,42,37,34,29,21,20,18
2018/1/1,二林,PM10,64,57,55,62,73,80,92,89,88,71,73,66,65,65,60,65,63,62,66,54,53,46,43,43
2018/1/1,二林,SO2,3.8,3.7,3.6,3.9,3.7,3.9,3.9,4.4,4.8,6.4,12,10,11,8,8,8,7.4,6.5,6.7,6.4,5.8,6.9,5,4.4
2018/1/2,二林,CO,0.55,0.55,0.57,0.57,0.61,0.73,0.72,0.81,0.7,0.63,0.42,0.32,0.32,0.24,0.26,0.28,0.27,0.29,0.3,0.3,0.35,0.31,0.29,0.34
2018/1/2,二林,NOx,16,14,17,19,21,41,40,46,34,26,24,13,13,7,8.8,12,10,10,11,11,17,15,12,15
2018/1/2,二林,O3,15,11,6.7,4.7,3.6,2.4,2,3.4,12,23,28,39,44,50,48,47,43,38,32,25,13,16,16,9.6
2018/1/2,二林,PM10,48,65,59,46,35,44,55,52,56,60,61,45,32,39,51,59,61,58,58,53,65,68,65,50
2018/1/2,二林,SO2,3.4,2.8,3.9,4.3,3.5,3.8,4.2,5.1,6.9,8.9,9.4,8,8.6,5.2,4.6,5.7,4.8,3.7,4,3.7,3.5,3.8,4.1,3.8
2018/1/3,二林,CO,0.33,0.36,0.38,0.39,0.42,0.46,0.41,0.36,0.41,0.39,0.38,0.38,0.39,0.38,0.34,0.34,0.55,0.53,0.3,0.25,0.22,0.27,0.22,0.26
2018/1/3,二林,NOx,11,13,13,12,20,22,18,14,20,18,21,19,14,12,10,9,19,20,11,12,13,15,12,14
2018/1/3,二林,O3,9.1,12,8.4,7.6,2.9,2.5,7.5,14,12,20,29,37,53,62,58,57,56,55,36,23,16,11,15,7.6
2018/1/3,二林,PM10,35,20,NA,14,21,39,48,58,61,64,79,94,100,108,105,NA,136,143,122,89,68,58,50,39
2018/1/3,二林,SO2,3.8,2.1,2.1,2.1,2.1,2.4,2.6,3,3,3.9,6.2,4.8,5,4.7,3.5,3.4,5.8,6,3.1,2.9,2.7,2.8,3,2.6
2018/1/4,二林,CO,0.27,0.23,0.2,0.22,0.24,0.31,0.38,0.42,0.41,0.44,0.49,0.33,0.27,0.34,0.3,0.36,0.28,0.26,0.19,0.28,0.27,0.27,0.19,0.22
2018/1/4,二林,NOx,20,12,6.7,5.6,6.3,9.4,9.8,9.9,10,11,12,12,12,10,12,13,12,13,8.3,7.8,9.9,9,7.5,7
2018/1/4,二林,O3,5.3,9.5,19,20,18,15,17,16,19,25,32,28,30,31,29,27,23,23,26,23,20,20,19,16
2018/1/4,二林,PM10,37,43,48,54,60,67,82,96,120,135,149,124,86,53,57,67,62,51,39,32,27,29,33,30
2018/1/4,二林,SO2,3,2.2,2.3,2.6,2.6,2.5,2.6,2.8,3.1,3.9,5.5,4.8,5.1,4.5,3.7,4.1,3.8,3.9,3.4,3.3,3.1,3.2,2.9,2.4
2018/1/5,二林,CO,0.4,0.34,0.22,0.21,0.22,0.22,0.32,0.47,0.3,0.33,0.53,0.37,0.37,0.28,0.31,0.27,0.28,0.27,0.26,0.24,0.26,0.26,0.26,0.26
2018/1/5,二林,NOx,15,11,10,7.2,8.4,8.4,11,18,20,23,31,25,22,20,19,18,18,18,18,16,16,14,13,13
2018/1/5,二林,O3,10,14,16,16,14,12,9.1,6.5,8.3,9.2,9.7,15,19,20,19,22,19,16,14,15,15,16,17,18
2018/1/5,二林,PM10,34,31,36,31,33,36,27,27,22,33,33,35,31,30,30,25,20,20,18,28,23,29,22,23
2018/1/5,二林,SO2,4.5,3,2.8,2.3,2.1,2.1,2.6,3.9,3.2,3.5,6.1,4.9,4.4,3.6,3.7,3.2,3.1,2.4,2.9,2.9,3,3.2,3,3.5
2018/1/6,二林,CO,0.26,0.27,0.28,0.28,0.28,0.4,0.39,0.3,0.41,0.67,0.62,0.53,0.5,0.43,0.5,0.62,0.65,0.55,0.49,0.63,0.32,0.28,0.26,0.28
