日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/1,南投,CO,0.55,0.52,0.51,0.44,0.37,0.38,0.44,0.52,0.55,0.64,0.62,0.54,0.46,0.38,0.37,0.46,0.5,0.58,0.57,0.58,0.58,0.66,0.65,0.59
2018/1/1,南投,NOx,18,17,17,15,15,15,21,33,33,24,23,21,17,14,15,17,19,22,23,25,28,35,29,26
2018/1/1,南投,O3,19,19,18,19,21,17,13,8.1,13,19,26,35,47,52,57,58,48,38,28,21,16,6.1,3.8,3.2
2018/1/1,南投,PM10,62,63,62,55,45,46,53,56,56,63,70,62,55,54,48,61,68,67,77,77,71,67,67,69
2018/1/1,南投,SO2,2.5,2.5,2.3,2,1.8,1.8,1.7,1.9,2.4,2.6,2.6,2.7,2.3,2,1.9,2.1,2,2.3,2.5,2.9,3,2.8,2.7,2.5
2018/1/2,南投,CO,0.56,0.52,0.56,0.47,0.49,0.49,0.62,0.88,1.23,0.98,1.36,0.68,0.51,0.59,0.5,0.46,0.56,0.63,0.58,0.73,0.75,0.58,0.58,0.5
2018/1/2,南投,NOx,26,20,28,14,19,21,30,51,54,43,28,24,24,31,27,23,30,44,40,43,43,29,28,22
2018/1/2,南投,O3,1.9,2.9,1.4,3.1,1.2,1.4,1.6,2,5.2,14,28,39,49,50,53,54,41,18,19,9.2,4.8,8.6,4.3,5.6
2018/1/2,南投,PM10,68,62,57,55,53,54,59,63,70,71,62,59,54,63,67,61,71,87,90,87,107,115,97,78
2018/1/2,南投,SO2,2.2,1.2,1.2,0.8,0.9,0.8,1.4,2.5,4,5,4.9,4.3,4.5,6.8,4.7,3.3,8.6,4.3,3.3,4.2,4.7,4.5,3.8,2.7
2018/1/3,南投,CO,0.46,NA,0.41,0.43,0.45,0.44,0.48,0.61,0.51,0.47,0.42,0.41,0.46,0.45,NA,0.56,0.71,0.99,0.79,0.89,1.09,1.15,0.92,0.83
2018/1/3,南投,NOx,17,NA,14,13,17,17,21,23,19,14,14,13,13,13,NA,NA,28,45,38,40,41,44,36,33
2018/1/3,南投,O3,6.9,8,8.4,5.6,3.2,3.8,2.7,6.4,16,28,36,NA,NA,NA,79,63,49,37,34,23,11,5.7,4.7,4.1
2018/1/3,南投,PM10,68,66,57,54,59,75,93,93,NA,96,96,92,NA,92,92,106,134,155,157,145,147,151,151,164
2018/1/3,南投,SO2,1.2,NA,1.1,0.9,0.8,0.8,0.8,1.1,1.3,2.6,3.4,NA,3.4,2.8,NA,5.3,7.4,7.8,5.6,5.7,6.8,7.1,6.4,5.2
