"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/01","®H¨½","CO",0.7,0.74,0.75,0.71,0.73,0.71,0.71,0.77,0.84,0.79,0.54,0.32,0.29,0.38,0.36,0.35,0.4,0.54,0.65,0.73,0.58,0.56,0.5,0.5
"2018/01/01","®H¨½","NOx",15,15,16,13,15,16,19,19,24,24,15,9.4,7.7,9.8,11,12,15,21,23,28,26,24,21,20
"2018/01/01","®H¨½","O3",21,17,14,16,11,4.6,4.8,6.8,9.9,20,39,50,50,59,62,65,67,56,38,26,28,22,21,17
"2018/01/01","®H¨½","PM10",80,83,77,74,72,68,65,68,69,65,57,37,23,26,28,29,37,48,51,55,58,56,54,47
"2018/01/01","®H¨½","SO2",2.2,1.7,1.5,1.3,1.3,1.3,1.4,1.5,2.5,3.1,2.7,2,1.1,0.9,0.6,0.7,1,1.4,1.6,2.5,3.1,3.6,2.9,2.8
"2018/01/02","®H¨½","CO",0.47,0.46,0.4,0.41,0.39,0.38,0.41,0.57,0.74,0.65,0.53,0.32,0.26,0.25,0.48,0.43,0.47,0.59,0.82,0.72,0.78,0.67,0.6,0.53
"2018/01/02","®H¨½","NOx",19,16,12,12,11,12,16,24,42,30,22,9.8,9.4,8.2,17,19,20,26,37,34,35,33,25,23
"2018/01/02","®H¨½","O3",15,17,13,12,12,6.8,4.6,5.8,8.2,20,33,45,48,53,88,82,73,61,36,30,21,16,17,12
"2018/01/02","®H¨½","PM10",46,48,42,36,37,34,29,30,43,45,33,27,21,17,34,53,52,47,54,61,57,54,50,49
"2018/01/02","®H¨½","SO2",2.2,1.5,1.3,1,1,1,1,1.9,4.5,4.3,3.9,2.4,3.2,1.3,1.6,1.5,1.4,1.7,2.7,3.2,3.5,4.7,4.1,4.1
"2018/01/03","®H¨½","CO",0.53,0.49,0.46,0.45,0.44,0.45,0.52,0.71,0.93,0.84,0.54,0.36,0.38,0.33,0.32,0.39,0.48,0.67,0.67,0.83,0.75,0.86,0.7,0.66
"2018/01/03","®H¨½","NOx",23,16,15,13,12,14,24,30,47,41,20,9.8,12,15,9.7,12,19,27,25,32,26,28,21,20
"2018/01/03","®H¨½","O3",8.6,9.7,8.1,9.2,6.3,5.5,2.4,4.8,7.6,17,40,57,62,61,62,73,78,67,65,50,44,27,28,23
"2018/01/03","®H¨½","PM10",47,46,42,40,40,38,38,42,53,61,52,42,42,37,34,43,98,140,135,136,131,121,114,110
"2018/01/03","®H¨½","SO2",3.6,2.1,2,1.9,1.6,1.7,2.3,2.3,3.9,5.2,4.2,3.3,3.8,1.5,0.7,1,1.5,2.9,3.2,3.9,3,2.7,3,3.2
"2018/01/04","®H¨½","CO",0.65,0.53,0.53,0.44,0.48,0.46,0.47,0.67,0.77,0.54,0.5,0.42,0.43,0.44,0.51,NA,0.51,0.55,0.55,0.45,0.43,0.39,0.34,0.31
"2018/01/04","®H¨½","NOx",18,14,13,12,11,13,16,29,49,29,NA,16,18,15,18,NA,23,21,22,17,18,14,12,10
"2018/01/04","®H¨½","O3",19,23,17,16,12,11,9.6,5.5,7.9,24,39,NA,NA,NA,NA,39,34,19,17,21,15,17,15,16
"2018/01/04","®H¨½","PM10",105,99,94,79,74,74,67,71,81,77,73,77,71,72,86,93,82,59,52,52,44,41,36,35
"2018/01/04","®H¨½","SO2",3.4,2.5,2.2,2.6,2.4,2.3,1.9,3.2,4.1,3.9,4.3,NA,4.3,3.1,NA,NA,2,2.1,2.6,2.4,2.4,2,1.9,1.5
"2018/01/05","®H¨½","CO",0.3,0.31,0.32,0.3,0.32,0.32,0.34,0.56,0.69,0.63,0.61,0.62,0.49,0.27,0.25,0.22,0.32,0.53,0.64,0.61,0.84,0.75,0.67,0.54
"2018/01/05","®H¨½","NOx",9,8.3,8.9,9.5,9,9.8,15,21,30,29,27,30,25,13,9.7,7.7,12,23,29,27,40,38,34,26
