"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/01","大里","CO",0.62,0.6,0.53,0.53,0.62,0.57,0.55,0.8,0.83,0.67,0.53,0.43,0.39,0.38,0.42,0.46,0.5,0.52,0.52,0.56,0.63,0.73,0.82,0.83
"2018/01/01","大里","NOx",13,14,13,14,18,19,21,32,33,29,22,15,12,11,14,16,19,19,18,21,26,32,42,39
"2018/01/01","大里","O3",22,20,21,17,6.8,8.6,9.5,6.8,9.4,20,30,45,55,62,66,59,49,40,31,24,16,9.4,1.6,1.4
"2018/01/01","大里","PM10",35,43,30,27,46,49,49,68,75,52,44,34,35,37,55,55,67,67,59,53,50,48,64,61
"2018/01/01","大里","SO2",1.9,1.3,1.4,1.4,1.6,1.7,1.9,2.4,3,2.7,2.6,2,1.7,1.9,2.2,2.2,2.4,2.1,2,2.1,2.4,2.5,2.7,2.8
"2018/01/02","大里","CO",0.7,0.74,0.71,0.62,0.61,0.61,0.71,1.17,1.17,1.22,1.13,1.02,0.59,0.4,0.44,0.42,0.5,0.77,0.96,0.92,0.95,0.84,0.74,0.74
"2018/01/02","大里","NOx",32,35,35,27,23,27,34,56,49,48,49,50,32,16,19,22,26,33,45,57,56,49,37,38
"2018/01/02","大里","O3",1,0.8,0.7,1.6,3.4,0.9,0.8,1.9,8.7,23,42,53,51,52,57,53,40,28,14,2.3,1.3,2.9,3.6,1.4
"2018/01/02","大里","PM10",54,60,52,53,50,51,51,62,65,86,92,77,60,32,37,47,65,68,77,89,94,91,98,102
"2018/01/02","大里","SO2",1.7,1.8,1.8,1.7,2.3,2.4,2.4,4.3,3.2,3.4,4.8,4.1,3.3,2,2,2.5,2.4,2.6,2.7,3,3.1,3.3,3.9,3.2
"2018/01/03","大里","CO",0.71,0.64,0.64,0.61,0.65,0.66,0.76,1.1,1.02,0.6,0.51,0.49,0.47,0.56,0.55,0.68,0.73,0.74,1.12,0.99,0.88,0.97,0.87,0.7
"2018/01/03","大里","NOx",34,32,27,26,32,32,40,59,52,25,19,16,16,13,22,30,29,29,49,58,53,52,53,36
"2018/01/03","大里","O3",0.6,1.2,1.7,1,0.5,0.8,1.3,1.6,5.2,18,35,51,67,84,76,64,66,56,29,9.8,6.3,5,1.3,6.4
"2018/01/03","大里","PM10",65,75,85,64,65,72,67,74,85,65,75,95,87,96,96,138,138,110,112,172,155,147,120,119
"2018/01/03","大里","SO2",2.3,2.2,2.3,2.1,2.7,3.1,3.2,2.9,4.5,2.6,2.9,3.4,3.8,3.6,4.2,5.8,3.6,4,3.7,4.1,4.9,4.9,4.4,5.7
"2018/01/04","大里","CO",0.83,0.91,0.82,0.76,0.77,0.79,0.84,1.23,1.25,1.24,0.82,0.7,0.59,0.35,0.41,0.41,0.62,0.81,0.54,0.54,0.6,0.52,0.54,0.48
"2018/01/04","大里","NOx",37,35,33,29,30,36,41,56,62,67,40,28,27,17,26,25,40,53,27,28,32,29,29,29
"2018/01/04","大里","O3",1.9,0.8,1.7,2.7,1.7,1,1,1.7,3,7.5,28,53,47,34,22,20,9.6,4.5,15,11,4.9,4,2.7,1.6
"2018/01/04","大里","PM10",132,131,134,143,152,157,171,167,179,216,182,138,122,58,43,38,53,57,42,43,48,37,44,45
"2018/01/04","大里","SO2",5.3,2.8,3.1,3.8,3.7,3.6,4.1,6,6.7,9.6,4.3,3.7,2.4,1.7,2.1,1.9,2.2,2.6,1.6,1.5,1.7,1.6,1.6,1.6
"2018/01/05","大里","CO",0.49,0.3,0.28,0.29,0.28,0.33,0.44,0.78,0.88,1.08,0.95,0.51,0.52,0.42,0.47,0.47,0.48,0.65,0.71,0.68,0.61,0.55,0.54,0.48
"2018/01/05","大里","NOx",31,16,15,18,17,20,26,44,51,67,60,NA,NA,25,27,29,28,33,35,36,33,31,30,26
"2018/01/05","大里","O3",2.3,10,12,4.9,6,2.7,0.9,1.1,1.9,2.2,4.6,11,15,17,15,13,9.9,3.8,1,0.4,0.8,1.1,1,2
"2018/01/05","大里","PM10",40,42,36,40,36,39,35,28,25,38,NA,25,33,26,26,29,28,21,28,26,24,21,21,21
"2018/01/05","大里","SO2",2,1,1.4,1.6,1.6,1.7,1.7,2.1,2.5,3.5,3.2,2.5,2.4,2.1,2.2,2.3,2.2,1.9,2.5,2.4,2.5,2.7,2.6,2.3
"2018/01/06","大里","CO",0.4,0.32,0.31,0.28,0.29,0.32,0.33,0.57,0.51,0.53,0.57,0.55,0.58,0.56,0.59,0.65,0.76,0.79,0.75,0.78,0.53,0.52,0.45,0.5
"2018/01/06","大里","NOx",20,20,18,16,17,17,17,29,28,37,37,39,38,43,43,52,58,60,49,51,33,34,28,27
"2018/01/06","大里","O3",5.4,7.1,8.1,10,8.2,7.7,13,6,9,5.2,7.7,8.4,8.5,7.7,7.8,3.5,1.2,0.5,0.4,0.4,1.6,1,2.8,2.4
"2018/01/06","大里","PM10",16,14,17,12,18,15,15,21,28,32,45,42,54,47,44,44,45,36,20,17,6,8,10,8
"2018/01/06","大里","SO2",2.2,1.9,1.8,1.8,1.9,1.9,1.8,2.5,2.4,3,3.7,3.4,2.6,2,1.8,2.1,2.3,2.2,1.7,1.8,1.5,1.5,1.4,1.2
"2018/01/07","大里","CO",0.48,0.5,0.53,0.52,0.5,0.37,0.25,0.2,0.28,0.33,0.37,0.34,0.53,0.55,0.46,0.42,0.5,0.57,0.8,0.75,0.69,0.91,0.93,0.9
"2018/01/07","大里","NOx",25,24,27,27,26,14,9.2,8.2,13,13,14,13,22,24,25,26,32,31,41,45,46,59,59,59
"2018/01/07","大里","O3",2.3,1.2,0.6,0.6,0.7,10,26,34,30,30,28,30,21,18,17,15,8.5,5.8,1.4,0.6,0.7,0.6,0.6,0.6
"2018/01/07","大里","PM10",10,14,13,14,16,11,7,7,7,10,9,3,12,11,18,12,14,9,20,25,32,27,32,31
"2018/01/07","大里","SO2",1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.4,1.8,1.5,1.5,1.7,2,1.6,1.9,2,2.2,2.5,2.7,2.6
"2018/01/08","大里","CO",0.74,0.69,0.69,0.52,0.26,0.27,0.48,1.01,0.87,1.31,1.81,1.37,0.3,0.34,NA,0.39,0.58,0.82,0.57,0.54,0.53,0.79,0.66,0.59
"2018/01/08","大里","NOx",45,35,37,29,14,15,27,48,53,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/08","大里","O3",0.4,0.5,0.5,2.4,9.5,8.1,2.1,1.5,1.6,1.6,1.2,4.2,22,15,11,7.8,NA,2.8,3.2,6.1,2.8,1.1,1.2,5.1
"2018/01/08","大里","PM10",24,24,28,34,40,44,45,43,49,61,82,83,64,36,37,NA,30,11,13,20,15,14,8,12
"2018/01/08","大里","SO2",2.2,2.2,2.3,2,1.6,1.6,2.1,3.5,3.7,4.9,5.1,3.7,1.9,1.8,NA,NA,2.3,2.7,1.8,1.9,1.9,2,2,1.7
"2018/01/09","大里","CO",0.63,0.64,0.63,0.62,0.61,0.6,0.59,0.71,0.88,0.7,0.62,0.64,0.64,0.56,0.58,0.69,0.65,0.76,0.84,0.7,0.58,0.56,0.41,0.33
"2018/01/09","大里","NOx",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,29,29,28,23,23,33,31,39,43,33,27,24,17,13
"2018/01/09","大里","O3",7,6.3,9.2,12,15,15,15,13,9.4,14,16,17,18,20,19,11,12,7.2,4.3,8.8,16,18,27,32
"2018/01/09","大里","PM10",11,5,8,8,9,4,4,4,4,4,4,8,10,16,13,20,27,36,36,32,32,35,33,25
"2018/01/09","大里","SO2",1.6,1.2,1.2,1.3,1.2,1.1,1.3,1.3,1.3,1.4,1.5,1.6,1.5,1.5,1.5,1.5,1.5,1.8,1.7,1.6,1.4,1.3,1.2,1
"2018/01/10","大里","CO",0.29,0.25,0.2,0.2,0.23,0.26,0.29,0.55,0.54,0.43,0.4,0.38,0.42,0.39,0.36,0.34,0.35,0.53,0.56,0.61,0.51,0.52,0.62,0.68
"2018/01/10","大里","NOx",11,8.8,NA,9,10,12,14,28,23,18,16,14,16,16,19,19,20,30,30,33,28,30,34,38
"2018/01/10","大里","O3",33,33,34,32,26,26,24,16,23,31,35,38,41,43,42,41,38,27,24,19,20,17,11,1.2
"2018/01/10","大里","PM10",18,14,12,10,10,10,11,12,15,11,17,21,26,24,30,39,44,46,44,38,33,31,30,24
"2018/01/10","大里","SO2",0.8,1.4,1.8,1.8,1.8,1.8,1.8,2.1,2.1,2.2,2.2,2.2,2.4,2.8,2.9,2.7,2.8,2.7,2.4,2.4,2.3,2.4,2.2,2
"2018/01/11","大里","CO",0.4,0.21,0.21,0.2,0.2,0.23,0.31,0.75,0.71,NA,NA,0.26,0.29,0.26,0.26,0.27,0.27,0.37,0.45,0.36,0.35,0.32,0.28,0.24
"2018/01/11","大里","NOx",21,7.4,5.6,5.3,NA,NA,12,39,35,NA,NA,14,15,12,14,16,16,23,25,20,18,16,13,10
"2018/01/11","大里","O3",23,37,38,39,39,36,26,7.5,15,19,32,35,43,47,48,45,41,33,28,32,32,33,36,37
"2018/01/11","大里","PM10",27,27,22,17,16,25,24,33,30,NA,48,45,43,46,46,57,63,68,62,61,50,43,37,39
"2018/01/11","大里","SO2",2.5,1.7,1.8,1.7,1.6,1.7,1.6,2.7,2.2,NA,NA,1.6,2.2,2.2,2.5,2.6,2.5,2.7,2.5,2.6,2.4,2.5,2.4,2.3
"2018/01/12","大里","CO",0.23,0.21,0.19,0.17,0.17,0.18,0.24,0.43,0.38,0.31,0.27,0.25,0.24,0.27,0.29,0.33,0.39,0.52,0.6,0.52,0.48,0.44,0.44,0.46
"2018/01/12","大里","NOx",8.9,6,4.8,4.4,5,5.7,9.7,22,18,17,15,12,11,13,16,18,22,25,29,26,24,21,19,20
"2018/01/12","大里","O3",37,38,38,37,35,35,29,22,29,31,34,40,44,45,44,42,35,29,23,24,23,25,24,18
"2018/01/12","大里","PM10",32,23,18,21,13,15,14,24,20,20,15,23,21,31,37,55,63,67,68,69,62,53,45,46
"2018/01/12","大里","SO2",2,1.7,1.6,1.4,1.5,1.6,1.5,1.9,1.9,1.7,2,2.1,2.1,2.3,2.9,2.9,2.9,2.7,2.9,2.7,3,2.6,2.1,1.8
"2018/01/13","大里","CO",0.49,0.45,0.43,0.42,0.42,0.53,0.61,0.8,0.79,0.63,0.57,0.51,0.32,0.3,0.27,0.26,0.27,0.35,0.55,0.83,0.85,0.78,0.81,0.61
"2018/01/13","大里","NOx",21,18,18,19,16,22,33,50,51,40,35,34,14,12,11,13,15,19,31,50,59,51,57,29
"2018/01/13","大里","O3",9,7.5,5.9,4.7,5.2,1.6,1.2,2.3,4.4,12,23,29,46,55,54,44,37,28,14,3.1,1.1,1.3,0.9,4
"2018/01/13","大里","PM10",52,48,47,38,37,39,43,49,49,42,39,37,45,41,30,27,28,30,27,29,48,56,58,47
"2018/01/13","大里","SO2",2.2,2.3,2.1,2.5,2,1.9,2.1,2.4,3,2.4,2.3,2.5,1.9,1.8,1.6,1.6,1.6,1.5,1.9,2.4,3.1,2.5,3.1,2.5
"2018/01/14","大里","CO",0.6,0.63,0.64,0.41,0.39,0.44,0.61,0.93,0.72,0.68,0.68,0.71,0.46,0.34,0.33,0.31,0.26,0.3,0.35,0.4,0.57,0.82,0.53,0.58
