日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/1,彰化,CO,0.4,0.38,0.3,0.29,0.29,0.29,0.34,0.49,0.46,0.44,0.42,0.46,0.42,0.4,0.41,0.44,0.55,0.56,0.54,0.55,0.6,0.68,0.79,0.68
2018/1/1,彰化,NOx,11,9.9,8.3,8.1,8.6,9.2,10,17,18,16,13,13,11,9.5,9.4,10,12,13,14,16,19,21,29,28
2018/1/1,彰化,O3,29,31,33,32,31,31,29,24,26,31,39,46,55,60,58,51,43,38,33,27,22,17,7.6,5.5
2018/1/1,彰化,PM10,60,57,61,61,57,50,48,41,42,42,46,43,46,53,67,68,76,81,86,64,51,38,45,41
2018/1/1,彰化,SO2,3.6,1.2,1.1,1.1,1,1.2,1.2,1.1,1.6,1.6,1.8,1.7,1.6,1.6,1.5,1.5,1.8,1.5,1.5,1.4,1.3,1.5,1.4,1.3
2018/1/2,彰化,CO,0.72,0.75,0.73,0.71,0.59,0.65,0.97,1.54,1.06,1.02,0.81,0.67,0.45,0.36,0.36,0.38,0.41,0.55,0.6,0.76,0.77,0.76,0.71,0.57
2018/1/2,彰化,NOx,35,37,34,34,21,22,30,48,36,47,49,37,26,16,15,21,20,21,23,27,27,31,32,25
2018/1/2,彰化,O3,1.8,1.5,1.5,1.6,4.8,2.6,1.7,3.3,9.9,15,20,24,34,46,49,40,36,28,24,14,8.8,4.9,3.5,6.5
2018/1/2,彰化,PM10,46,44,40,36,39,47,51,53,56,73,82,88,71,54,40,47,60,72,68,72,74,81,84,85
2018/1/2,彰化,SO2,0.7,2.4,2.4,2.3,2.2,2.2,2.4,3.2,3.1,4.1,8.7,11,7.1,4.8,4,6,4.2,3.1,3.3,3.1,4.3,4.7,9.4,6.6
2018/1/3,彰化,CO,0.56,0.52,0.49,0.49,0.49,0.53,0.53,0.68,0.64,0.43,0.42,0.43,0.45,0.46,0.53,0.67,0.68,0.8,0.8,0.73,0.87,0.92,0.82,0.61
2018/1/3,彰化,NOx,23,21,16,17,17,19,16,23,23,13,13,13,11,10,15,NA,33,34,40,41,39,40,40,30
2018/1/3,彰化,O3,4.2,7.4,12,8.3,9.9,7,9.1,5,15,33,38,47,65,78,60,48,44,38,20,9.6,6,2.4,1.5,5.8
2018/1/3,彰化,PM10,87,88,80,75,66,78,71,87,92,106,97,94,101,107,112,NA,114,115,117,108,96,81,75,89
2018/1/3,彰化,SO2,5.5,1.9,2.5,5.2,4.9,3,3.4,2.3,3.1,2.8,2.3,2.6,3.4,3.3,5.1,9.1,7.6,7.2,10,8.4,6,4.6,3.4,6
2018/1/4,彰化,CO,0.5,0.65,0.62,0.56,0.57,0.6,0.76,0.9,1.18,0.98,0.67,0.41,0.37,0.37,0.33,0.41,0.52,0.49,0.45,0.5,0.37,0.44,0.4,0.36
2018/1/4,彰化,NOx,27,26,22,18,16,14,17,22,31,34,24,22,15,15,16,20,31,34,22,23,19,19,18,19
2018/1/4,彰化,O3,5.3,3.8,5.2,9.1,10,NA,7.8,9.2,9.7,17,28,25,30,29,27,23,12,9.8,18,13,14,11,10,8.2
2018/1/4,彰化,PM10,100,108,120,136,151,159,159,162,156,152,141,105,72,48,49,56,57,55,44,41,43,45,39,37
2018/1/4,彰化,SO2,12,7.2,3.4,2.9,2.9,2.7,2.5,3,3.6,5,4.8,4.1,2.7,2.4,2.4,2.4,2.6,4.2,2.3,2.3,2.2,2.1,1.9,1.8
2018/1/5,彰化,CO,0.27,0.22,0.25,0.21,0.22,0.28,0.35,0.73,0.85,0.71,0.49,0.46,0.46,0.38,0.34,0.37,0.42,0.53,0.55,0.52,0.49,0.5,0.44,0.37
2018/1/5,彰化,NOx,15,12,14,13,14,20,26,35,46,52,40,29,28,26,23,23,24,28,30,29,27,26,24,19
2018/1/5,彰化,O3,12,16,12,11,9.2,2.9,2.5,2.5,2.8,3.4,6.7,12,14,16,16,17,14,8.7,5.7,5.4,6.1,6.2,8.2,10
2018/1/5,彰化,PM10,31,38,35,44,35,35,26,30,31,37,35,38,37,40,34,29,27,25,32,28,36,29,31,25
2018/1/5,彰化,SO2,2.2,2.4,2.3,2.2,2,2.1,2.7,2.8,3.3,3.7,3.7,2.8,2.6,2.5,2.5,2.4,2.3,2.2,2.4,2.6,2.7,2.6,2.7,2.8
2018/1/6,彰化,CO,0.34,0.3,0.3,0.29,0.3,0.31,0.38,0.52,0.53,0.52,0.68,0.59,0.53,0.52,0.55,0.54,0.52,0.59,0.68,0.6,0.48,0.44,0.39,0.4
2018/1/6,彰化,NOx,18,15,14,14,15,15,16,23,26,25,32,31,30,32,35,32,31,31,35,36,29,23,20,17
2018/1/6,彰化,O3,12,14,15,14,13,16,15,11,9.9,12,10,13,12,11,9,7.1,6.4,6,2.4,1.7,4.1,7.7,12,12
2018/1/6,彰化,PM10,20,14,5,2,3,6,15,21,24,23,22,22,25,NA,26,NA,25,21,20,18,17,17,14,10
2018/1/6,彰化,SO2,3.2,2.5,2.4,2.5,2.7,2.7,2.9,3,3,3.4,3.4,3.3,2.7,2.4,2.6,2.6,2.2,2.1,2.3,2.3,2,2.4,3.1,2.5
2018/1/7,彰化,CO,0.41,0.39,0.37,0.38,0.35,0.34,0.17,0.17,0.2,0.26,0.4,0.45,0.45,0.37,0.32,0.41,0.5,0.59,0.48,0.64,0.79,0.79,0.66,0.73
2018/1/7,彰化,NOx,20,19,16,17,15,13,5.6,4.9,6.4,9,13,16,16,17,15,19,26,27,21,29,32,35,25,27
2018/1/7,彰化,O3,8.3,7.2,8.1,5.3,7.5,15,35,37,36,31,27,26,24,23,23,18,12,11,12,3.1,2,1.5,1.6,1.5
2018/1/7,彰化,PM10,6,10,15,16,11,7,10,13,15,10,10,13,18,17,14,10,15,14,14,12,19,29,27,22
2018/1/7,彰化,SO2,1.7,2.2,3,2.1,2.4,2,1.7,1.7,1.8,1.8,2.4,2.5,2.1,2.2,2,2,2.4,2.2,2.6,2.4,2.7,2.8,3,3.4
2018/1/8,彰化,CO,0.68,0.45,0.4,0.27,0.26,0.26,0.41,0.87,0.94,0.8,0.76,0.62,0.32,0.31,0.31,0.23,0.28,0.36,0.39,0.37,0.52,0.58,0.63,0.61
2018/1/8,彰化,NOx,27,17,15,17,15,14,17,24,32,31,37,47,17,16,15,8.4,8.7,10,12,12,21,35,26,17
2018/1/8,彰化,O3,1.5,6.9,12,9.1,8.1,9,5.2,4.3,4.1,8.4,7.6,7.9,20,21,21,26,25,23,22,20,13,3,4.5,10
