日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/1,忠明,CO,0.38,0.37,0.33,0.3,0.29,0.27,0.28,0.35,0.39,0.38,0.32,0.32,0.32,0.33,0.35,0.39,0.44,0.47,0.45,0.5,0.54,0.64,0.65,0.78
2018/1/1,忠明,NOx,11,9.2,11,10,9.1,9.9,11,14,18,18,12,11,11,12,13,15,16,18,17,19,22,28,29,39
2018/1/1,忠明,O3,31,31,31,31,31,30,30,25,24,29,40,47,56,64,64,57,50,38,32,28,21,14,10,3.1
2018/1/1,忠明,PM10,53,44,44,42,47,40,31,25,21,21,28,29,39,48,62,60,58,59,63,56,46,44,43,45
2018/1/1,忠明,SO2,2.1,2.2,2.4,2.4,2.5,2.6,2.6,2.4,3,2.8,2.3,2.2,2.5,2.6,2.5,2.4,2.6,2.2,2.4,2.3,2.7,2.5,2.7,2.8
2018/1/2,忠明,CO,0.78,0.84,0.96,0.96,1.04,1.03,1.06,1.2,1.6,1.84,1.38,0.7,0.41,0.37,0.36,0.38,0.38,0.54,0.6,0.77,0.92,0.82,0.84,0.67
2018/1/2,忠明,NOx,42,43,66,62,65,75,81,74,96,110,94,49,23,17,17,24,24,31,32,48,59,43,42,33
2018/1/2,忠明,O3,1.8,1.7,1.6,1.8,1.7,2,1.8,2.7,5.2,12,23,37,44,52,56,47,42,31,25,7.9,3.7,7.2,6.3,9.1
2018/1/2,忠明,PM10,44,43,42,41,48,56,60,49,42,48,69,75,65,46,40,43,52,61,68,72,72,80,78,90
2018/1/2,忠明,SO2,2.8,2.1,2.6,2.4,2.5,2.6,2.8,2.8,3.4,4.1,4.7,3.8,2.4,1.8,1.5,1.8,1.9,1.9,2,2.4,2.5,3.3,3.8,3.7
2018/1/3,忠明,CO,0.69,0.61,0.56,0.62,0.63,0.69,0.81,1,0.93,0.83,0.69,0.55,0.61,0.58,0.56,0.62,0.57,0.66,0.85,0.82,1.41,1.75,1.38,1.07
2018/1/3,忠明,NOx,34,32,27,30,39,49,54,59,42,43,31,20,21,21,30,33,27,29,39,40,76,110,99,77
2018/1/3,忠明,O3,4,4.7,7.1,3.9,1.5,1.8,1.6,2.2,8.8,14,30,49,66,78,61,64,65,57,44,38,12,2.2,1.8,1.6
2018/1/3,忠明,PM10,93,97,91,89,95,91,80,63,61,71,79,87,89,96,105,122,126,112,95,103,119,131,130,127
