ค้ดม,ด๚ฏธ,ด๚ถต,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/1,จFณภ,CO,0.28,0.27,0.26,0.26,0.25,0.26,0.27,0.32,0.32,0.3,0.33,0.35,0.35,0.35,0.36,0.37,0.4,0.42,0.45,0.46,0.53,0.61,0.59,0.59
2018/1/1,จFณภ,NOx,8.9,8.9,8.3,8.3,8.5,9.2,11,14,14,11,12,11,10,9.2,9,8.7,8.8,10,12,13,16,21,25,24
2018/1/1,จFณภ,O3,38,37,37,37,37,37,35,31,34,41,46,53,61,63,62,58,51,44,38,32,28,19,15,12
2018/1/1,จFณภ,PM10,56,58,55,56,58,64,63,53,51,46,43,52,58,50,49,60,65,65,60,49,44,49,48,43
2018/1/1,จFณภ,SO2,2.1,1.9,1.6,1.8,1.8,1.9,2,2.2,2.8,2.4,2.3,2.2,2,2,2,1.8,1.6,1.7,1.8,1.7,2,2.2,2.6,2.6
2018/1/2,จFณภ,CO,0.67,0.83,0.84,0.72,0.68,0.76,0.96,1.04,1.18,0.83,0.53,0.39,0.35,0.31,0.29,0.32,0.3,0.38,0.53,0.63,0.78,0.9,0.79,0.71
2018/1/2,จFณภ,NOx,29,44,43,39,36,41,60,69,66,48,31,18,14,10,10,13,12,15,27,31,42,48,51,45
2018/1/2,จFณภ,O3,5.9,1.8,1.8,1.7,2,1.9,2,4.1,8.1,18,27,37,49,60,58,51,47,39,24,19,12,5.8,2.3,2.6
2018/1/2,จFณภ,PM10,41,42,47,54,60,61,59,63,64,60,59,51,36,26,37,56,62,65,69,68,65,58,58,71
2018/1/2,จFณภ,SO2,2.1,2.1,2.3,2.4,2.8,2.5,3,4.7,5.6,5.6,4.8,3.6,2.6,2,1.8,2.1,1.6,1.4,1.7,1.8,2.3,2.8,3.4,4.7
2018/1/3,จFณภ,CO,0.77,0.69,0.59,0.5,0.47,0.51,0.58,0.95,0.73,0.49,0.5,0.45,0.44,0.46,0.53,0.57,0.54,0.55,0.53,0.55,0.73,0.67,0.97,0.82
2018/1/3,จFณภ,NOx,44,38,28,24,23,29,29,55,34,22,20,20,18,25,23,19,16,19,26,31,43,38,47,42
2018/1/3,จFณภ,O3,1.5,2.1,6.4,10,5.1,2.3,2.2,2.6,12,24,36,49,65,60,63,69,70,55,31,22,9,10,5.6,6.6
2018/1/3,จFณภ,PM10,79,82,79,79,77,64,56,70,88,90,93,91,88,97,116,128,126,121,96,74,71,64,64,64
2018/1/3,จFณภ,SO2,3.4,2.1,2.3,4.2,1.9,1.1,0.7,1.3,1.6,1.3,1.4,1.4,1.4,5,5.1,3.3,2.5,1.8,1.5,1.4,1.3,1.8,1.8,1.8
2018/1/4,จFณภ,CO,0.97,1.23,0.79,0.74,0.78,0.84,0.9,1.17,1.2,0.6,0.31,0.26,0.22,0.19,0.22,0.22,0.31,0.26,0.23,0.21,0.19,0.2,0.23,0.19
2018/1/4,จFณภ,NOx,44,71,49,53,51,51,61,79,82,35,18,16,11,12,13,13,18,14,14,13,11,12,15,12
2018/1/4,จFณภ,O3,4.9,2,1.4,1.3,1.5,1.7,1.6,2.4,3.4,15,28,27,32,33,34,34,27,30,28,24,26,23,17,19
2018/1/4,จFณภ,PM10,79,100,104,103,103,111,118,136,160,146,89,51,41,32,33,45,50,40,36,40,37,33,28,32
2018/1/4,จFณภ,SO2,2,2.9,5.7,4.6,4.4,3.9,3.6,4.2,5.2,4.1,2.1,1.3,0.5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018/1/5,จFณภ,CO,0.19,0.22,0.19,0.19,0.2,0.23,0.26,0.42,0.43,0.35,0.31,0.33,0.29,0.26,0.27,0.26,0.29,0.3,0.32,0.31,0.33,0.35,0.31,0.3
2018/1/5,จFณภ,NOx,13,12,11,9.3,13,16,17,30,36,32,24,25,22,21,19,18,21,23,23,21,20,20,16,15
2018/1/5,จFณภ,O3,18,19,20,19,14,9.5,8.9,3.6,3.5,8,13,16,17,19,21,22,18,15,14,15,14,16,18,19
2018/1/5,จFณภ,PM10,40,41,43,37,30,NA,26,31,31,32,32,32,32,28,25,21,18,23,25,25,26,24,23,23
2018/1/5,จFณภ,SO2,1.2,1.5,1.4,1.4,1.4,1.5,1.6,2,2.1,2.4,2.5,2.4,2.1,1.8,1.7,1.5,1.6,1.7,1.9,1.9,2,2.2,2.1,2.1
2018/1/6,จFณภ,CO,0.29,0.26,0.26,0.26,0.26,0.26,0.27,0.35,0.35,0.34,0.33,0.35,0.4,0.4,0.34,0.36,0.37,0.46,0.45,0.44,0.36,0.39,0.33,0.37
2018/1/6,จFณภ,NOx,15,13,12,12,12,12,11,18,17,19,18,19,24,25,21,22,22,27,29,28,22,21,16,17
2018/1/6,จFณภ,O3,20,21,22,21,20,24,23,15,19,19,19,21,18,14,18,16,15,8.8,4.5,5,11,12,18,13
2018/1/6,จFณภ,PM10,19,14,14,12,11,12,11,13,16,19,21,21,21,21,12,8,13,16,16,12,8,7,13,15
2018/1/6,จFณภ,SO2,2.3,2,1.8,1.8,1.7,2.2,1.9,1.8,2.1,2.3,2.1,2.2,2.3,1.8,1.6,1.5,1.8,1.8,1.8,1.7,1.8,1.8,1.7,1.6
2018/1/7,จFณภ,CO,0.37,0.36,0.37,0.37,0.31,0.16,0.11,0.11,0.12,0.13,0.15,0.14,0.15,0.15,0.2,0.21,0.2,0.23,0.29,0.39,0.66,0.93,1.11,1.01
2018/1/7,จFณภ,NOx,18,15,16,15,12,6.7,4.7,4.8,5.1,5.8,6.5,6.6,6.6,7.4,12,13,11,13,17,20,36,52,68,63
2018/1/7,จFณภ,O3,12,13,11,12,18,40,43,43,42,40,40,39,38,36,30,28,31,27,18,17,4,2.1,1.7,1.6
2018/1/7,จFณภ,PM10,14,19,21,21,18,11,3,2,5,5,3,5,4,2,4,7,7,2,4,8,11,19,20,20
2018/1/7,จFณภ,SO2,1.2,1.5,1.4,1.5,1.4,1.3,1,0.9,0.9,0.9,0.8,0.9,0.9,0.9,1,0.9,0.9,1,1.4,1.5,1.8,2.5,3.5,4.2
2018/1/8,จFณภ,CO,0.7,0.41,0.39,0.25,0.26,0.27,0.36,0.88,0.97,0.86,0.73,0.31,0.24,0.27,0.28,0.37,0.34,0.38,0.5,0.61,0.65,0.67,0.69,0.67
2018/1/8,จFณภ,NOx,45,17,23,11,11,12,16,50,68,55,55,20,9.9,14,14,25,22,22,27,30,29,20,20,13
2018/1/8,จFณภ,O3,1.7,12,8.1,17,16,10,13,3.1,2.7,5.6,4.1,19,29,26,26,18,17,16,12,10,9.7,9.3,9.5,15
2018/1/8,จFณภ,PM10,23,22,28,38,39,34,27,32,49,53,50,32,8,NA,4,8,11,15,11,8,11,17,16,8
2018/1/8,จFณภ,SO2,2.1,1.7,3.4,1.3,0.5,0.2,0.4,0.8,1.7,2.5,3.6,1.7,0.6,0.2,0,0,0.2,0.5,0.4,0.4,0.8,0.6,0.5,0.1
2018/1/9,จFณภ,CO,0.67,0.57,0.57,0.54,0.5,0.46,0.45,0.49,0.46,0.42,0.39,0.38,0.38,0.4,0.43,0.47,0.44,0.45,0.46,0.44,0.4,0.42,0.27,0.17
2018/1/9,จFณภ,NOx,11,13,11,8.8,7.7,8,9.9,16,16,16,15,14,13,17,20,22,20,22,22,20,15,16,9.3,6
2018/1/9,จFณภ,O3,14,13,16,17,21,24,26,23,25,28,30,30,31,27,25,24,28,26,23,24,27,25,34,40
