"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/01","竹山","CO",0.81,0.75,0.66,0.6,0.57,0.59,0.53,0.62,0.66,0.7,0.6,0.54,0.53,0.49,0.45,0.42,0.44,0.51,0.58,0.57,0.63,0.61,0.53,0.54
"2018/01/01","竹山","NOx",24,22,20,20,19,18,19,24,23,21,14,11,11,11,10,11,14,17,20,20,22,26,19,20
"2018/01/01","竹山","O3",6.1,7.4,11,10,11,7.8,10,9,12,20,35,54,67,74,78,77,64,48,35,29,19,11,13,7
"2018/01/01","竹山","PM10",79,73,63,59,58,67,54,55,63,69,77,80,72,78,64,82,83,91,106,93,78,69,61,60
"2018/01/01","竹山","SO2",2.1,1.9,1.8,2.2,2,1.8,1.8,1.8,2.1,2.5,2.5,2.4,2.5,2.5,2.1,2.3,2,1.8,1.7,1.9,1.4,1.3,1.3,1.2
"2018/01/02","竹山","CO",0.47,0.38,0.36,0.33,0.3,0.37,0.47,0.62,0.62,0.43,0.37,0.4,0.43,0.49,0.48,0.45,0.45,0.46,0.5,0.54,0.55,0.59,0.63,0.55
"2018/01/02","竹山","NOx",16,13,12,11,11,17,24,31,27,17,16,14,12,14,17,20,19,22,23,23,22,24,25,20
"2018/01/02","竹山","O3",7.8,9.4,10,9.6,8.6,4.1,3,5.5,13,28,31,49,76,87,65,57,55,37,27,21,12,8.6,3.3,3.2
"2018/01/02","竹山","PM10",53,49,49,35,30,40,36,44,47,44,66,69,79,90,78,81,86,99,101,98,80,80,72,75
"2018/01/02","竹山","SO2",1.7,0.6,0.6,0.3,0.2,0.3,0.4,0.5,1,1.5,1.1,1.6,1.8,2.8,5.9,6.6,4.2,2.7,2.4,2,0.9,1.5,0.9,0.3
"2018/01/03","竹山","CO",0.44,0.36,0.4,0.39,0.37,0.4,0.43,0.45,0.42,0.34,0.31,0.3,0.32,0.33,0.33,0.36,0.41,0.41,0.57,0.68,0.68,0.61,0.68,0.63
"2018/01/03","竹山","NOx",15,11,15,15,12,13,15,14,13,9.8,6.9,6.3,7.1,7.1,7.9,8.3,18,17,22,26,25,23,22,19
"2018/01/03","竹山","O3",6.3,8.3,10,8.9,14,7.6,9.5,16,21,36,50,60,69,79,78,84,63,62,51,39,33,23,17,19
"2018/01/03","竹山","PM10",64,67,84,94,82,74,64,71,67,76,86,82,84,75,NA,79,146,143,158,173,183,173,179,184
"2018/01/03","竹山","SO2",1.1,2.4,3.4,2.6,2.3,1.8,2,2,2.2,2.8,2.9,3.3,3.5,3.3,3.3,3.6,3.7,4,8,8.3,7.4,5.2,6.1,4.5
"2018/01/04","竹山","CO",0.56,0.5,0.44,0.4,0.43,0.44,0.46,0.56,0.5,0.38,0.36,0.38,0.49,0.43,0.37,0.37,0.42,0.39,0.28,0.36,0.32,0.32,0.35,0.33
"2018/01/04","竹山","NOx",17,16,12,10,11,12,15,23,22,18,16,18,18,18,20,23,29,27,17,22,17,16,19,17
"2018/01/04","竹山","O3",12,14,28,28,19,10,7.2,4.2,8.7,19,33,34,51,57,38,30,21,16,14,7.7,9.1,11,8.9,7.1
"2018/01/04","竹山","PM10",158,161,159,146,158,137,123,125,131,104,117,118,147,138,102,95,84,70,42,42,37,40,46,42
"2018/01/04","竹山","SO2",3.7,2.3,1.7,1.3,1.2,1.2,1.2,1.3,2.1,1.9,2.9,3,3.4,3.4,2.3,1.8,2.1,1.4,0.9,0.9,1,0.8,1,0.9
"2018/01/05","竹山","CO",0.3,0.31,0.35,0.37,0.38,0.39,0.42,0.48,0.43,0.41,0.41,0.35,0.41,0.55,0.44,0.42,0.41,0.45,0.49,0.53,0.56,0.51,0.46,0.48
"2018/01/05","竹山","NOx",16,12,15,15,17,18,20,24,22,23,23,16,22,35,27,25,30,32,34,37,37,37,32,33
"2018/01/05","竹山","O3",5.6,6.6,7.2,6.5,4.5,3,2.7,2.6,4.1,4.9,5.6,10,14,19,27,22,12,5.1,1.7,1.4,1.6,1.2,1.2,1.3
"2018/01/05","竹山","PM10",42,45,49,50,40,42,38,36,41,42,39,31,35,56,62,55,53,47,38,37,42,39,36,38
"2018/01/05","竹山","SO2",1.7,1.4,1.7,1.6,1.3,1.3,1.3,1.6,1.7,1.7,1.6,1.5,1.5,1.6,1.8,1.7,1.8,1.8,1.6,1.6,1.5,1.9,2,1.7
"2018/01/06","竹山","CO",0.46,0.39,0.4,0.38,0.35,0.34,0.35,0.47,0.42,0.42,0.44,0.43,0.44,0.48,0.45,0.47,0.54,0.48,0.52,0.48,0.51,0.47,0.48,0.33
"2018/01/06","竹山","NOx",30,32,31,29,24,22,24,29,26,29,32,28,34,39,34,36,39,35,43,32,35,30,30,22
"2018/01/06","竹山","O3",1.2,1.3,1.1,1.3,1.3,1.6,1.1,3,4.6,4.2,5.1,5.5,4.1,4.9,4.1,3.8,2.3,1.4,1.2,2.2,1.4,1.7,1.4,6.3
"2018/01/06","竹山","PM10",38,32,33,33,28,29,29,33,36,41,44,48,60,50,55,52,56,36,37,38,15,15,9,11
"2018/01/06","竹山","SO2",1.7,2.5,2.2,2,1.8,1.8,2.1,2.2,1.9,2.2,2.5,2.6,2.2,2,2,1.6,1.7,1.5,1.5,1.6,1.4,1.2,5.4,6.4
"2018/01/07","竹山","CO",0.35,0.45,0.47,0.42,0.36,0.41,0.38,0.38,0.24,0.3,0.31,0.36,0.3,0.32,0.32,0.36,0.38,0.5,0.62,0.64,0.67,0.72,0.63,0.52
"2018/01/07","竹山","NOx",19,18,18,18,13,16,16,18,10,12,13,14,12,13,13,15,15,22,32,30,32,36,28,18
"2018/01/07","竹山","O3",6.7,6,5.3,7.1,12,5.8,4.5,7.7,28,25,23,19,22,23,21,18,19,14,4.1,2.2,1.5,1.5,1.5,1.2
"2018/01/07","竹山","PM10",11,14,12,13,16,17,14,12,12,12,11,18,15,22,21,25,25,29,32,40,36,44,41,36
"2018/01/07","竹山","SO2",2.6,0.9,1.2,1,0.9,1,1.1,1.2,0.7,0.9,1.1,1.1,1.3,1.5,1.5,1.6,1.6,1.6,2.3,1.8,1.9,2.2,2.1,2
"2018/01/08","竹山","CO",0.38,0.39,0.36,0.34,0.32,0.36,0.53,0.5,0.42,0.65,0.57,0.59,0.34,0.25,0.24,0.24,0.36,0.37,0.35,0.33,0.24,0.27,0.2,0.23
