日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/1,線西,CO,0.31,0.27,0.26,0.26,0.27,0.28,0.28,0.31,0.31,0.42,0.44,0.61,0.67,0.52,0.34,0.35,0.37,0.45,0.57,0.52,0.44,0.46,0.51,0.56
2018/1/1,線西,NOx,12,11,9.6,8.7,11,13,13,14,14,14,13,15,17,15,15,14,13,15,15,13,11,15,15,17
2018/1/1,線西,O3,34,34,36,37,34,31,31,30,34,37,42,46,51,55,51,47,45,40,37,34,33,25,23,17
2018/1/1,線西,PM10,72,68,NA,73,87,82,73,68,68,62,55,63,73,78,82,79,84,79,70,60,47,46,46,42
2018/1/1,線西,SO2,3.3,2.6,2.1,1.9,2.6,2.9,3.8,3.9,2.2,2.9,3,4.9,7,6.5,6.3,6.7,5,6.4,6.8,2.9,1.4,2,1.5,1.5
2018/1/2,線西,CO,0.55,0.59,0.6,0.64,0.73,0.81,0.91,1.34,1.06,0.57,0.36,0.32,0.3,0.26,0.28,0.3,0.31,0.35,0.5,0.4,0.26,0.34,0.5,0.75
2018/1/2,線西,NOx,24,24,24,25,34,41,53,72,66,35,17,11,8.5,7.5,9.5,9,11,16,18,15,12,17,24,41
2018/1/2,線西,O3,11,8.2,7.3,5.1,2.6,2.8,2.8,3.6,5.8,19,30,39,50,50,50,51,44,37,30,30,30,19,9.9,2.8
2018/1/2,線西,PM10,47,46,46,58,62,56,50,58,70,69,47,34,33,43,66,79,80,73,71,64,57,60,64,74
2018/1/2,線西,SO2,1.6,2.4,2,1.8,1.8,1.8,2,3.2,3.8,6.5,4,2.9,2.9,3.1,2.8,2.6,3,4.1,4.4,2.8,2.6,3.1,2.4,2.6
2018/1/3,線西,CO,0.72,0.53,0.48,0.5,0.46,0.47,0.49,0.49,0.4,0.37,0.37,0.38,0.44,0.4,0.51,0.56,0.48,0.32,0.25,0.25,0.31,0.29,0.2,0.44
2018/1/3,線西,NOx,39,25,21,26,18,18,19,20,20,17,14,NA,17,12,12,23,15,13,15,18,27,27,13,30
2018/1/3,線西,O3,2.9,6.4,7.2,3.8,10,9,9.6,14,20,32,42,45,59,61,63,56,64,50,31,20,11,12,22,4.2
2018/1/3,線西,PM10,84,91,69,56,64,64,77,79,84,93,90,NA,104,112,100,107,121,95,63,53,59,59,49,55
2018/1/3,線西,SO2,2.5,1.2,1,0.8,1,1,0.9,0.9,1.2,2.3,2.2,2.5,2.7,4.3,5,6.9,4.5,2.8,2.1,2.1,3.1,3.3,1.9,2.5
2018/1/4,線西,CO,0.5,0.44,0.5,0.47,0.48,0.5,0.52,0.66,0.78,0.74,0.31,0.27,0.32,0.34,0.35,0.29,0.33,0.23,0.21,0.2,0.25,0.2,0.22,0.3
2018/1/4,線西,NOx,32,20,26,22,15,18,17,23,27,28,15,14,13,15,16,20,22,11,10,13,12,12,11,16
2018/1/4,線西,O3,2.6,10,5.8,6.5,12,11,12,11,12,14,27,28,31,30,30,26,25,33,31,27,27,25,22,15
2018/1/4,線西,PM10,65,87,113,111,95,103,119,136,158,169,118,64,60,53,57,61,55,40,29,34,39,37,30,28
2018/1/4,線西,SO2,2.3,2.1,1.2,0.7,0.5,0.7,0.7,1.2,1.7,2.6,2.3,2.9,2.3,2.7,2.9,2.9,1.9,1,1,1.1,1.3,1.4,0.7,2.2
2018/1/5,線西,CO,0.25,0.19,0.21,0.2,0.21,0.23,0.29,0.34,0.35,0.3,0.31,0.32,0.34,0.27,0.26,NA,0.3,0.28,0.27,0.26,0.27,0.28,0.28,0.28
2018/1/5,線西,NOx,13,12,11,12,12,16,22,32,34,33,28,25,23,21,22,NA,23,22,20,18,17,16,15,15
2018/1/5,線西,O3,18,22,20,19,18,11,9.1,5.5,5.5,8.7,14,18,19,NA,NA,21,19,17,18,19,20,20,22,22
2018/1/5,線西,PM10,37,43,46,45,34,27,32,37,37,31,34,42,39,NA,33,34,30,30,33,30,26,25,27,27
2018/1/5,線西,SO2,2.2,2.8,2.2,2.2,2.1,2.6,3.4,4.1,3.9,3.2,3.1,2.7,3,2.4,3,NA,2.7,2.4,NA,2.3,2.2,2.4,2.2,2.8
2018/1/6,線西,CO,0.29,0.26,0.27,0.28,0.29,0.33,0.29,0.37,0.33,0.28,0.46,0.32,0.4,0.42,0.4,0.35,0.33,0.35,0.38,0.36,0.34,0.34,0.3,0.29
2018/1/6,線西,NOx,14,15,15,12,12,12,10,15,19,20,25,22,25,30,33,28,25,24,26,26,15,15,9.8,13
2018/1/6,線西,O3,23,22,22,23,22,24,26,19,19,20,18,20,20,15,11,13,13,14,10,9.4,19,20,29,22
2018/1/6,線西,PM10,26,20,16,21,22,19,20,18,20,22,25,33,37,40,30,23,27,22,17,14,11,12,15,13
2018/1/6,線西,SO2,2.1,3,3.4,2.1,2.3,2.3,2.1,2.5,2.3,2.5,4,3.9,4.1,3.7,2.7,2.2,2.7,2.3,2.4,1.7,1.6,1.6,1.5,2.3
2018/1/7,線西,CO,0.33,0.4,0.35,0.38,0.35,0.16,0.13,0.12,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.18,0.18,0.18,0.27,0.37,0.58,0.59,0.57,0.63
2018/1/7,線西,NOx,14,20,20,16,12,5.7,4.5,4.3,5.1,5.6,6,5.3,6,6.1,9.4,10,10,11,14,20,34,39,32,30
2018/1/7,線西,O3,16,9.9,9.8,12,22,39,42,43,41,40,40,40,37,37,34,31,32,30,22,12,3.1,2.5,2.5,2.6
2018/1/7,線西,PM10,15,21,27,31,23,10,4,2,NA,NA,1,NA,NA,5,3,8,10,2,4,10,14,16,20,22
