日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/1,西屯,CO,0.34,0.3,0.27,0.26,0.25,0.25,0.27,0.3,0.3,0.32,0.32,0.32,0.33,0.34,0.35,0.37,0.4,0.42,0.43,0.47,0.51,0.57,0.58,0.6
2018/1/1,西屯,NOx,9.1,8.9,7.1,7.1,6.5,6.9,7.9,9.8,12,14,13,11,13,13,12,13,13,14,18,21,24,27,23,26
2018/1/1,西屯,O3,38,39,41,41,40,41,38,36,37,38,45,53,62,69,70,65,57,46,36,30,23,17,15,10
2018/1/1,西屯,PM10,63,60,64,62,61,55,45,36,35,34,35,39,46,60,60,60,67,73,80,61,58,52,58,58
2018/1/1,西屯,SO2,3.4,3.2,3.1,2.9,3,2.8,3.2,3.5,3.5,3.4,3.5,3.5,3.3,3.3,3.3,3.2,3.4,3.3,3.1,3.4,3.5,4,5.4,3.8
2018/1/2,西屯,CO,0.7,0.79,0.91,0.89,0.94,0.85,1.02,1.12,1.1,1.11,1,0.51,0.34,0.3,0.29,0.29,0.3,0.42,0.59,0.76,0.98,0.88,0.78,0.83
2018/1/2,西屯,NOx,31,42,46,46,47,44,74,94,73,82,77,33,18,13,14,16,17,28,40,47,72,62,43,51
2018/1/2,西屯,O3,4.7,3.3,3.5,3.6,3.4,3.5,3.8,4.1,8.4,15,29,40,52,61,64,57,51,37,20,8.1,4,3.1,4.3,3.2
2018/1/2,西屯,PM10,52,56,46,43,40,46,47,48,45,56,63,70,55,43,31,50,63,73,66,66,80,89,98,94
2018/1/2,西屯,SO2,3.1,2.1,2.3,2.1,2.2,2.2,2.7,4,4.2,4.1,5.3,3.8,2.4,1.9,1.7,2.3,1.9,1.9,1.9,2.3,2.9,2.7,4.2,4
2018/1/3,西屯,CO,0.65,0.67,0.64,0.62,0.6,0.55,0.63,0.78,0.95,0.6,0.45,0.45,0.47,0.47,0.49,0.54,0.51,0.53,0.68,1,1.24,1.55,1.49,1.43
2018/1/3,西屯,NOx,40,54,55,52,48,29,44,47,66,33,24,23,23,21,26,25,24,22,28,47,57,71,73,90
2018/1/3,西屯,O3,4.4,3.7,3.2,3.2,3.4,3.6,3.7,4,5.5,19,34,49,65,82,68,75,72,67,56,26,13,4.9,4,3.9
2018/1/3,西屯,PM10,98,94,97,90,91,93,95,81,72,79,92,95,87,88,103,129,136,122,113,133,155,156,138,123
2018/1/3,西屯,SO2,2.8,2,2.5,2.6,2.4,1.4,1.8,1.7,2,2,1.8,2.1,2.5,4.2,6.5,5,3.7,2.9,3,3,3.3,2.8,3.5,3.9
2018/1/4,西屯,CO,1.02,0.77,0.67,0.77,0.75,0.77,0.91,1.02,1.23,0.99,NA,NA,0.29,0.23,0.24,0.27,0.35,0.36,0.34,0.27,0.27,0.24,0.27,0.34
2018/1/4,西屯,NOx,71,56,44,44,42,41,82,62,81,NA,NA,25,17,13,17,22,23,23,21,17,18,14,14,22
2018/1/4,西屯,O3,3.2,2.9,3.7,3.5,4.8,4.4,3.5,5.7,6.4,15,33,35,45,38,34,32,26,23,25,24,18,23,19,9.6
