日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/1/1,豐原,CO,0.45,0.44,0.41,0.4,0.4,0.4,0.5,0.76,0.74,0.71,0.34,0.34,0.35,0.31,0.37,0.38,0.4,0.48,0.5,0.57,0.54,0.45,0.43,0.4
2018/1/1,豐原,NOx,5.2,4.3,4.9,4.4,4.6,6.5,8.6,18,24,22,10,9.7,11,11,13,16,14,19,18,20,17,11,9.3,7.9
2018/1/1,豐原,O3,31,28,29,26,25,20,15,8.5,8.8,17,33,42,47,53,57,53,49,37,29,19,17,19,18,23
2018/1/1,豐原,PM10,32,26,27,27,24,33,34,41,54,55,31,37,39,28,46,49,51,66,61,58,57,41,34,39
2018/1/1,豐原,SO2,1.5,1.2,1.1,1,1.1,1,1.1,2.3,2.5,3.1,2.8,3.1,3.7,3.6,5.4,5.5,3,3.2,2.7,2.2,2.2,1.6,1.6,1.6
2018/1/2,豐原,CO,0.38,0.37,0.34,0.33,0.35,0.33,0.35,0.55,0.68,0.53,0.31,0.44,0.44,0.4,0.38,NA,0.33,0.5,0.5,0.42,0.37,0.36,0.42,0.36
2018/1/2,豐原,NOx,NA,7.5,6.3,5.8,9.5,10,11,21,34,29,14,26,26,25,21,18,21,33,29,18,13,11,13,10
2018/1/2,豐原,O3,22,23,25,24,21,17,14,13,13,20,36,39,45,45,53,51,37,25,17,24,33,31,29,31
2018/1/2,豐原,PM10,40,35,32,30,30,28,23,22,36,49,24,59,58,50,43,NA,72,73,69,57,39,33,45,42
2018/1/2,豐原,SO2,1.1,0.7,0.5,0.5,0.9,0.8,0.5,1.1,2.1,1.8,1.8,3.2,3.9,3.8,3.1,2.4,2.3,2.5,1.9,1.3,1.1,0.9,1.1,1
2018/1/3,豐原,CO,0.35,0.35,0.35,0.36,0.38,0.42,0.49,0.66,0.76,0.82,0.82,0.65,0.56,0.55,0.64,0.66,0.63,0.76,0.82,0.71,0.69,0.67,0.65,0.55
2018/1/3,豐原,NOx,9.2,8.2,7.7,8.1,8.6,11,13,24,28,39,32,21,17,18,29,30,27,35,35,21,16,15,14,10
2018/1/3,豐原,O3,31,28,26,25,22,16,17,13,14,17,38,57,72,82,72,60,55,45,31,32,31,34,34,36
2018/1/3,豐原,PM10,34,30,35,32,35,46,43,38,48,79,87,83,68,90,132,131,124,138,126,105,105,109,101,88
2018/1/3,豐原,SO2,0.7,1.3,1.2,1.2,1.2,1.3,1.4,1.9,2.9,3.9,4.2,4.1,3.4,3.4,5.6,7.1,7.2,6.6,4.5,3,2.4,2.3,2.3,1.8
2018/1/4,豐原,CO,0.58,0.61,0.6,0.66,0.68,0.75,0.79,0.92,1.08,0.83,0.79,0.57,0.37,0.29,0.3,0.31,0.45,0.41,0.31,0.34,0.33,0.35,0.28,0.32
2018/1/4,豐原,NOx,10,9.7,NA,13,13,30,28,28,55,37,31,25,17,10,18,21,34,25,17,14,19,20,9.3,15
2018/1/4,豐原,O3,32,27,25,21,18,4.4,5.4,16,8.1,26,38,44,38,37,28,25,13,17,21,20,13,9.8,23,12
2018/1/4,豐原,PM10,84,99,104,120,137,133,158,209,171,161,140,115,71,37,43,43,64,52,30,37,40,41,27,32
2018/1/4,豐原,SO2,1.6,1.8,1.9,3.3,3.6,4,4,4.4,6.2,6,5.3,4.5,3.7,2.1,3,3,3.4,3.1,2.4,2,2.3,2.1,1.8,2
2018/1/5,豐原,CO,0.23,0.24,0.25,0.25,0.23,0.25,0.28,0.29,0.38,0.36,0.3,0.26,0.29,0.27,0.27,0.28,0.3,0.35,0.34,0.32,0.32,0.29,0.28,0.27
2018/1/5,豐原,NOx,13,9.7,11,15,9.7,9.9,14,9.8,20,21,18,14,16,16,16,16,16,17,17,17,17,13,12,10
2018/1/5,豐原,O3,13,14,10,7.8,10,10,7.6,16,11,12,16,18,17,19,18,17,16,14,12,11,10,11,12,11
2018/1/5,豐原,PM10,26,29,26,29,23,19,17,18,25,25,22,19,22,25,19,25,13,16,20,22,18,14,14,16
2018/1/5,豐原,SO2,1.8,1.6,1.6,1.8,1.4,1.4,1.4,1.4,1.9,2.5,2.1,1.9,1.6,1.5,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.3,1.5
2018/1/6,豐原,CO,0.24,0.19,0.19,0.19,0.21,0.22,0.25,0.38,0.57,0.69,0.73,0.47,0.58,0.44,0.45,0.55,0.51,0.47,0.49,0.5,0.4,0.41,0.39,0.4
2018/1/6,豐原,NOx,9.2,7.1,7.4,6,7.7,11,11,18,29,38,40,31,36,29,32,39,38,30,30,33,24,24,22,20
2018/1/6,豐原,O3,10,12,12,13,9.7,11,12,5.8,4.9,6.2,7.3,12,10,9.7,8.4,5.7,3.1,3.1,2,2.1,3.5,3.9,5.9,6.8
2018/1/6,豐原,PM10,10,13,11,15,16,24,18,22,33,36,49,40,45,31,25,32,37,26,17,12,8,11,9,11
2018/1/6,豐原,SO2,1.7,1.2,1.1,1.1,1.1,1.7,1.6,1.5,2.8,3.6,3.5,3,2.9,2.2,2.1,2.6,2.5,2.1,2.3,2.6,1.9,1.9,1.8,1.6
2018/1/7,豐原,CO,0.41,0.37,0.38,0.34,0.29,0.23,0.18,0.11,0.13,0.11,0.11,0.11,0.14,0.12,0.14,0.16,0.18,0.18,0.16,0.2,0.39,0.34,0.26,0.38
2018/1/7,豐原,NOx,21,19,21,18,14,8.5,8,6.1,7.1,6.3,6.2,5.8,8.9,7.5,9.6,10,9.9,12,8.3,9.2,22,18,11,18
