"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","中壢","CO",0.49,0.49,0.46,0.37,0.34,0.36,0.47,0.52,0.5,0.57,0.72,0.69,0.73,0.78,0.94,0.95,0.93,1.04,1.06,0.94,0.8,0.77,0.68,0.61
"2018/01/01","中壢","NOx",16,17,14,10,8.7,14,27,32,30,34,35,34,35,37,46,44,47,47,51,48,36,34,29,21
"2018/01/01","中壢","O3",35,34,36,40,40,37,31,30,32,31,31,32,32,31,27,26,23,22,20,21,24,22,25,31
"2018/01/01","中壢","PM10",80,72,73,57,66,56,69,62,63,50,57,50,58,53,63,61,50,41,45,50,51,49,52,47
"2018/01/01","中壢","SO2",3.2,1.3,1.7,1.3,1.6,1.6,1.4,1.4,2.3,1.6,2.1,1.6,1.5,1.6,1.8,2.1,2,2.4,2.1,1.8,1.9,1.9,1.5,2
"2018/01/02","中壢","CO",0.63,0.49,0.45,0.42,0.52,0.57,0.96,1.85,1.43,1.25,1.21,1.2,0.91,1,0.96,0.8,1.42,1.82,1.91,1.78,1.62,1.65,1.38,1.37
"2018/01/02","中壢","NOx",16,13,11,11,16,25,64,79,66,63,65,58,46,56,55,56,76,78,86,87,79,75,58,62
"2018/01/02","中壢","O3",36,37,35,37,35,29,18,14,17,19,19,24,27,22,22,20,13,11,9.3,8.4,8.6,10,13,8.4
"2018/01/02","中壢","PM10",44,39,32,24,17,16,23,32,37,28,24,24,33,37,43,40,39,40,38,38,43,42,46,47
"2018/01/02","中壢","SO2",1.7,1.7,1.3,1.7,1.2,2,2.4,2.5,3,2.5,2.9,2.8,2.2,2.5,3.3,2.6,3.4,3.3,4,4.1,3.6,3.5,3,3
"2018/01/03","中壢","CO",1.35,0.62,0.55,0.68,0.61,1.12,2.58,3.86,3.41,1.93,1.38,1.08,0.75,0.7,0.78,0.96,1.06,1.5,1.46,1.28,1.27,1.1,0.87,0.57
"2018/01/03","中壢","NOx",60,32,27,34,35,68,206,210,170,113,72,65,49,45,53,58,66,69,64,60,63,51,38,25
"2018/01/03","中壢","O3",5.2,12,17,9.7,11,3.4,0.9,1.3,2.4,6.6,16,23,33,48,38,15,12,12,13,14,14,17,22,25
"2018/01/03","中壢","PM10",49,44,35,34,37,44,47,60,59,67,57,54,53,56,68,63,55,39,30,29,31,32,28,27
"2018/01/03","中壢","SO2",1.6,1.9,1.8,1.7,2.4,2.7,5.5,5.8,6.6,4.5,3.3,2.4,2.5,4.3,4.2,2.7,2.7,2.6,2.6,2.7,2.2,2.1,2.4,1.8
"2018/01/04","中壢","CO",0.48,0.29,0.39,0.33,0.57,0.97,1.89,2.92,2.24,1.69,1.34,1.04,1.15,0.46,0.41,0.48,0.42,0.65,0.66,0.41,0.48,0.5,0.39,0.25
"2018/01/04","中壢","NOx",20,16,26,23,36,67,141,185,156,124,88,78,71,33,33,38,37,42,43,34,36,34,25,15
"2018/01/04","中壢","O3",25,24,15,17,12,3.2,1,1.3,2.4,5.6,11,10,11,24,26,22,19,15,16,17,14,15,17,21
"2018/01/04","中壢","PM10",34,34,40,37,45,37,48,63,94,117,123,116,81,58,46,49,50,45,47,48,37,36,31,37
"2018/01/04","中壢","SO2",1.9,2.9,2.3,2.5,2.3,2.9,5,7.2,9,7.2,5.6,5.7,4.3,2.9,2.6,3.2,2.1,2.4,3.1,2.1,2.2,2.4,2.2,2.1
"2018/01/05","中壢","CO",0.2,0.24,0.25,0.27,0.3,0.38,0.52,0.88,0.7,0.62,0.71,0.58,0.58,0.52,0.58,0.66,0.59,0.83,1,0.94,0.93,0.81,0.62,0.48
"2018/01/05","中壢","NOx",12,9.7,8.6,9.8,11,23,50,63,64,60,65,57,51,39,52,59,51,50,63,54,46,37,21,16
"2018/01/05","中壢","O3",20,22,23,22,21,13,8.5,3.9,5,5.5,4.6,5.6,7.7,13,9.9,7.4,9.5,9.2,5.2,9.3,12,17,23,26
"2018/01/05","中壢","PM10",26,30,37,48,39,31,32,40,42,44,48,48,41,35,33,27,29,33,42,42,37,36,21,22
"2018/01/05","中壢","SO2",2.2,3,2.8,2.4,2.4,2.6,2.9,2.8,3.6,3.4,3.4,2.9,3.2,3,3.1,3.6,3.4,3,3.7,3.8,4.1,4.1,3.1,3.1
"2018/01/06","中壢","CO",0.39,0.26,0.27,0.25,0.25,0.24,0.54,0.66,0.54,0.67,0.63,0.92,0.92,0.78,0.62,0.79,0.77,0.84,1.16,0.75,0.67,0.72,0.68,0.55
