"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","中山","CO",0.48,0.51,0.41,0.35,0.32,0.33,0.38,0.46,0.5,0.51,0.48,0.48,0.48,0.49,0.52,0.53,0.58,0.67,0.7,0.65,0.62,0.66,0.63,0.53
"2018/01/01","中山","NOx",17,18,14,10,11,10,17,22,27,25,21,21,21,20,22,23,25,30,30,28,28,31,28,21
"2018/01/01","中山","O3",32,33,37,40,39,37,34,30,28,32,35,37,38,38,34,33,29,26,26,27,25,21,23,29
"2018/01/01","中山","PM10",80,76,76,76,71,66,63,65,65,63,68,62,64,62,73,62,61,59,77,79,72,58,49,47
"2018/01/01","中山","SO2",1.7,2.4,2.3,2.7,2,2.1,2.5,2.3,2.4,2.7,2.2,2.2,2.2,2.4,2.2,1.9,1.9,1.8,1.9,2.6,3.1,1.9,2.1,1.7
"2018/01/02","中山","CO",0.42,0.33,0.29,0.27,0.27,0.32,0.48,0.83,0.93,0.73,0.55,0.49,0.35,0.37,0.47,0.48,0.42,0.8,1.01,0.87,0.64,0.6,0.56,0.47
"2018/01/02","中山","NOx",12,7.6,6.8,5.8,6.3,12,28,49,50,48,38,31,16,17,26,27,20,48,57,54,38,34,29,23
"2018/01/02","中山","O3",36,40,40,41,40,33,22,13,15,17,24,29,39,38,32,32,35,14,9.6,9.9,16,19,22,26
"2018/01/02","中山","PM10",45,43,41,37,26,22,20,26,27,29,30,28,23,28,38,50,58,56,48,45,43,49,37,37
"2018/01/02","中山","SO2",2,0.8,0.8,0.7,0.8,0.9,1,1.5,1.5,1.4,1.2,1.4,1.1,1.2,1.5,1.5,1.5,1.8,1.8,1.6,1.5,1.2,1.4,1
"2018/01/03","中山","CO",0.38,0.33,0.29,0.24,0.26,0.31,0.5,0.97,1.05,0.71,0.55,0.39,0.35,0.29,0.42,0.5,0.54,0.68,0.81,0.68,0.54,0.53,0.46,0.34
"2018/01/03","中山","NOx",14,9.7,8.9,5.5,7.4,11,33,59,57,47,39,22,16,11,25,37,37,41,44,40,33,29,23,15
"2018/01/03","中山","O3",33,34,34,37,36,32,18,9.1,12,17,20,31,36,38,26,19,17,15,13,15,18,20,23,28
"2018/01/03","中山","PM10",31,35,28,30,29,27,27,26,43,48,51,29,30,30,43,43,48,46,37,34,31,33,23,21
"2018/01/03","中山","SO2",0.6,1.8,1.8,1.9,1.9,1.8,2,2.8,2.9,3,2.6,2.3,2.2,2,2.2,2.4,2.5,2.6,2.5,2.6,2.5,2.4,2.2,2.3
"2018/01/04","中山","CO",0.3,0.27,0.21,0.2,0.2,0.28,0.45,0.83,0.98,1.04,1.05,0.81,0.69,0.81,0.85,0.9,0.95,1.31,1.38,0.9,0.82,1.01,0.69,0.53
"2018/01/04","中山","NOx",10,8,6.4,6.6,NA,12,29,51,55,NA,73,47,32,40,57,69,69,74,73,49,45,54,32,24
"2018/01/04","中山","O3",32,32,33,32,32,26,14,8.5,12,13,15,32,60,54,20,12,8.3,8.8,7.9,15,15,9.3,15,19
"2018/01/04","中山","PM10",18,19,20,13,10,4,11,22,27,30,45,63,78,96,92,87,66,66,65,56,43,40,31,36
"2018/01/04","中山","SO2",2,0.8,0.9,1,0.9,0.8,1.1,1.5,1.7,3.9,5.8,5.1,4.2,4.3,4,3.6,3.8,3.3,3,2.5,1.7,2,1.7,1.9
"2018/01/05","中山","CO",0.43,0.4,0.33,0.3,0.32,0.46,0.71,1.28,1.37,0.88,0.6,0.86,0.83,0.66,0.87,0.65,0.58,0.72,0.79,0.69,0.58,0.6,0.57,0.45
"2018/01/05","中山","NOx",15,12,10,9.5,11,19,42,64,75,61,45,60,52,42,61,50,40,45,46,42,36,35,31,19
"2018/01/05","中山","O3",23,25,26,26,26,19,11,5.4,3,2.4,7.4,6.9,8.3,8.9,4.6,9.3,12,11,11,13,14,14,17,24
"2018/01/05","中山","PM10",29,31,21,17,14,17,13,20,27,27,20,10,11,9,20,18,24,9,7,9,11,12,10,14
"2018/01/05","中山","SO2",1.6,0.8,0.8,0.7,0.8,0.9,1,1.7,1.9,1.8,1.4,1.7,1.8,1.3,1.8,1.5,1.1,1.2,1.3,1.1,1,1.6,1.8,0.7
"2018/01/06","中山","CO",0.43,0.36,0.34,0.3,0.29,0.32,0.38,0.48,0.49,0.49,0.48,0.47,0.47,0.48,0.47,0.53,0.51,0.55,0.54,0.5,0.53,0.68,0.6,0.48
"2018/01/06","中山","NOx",14,8.8,7.1,5.9,6.5,8.3,15,21,24,26,27,30,32,32,32,39,37,33,33,31,35,41,33,23
"2018/01/06","中山","O3",29,33,34,36,35,34,28,24,22,23,22,20,19,20,20,16,16,18,17,18,15,12,16,22
"2018/01/06","中山","PM10",13,6,4,4,13,10,13,12,17,22,22,18,11,5,5,8,7,7,7,7,5,5,2,2
"2018/01/06","中山","SO2",0.2,2,1.7,1.7,1.6,1.6,1.8,2.4,2.3,2.2,2.2,2.1,2.2,2.3,2.1,2.6,2.2,2.3,2.5,2.3,1.8,2.1,3,3.1
