"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","¥j«F","CO",0.34,0.31,0.26,0.25,0.25,0.25,0.27,0.3,0.32,0.32,0.34,0.38,0.39,0.4,0.35,0.39,0.4,0.52,0.53,0.55,0.55,0.53,0.43,0.36
"2018/01/01","¥j«F","NOx",8.9,8.2,7.2,5.6,5.3,5.4,5.9,8.3,9.4,9.3,11,12,12,12,8.9,9.8,9,16,18,20,22,22,15,9.4
"2018/01/01","¥j«F","O3",41,41,42,43,43,43,42,40,40,41,41,41,42,41,43,42,43,34,33,32,30,29,35,41
"2018/01/01","¥j«F","PM10",54,47,46,51,51,52,46,53,51,55,54,51,51,45,45,42,37,43,53,56,54,51,49,45
"2018/01/01","¥j«F","SO2",1.5,1.3,1.4,1.3,1.3,1.2,1.3,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.2,1.2,1.2,1.5,1.7,1.6,1.8,1.5,1.4
"2018/01/02","¥j«F","CO",0.31,0.26,0.25,0.25,0.24,0.25,0.33,0.52,0.66,0.4,0.28,0.27,0.27,0.27,0.28,0.29,0.31,0.35,0.41,0.35,0.34,0.3,0.31,0.3
"2018/01/02","¥j«F","NOx",6.7,5.2,4.5,5.1,4.5,5.7,15,29,35,19,13,10,11,12,14,12,13,15,17,14,14,12,12,12
"2018/01/02","¥j«F","O3",43,44,44,43,44,41,32,24,22,32,39,42,41,40,40,41,40,37,34,36,36,38,36,35
"2018/01/02","¥j«F","PM10",29,21,18,20,18,9,12,14,20,10,12,18,31,36,28,20,22,28,31,32,30,28,25,25
"2018/01/02","¥j«F","SO2",1.3,1.5,1.5,1.7,1.4,1.4,1.8,1.8,1.9,1.9,1.8,1.8,1.6,1.6,1.6,1.7,1.7,1.6,1.7,1.7,1.7,1.6,1.6,1.5
"2018/01/03","¥j«F","CO",0.24,0.21,0.19,0.19,0.19,0.2,0.33,0.68,0.55,0.44,0.26,0.25,0.27,0.24,0.22,0.26,0.32,0.41,0.46,0.38,0.32,0.34,0.31,0.25
"2018/01/03","¥j«F","NOx",8,6.7,5.4,5.1,4.9,6.1,20,50,34,27,15,15,15,12,12,18,20,24,24,19,16,18,15,11
"2018/01/03","¥j«F","O3",39,40,42,41,42,40,28,13,23,27,36,38,38,39,36,27,27,25,24,27,30,28,29,33
"2018/01/03","¥j«F","PM10",28,29,26,20,17,21,23,25,28,31,31,22,24,22,NA,27,24,21,21,24,25,24,17,14
"2018/01/03","¥j«F","SO2",1.5,1.7,1.6,1.6,1.5,1.5,1.6,2.1,2.4,2.2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.9,2,2,2,2,2,1.8
"2018/01/04","¥j«F","CO",0.2,0.18,0.15,0.15,0.17,0.18,0.33,0.76,0.83,0.62,0.48,0.6,0.6,0.65,0.65,0.61,0.67,0.76,0.85,0.62,0.55,0.53,0.49,0.38
"2018/01/04","¥j«F","NOx",7.7,9,8.2,8.9,9.9,11,30,57,55,47,36,31,28,32,39,40,51,53,47,36,31,29,31,25
"2018/01/04","¥j«F","O3",36,34,34,31,30,29,15,8.2,13,15,24,49,70,66,47,33,14,8,9.2,13,15,16,11,15
"2018/01/04","¥j«F","PM10",8,12,16,16,13,9,13,18,23,24,31,55,82,105,106,103,90,75,59,46,41,38,38,41
"2018/01/04","¥j«F","SO2",1.7,1.3,1.2,1.5,1.4,1.5,1.5,2.1,2.8,4.7,4.3,4.3,4.1,4.3,4.5,5.2,5.2,4.2,3.4,3.3,3,2.8,3.7,3.7
"2018/01/05","¥j«F","CO",0.28,0.25,0.23,0.22,0.23,0.25,0.32,0.62,0.82,0.72,0.58,0.49,0.62,0.59,0.59,0.41,0.41,0.46,0.5,0.45,0.37,0.36,0.4,0.32
"2018/01/05","¥j«F","NOx",15,11,9.1,10,9.9,11,16,31,42,46,47,37,46,43,42,30,29,28,29,27,17,14,17,11
"2018/01/05","¥j«F","O3",24,25,26,25,25,21,20,8.7,4.7,4.6,6.9,10,7.7,8.5,10,18,18,18,18,19,27,30,27,33
"2018/01/05","¥j«F","PM10",36,28,18,11,10,11,10,18,11,22,17,19,17,19,24,17,10,3,8,15,15,13,8,8
"2018/01/05","¥j«F","SO2",2.2,1.1,1,1.6,1.3,1.2,0.7,0.9,1.3,1.4,1.3,1.1,1.3,1.4,1.4,1,1,1.3,2.1,2.7,1.1,0.6,0.5,0.5
"2018/01/06","¥j«F","CO",0.32,0.24,0.22,0.23,0.22,0.22,0.24,0.28,0.33,0.36,0.37,0.36,0.37,0.37,0.33,0.36,0.35,0.39,0.43,0.41,0.43,0.43,0.4,0.34
"2018/01/06","¥j«F","NOx",9.5,6,5.1,5.4,5.7,6.5,9.2,14,19,22,25,24,26,25,25,25,24,26,28,28,30,29,27,21
"2018/01/06","¥j«F","O3",33,36,37,36,35,35,33,29,27,25,23,24,23,23,24,23,23,22,20,19,17,18,20,24
"2018/01/06","¥j«F","PM10",3,NA,NA,NA,1,2,3,3,3,6,8,8,6,9,8,10,7,7,4,1,3,5,6,10
"2018/01/06","¥j«F","SO2",0.6,1.3,1.3,1.3,1.2,1.3,1.3,1.4,1.3,1.6,1.7,1.6,1.5,1.6,1.8,1.7,1.7,1.9,1.6,1.6,1.6,1.8,2,1.9
"2018/01/07","¥j«F","CO",0.28,0.26,0.25,0.22,0.25,0.29,0.26,0.39,0.39,0.6,0.67,0.76,0.61,0.66,0.57,0.46,0.38,0.34,0.25,0.24,0.25,0.35,0.31,0.58
"2018/01/07","¥j«F","NOx",15,10,8.5,7.3,9.6,13,13,28,27,35,48,59,48,53,41,41,32,25,15,14,15,22,19,34
"2018/01/07","¥j«F","O3",30,35,37,38,34,28,32,20,22,15,7.9,6.5,8.2,6.4,11,11,16,22,32,32,31,25,28,19
"2018/01/07","¥j«F","PM10",7,5,3,1,2,4,6,7,7,6,10,19,18,15,7,7,5,1,1,1,NA,4,3,3
"2018/01/07","¥j«F","SO2",1.8,1.1,1.1,1.2,1.3,1.9,1,1.1,1.1,1.3,1.9,1.9,1.9,1.9,1.8,1.6,1.5,1.4,1.2,1.1,1,1.1,1.1,1.2
"2018/01/08","¥j«F","CO",0.64,0.47,0.59,0.33,0.33,0.31,0.55,0.9,1.6,2.07,0.88,0.72,NA,NA,0.63,0.8,0.78,0.78,0.86,0.76,0.72,0.73,0.73,0.67
"2018/01/08","¥j«F","NOx",37,23,33,17,15,19,41,61,103,140,69,58,NA,NA,47,63,65,38,33,28,25,24,23,19
