"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","¤g«°","CO",0.28,0.31,0.3,0.27,0.27,0.27,0.29,0.34,0.35,0.36,0.38,0.45,0.45,0.45,0.44,0.48,0.53,0.65,0.65,0.66,0.68,0.63,0.62,0.5
"2018/01/01","¤g«°","NOx",7.5,5.7,5.2,4.4,3.8,3.6,4.1,6.1,6.8,7,7.2,10,9.7,9,9.7,11,11,16,17,17,19,20,19,13
"2018/01/01","¤g«°","O3",41,43,44,44,45,45,44,42,42,43,43,43,44,44,41,40,37,33,33,32,30,28,28,34
"2018/01/01","¤g«°","PM10",66,65,58,52,49,53,53,47,53,57,55,58,59,57,55,52,43,41,52,57,54,52,49,46
"2018/01/01","¤g«°","SO2",1.8,1,1.2,1.1,1,1.3,1.2,1.3,1.4,1.5,1.4,1.5,1.5,1.4,1.7,1.4,1.4,1.2,1.4,1.3,1.2,1.4,1.3,1.2
"2018/01/02","¤g«°","CO",0.45,0.34,0.3,0.28,0.28,0.29,0.41,0.65,0.62,0.43,0.33,0.33,0.3,0.28,0.3,0.35,0.4,0.52,0.57,0.55,0.54,0.53,0.41,0.35
"2018/01/02","¤g«°","NOx",11,7.7,6.4,5.6,5,5.1,13,22,20,16,10,9.8,7,6.9,7.9,11,14,17,19,17,18,18,13,10
"2018/01/02","¤g«°","O3",36,38,41,41,41,40,32,27,31,36,40,42,43,43,44,39,36,31,30,31,30,30,34,35
"2018/01/02","¤g«°","PM10",41,32,27,26,22,16,15,21,24,24,23,20,24,30,30,26,27,28,25,25,28,28,26,23
"2018/01/02","¤g«°","SO2",1.3,1.2,1.3,1.2,1.1,1.3,1.4,1.6,2,2,1.5,1.3,1.1,1.3,1.4,1.8,1.5,1.5,1.5,1.4,1.4,1.6,1.5,1.3
"2018/01/03","¤g«°","CO",0.39,0.27,0.22,0.22,0.22,0.24,0.65,1.31,1.4,0.78,0.3,0.26,0.27,0.24,0.23,0.28,0.29,0.36,0.41,0.45,0.39,0.41,0.4,0.33
"2018/01/03","¤g«°","NOx",11,7.8,4.2,5.5,6.1,6.6,74,128,104,57,11,7.8,8.1,7.9,7.4,12,12,13,15,15,15,15,16,13
"2018/01/03","¤g«°","O3",34,36,39,37,37,35,9.9,3.4,5.6,18,36,40,40,41,40,34,33,31,30,28,29,29,28,30
