"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","基隆","CO",0.28,0.26,0.26,0.25,0.25,0.34,0.31,0.36,0.39,0.41,0.45,0.46,0.47,0.45,0.45,0.48,0.49,0.51,0.5,0.42,0.38,0.52,0.66,0.51
"2018/01/01","基隆","NOx",5.5,5.5,6,4.6,4.2,6.6,5.2,6.5,7.6,9.4,10,11,10,12,10,12,9.9,13,11,9.5,9,19,29,18
"2018/01/01","基隆","O3",46,46,43,44,45,40,45,45,43,41,39,38,40,37,39,39,40,37,38,40,39,24,12,26
"2018/01/01","基隆","PM10",52,53,53,47,46,51,48,50,53,53,47,48,56,40,47,47,53,52,52,41,35,30,29,27
"2018/01/01","基隆","SO2",1.4,1.3,1,1.1,1.2,1.2,1.3,1.4,1.5,1.4,1.3,1.5,2,1.3,1.2,1.1,1.1,1.1,1.1,1.1,0.9,1,1.1,1.1
"2018/01/02","基隆","CO",0.39,0.39,0.33,0.29,0.31,0.31,0.49,0.51,0.35,0.31,0.28,0.28,NA,0.25,0.25,NA,0.17,0.19,0.22,0.18,0.18,0.2,0.17,0.14
"2018/01/02","基隆","NOx",9.9,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7.8,9.1,9.1,7.7,5.8
"2018/01/02","基隆","O3",22,27,22,29,27,34,27,30,37,36,38,19,NA,NA,41,41,40,40,38,41,39,38,39,41
"2018/01/02","基隆","PM10",24,18,15,19,19,20,17,16,17,25,22,24,22,28,NA,NA,27,29,33,32,34,31,28,27
"2018/01/02","基隆","SO2",0.9,1.5,1.6,1.5,1.5,1.6,1.6,1.7,1.7,1.8,NA,NA,NA,1.8,1.8,NA,1.7,1.9,1.2,1,1.1,1,1.5,1.4
"2018/01/03","基隆","CO",0.12,0.14,0.13,0.12,0.13,0.12,0.15,0.21,0.21,0.17,0.15,0.14,0.12,0.13,NA,NA,0.25,0.32,0.34,0.36,0.27,0.34,0.28,0.23
