"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","士林","CO",0.26,0.25,0.25,0.25,0.25,0.26,0.29,0.31,0.33,0.34,0.34,0.33,0.35,0.36,0.36,0.39,0.4,0.44,0.45,0.41,0.36,0.32,0.32,0.28
"2018/01/01","士林","NOx",4.2,4.9,4.6,4.4,4,4.5,5.4,7.5,8.7,11,8.6,10,11,10,10,13,9.6,14,17,13,8.7,10,8,8
"2018/01/01","士林","O3",48,49,49,49,48,48,48,47,45,44,46,45,44,44,43,41,43,38,36,41,44,42,43,42
"2018/01/01","士林","PM10",56,50,59,61,57,54,61,64,65,63,68,63,58,55,47,44,38,51,57,56,49,37,38,35
"2018/01/01","士林","SO2",1.5,0.9,1.1,1,0.9,1.3,1.1,1.5,4,4.9,3.5,6.3,6.4,4.7,4.7,5.8,1.9,6.2,8.2,5.2,1.6,3.7,2.4,3.8
"2018/01/02","士林","CO",0.26,0.25,0.24,0.23,0.22,0.23,0.25,0.29,0.3,0.28,0.26,0.24,0.25,0.24,NA,NA,0.31,0.31,0.31,0.27,0.26,0.25,0.24,0.23
"2018/01/02","士林","NOx",5.4,3.8,3.6,3.5,3,4.4,6,8.9,9.7,9,9,6.8,7,6.6,NA,NA,13,12,11,9.1,7.9,7.4,7.2,6.7
"2018/01/02","士林","O3",44,46,46,46,45,43,41,39,39,39,40,43,44,44,NA,41,38,38,38,39,39,40,40,41
"2018/01/02","士林","PM10",39,36,25,28,24,32,25,30,34,33,26,25,31,30,NA,34,38,56,54,48,37,34,38,39
"2018/01/02","士林","SO2",0.8,1.4,1.4,1.3,1.1,1.5,1.4,1.3,1.4,1.1,1.2,1.3,1.3,1.2,NA,NA,1.4,1.4,1.2,1.1,1.2,1.1,1.1,1.1
"2018/01/03","士林","CO",0.21,0.19,0.18,0.17,0.16,0.17,0.21,0.28,0.29,0.25,0.21,0.21,0.21,0.2,0.18,0.18,0.19,0.21,0.21,0.2,0.18,0.19,0.17,0.15
"2018/01/03","士林","NOx",4.5,4,3.7,3.3,3.3,4.6,7.5,12,12,11,8.6,9,8.5,8.2,7.5,7.5,8.6,9.3,8.9,8.5,6.8,7.7,6.2,4.6
"2018/01/03","士林","O3",41,42,42,43,43,41,37,33,33,35,39,36,29,36,36,37,37,35,36,38,38,37,38,39
"2018/01/03","士林","PM10",34,24,22,29,27,23,20,19,22,29,NA,16,13,19,37,39,35,24,29,32,31,30,25,22
"2018/01/03","士林","SO2",1.9,1.2,1.2,1.3,1.2,1.1,1.1,1.3,1.6,1.3,1.5,1.5,1.2,1.2,1.3,1.4,1.3,1.3,1.3,1.3,1.5,1.4,1.3,0.9
"2018/01/04","士林","CO",0.14,0.14,0.13,0.13,0.13,0.13,0.17,0.29,0.29,0.7,0.62,0.58,0.54,0.34,0.33,0.34,0.36,0.36,0.39,0.31,0.28,0.3,0.26,0.21
"2018/01/04","士林","NOx",3.8,2.1,2.7,2,2.2,2.7,6.6,13,12,43,42,39,33,25,22,25,31,21,17,12,9.3,11,9.8,6.9
"2018/01/04","士林","O3",39,39,38,38,37,37,33,29,30,20,24,31,47,33,33,27,18,25,27,29,31,27,26,28
"2018/01/04","士林","PM10",21,25,19,10,7,8,9,4,9,9,11,33,58,73,67,55,48,50,48,43,39,41,41,39
