"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","大園","CO",0.34,0.28,0.27,0.27,0.28,0.3,0.33,0.36,0.4,0.38,0.38,0.37,0.36,0.38,0.37,0.39,0.45,0.48,0.48,0.47,0.43,0.4,0.36,0.38
"2018/01/01","大園","NOx",14,7.8,6.8,5.7,6.9,13,17,22,20,15,12,13,9.8,11,12,14,16,18,16,17,16,16,17,17
"2018/01/01","大園","O3",45,48,48,47,46,40,37,35,39,44,47,47,49,48,46,42,41,38,39,38,39,39,36,36
"2018/01/01","大園","PM10",77,66,66,67,72,62,65,61,71,69,71,65,55,53,54,55,54,50,56,56,55,47,47,43
"2018/01/01","大園","SO2",2,2.7,2.5,2.1,2.1,2.2,2.5,2.7,4.2,3.8,2.9,2.7,2.4,2.4,2.4,2.4,2.5,2.6,3.5,5.4,4.6,2.8,3.6,3
"2018/01/02","大園","CO",0.34,0.3,0.28,0.27,0.27,0.29,0.33,0.36,0.44,0.38,0.36,0.32,0.31,0.3,0.32,0.33,0.38,0.43,0.39,0.37,0.37,0.32,0.32,0.32
"2018/01/02","大園","NOx",15,6.6,6.3,5.5,6,13,22,19,15,20,25,27,20,16,23,25,31,35,23,18,23,15,13,12
"2018/01/02","大園","O3",38,44,44,45,44,36,31,33,37,35,34,35,40,41,37,34,28,23,29,30,27,33,35,33
"2018/01/02","大園","PM10",46,41,35,26,21,22,29,32,36,38,31,25,28,38,46,44,42,40,37,41,39,38,31,34
"2018/01/02","大園","SO2",2.6,1.3,1.2,1.2,1.1,1.6,1.8,1.5,1.8,2,2.4,2.7,2.4,1.9,2.2,2.5,2.9,4.2,2.6,2.2,2.1,1.9,2.6,2.4
"2018/01/03","大園","CO",0.32,0.3,0.27,0.23,0.25,0.23,0.35,0.74,0.68,0.51,0.31,0.25,0.48,0.38,0.31,0.23,0.24,0.28,0.27,0.28,0.26,0.23,0.19,0.21
"2018/01/03","大園","NOx",16,15,11,11,12,13,24,52,56,39,16,13,31,22,29,NA,24,25,22,20,21,19,15,11
"2018/01/03","大園","O3",28,30,32,33,30,28,18,7.9,12,24,39,43,45,58,38,28,27,26,26,27,27,29,32,33
"2018/01/03","大園","PM10",33,37,37,39,37,32,31,41,60,55,50,31,52,69,NA,77,64,49,46,38,29,21,17,17
"2018/01/03","大園","SO2",2.5,3.2,3.2,2.8,2.9,2.4,3.3,6.9,6.6,5.3,3.7,3.6,8.9,6.8,5.4,NA,NA,2.6,2.4,2.1,2.1,2.5,2.3,1.6
"2018/01/04","大園","CO",0.18,0.18,0.2,0.21,0.24,0.25,0.39,0.58,0.51,0.31,0.26,0.22,0.22,0.21,0.24,0.27,0.27,0.28,0.25,0.22,0.22,0.22,0.23,0.2
"2018/01/04","大園","NOx",16,11,10,12,16,20,35,46,38,23,29,22,17,17,21,18,20,17,14,11,13,11,9.6,8.4
"2018/01/04","大園","O3",30,31,30,22,17,13,6.5,6,14,24,23,30,37,37,32,33,30,32,32,32,28,30,30,30
"2018/01/04","大園","PM10",21,21,19,16,23,25,31,43,66,81,71,51,42,41,42,40,41,45,37,41,35,40,31,31
"2018/01/04","大園","SO2",1.4,1.7,2,2.6,2.7,3.4,5.3,5.7,6.8,5.1,3.1,3.3,1.9,2.1,2.7,1.6,1.5,1.4,1.8,1.2,1.5,1.7,1.5,1.1
"2018/01/05","大園","CO",0.18,0.2,0.21,0.22,0.2,0.21,0.24,0.27,0.22,0.21,0.21,0.21,0.2,0.19,0.18,0.18,0.19,0.22,0.23,0.28,0.27,0.27,0.3,0.3
"2018/01/05","大園","NOx",8.3,8.7,8.6,9,13,16,18,19,20,20,21,19,15,15,19,17,16,16,14,12,19,24,23,21
"2018/01/05","大園","O3",30,29,28,28,25,22,20,22,22,21,22,26,30,30,29,30,31,31,32,33,28,26,25,26
"2018/01/05","大園","PM10",28,28,33,32,28,25,21,22,22,30,30,28,27,27,27,26,30,28,22,17,17,15,17,15
"2018/01/05","大園","SO2",1.3,1.7,1.9,1.6,2.1,2.2,2.6,2.9,2.1,1.9,2,2,1.8,1.8,1.7,1.9,1.9,2.1,2.4,1.9,4.7,5.8,5.6,4
"2018/01/06","大園","CO",0.32,0.29,0.3,0.27,0.27,0.27,0.28,0.29,0.32,0.35,0.35,0.34,0.31,0.31,0.32,0.32,0.33,0.35,0.35,0.29,0.27,0.22,0.25,0.25
"2018/01/06","大園","NOx",48,12,21,6.7,6.8,15,14,14,20,29,22,20,18,20,26,26,34,27,21,14,17,6,16,20
