"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","´I¶Q¨¤","CO",0.22,0.22,0.2,0.22,0.23,0.24,0.26,0.3,0.3,0.29,0.3,0.3,0.29,0.31,0.32,0.32,0.34,0.34,0.33,0.3,0.27,0.22,0.21,0.2
"2018/01/01","´I¶Q¨¤","NOx",2.4,2.7,2.4,2.3,2.2,2.6,2.3,2.5,2.6,2.7,2.9,2.7,2.7,2.8,3.3,3,3.2,3,3.3,2.5,2.2,2.2,1.8,1.9
"2018/01/01","´I¶Q¨¤","O3",51,51,51,50,50,50,51,51,50,50,49,50,49,50,52,51,50,51,52,52,51,49,48,47
"2018/01/01","´I¶Q¨¤","PM10",80,85,91,88,78,73,75,76,74,70,74,77,74,64,74,74,65,72,70,66,63,61,58,56
"2018/01/01","´I¶Q¨¤","SO2",0.6,0.8,0.8,0.7,0.6,0.8,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.3,0.3
"2018/01/02","´I¶Q¨¤","CO",0.2,0.21,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.17
"2018/01/02","´I¶Q¨¤","NOx",1.8,2.4,1.8,1.6,1.7,2,2,5.7,7.3,7,6.4,4.8,2.7,2.6,7.4,7,5.5,3.1,3.1,2.8,2,2.1,7.2,6.1
"2018/01/02","´I¶Q¨¤","O3",47,46,46,46,45,45,45,40,40,41,42,44,47,47,44,44,44,47,47,46,46,45,38,39
"2018/01/02","´I¶Q¨¤","PM10",45,41,49,39,32,30,39,34,27,30,29,27,28,32,28,36,32,28,34,33,41,36,32,33
"2018/01/02","´I¶Q¨¤","SO2",0.3,0.5,0.2,0.2,0.2,0.3,0.3,3,4.9,4.5,4.4,2.4,0.4,0.7,3.3,1.2,0.6,0.4,0.6,0.5,0.3,0.5,4.6,3.8
"2018/01/03","´I¶Q¨¤","CO",0.16,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
"2018/01/03","´I¶Q¨¤","NOx",2.4,2.8,4.1,6.8,2.6,5.9,6.9,7.8,4.3,3.1,3.1,2.3,1.3,1.7,1.5,1.6,2,2,1.3,2,1.8,1.5,4.4,2.6
"2018/01/03","´I¶Q¨¤","O3",44,43,40,38,42,36,36,37,40,42,43,44,43,42,43,42,42,43,44,42,42,41,38,40
"2018/01/03","´I¶Q¨¤","PM10",24,31,37,31,29,29,34,33,31,33,22,26,26,27,26,26,28,25,24,20,26,21,21,18
"2018/01/03","´I¶Q¨¤","SO2",0.7,0.6,2.3,5.4,1.1,4.2,4.8,1.6,1,0.4,0.7,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.4,0.4,0.2,2.4,1.2
"2018/01/04","´I¶Q¨¤","CO",0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.11,0.11,0.17,0.25,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13
"2018/01/04","´I¶Q¨¤","NOx",6.8,3,2.6,1.7,2.4,2.4,2.8,5,7.1,7.4,18,23,9.4,6.9,7.6,3.1,3.8,7.6,3.4,3.4,2.5,4.3,5.9,3.4
"2018/01/04","´I¶Q¨¤","O3",36,38,38,39,37,37,36,34,30,33,29,30,36,40,38,42,41,35,39,40,39,33,31,33
"2018/01/04","´I¶Q¨¤","PM10",21,29,30,16,27,48,48,48,70,73,153,83,74,89,95,75,47,42,45,38,47,39,39,28
