"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","キ马","CO",0.35,0.35,0.33,0.28,0.28,0.29,0.36,0.41,0.4,0.4,0.4,0.45,0.42,0.43,0.44,0.42,0.46,0.56,0.61,0.6,0.59,0.57,0.52,0.42
"2018/01/01","キ马","NOx",8,10,9.8,8.1,7.7,7.5,9.9,12,11,11,11,12,9.2,10,11,10,11,14,16,16,18,18,16,12
"2018/01/01","キ马","O3",39,39,40,43,43,42,40,39,42,43,44,44,45,44,42,42,39,37,35,35,32,32,33,37
"2018/01/01","キ马","PM10",78,67,68,62,65,64,68,62,58,48,48,34,36,53,51,46,44,43,39,42,43,52,49,51
"2018/01/01","キ马","SO2",4.8,2.6,2.4,1.9,2.3,2.1,2.3,2.2,2.4,2.4,2.4,2.3,2,2.1,2,2.1,2.1,2,1.8,2,2.1,2.3,2.1,2.1
"2018/01/02","キ马","CO",0.36,0.34,0.33,0.3,0.3,0.33,0.39,0.56,0.56,0.5,0.46,0.47,0.46,0.4,0.44,0.49,0.55,0.65,0.67,0.64,0.64,0.56,0.46,0.49
"2018/01/02","キ马","NOx",9.1,5.8,6.6,5.5,5.7,6.9,12,19,19,18,18,16,16,14,18,21,22,26,27,26,25,23,17,19
"2018/01/02","キ马","O3",40,41,39,41,41,39,35,31,32,35,37,40,42,41,39,36,31,26,23,22,22,24,27,22
"2018/01/02","キ马","PM10",45,40,29,26,21,18,16,12,15,24,31,36,31,30,33,37,41,38,34,33,37,39,38,33
"2018/01/02","キ马","SO2",2.5,1.4,1.4,1.5,1.4,1.6,1.9,2,2,2.2,2.2,2,2,1.7,2.1,2.2,2.2,2,2.5,2.7,2.9,2.5,2.1,1.9
"2018/01/03","キ马","CO",0.57,0.4,0.32,0.32,0.34,0.4,0.73,1.73,1.79,0.68,0.41,0.35,0.54,0.51,0.43,0.41,0.41,0.5,0.5,0.45,0.43,0.36,0.3,0.26
"2018/01/03","キ马","NOx",30,19,13,14,17,36,83,119,94,37,19,15,30,32,22,21,19,22,21,18,18,14,12,9.4
"2018/01/03","キ马","O3",11,17,23,21,17,6.7,2,3.5,8.6,22,33,43,48,57,60,31,28,25,25,27,27,30,32,33
"2018/01/03","キ马","PM10",31,27,24,22,32,29,29,33,49,55,46,35,41,61,70,69,49,40,28,31,23,31,22,24
"2018/01/03","キ马","SO2",2.4,2.7,2.3,2.3,2.4,2.9,3.6,5.1,5.6,3.9,2.5,2.6,4.8,5.4,5.2,3.8,3.5,3.8,3.5,3.3,3.4,3.4,3.3,3.3
