"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","新店","CO",0.26,0.27,0.24,0.23,0.23,0.24,0.26,0.31,0.33,0.33,0.33,0.4,0.4,0.39,0.4,0.42,0.49,0.58,0.59,0.57,0.56,0.55,0.48,0.43
"2018/01/01","新店","NOx",6.1,5.2,4.3,3.7,3,3.1,3.4,7.1,6.8,6.9,7,11,9.9,9,10,10,14,16,17,18,20,20,15,13
"2018/01/01","新店","O3",45,47,47,47,47,47,45,43,44,45,45,42,44,44,41,41,37,34,34,33,29,28,31,34
"2018/01/01","新店","PM10",63,62,56,55,52,51,52,53,58,59,55,54,58,62,56,51,45,43,56,60,52,51,50,41
"2018/01/01","新店","SO2",1.2,1.3,1.2,1.3,1.3,1.2,1.2,1.3,1.4,1.5,1.3,1.6,1.6,1.4,1.5,1.5,1.4,1.5,1.3,1.4,1.2,1.3,1.1,1.1
"2018/01/02","新店","CO",0.38,0.28,0.26,0.24,0.23,0.25,0.3,0.46,0.46,0.33,0.26,0.26,0.24,0.22,0.22,0.26,0.3,0.45,0.41,0.43,0.41,0.4,0.25,0.24
"2018/01/02","新店","NOx",9.3,4.8,4.6,4.4,3.7,5,10,19,18,12,7,6.5,5.5,4.5,4.6,7,9.2,15,13,14,15,16,7.4,5.5
"2018/01/02","新店","O3",38,41,42,41,43,40,36,31,35,39,44,45,46,47,48,46,43,37,38,37,36,35,43,42
"2018/01/02","新店","PM10",36,33,28,25,17,11,20,40,37,20,22,28,32,35,32,26,30,32,29,28,26,30,32,27
"2018/01/02","新店","SO2",1.4,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.8,1.6,1.4,1.4,1.3,1.3,1.3,1.4,1.5,1.6,1.4,1.5,1.6,1.6,1.5,1.4
"2018/01/03","新店","CO",0.25,0.22,0.19,0.19,0.18,0.22,0.32,0.8,0.62,0.28,0.26,0.22,0.21,0.19,0.21,0.25,0.3,0.29,0.37,0.42,0.35,0.31,0.25,0.24
"2018/01/03","新店","NOx",6.7,6.5,4.8,5.1,3.9,4.7,17,44,34,11,10,6.7,5.9,5.2,7.4,11,13,12,16,19,17,15,13,10
"2018/01/03","新店","O3",40,39,42,41,42,40,31,16,24,37,40,43,44,45,41,37,35,35,32,29,31,32,33,34
"2018/01/03","新店","PM10",25,26,23,27,29,26,25,24,34,39,33,27,22,20,20,21,22,21,17,17,19,20,19,16
"2018/01/03","新店","SO2",1.5,1.4,1.3,1.4,1.3,1.3,1.4,2,1.9,1.4,1.3,1.2,1,0.9,1,1.2,1.2,1.3,1.4,1.4,1.5,1.5,1.5,1.4
"2018/01/04","新店","CO",0.2,0.18,0.15,0.21,0.23,0.28,0.46,1.02,0.8,0.3,0.38,0.6,0.55,0.51,0.56,0.48,0.47,0.51,0.48,0.58,0.47,0.44,0.39,0.36
"2018/01/04","新店","NOx",6.8,5.5,5.2,9,12,11,28,65,52,19,18,23,16,15,23,30,37,44,35,34,22,22,22,18
"2018/01/04","新店","O3",37,37,36,28,20,19,13,4.8,9.9,24,36,52,72,81,61,38,20,9.8,13,12,22,19,15,16
"2018/01/04","新店","PM10",13,12,13,18,18,18,21,22,28,31,38,NA,87,81,80,78,63,57,56,53,43,34,37,42
"2018/01/04","新店","SO2",1.2,1.2,1.2,1.4,1.3,1.5,1.6,2.7,2.5,2.8,2.8,3.7,3.2,3.6,3.6,4.1,4.1,5.1,4.1,4.2,2.6,2.4,3.5,3.4
"2018/01/05","新店","CO",0.26,0.22,0.22,0.22,0.24,0.25,0.3,0.4,0.54,0.62,0.44,0.4,0.42,0.41,0.36,0.34,0.41,0.47,0.56,0.48,0.41,0.42,0.34,0.29
"2018/01/05","新店","NOx",12,10,9.4,9,9.9,11,13,18,26,32,29,26,25,26,23,20,23,25,25,23,19,17,11,8.7
"2018/01/05","新店","O3",24,25,24,24,22,21,19,17,12,8.3,12,17,17,16,22,24,22,21,20,21,24,27,32,34
"2018/01/05","新店","PM10",40,30,23,20,21,21,19,19,21,22,20,19,20,20,18,11,8,11,13,11,9,8,8,6
"2018/01/05","新店","SO2",2.6,2,1.8,1.8,2.4,2.2,1.6,1.4,1.7,1.7,1.5,1.4,1.4,1.4,1.4,1.3,1.5,2.3,1.5,1.3,1.3,1.2,1.1,1.1
"2018/01/06","新店","CO",0.3,0.25,0.25,0.25,0.24,0.23,0.27,0.3,0.35,0.35,0.35,0.37,0.37,0.32,0.37,0.39,0.46,0.45,0.47,0.42,0.39,0.4,0.36,0.36
"2018/01/06","新店","NOx",7.4,5.2,4.5,4.3,4.1,4.4,7.6,11,14,15,15,17,16,15,18,22,24,22,22,21,20,20,18,17
"2018/01/06","新店","O3",35,37,38,37,36,38,34,32,31,31,31,30,29,31,27,24,22,22,23,25,25,23,25,24
"2018/01/06","新店","PM10",4,3,4,4,4,4,3,3,7,7,5,9,10,7,7,9,11,12,15,14,8,5,11,11
"2018/01/06","新店","SO2",1,1.4,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.7,1.7,1.5,1.5,1.6,1.5,1.7,2.1,2
"2018/01/07","新店","CO",0.36,0.25,0.22,0.21,0.21,0.23,0.23,0.27,0.2,0.3,0.45,0.64,0.6,0.46,0.31,0.3,0.32,0.27,0.17,0.23,0.15,0.15,0.17,0.2
"2018/01/07","新店","NOx",15,8.5,7.4,6.9,5.8,6.3,11,15,9.4,16,28,47,46,31,20,20,20,14,7.9,12,6.4,6.1,7.1,8.6
"2018/01/07","新店","O3",27,35,37,37,38,35,32,30,37,32,23,11,8.4,16,25,27,24,32,40,36,41,41,39,36
"2018/01/07","新店","PM10",9,5,4,8,6,6,6,10,12,8,10,13,15,13,14,13,10,7,8,9,8,4,2,6
"2018/01/07","新店","SO2",1.9,1.5,1.5,1.5,1.4,1.4,1.3,1.4,1.3,1.4,1.5,1.8,1.7,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.2,1.1,1.2,1.1
"2018/01/08","新店","CO",0.24,0.3,0.19,0.39,0.31,0.26,0.27,0.7,1.19,1.1,0.4,0.38,0.54,0.74,0.61,0.69,0.87,0.75,0.76,0.72,0.66,0.67,0.65,0.6
"2018/01/08","新店","NOx",9.9,11,6.4,19,15,9.2,13,32,69,71,26,25,35,54,43,48,63,35,22,22,19,18,16,12
"2018/01/08","新店","O3",31,27,25,14,17,22,20,14,3,3.4,16,16,15,13,15,11,3.9,12,18,17,18,19,19,21
"2018/01/08","新店","PM10",10,11,10,6,7,9,5,7,12,13,11,6,8,16,15,15,24,14,3,5,5,11,15,10
"2018/01/08","新店","SO2",1.3,1.6,1.6,1.6,1.5,1.5,1.5,2,2.6,2.9,1.8,1.7,2,2.2,2.1,2.1,3,1.9,1.7,1.7,1.6,2.2,1.7,1.5
"2018/01/09","新店","CO",0.56,0.53,0.51,0.49,0.5,0.48,0.48,0.54,0.54,0.5,0.5,0.55,0.54,0.51,0.54,0.56,0.59,0.6,0.6,0.54,0.56,0.54,0.48,0.39
"2018/01/09","新店","NOx",9.7,8.3,6.5,6,6.1,6.1,12,20,19,18,21,23,19,19,21,24,27,26,24,20,25,24,18,11
"2018/01/09","新店","O3",25,26,28,30,38,37,31,28,30,31,28,28,32,34,33,31,26,24,25,29,22,20,25,34
"2018/01/09","新店","PM10",10,12,11,13,19,22,26,27,33,37,32,39,49,53,55,53,51,48,42,39,37,41,38,36
"2018/01/09","新店","SO2",1.4,1.3,1.1,1.3,1.5,1.3,1.3,1.4,1.5,2,2.3,2.5,3.4,3.2,2.3,2,1.9,1.5,1.4,1.4,2,3,2.7,1.5
"2018/01/10","新店","CO",0.31,0.25,0.22,0.2,0.21,0.28,0.34,0.58,0.58,0.47,0.49,NA,0.32,0.26,0.28,0.31,0.35,0.42,0.48,0.57,0.5,0.48,0.42,0.38
"2018/01/10","新店","NOx",6.1,2.2,1.6,2,2.2,4.6,13,27,28,21,24,NA,12,10,12,13,16,20,25,29,29,26,23,18
"2018/01/10","新店","O3",40,42,42,40,38,33,25,16,18,25,31,NA,46,48,47,47,45,40,34,23,22,20,20,24
"2018/01/10","新店","PM10",35,25,16,18,21,19,21,26,27,30,36,37,31,26,29,31,31,31,33,33,29,27,25,24
"2018/01/10","新店","SO2",1.6,1.6,1.6,1.8,1.8,1.7,1.8,2,2,2.2,2.6,NA,2.4,2.1,2,2.2,2.1,2.1,2.2,2.1,2.3,2.3,2.1,2.1
"2018/01/11","新店","CO",0.36,0.31,0.26,0.22,0.21,0.25,0.32,0.73,1.05,0.44,NA,NA,0.32,0.31,0.29,0.32,0.37,NA,0.55,0.49,0.48,0.61,0.42,0.28
"2018/01/11","新店","NOx",16,15,12,7.4,5.9,8.6,15,54,77,25,NA,NA,19,19,17,20,19,NA,30,29,31,40,26,13
"2018/01/11","新店","O3",21,23,25,29,29,26,20,8.9,8.3,31,NA,19,37,41,45,43,43,NA,33,31,28,19,25,32
"2018/01/11","新店","PM10",31,29,21,21,26,28,26,26,34,44,NA,66,59,52,50,51,52,NA,43,43,40,42,39,32
"2018/01/11","新店","SO2",1.6,1.3,1.3,1.3,1.3,1.2,1.3,2,2.5,2.3,NA,NA,5.8,5.5,4,4.2,2.4,NA,3.6,5,3.8,2.8,1.8,1.7
"2018/01/12","新店","CO",0.24,0.19,0.17,0.17,0.17,0.23,0.32,0.56,0.63,0.36,0.33,0.32,0.37,0.34,0.36,0.38,0.44,0.55,0.54,0.5,0.48,0.38,0.34,0.36
"2018/01/12","新店","NOx",9.6,5.9,4.9,4.5,4.6,7.1,20,39,43,22,19,16,17,15,14,17,23,33,29,27,28,19,17,19
"2018/01/12","新店","O3",32,32,31,29,28,25,18,9.5,15,33,36,39,40,43,45,44,40,28,27,27,23,28,30,27
"2018/01/12","新店","PM10",29,24,21,20,18,17,20,27,30,34,43,51,54,58,61,60,60,58,56,49,41,36,29,28
"2018/01/12","新店","SO2",1.7,1.8,1.9,1.8,1.9,2,2.1,2.3,2.5,2.7,3.6,3.3,2.8,2.5,2.4,2.5,2.8,3.4,3.3,2.9,1.8,1.5,1.5,1.6
"2018/01/13","新店","CO",0.26,0.24,0.2,0.22,0.18,0.23,0.27,0.44,0.34,0.26,0.25,0.27,0.23,0.26,0.24,0.29,0.28,0.29,0.32,0.21,0.2,0.21,0.28,0.31
"2018/01/13","新店","NOx",10,9.6,6.8,8.9,5,5.4,14,24,17,8.8,9.5,13,11,15,12,18,13,15,14,8.2,8.1,9.4,15,18
"2018/01/13","新店","O3",33,30,33,28,29,25,19,18,28,36,38,37,38,35,36,32,36,34,33,37,38,38,32,25
"2018/01/13","新店","PM10",24,19,21,22,20,19,16,16,20,19,16,16,18,19,11,10,13,10,10,9,9,9,12,16
"2018/01/13","新店","SO2",1.7,1.2,1.2,1.4,1.2,1.3,1.4,1.7,1.2,0.6,0.7,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.6,0.5,0.6,0.6,0.6,0.6
"2018/01/14","新店","CO",0.27,0.22,0.16,0.15,0.21,0.29,0.39,0.48,0.49,0.33,0.28,0.25,0.23,0.19,0.21,0.31,0.4,0.48,0.55,0.44,0.42,0.56,0.46,0.33
"2018/01/14","新店","NOx",13,9.1,7,5.5,9.4,12,18,29,33,18,13,11,9.9,7,8.7,18,22,25,30,25,26,39,29,17
"2018/01/14","新店","O3",28,32,34,31,21,17,15,13,18,32,38,41,43,45,45,37,32,29,21,22,21,9.9,18,29
"2018/01/14","新店","PM10",15,9,10,9,8,11,12,12,16,19,14,7,NA,NA,NA,5,11,9,9,13,17,15,8,11
"2018/01/14","新店","SO2",1.3,1.2,1.1,1.1,1,1.8,1.3,1.4,1.8,1.3,1.1,1,1.1,1,1.1,7.2,4.6,1.3,1.3,1.4,1.4,1.4,1.3,1.3
"2018/01/15","新店","CO",0.25,0.33,0.34,0.23,0.16,0.21,0.37,0.76,0.77,0.82,0.58,0.26,0.25,0.19,0.23,0.25,0.35,0.37,0.61,0.49,0.66,0.75,0.95,0.99
"2018/01/15","新店","NOx",11,15,14,11,6,6.6,20,50,52,63,42,11,9,5.4,8.4,9.2,15,16,26,24,34,43,58,63
