"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","新莊","CO",0.34,0.37,0.32,0.28,0.25,0.25,0.29,0.36,0.36,0.36,0.36,0.38,0.36,0.37,0.38,0.4,0.44,0.52,0.57,0.53,0.51,0.52,0.53,0.5
"2018/01/01","新莊","NOx",9.7,11,10,8.4,6.6,6.5,8.1,12,12,12,9.9,10,8.4,8.8,9.9,12,11,16,18,16,16,20,21,18
"2018/01/01","新莊","O3",41,40,40,42,43,43,41,37,38,40,44,44,47,46,43,41,41,35,33,37,35,30,28,30
"2018/01/01","新莊","PM10",64,64,62,56,54,58,54,52,54,54,55,55,55,58,54,51,52,51,58,63,60,52,47,48
"2018/01/01","新莊","SO2",2.8,2.5,2.1,2.1,1.9,1.9,2,2.2,2.2,2.3,2.2,2.3,2.1,2.1,2.1,2.1,2,2,2.1,2.2,3,2.3,2.1,2
"2018/01/02","新莊","CO",0.39,0.32,0.27,0.26,0.28,0.28,0.34,0.54,0.57,0.45,0.31,0.3,0.29,0.3,0.3,0.35,0.4,0.45,0.55,0.52,0.5,0.45,0.41,0.37
"2018/01/02","新莊","NOx",12,9.1,6.7,6.9,8,8.2,13,23,27,22,13,12,9.8,11,11,15,18,17,22,20,22,19,16,14
"2018/01/02","新莊","O3",37,39,42,41,39,38,33,27,28,33,40,42,44,42,43,40,36,34,28,28,27,29,33,33
"2018/01/02","新莊","PM10",45,34,24,24,25,26,29,28,28,27,29,31,29,34,41,39,38,37,38,41,40,37,32,29
"2018/01/02","新莊","SO2",2.2,1.6,1.5,1.5,1.5,1.7,1.8,2,2,1.8,1.7,1.6,1.5,1.5,1.5,1.7,1.8,1.7,1.6,1.5,1.6,1.6,1.7,1.5
"2018/01/03","新莊","CO",0.34,0.27,0.25,0.21,0.22,0.24,0.3,0.6,0.94,0.47,0.3,0.26,0.29,0.24,0.27,0.3,0.32,0.43,0.49,0.42,0.38,0.34,0.32,0.29
"2018/01/03","新莊","NOx",13,8.5,7.9,6,7.1,8.6,14,29,52,26,14,11,10,9.6,12,14,18,20,21,17,17,15,14,13
"2018/01/03","新莊","O3",35,37,37,38,38,36,30,20,15,28,37,40,41,41,37,33,28,25,24,26,28,29,29,30
"2018/01/03","新莊","PM10",31,29,24,24,24,24,28,32,39,41,36,37,38,39,NA,36,32,28,29,25,21,21,19,14
"2018/01/03","新莊","SO2",1.5,1.9,1.7,1.7,1.8,1.8,1.9,2.1,3.5,2.5,2,1.8,1.8,1.8,1.7,1.7,1.9,1.9,1.9,1.8,2,2,1.8,1.7
"2018/01/04","新莊","CO",0.25,0.2,0.2,0.2,0.19,0.27,0.41,1.17,0.93,0.7,0.53,0.44,0.49,0.48,0.4,0.5,0.43,0.48,0.42,0.31,0.31,0.34,0.34,0.23
"2018/01/04","新莊","NOx",9.9,8.4,9,14,11,22,34,74,52,49,36,22,24,26,24,30,35,34,26,16,14,25,17,14
"2018/01/04","新莊","O3",32,34,33,30,29,18,13,4.5,10,16,24,44,53,46,38,29,19,18,21,29,29,19,22,26
"2018/01/04","新莊","PM10",13,13,10,13,13,14,17,22,32,41,53,64,71,73,65,55,53,52,48,39,28,28,29,24
"2018/01/04","新莊","SO2",1.8,1.5,1.5,1.5,1.5,1.6,1.8,5.4,7.2,8.4,5.3,4.3,4.5,3.9,4.3,6,6.8,4.9,4.5,2.8,2.8,2.8,1.9,1.9
"2018/01/05","新莊","CO",0.2,0.17,0.15,0.16,0.17,0.18,0.19,0.32,0.3,0.22,0.22,0.23,0.26,0.24,0.24,0.27,0.38,0.51,0.54,0.48,0.42,0.4,0.41,0.32
"2018/01/05","新莊","NOx",9.7,8.6,6.9,8.4,9.4,16,11,17,17,14,15,17,17,17,18,23,41,33,28,24,21,19,18,13
"2018/01/05","新莊","O3",28,28,30,28,27,22,23,18,19,22,22,23,24,25,24,20,7.9,12,16,19,21,23,25,30
"2018/01/05","新莊","PM10",17,12,11,15,14,13,16,16,16,16,12,9,11,15,19,17,26,27,14,8,10,10,8,11
"2018/01/05","新莊","SO2",2.8,1.7,1.3,1.9,1.6,1.9,2.6,1.6,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.8,1.9,1.7,1.5,1.5,1.8,2.1,2.2,1.6
"2018/01/06","新莊","CO",0.28,0.26,0.24,0.23,0.22,0.22,0.23,0.29,0.31,0.31,0.31,0.3,0.33,0.32,0.29,0.3,0.32,0.35,0.37,0.36,0.35,0.44,0.46,0.38
"2018/01/06","新莊","NOx",9.3,7.4,6.1,5.9,6,6.4,8.7,13,15,14,15,16,17,18,14,17,16,16,18,18,19,28,35,18
"2018/01/06","新莊","O3",34,35,36,36,36,37,33,30,29,30,30,28,28,28,31,29,29,29,27,26,27,16,12,25
"2018/01/06","新莊","PM10",9,5,7,7,8,12,11,8,12,14,11,8,7,5,3,7,9,6,8,11,8,8,11,6
"2018/01/06","新莊","SO2",1.7,1.5,1.4,1.4,1.4,1.4,1.5,1.8,1.8,1.8,1.8,1.7,1.6,1.8,1.7,1.9,1.9,1.9,1.8,1.7,1.6,1.9,2.2,2.3
"2018/01/07","新莊","CO",0.27,0.34,0.33,0.27,0.28,0.33,0.34,0.34,0.37,0.46,0.49,0.44,0.37,0.46,0.58,0.5,0.43,0.42,0.42,0.43,0.34,0.38,0.37,0.33
"2018/01/07","新莊","NOx",11,15,16,13,13,19,17,16,18,27,30,33,24,36,51,45,32,24,22,26,20,26,24,21
"2018/01/07","新莊","O3",33,30,27,33,30,25,27,30,28,23,19,18,24,15,6,8,14,22,25,20,25,20,20,23
