"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","松山","CO",0.41,0.45,0.33,0.33,0.31,0.29,0.33,0.4,0.43,0.44,0.4,0.39,0.41,0.42,0.41,0.46,0.49,0.59,0.61,0.58,0.62,0.64,0.6,0.51
"2018/01/01","松山","NOx",14,15,8.4,7.5,6.4,5.8,10,17,20,20,16,13,13,14,15,17,17,24,24,23,27,32,28,20
"2018/01/01","松山","O3",36,35,42,41,41,42,36,30,30,32,37,39,40,38,36,34,32,27,27,28,23,17,19,28
"2018/01/01","松山","PM10",63,67,70,69,62,59,49,49,63,59,57,48,56,64,62,61,52,58,63,72,61,58,50,51
"2018/01/01","松山","SO2",1.5,1.6,1.3,1.5,1.3,1.3,1.9,1.9,2,1.9,1.8,1.5,1.6,1.8,1.4,1.4,1.6,1.6,1.6,1.8,2,1.9,2.1,2
"2018/01/02","松山","CO",0.4,0.33,0.3,0.3,0.29,0.32,0.38,0.58,0.66,0.48,0.37,0.36,0.35,0.3,0.29,0.33,0.39,0.54,0.69,0.63,0.52,0.49,0.41,0.34
"2018/01/02","松山","NOx",12,6.8,5.6,5.2,6.2,8.3,19,35,42,31,21,19,15,12,10,15,20,36,43,45,34,29,18,13
"2018/01/02","松山","O3",34,39,40,39,37,34,26,17,16,23,31,34,36,39,41,38,32,18,14,11,17,21,30,33
"2018/01/02","松山","PM10",46,36,31,22,24,20,22,18,19,20,24,27,31,38,36,34,23,24,28,36,31,29,28,34
"2018/01/02","松山","SO2",1.7,1.8,1.8,1.5,1.9,2,2.1,2.2,2.4,2.4,2.1,2,2,1.8,2,1.6,1.8,2.2,2.5,2.5,2.6,2.7,2.4,1.9
"2018/01/03","松山","CO",0.37,0.3,0.27,0.22,0.23,0.23,0.31,0.61,1.19,0.53,0.34,0.29,0.24,0.27,0.27,0.27,0.31,0.37,0.43,0.4,0.35,0.35,0.34,0.29
"2018/01/03","松山","NOx",16,10,8.1,6.2,6.1,7.3,19,48,96,45,27,21,11,17,18,19,26,28,29,27,24,22,20,15
"2018/01/03","松山","O3",28,32,35,38,37,36,25,11,5.6,16,26,31,38,33,29,28,23,20,20,21,23,23,24,29
"2018/01/03","松山","PM10",30,29,31,35,33,40,46,50,44,35,39,34,28,27,29,42,36,32,23,26,21,26,24,29
"2018/01/03","松山","SO2",1.6,2.2,2.1,2,1.8,1.7,2,2.4,4.2,3.4,3.1,2.6,2.2,2.2,2.1,2.1,2.2,2.3,2.3,2.6,2.7,2.8,2.7,3
"2018/01/04","松山","CO",0.24,0.21,0.2,0.2,0.21,0.21,0.33,0.63,0.69,0.69,0.63,0.8,0.72,0.73,0.81,0.68,0.61,0.58,0.66,0.54,0.56,0.72,0.48,0.42
"2018/01/04","松山","NOx",10,7,6.4,7.1,8.7,10,23,50,48,56,57,69,41,41,50,49,49,40,36,28,29,43,21,19
"2018/01/04","松山","O3",33,33,32,30,26,24,12,7.2,12,13,15,16,50,52,40,18,10,13,15,20,19,13,19,18
"2018/01/04","松山","PM10",26,25,21,14,17,14,16,11,21,26,36,44,68,86,105,100,86,68,55,46,42,39,46,44
"2018/01/04","松山","SO2",2.8,2.7,2.5,2.9,2.8,2.4,2.8,3.7,3.5,4.2,5.9,6.3,5.9,5.3,5.8,5.5,5.4,5,4.5,4.4,3.9,3.8,3.5,3.4
"2018/01/05","松山","CO",0.33,0.24,0.2,0.2,0.2,0.24,0.29,0.46,0.66,0.57,0.37,0.36,0.41,0.33,NA,0.29,0.32,0.41,0.49,0.44,0.4,0.38,0.35,0.31
"2018/01/05","松山","NOx",13,8.7,6.7,7,5.7,8.8,15,30,47,56,35,36,34,29,NA,NA,27,32,36,33,30,22,18,12
"2018/01/05","松山","O3",24,27,28,27,29,25,20,11,4.4,4.2,9.9,10,11,NA,NA,20,18,15,12,14,16,21,25,30
"2018/01/05","松山","PM10",44,35,27,17,7,6,5,13,10,14,6,6,3,3,NA,10,15,22,21,20,13,8,9,10
"2018/01/05","松山","SO2",2,1.6,1.4,1.3,1.4,1.4,1.3,1.8,2.1,2.3,2.1,2.1,1.9,1.8,NA,1.5,1.7,1.7,2.3,2.7,2.1,1.9,1.6,1.5
"2018/01/06","松山","CO",0.3,0.36,0.34,0.33,0.31,0.31,0.33,0.38,0.39,0.39,0.39,0.4,0.4,0.39,0.37,0.39,0.4,0.41,0.43,0.43,0.45,0.44,0.46,0.41
"2018/01/06","松山","NOx",10,6.4,5.6,5.4,5.2,6.6,10,16,20,21,23,23,25,22,21,24,23,25,24,27,29,25,23,18
"2018/01/06","松山","O3",32,35,36,35,36,34,30,27,24,24,23,22,21,24,24,22,22,22,22,18,16,20,20,25
"2018/01/06","松山","PM10",16,7,11,7,9,4,5,3,5,4,11,9,7,6,7,7,6,5,9,5,10,13,13,8
"2018/01/06","松山","SO2",1.8,0.8,0.6,0.7,0.6,0.5,0.6,0.8,0.9,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.5,1.8,1.3,1.3,1.3,1.3,1.8,1.6
"2018/01/07","松山","CO",0.35,0.29,0.27,0.26,0.28,0.29,0.28,0.35,0.49,0.53,0.54,0.55,0.5,0.5,0.36,0.32,0.35,0.39,0.33,0.37,0.25,0.27,0.32,0.34
"2018/01/07","松山","NOx",12,7.9,6.6,6.6,6.7,8.1,12,17,34,47,48,46,43,39,27,25,29,25,22,27,13,13,17,14
