"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","ªO¾ô","CO",0.37,0.37,0.31,0.28,0.27,0.27,0.31,0.36,0.37,0.38,0.39,0.43,NA,NA,NA,NA,NA,NA,NA,0.68,0.66,0.68,0.64,0.46
"2018/01/01","ªO¾ô","NOx",11,12,9,7.9,7.6,7.7,10,15,15,17,15,15,NA,NA,NA,NA,NA,NA,NA,24,25,27,25,16
"2018/01/01","ªO¾ô","O3",39,38,42,43,43,42,41,36,37,36,40,40,NA,NA,NA,NA,NA,NA,NA,28,27,24,26,35
"2018/01/01","ªO¾ô","PM10",66,60,54,53,53,54,54,53,56,60,58,54,NA,NA,NA,NA,NA,NA,NA,53,56,58,53,43
"2018/01/01","ªO¾ô","SO2",2.3,1.6,1.6,1.6,1.6,1.5,1.5,1.7,1.7,1.8,1.9,1.9,NA,NA,NA,NA,NA,NA,NA,1.9,2,1.8,1.9,1.7
"2018/01/02","ªO¾ô","CO",0.37,0.33,0.29,0.28,0.27,0.31,0.39,0.72,0.73,0.44,0.41,0.35,0.37,0.35,0.35,0.42,0.48,0.58,0.64,0.56,0.51,0.48,0.45,0.39
"2018/01/02","ªO¾ô","NOx",10,8,6.7,6,5.8,7.8,14,29,31,19,19,15,16,15,15,20,25,25,25,23,20,19,17,15
"2018/01/02","ªO¾ô","O3",39,39,40,41,41,39,33,23,25,34,35,39,38,39,40,35,29,27,26,27,29,30,31,32
"2018/01/02","ªO¾ô","PM10",37,29,24,26,24,16,17,26,31,28,27,28,29,34,36,33,31,28,26,28,32,32,31,29
"2018/01/02","ªO¾ô","SO2",1.5,1.5,1.6,1.6,1.5,1.5,1.7,2,2.1,1.9,1.8,1.8,1.9,2,2,1.9,2,2,1.9,1.9,1.8,1.9,1.7,1.6
"2018/01/03","ªO¾ô","CO",0.31,0.22,0.22,0.2,0.21,0.25,0.35,1.29,1.67,0.44,0.32,0.33,0.33,0.31,0.35,0.32,0.37,0.5,0.55,0.54,0.39,0.41,0.39,0.28
