"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","林口","CO",0.33,0.31,0.3,0.29,0.29,0.3,0.32,0.36,0.39,0.39,0.39,0.37,0.36,0.38,0.37,0.4,0.43,0.49,0.51,0.47,0.45,0.45,0.41,0.38
"2018/01/01","林口","NOx",8.8,10,7.8,8.2,7.9,8.5,11,15,15,13,12,11,9.4,9.9,10,13,11,14,14,14,14,15,14,12
"2018/01/01","林口","O3",44,45,46,46,45,43,41,40,41,45,47,47,49,49,46,44,45,41,42,42,41,39,39,40
"2018/01/01","林口","PM10",66,68,65,62,63,64,64,60,62,68,73,71,62,57,62,66,64,65,70,70,63,57,51,51
"2018/01/01","林口","SO2",2.8,1.7,1.8,1.8,2.1,2.4,2.6,3.7,2.2,2.2,2.1,2,1.6,1.8,1.8,1.8,1.3,1.4,1.4,3.7,4,2,2.3,1.9
"2018/01/02","林口","CO",0.33,0.28,0.25,0.25,0.25,0.26,0.29,0.38,0.38,0.33,0.32,0.3,0.27,0.26,0.28,0.31,0.31,0.38,0.42,0.4,0.33,0.31,0.32,0.29
"2018/01/02","林口","NOx",8.6,4.9,4,3.8,4.4,6,9.6,23,19,18,20,17,11,12,14,23,17,17,21,18,13,11,12,11
"2018/01/02","林口","O3",44,46,47,47,45,42,39,31,35,37,34,28,40,42,41,38,38,35,30,31,36,38,36,37
"2018/01/02","林口","PM10",46,32,24,30,29,26,30,31,35,38,40,NA,NA,NA,47,46,44,42,40,40,39,39,37,36
"2018/01/02","林口","SO2",1.8,0.5,0.5,0.6,0.6,0.6,0.8,0.8,0.9,1,0.9,0.9,0.6,0.5,0.7,0.9,1.1,0.7,0.8,0.9,1.3,1.1,0.5,0.9
"2018/01/03","林口","CO",0.25,0.21,0.2,0.18,0.18,0.19,0.23,0.38,0.42,0.3,0.27,0.23,0.23,0.21,0.2,0.23,0.22,0.27,0.26,0.27,0.23,0.22,0.2,0.18
"2018/01/03","林口","NOx",7.6,5.7,6,4.6,4.7,7.4,11,28,26,23,20,17,15,14,15,20,18,18,16,16,13,11,9.6,8.3
"2018/01/03","林口","O3",41,41,40,43,42,39,37,27,29,32,35,39,41,42,39,33,32,31,31,32,35,36,37,38
"2018/01/03","林口","PM10",36,32,28,29,32,30,30,37,46,43,43,44,35,35,42,44,39,34,34,34,30,31,33,30
"2018/01/03","林口","SO2",0.8,1.1,1.3,1.1,1.2,1.1,1.1,1.4,1.9,1.6,1.6,1.3,1.2,1.1,1.1,1.7,1.9,1.8,1.6,1.6,1.8,1.7,1.2,1.3
"2018/01/04","林口","CO",0.16,0.15,0.15,0.14,0.14,0.16,0.22,0.49,0.56,0.45,0.41,0.34,0.27,0.18,0.19,0.2,0.19,0.19,0.18,0.16,0.16,0.17,0.16,0.16
"2018/01/04","林口","NOx",6.8,4.3,4.3,4.7,4.4,6.7,14,57,62,49,47,24,18,9.9,9,14,11,8.1,7.9,4.5,5,4.2,4,3.5
"2018/01/04","林口","O3",38,38,38,37,37,34,29,12,9.3,15,19,37,39,40,41,37,35,36,34,37,33,33,32,33
"2018/01/04","林口","PM10",25,19,17,21,25,24,19,20,34,60,79,84,83,64,49,52,52,36,26,22,21,25,24,19
"2018/01/04","林口","SO2",1.3,0.8,0.8,1.1,0.9,0.9,0.9,1.6,5.2,7.2,6.1,3.7,3,3.1,2.1,3.9,2.3,1.4,1.6,1,0.9,0.7,0.9,0.6
"2018/01/05","林口","CO",0.16,0.17,0.17,NA,0.18,0.18,0.19,0.24,0.22,0.23,0.22,0.22,0.2,0.21,0.19,0.2,0.22,0.28,0.3,0.28,0.34,0.36,0.33,0.3
"2018/01/05","林口","NOx",5.6,3.4,3.9,4,3.3,3.4,5.2,25,15,16,14,14,11,14,14,18,16,17,21,14,17,16,13,11
"2018/01/05","林口","O3",29,32,31,31,31,30,27,21,23,22,24,25,31,29,29,28,29,26,24,27,24,26,30,32
"2018/01/05","林口","PM10",16,16,17,20,24,29,24,23,21,19,25,23,17,23,24,18,18,22,24,23,24,24,21,21
"2018/01/05","林口","SO2",1.5,1.2,1.3,1.1,1.1,1,1.2,1.3,1.4,1.2,1.2,1.2,1.1,1,1,1,1,1,1.1,1,1,1.1,1.3,1.7
"2018/01/06","林口","CO",0.29,0.28,0.26,0.24,0.23,0.23,0.24,0.27,0.28,0.29,0.3,0.28,0.28,0.27,0.26,0.27,0.29,0.32,0.32,0.31,0.3,0.26,0.26,0.27
"2018/01/06","林口","NOx",9.2,8,6.6,6.1,5.1,5.6,8.1,12,14,15,16,16,15,14,13,15,16,15,15,14,12,12,11,9.8
"2018/01/06","林口","O3",34,35,36,37,39,37,36,34,32,31,30,32,32,33,33,33,31,31,32,32,34,31,31,35
"2018/01/06","林口","PM10",20,16,17,17,15,13,13,15,20,21,18,21,19,14,12,16,17,14,16,18,13,12,16,14
"2018/01/06","林口","SO2",2.4,3.2,3.1,3.1,2.5,2.2,2.3,2,2,2.2,2.8,1.9,1.6,1.9,2.1,2.3,2.8,2.5,1.9,1.8,1.8,2.4,2.1,2
"2018/01/07","林口","CO",0.26,0.19,0.19,0.18,0.15,0.16,0.16,0.2,0.18,0.21,0.2,0.17,0.17,0.16,0.21,0.2,0.16,0.22,0.23,0.22,0.17,0.17,0.17,0.17
"2018/01/07","林口","NOx",9,6.6,4.8,4.3,3.7,3.9,5.9,12,9.3,15,14,14,11,11,16,16,11,15,15,14,11,9.3,8.5,8.4
"2018/01/07","林口","O3",36,38,40,40,43,41,40,34,38,34,36,37,37,36,30,30,36,32,32,32,36,37,37,37
"2018/01/07","林口","PM10",14,15,13,13,12,12,12,14,18,16,13,13,14,15,17,11,10,13,7,5,7,8,12,12
"2018/01/07","林口","SO2",3.6,2,1.3,0.7,0.8,0.5,0.7,0.8,0.8,0.8,0.7,1.9,0.7,0.6,0.8,1,0.7,0.8,0.8,0.7,1.3,1.2,0.9,0.7
