"дщ┤┴","┤·п╕","┤·╢╡","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","оч╢щ","CO",0.38,0.37,0.32,0.27,0.26,0.26,0.32,0.35,0.33,0.39,0.39,0.38,0.4,0.43,0.42,0.43,0.49,0.55,0.57,0.58,0.59,0.59,0.53,0.44
"2018/01/01","оч╢щ","NOx",12,10,8.5,6.9,6.3,5.9,12,10,8.4,12,12,10,11,13,13,12,13,15,16,17,20,22,18,13
"2018/01/01","оч╢щ","O3",38,38,40,42,42,43,38,39,42,39,40,42,42,41,40,39,37,35,34,33,30,27,29,34
"2018/01/01","оч╢щ","PM10",70,59,58,52,57,54,55,61,61,61,55,58,57,61,56,47,38,33,48,53,59,51,44,42
"2018/01/01","оч╢щ","SO2",3.6,3.7,3.4,2.9,2.7,2.3,2.6,2.8,2.5,3.2,3.1,2.8,2.6,2.8,2.9,3.3,3.1,3.6,4,4.3,4.6,4.7,4.6,4.2
"2018/01/02","оч╢щ","CO",0.36,0.34,0.3,0.27,0.28,0.29,0.35,0.58,0.61,0.46,0.38,0.34,0.34,0.3,0.34,0.35,0.42,0.54,0.54,0.5,0.47,0.45,0.42,0.36
"2018/01/02","оч╢щ","NOx",8.6,9.2,7.6,7.2,7.2,8.9,14,26,28,23,18,18,16,15,19,18,23,23,21,19,19,18,16,13
"2018/01/02","оч╢щ","O3",38,37,38,39,38,36,31,23,26,30,35,37,37,28,33,34,29,27,27,27,27,28,30,31
"2018/01/02","оч╢щ","PM10",36,33,26,28,27,26,25,28,33,30,19,32,48,NA,49,42,38,42,38,46,33,36,31,36
"2018/01/02","оч╢щ","SO2",3.8,4,3.3,3.3,3.3,3,2.7,4,3.7,3.3,2.8,2.6,2.7,2.8,3,2.5,2.7,2.8,4.3,3.2,3.8,4.6,6.9,3.6
"2018/01/03","оч╢щ","CO",0.29,0.29,0.27,0.23,0.24,0.27,0.31,0.96,1.24,0.62,0.3,0.26,0.27,0.29,0.27,0.27,0.36,0.46,0.42,0.41,0.37,0.39,0.33,0.31
"2018/01/03","оч╢щ","NOx",11,8.9,7.6,7,7.6,9.9,14,49,76,29,13,11,13,15,12,13,20,22,18,17,14,16,13,12
"2018/01/03","оч╢щ","O3",33,33,33,34,33,29,26,8.6,8.7,26,34,36,37,35,35,33,26,23,26,26,28,27,28,28
"2018/01/03","оч╢щ","PM10",31,30,35,36,45,41,36,25,28,29,32,24,29,33,43,40,39,32,35,33,36,32,29,26
"2018/01/03","оч╢щ","SO2",2.2,5.9,7.3,5,6,9.1,3.4,7.1,9.1,6.4,3.2,2.4,2.4,2.7,2.3,3,3.9,4.2,4.5,4.9,6,6.2,6.4,7.6
"2018/01/04","оч╢щ","CO",0.27,0.23,0.2,0.24,0.21,0.28,0.44,1.3,0.91,0.82,0.53,0.54,0.51,0.35,0.38,0.4,0.43,0.57,0.53,0.43,0.39,0.4,0.35,0.26
"2018/01/04","оч╢щ","NOx",10,9,7.8,11,10,14,28,94,66,60,30,34,30,25,26,32,32,32,29,26,23,26,27,16
"2018/01/04","оч╢щ","O3",29,30,30,25,25,18,9.2,3,5,8.7,26,26,29,28,27,21,18,17,19,18,17,13,12,20
"2018/01/04","оч╢щ","PM10",25,19,11,17,23,35,35,47,49,61,68,79,82,70,64,55,51,52,50,49,39,31,39,41
"2018/01/04","оч╢щ","SO2",7.9,6.1,5,15,7.9,10,11,11,9.5,9,6.8,6.5,5.8,5.5,6.5,5.4,4.1,4,4.5,5.6,5.6,7,9,5.9
"2018/01/05","оч╢щ","CO",0.24,0.21,0.22,0.21,0.24,0.26,0.26,0.44,0.4,0.3,0.27,0.28,0.29,0.26,0.25,0.25,0.3,0.49,0.55,0.48,0.41,0.39,0.34,0.33
"2018/01/05","оч╢щ","NOx",17,14,11,9.2,11,17,15,24,24,24,17,17,17,15,15,16,21,29,31,27,17,14,11,9.7
"2018/01/05","оч╢щ","O3",17,19,23,23,21,15,18,13,15,15,19,20,22,24,24,23,19,12,15,17,23,26,30,31
"2018/01/05","оч╢щ","PM10",43,33,30,34,27,23,13,24,19,20,13,17,15,9,4,10,13,20,16,13,6,5,8,7
"2018/01/05","оч╢щ","SO2",6.6,5.4,5,4.2,3.6,5.3,3.8,3.2,3,4.8,5.2,4.5,2.8,2.4,2.4,2.5,2.5,2.9,5.1,5.2,6.3,5.2,5,3.4
"2018/01/06","оч╢щ","CO",0.31,0.27,0.26,0.25,0.25,0.24,0.29,0.37,0.39,0.37,0.37,0.33,0.36,0.36,0.33,0.34,0.36,0.4,0.39,0.39,0.38,0.3,0.3,0.32
"2018/01/06","оч╢щ","NOx",7.5,6.4,5.6,5,4.7,6.1,9.5,13,17,18,19,16,20,19,17,18,19,19,16,18,18,12,12,12
"2018/01/06","оч╢щ","O3",32,33,34,34,33,34,30,27,25,25,24,26,23,24,25,25,24,24,26,24,23,29,28,28
"2018/01/06","оч╢щ","PM10",7,5,4,2,NA,3,11,16,15,7,10,12,15,10,7,6,6,6,5,9,10,15,14,14
"2018/01/06","оч╢щ","SO2",3.4,4.5,3.8,3.9,3.4,2.6,4.1,3.8,3.9,3,3,3.5,4.1,4.2,3.4,3.3,3.6,3.5,4.7,5.2,3.8,3.2,3.8,2.7
"2018/01/07","оч╢щ","CO",0.29,0.21,0.2,0.22,0.23,0.21,0.24,0.21,0.21,0.3,0.31,0.25,0.22,0.28,0.31,0.28,0.23,0.2,0.17,0.29,0.28,0.22,0.24,0.26
"2018/01/07","оч╢щ","NOx",10,5.6,5.8,6.5,6.1,6.5,6.9,7.1,11,15,19,16,15,18,20,21,15,9.7,6.4,12,15,10,11,12
"2018/01/07","оч╢щ","O3",31,34,33,33,35,33,34,34,31,27,24,27,27,24,22,21,26,32,35,28,26,29,27,25
"2018/01/07","оч╢щ","PM10",16,10,17,9,10,1,5,10,10,7,1,8,15,18,16,10,11,12,12,10,10,17,18,16
"2018/01/07","оч╢щ","SO2",3.5,2.4,2.5,2.6,2.3,4.9,3,2.1,2.4,3.4,3,2.8,2.5,3.8,2.9,2.6,2.6,2.7,2.3,3,3,2.9,3.1,3.1
"2018/01/08","оч╢щ","CO",0.25,0.44,0.5,0.39,0.35,0.34,0.38,0.97,0.91,0.54,0.82,0.56,NA,0.29,0.38,0.44,0.53,0.75,0.68,0.66,0.7,0.72,0.66,0.61
"2018/01/08","оч╢щ","NOx",12,27,30,24,22,22,28,55,52,41,69,48,NA,16,32,36,41,36,20,18,21,20,13,9.2
"2018/01/08","оч╢щ","O3",22,11,4.8,8.9,9.8,7.6,5.6,4.2,3.7,7.4,3.7,6.7,NA,21,11,9.4,7.7,13,17,15,12,13,17,20
"2018/01/08","оч╢щ","PM10",12,14,15,17,13,8,2,6,13,20,21,21,NA,17,16,37,50,43,17,4,14,20,19,13
"2018/01/08","оч╢щ","SO2",2.9,4.1,3.6,3.4,3.8,3.5,3.7,4.5,5.5,4.8,6,5.2,NA,4.7,6.7,6.4,5.7,5.5,5.1,5,5.3,5.6,4.9,4.6
"2018/01/09","оч╢щ","CO",0.59,0.54,0.49,0.46,0.45,0.42,0.45,0.69,0.77,0.68,0.61,0.64,0.66,0.66,0.56,0.51,0.51,0.53,0.6,0.74,0.87,0.74,0.55,0.45
"2018/01/09","оч╢щ","NOx",7.6,6.3,5.1,6,5.4,6.8,14,30,40,30,30,36,34,34,27,34,24,19,26,35,43,34,21,16
"2018/01/09","оч╢щ","O3",22,22,27,31,36,34,26,13,12,17,21,19,18,15,21,22,24,26,19,9.3,4.4,8.9,19,24
"2018/01/09","оч╢щ","PM10",12,14,14,15,18,19,16,15,28,33,41,38,45,51,57,58,61,55,55,47,50,48,44,31
"2018/01/09","оч╢щ","SO2",2.1,0.8,0.8,1.1,1,0.7,0.8,1.7,2.6,2.1,2.4,4.1,3.3,3.1,2.4,2.3,1.9,1.6,2.5,3.5,7.2,7.5,3.5,4.6
"2018/01/10","оч╢щ","CO",0.38,0.38,0.36,0.39,0.39,0.46,0.65,0.86,0.75,0.32,0.28,0.26,0.24,0.21,0.21,0.22,0.25,0.4,0.38,0.58,0.66,0.57,0.49,0.58
