"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","永和","CO",0.37,0.33,0.3,0.27,0.26,0.29,0.31,0.35,0.36,0.4,0.37,0.48,0.49,0.46,0.49,0.51,0.52,0.64,0.65,0.67,0.65,0.61,0.51,0.42
"2018/01/01","永和","NOx",10,10,8.8,7.2,5.8,5.2,7.3,9.5,9.7,8.2,7.3,11,12,10,12,11,10,14,16,18,19,19,14,8.9
"2018/01/01","永和","O3",39,40,42,43,43,44,42,40,40,42,44,42,42,43,41,40,41,37,35,34,32,31,36,41
"2018/01/01","永和","PM10",57,55,56,54,50,50,52,48,51,51,51,54,53,52,47,44,46,41,46,52,46,45,45,41
"2018/01/01","永和","SO2",0.6,0.5,0.6,0.7,0.5,2.4,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.2,2.1,2.1,2.3,2.5,2.5,2.4,2.4,1.9
"2018/01/02","永和","CO",0.38,0.32,0.3,0.29,0.28,0.31,0.47,0.99,1.05,0.56,0.45,0.4,0.33,0.29,0.31,0.43,0.49,0.6,0.67,0.53,0.53,0.45,0.37,0.42
"2018/01/02","永和","NOx",7,5.6,4,4.6,4.3,7.5,13,34,37,22,16,13,8.6,7.3,8.5,17,18,20,21,18,19,16,12,13
"2018/01/02","永和","O3",42,43,44,42,42,40,34,24,23,32,37,40,42,43,43,39,36,33,32,34,33,34,37,34
"2018/01/02","永和","PM10",35,26,22,23,20,12,15,22,23,22,22,26,28,28,27,25,31,32,27,28,30,29,28,27
"2018/01/02","永和","SO2",2.2,2.1,2.2,2.3,2.1,1.2,1.4,1.8,1.9,1.4,1.4,1.6,1.2,1.2,1.1,1.7,1.7,1.5,1.5,1.3,1.4,1.4,1.4,1.3
"2018/01/03","永和","CO",0.31,0.22,0.22,0.2,0.21,0.26,0.51,1.44,1.15,0.64,0.42,0.31,0.27,0.27,NA,0.31,0.39,NA,NA,NA,0.4,0.35,0.33,0.28
"2018/01/03","永和","NOx",8.2,6,4.8,5.5,5.7,8.9,21,58,42,27,16,11,7.9,9.3,NA,14,18,NA,NA,NA,15,15,13,10
"2018/01/03","永和","O3",38,39,40,40,39,37,28,13,20,27,35,39,41,40,38,34,30,NA,28,29,31,31,32,34
"2018/01/03","永和","PM10",24,23,25,25,23,18,20,28,31,28,25,28,30,25,25,24,21,23,20,20,21,20,17,17
"2018/01/03","永和","SO2",0.8,2.4,2.3,2.4,2.2,2.3,2.5,3.1,3.2,2.9,2.8,2.4,2.3,2.4,NA,2.6,2.7,NA,NA,NA,2.4,2.6,2.4,2.4
"2018/01/04","永和","CO",0.26,0.21,0.18,0.19,0.2,0.33,0.61,2.02,2.12,1.27,0.97,1,0.98,1.03,1.06,1.01,1,1.59,1.51,1.34,0.98,1.08,0.97,0.6
"2018/01/04","永和","NOx",7.4,7,5.9,7.4,8.3,13,25,84,103,76,58,47,47,52,59,63,64,83,70,65,53,54,50,31
"2018/01/04","永和","O3",35,35,34,32,30,25,19,6.9,6.5,11,18,42,56,51,33,22,14,6.4,7.3,8.4,12,10,5.1,14
"2018/01/04","永和","PM10",13,14,13,10,12,11,9,13,27,32,38,70,97,99,96,89,74,65,63,55,44,42,41,35
"2018/01/04","永和","SO2",3,1,0.8,1,1.1,1,1.1,2.1,3.6,4.9,3.8,3.9,3.6,4,4.2,5.2,4.6,4.1,3.5,3,2.3,2.4,3,3
"2018/01/05","永和","CO",0.42,0.34,0.3,0.29,0.33,0.55,1.03,1.94,2.26,1.57,0.6,NA,NA,NA,1.48,0.55,0.49,0.53,0.6,0.49,0.41,0.42,0.41,0.37
"2018/01/05","永和","NOx",19,15,13,14,14,28,53,87,102,91,37,NA,NA,NA,110,36,28,26,29,24,17,15,15,13
"2018/01/05","永和","O3",20,23,24,24,25,14,9.8,6.7,4.8,4.3,NA,5.1,5.9,6.6,4.7,15,19,20,19,21,27,29,28,28
"2018/01/05","永和","PM10",31,22,14,12,14,17,14,23,29,22,17,NA,18,NA,27,17,11,16,15,15,13,9,9,9
"2018/01/05","永和","SO2",1.6,2,2.2,2.4,1.9,2.1,2.3,3.1,3.3,3.2,2,NA,NA,NA,3.1,2.1,1.1,1.3,2.1,2.8,1.4,1,0.9,0.6
"2018/01/06","永和","CO",0.32,0.27,0.3,0.26,0.26,0.27,0.34,0.45,0.48,0.48,0.45,0.44,0.45,0.42,0.39,0.39,0.41,0.5,0.49,0.53,0.49,0.48,0.44,0.39
"2018/01/06","永和","NOx",9.9,6.4,5.3,4.9,6,6.9,10,15,18,21,23,23,27,22,22,21,22,23,22,22,22,23,22,18
"2018/01/06","永和","O3",33,35,36,35,34,33,32,29,28,27,25,25,24,26,26,26,25,25,25,24,23,22,24,25
"2018/01/06","永和","PM10",10,10,10,10,10,NA,9,14,12,9,10,12,12,11,9,11,10,11,15,11,6,6,10,12
