"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","¦Á¤î","CO",0.3,0.39,0.33,0.33,0.32,0.36,0.34,0.45,0.47,0.46,0.44,0.43,0.44,0.43,0.45,0.49,0.51,0.53,0.54,0.62,0.6,0.6,0.55,0.54
"2018/01/01","¦Á¤î","NOx",9.8,13,8.9,9.2,9.2,9.4,11,23,23,21,15,9.1,9.2,11,12,14,17,14,13,19,22,29,25,22
"2018/01/01","¦Á¤î","O3",40,38,44,41,40,39,40,28,31,34,42,46,46,44,40,37,34,39,40,33,29,20,23,24
"2018/01/01","¦Á¤î","PM10",63,61,59,56,57,56,55,55,58,59,59,60,59,57,54,52,50,52,56,57,57,53,48,43
"2018/01/01","¦Á¤î","SO2",1.5,3.4,2.9,4.6,4.2,4.1,2.6,6.4,6.3,4.8,2.9,2,2,2.3,1.7,1.7,2.5,1.9,1.5,2.4,2,2.4,2.5,2.7
"2018/01/02","¦Á¤î","CO",0.41,0.29,0.28,0.28,0.29,0.3,0.36,0.52,NA,0.34,0.3,0.29,0.29,0.31,0.28,0.28,0.31,0.34,0.37,0.34,0.3,0.31,0.3,0.32
"2018/01/02","¦Á¤î","NOx",13,5.7,5.2,6.8,NA,11,16,29,NA,17,13,11,10,7.3,8.2,11,13,15,15,12,10,10,11,12
"2018/01/02","¦Á¤î","O3",35,43,45,40,37,35,31,23,NA,36,40,43,44,46,45,43,41,38,36,39,40,41,39,37
"2018/01/02","¦Á¤î","PM10",37,32,26,21,21,24,28,28,NA,26,24,30,35,37,37,31,30,31,32,34,34,33,33,33
"2018/01/02","¦Á¤î","SO2",3.8,2,1.7,1.1,1.5,1.9,1.7,1.8,NA,1.6,1.3,1.2,1.1,1.4,0.9,1.1,1.2,1.2,1.2,1.2,1,1.2,1.1,1.2
"2018/01/03","¦Á¤î","CO",0.25,0.2,0.18,0.17,0.18,0.21,0.32,1.48,0.68,0.25,0.23,0.21,0.23,0.2,0.18,0.2,0.23,0.26,0.29,0.28,0.31,0.25,0.24,0.18
"2018/01/03","¦Á¤î","NOx",8.2,6.6,8,6.7,8.1,9.7,23,114,42,18,16,11,11,12,12,15,18,17,15,17,18,16,14,8.3
"2018/01/03","¦Á¤î","O3",41,42,41,44,41,38,27,7.6,19,34,37,41,41,39,38,35,32,31,34,33,31,31,33,39
"2018/01/03","¦Á¤î","PM10",30,26,27,25,26,27,24,33,38,32,29,31,29,26,30,30,27,29,29,30,27,24,23,19
"2018/01/03","¦Á¤î","SO2",1.3,1.3,1.2,1.3,1.3,1.2,1.4,3.3,3.2,2.6,2.3,1.8,1.6,1.4,1.5,1.4,1.4,1.6,1.4,1.8,1.7,2.1,2,1.7
"2018/01/04","¦Á¤î","CO",0.15,0.18,0.18,0.2,0.19,0.26,0.38,0.56,0.98,0.38,0.7,NA,NA,0.67,0.66,0.73,0.62,0.58,0.61,0.53,0.57,0.56,0.47,0.39
"2018/01/04","¦Á¤î","NOx",6.8,8,11,16,14,22,34,41,65,21,44,43,35,29,31,51,53,49,39,31,31,28,24,21
"2018/01/04","¦Á¤î","O3",40,37,31,25,25,14,11,13,10,27,19,24,48,71,72,34,13,11,15,20,18,19,20,21
"2018/01/04","¦Á¤î","PM10",16,14,11,11,13,14,19,20,21,24,30,44,68,85,90,100,84,60,55,53,47,40,36,36
"2018/01/04","¦Á¤î","SO2",2,1.5,1.4,1.6,1.5,1.9,2.1,2.3,3,2.9,4.3,4.9,4.9,4.4,4,5.2,4.8,4.7,3.8,3.9,3.3,2.8,3.1,3.1
"2018/01/05","¦Á¤î","CO",0.31,0.24,0.22,0.23,0.22,0.26,0.36,0.57,0.63,0.39,0.34,0.38,0.35,0.28,0.24,0.25,0.26,0.29,0.34,0.36,0.35,0.34,0.35,0.34
"2018/01/05","¦Á¤î","NOx",17,11,9.7,12,10,13,21,35,36,25,22,27,23,15,14,14,18,22,21,22,18,17,16,15
"2018/01/05","¦Á¤î","O3",23,28,28,27,27,24,16,8.3,8.9,17,19,16,20,27,30,29,27,24,24,24,27,29,29,31
"2018/01/05","¦Á¤î","PM10",38,32,25,21,18,18,19,20,16,13,9,6,6,7,8,8,7,9,12,15,13,12,13,13
"2018/01/05","¦Á¤î","SO2",2,1.9,1.5,1.5,1.4,1.6,1.4,1.8,2,1.8,1.7,1.7,1.5,1.4,1.3,1.2,1.3,3,2.9,3.3,1.6,1.6,2,2.1
"2018/01/06","¦Á¤î","CO",0.31,0.29,0.28,0.27,0.25,0.25,0.27,0.31,0.29,0.27,0.27,0.28,0.3,0.29,0.29,0.27,0.27,0.3,0.32,0.35,0.39,0.41,0.36,0.29
"2018/01/06","¦Á¤î","NOx",11,7.4,7.7,8.1,8.3,8.8,12,15,14,13,13,12,14,13,13,13,11,13,13,15,21,17,16,13
"2018/01/06","¦Á¤î","O3",35,37,37,36,38,36,33,30,31,33,33,34,32,34,34,34,36,35,34,31,25,29,30,33
"2018/01/06","¦Á¤î","PM10",13,11,8,7,8,9,11,12,11,13,11,9,12,8,8,10,7,5,8,8,6,8,11,8
