"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","淡水","CO",0.26,0.26,0.25,0.26,0.26,0.27,0.29,0.31,0.34,0.31,0.31,0.3,0.32,0.34,0.33,0.36,0.37,0.41,0.42,0.39,0.41,0.4,0.33,0.34
"2018/01/01","淡水","NOx",4.3,4.5,4.4,4.2,3.7,4.2,5.6,4,4.5,3.4,3.2,3,4,4.8,3.8,4.4,5.1,6.2,5.4,4.7,8.6,9.4,5.8,7
"2018/01/01","淡水","O3",39,39,39,36,38,34,35,37,37,37,36,36,36,37,37,35,35,35,36,36,34,31,33,31
"2018/01/01","淡水","PM10",46,45,56,59,48,48,53,52,50,52,56,50,43,44,42,36,38,41,37,32,35,36,36,39
"2018/01/01","淡水","SO2",1.5,2.1,2.1,1.9,2,2.2,1.9,2,2.3,2.2,2.4,2.3,2.1,2,1.9,1.7,2,2.1,1.9,1.4,1.6,1.6,2.1,2.4
"2018/01/02","淡水","CO",0.25,0.25,0.24,0.22,0.22,0.22,0.24,0.25,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.24,0.26,0.25,0.23,0.22,0.22,0.21,0.2
"2018/01/02","淡水","NOx",4,2.3,3.7,3.7,2.4,2.2,3.4,4.2,2.9,3.9,3.4,3.3,3.2,2.8,3.6,5,5,4.9,5.1,4.2,3.2,3.3,2.8,2.5
"2018/01/02","淡水","O3",34,35,34,34,36,35,34,33,34,33,33,33,34,34,35,33,34,34,33,33,34,34,34,33
"2018/01/02","淡水","PM10",39,31,25,28,29,25,18,21,24,23,22,21,23,25,32,31,23,29,32,29,30,27,26,28
"2018/01/02","淡水","SO2",3.8,1.7,3,3.1,1.8,1.5,1.4,1.4,1.3,1.5,1.6,1.5,1.3,1.5,1.3,1.3,1.5,1.4,1.1,1,1.1,1,1.2,1.2
"2018/01/03","淡水","CO",0.19,0.18,0.17,0.17,0.16,0.17,0.19,0.24,0.23,0.19,0.17,0.17,0.17,0.17,0.15,0.15,0.15,0.19,0.19,0.18,0.17,0.16,0.16,0.14
