"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","µæ¼d","CO",0.35,0.36,0.34,0.31,0.32,0.33,0.35,0.43,0.46,0.48,0.46,0.45,0.47,0.45,0.45,0.48,0.49,0.6,0.59,0.56,0.57,0.53,0.5,0.45
"2018/01/01","µæ¼d","NOx",10,11,11,8.7,9.1,9.8,16,16,18,20,18,18,17,21,21,20,15,18,16,17,21,19,19,14
"2018/01/01","µæ¼d","O3",38,38,39,40,39,38,35,35,35,36,38,38,39,36,35,34,37,34,35,34,31,31,30,33
"2018/01/01","µæ¼d","PM10",64,67,66,66,64,63,61,64,64,65,69,71,67,64,63,59,55,54,60,61,59,54,50,52
"2018/01/01","µæ¼d","SO2",3.3,2.1,2.3,2.7,2.3,2.4,4,2.6,2.4,2.6,2.4,2.1,2.1,2.6,2.3,2,1.7,1.7,2.3,4.1,3.2,1.8,2.5,1.9
"2018/01/02","µæ¼d","CO",0.37,0.3,0.26,0.26,0.25,0.29,0.37,0.54,0.57,0.45,0.38,0.39,0.36,0.36,0.36,0.36,0.4,0.6,0.6,0.57,0.48,0.43,0.42,0.38
"2018/01/02","µæ¼d","NOx",11,8,7.2,6.8,6.6,9.6,26,32,36,31,23,21,13,14,15,18,15,26,27,25,21,18,18,16
"2018/01/02","µæ¼d","O3",37,38,39,39,38,34,25,22,23,26,32,34,39,38,37,37,36,24,23,23,26,29,29,30
"2018/01/02","µæ¼d","PM10",47,37,32,30,28,28,29,31,33,35,34,36,35,33,35,32,30,37,39,39,38,36,35,31
"2018/01/02","µæ¼d","SO2",1.6,1.2,1.2,1.2,1.2,1.1,1.4,1.6,1.5,1.4,1.6,1.5,1.3,1.3,1.3,1.5,1.4,1.6,1.7,1.4,1.4,1.4,1.4,1.3
"2018/01/03","µæ¼d","CO",0.28,0.25,0.22,0.19,0.2,0.23,0.34,0.7,0.58,0.42,0.41,0.37,0.36,0.3,0.32,0.3,0.33,0.38,0.4,0.38,0.32,0.33,0.29,0.24
"2018/01/03","µæ¼d","NOx",11,7.4,7,5.5,6.1,7.4,29,52,32,28,NA,15,13,13,18,21,19,18,17,16,13,14,12,9.4
"2018/01/03","µæ¼d","O3",34,35,34,36,36,34,21,11,22,25,27,34,35,36,30,26,27,26,26,27,30,28,30,32
"2018/01/03","µæ¼d","PM10",32,35,32,28,26,26,27,33,40,42,NA,27,30,31,31,33,29,25,28,26,21,22,22,20
"2018/01/03","µæ¼d","SO2",1.5,1.2,1.5,1.2,1.3,1.3,1.3,1.7,1.8,1.8,1.7,1.5,1.5,1.4,1.6,1.5,1.6,1.5,1.6,1.6,1.7,1.8,1.4,1.3
"2018/01/04","µæ¼d","CO",0.2,0.17,0.16,0.16,0.16,0.2,0.36,0.73,1.09,0.75,0.69,0.59,0.56,0.54,0.43,0.39,0.41,0.48,0.45,0.37,0.34,0.35,0.32,0.22
"2018/01/04","µæ¼d","NOx",7.6,7.8,6.7,6.6,7.3,9.2,28,45,60,56,48,34,26,35,32,33,32,27,25,20,17,22,19,12
"2018/01/04","µæ¼d","O3",32,32,33,32,31,29,18,11,9.2,15,20,34,48,35,27,21,18,22,22,23,25,17,18,25
"2018/01/04","µæ¼d","PM10",17,13,13,16,15,15,12,13,23,33,49,66,75,75,68,60,56,52,49,42,32,37,43,38
