"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","窾地","CO",0.38,0.47,0.39,0.34,0.33,NA,0.35,0.41,0.41,0.46,0.43,0.4,0.41,0.42,0.44,0.5,0.56,0.57,0.6,0.59,0.59,0.62,0.61,0.53
"2018/01/01","窾地","NOx",15,18,13,9.9,9.8,NA,14,19,21,24,20,15,15,15,18,24,26,25,26,26,29,31,29,22
"2018/01/01","窾地","O3",24,22,26,32,28,NA,24,22,NA,21,25,28,29,28,25,17,23,19,18,18,14,14,14,18
"2018/01/01","窾地","PM10",58,61,60,63,57,NA,42,48,51,52,51,56,55,49,36,36,36,46,49,52,50,44,40,44
"2018/01/01","窾地","SO2",3.3,1.6,1.3,1.6,1,NA,1.3,1.5,1.5,1.6,1.6,1.4,1.2,1.3,1.2,1.3,1.3,1.4,1.3,1.5,2.1,1.6,1.6,1.6
"2018/01/02","窾地","CO",0.42,0.38,0.34,0.31,0.31,0.34,0.38,0.55,0.65,0.57,0.44,NA,0.38,0.35,0.39,0.46,0.45,0.53,0.63,0.53,0.47,0.46,0.46,0.38
"2018/01/02","窾地","NOx",13,11,8.8,8.5,7.6,10,21,35,41,42,28,NA,NA,19,23,27,29,34,39,36,29,28,26,20
"2018/01/02","窾地","O3",29,22,29,30,28,29,17,8.3,8.2,8.7,19,NA,NA,NA,NA,NA,22,16,11,14,16,17,18,21
"2018/01/02","窾地","PM10",45,32,19,14,24,23,23,20,24,29,28,NA,38,39,50,33,28,23,34,41,37,34,34,32
"2018/01/02","窾地","SO2",1,1.8,1.6,1.4,1.6,1.5,1.7,1.7,1.8,2.3,2.1,NA,1.8,1.8,1.9,1.8,1.8,2.2,2.1,2.2,2.1,2.2,2.3,1.9
"2018/01/03","窾地","CO",0.33,0.29,0.24,0.23,0.22,0.23,0.3,0.51,0.7,0.55,0.37,0.29,0.31,0.31,0.31,0.35,0.39,0.42,0.47,0.44,0.37,0.38,0.35,0.29
"2018/01/03","窾地","NOx",13,9.6,6.3,6.6,5.7,7.5,21,38,49,44,27,16,16,18,18,26,29,31,30,29,24,24,21,16
"2018/01/03","窾地","O3",26,27,30,30,30,30,19,10,9.6,13,21,27,28,26,24,18,15,13,13,14,17,16,18,21
"2018/01/03","窾地","PM10",31,26,30,20,24,29,38,36,27,37,48,48,37,22,25,28,25,16,19,30,37,34,29,23
"2018/01/03","窾地","SO2",1.7,1.4,1.2,1.1,1,0.9,1.1,1.5,2,2.4,2.2,1.6,1.6,1.8,1.5,1.6,1.7,1.7,1.8,1.9,2.1,2.2,1.9,1.9
"2018/01/04","窾地","CO",0.25,0.19,0.17,0.17,0.17,0.18,0.26,0.51,0.95,0.79,0.79,0.68,0.65,0.73,0.79,0.69,0.67,0.68,0.69,0.58,0.55,0.53,0.47,0.35
"2018/01/04","窾地","NOx",11,8.4,7.3,8.1,7.6,11,23,42,58,48,51,36,27,35,42,43,42,37,32,27,26,26,26,20
"2018/01/04","窾地","O3",24,26,26,25,25,22,14,7.3,6.3,11,14,30,48,41,28,15,12,11,12,14,14,11,8.9,14
"2018/01/04","窾地","PM10",16,11,11,15,12,15,15,17,24,28,37,49,64,79,86,83,73,63,62,53,44,31,32,27
"2018/01/04","窾地","SO2",1.5,1.9,1.7,1.7,1.7,1.8,1.8,2.2,3.5,6,7.5,7.1,6.2,6.2,6.4,5.8,6.2,4.6,4.2,4.3,3.5,3.9,5.1,4.2
"2018/01/05","窾地","CO",0.27,0.26,0.24,0.23,0.24,0.29,0.35,0.59,0.91,0.8,0.6,0.62,0.62,0.53,0.58,0.55,0.42,0.47,0.52,0.49,0.46,0.45,0.46,0.39
"2018/01/05","窾地","NOx",12,12,11,12,13,16,17,29,43,51,39,39,39,32,36,40,35,36,36,37,31,29,27,19
"2018/01/05","窾地","O3",20,20,19,18,18,15,14,6.6,3.1,2,3.7,NA,NA,NA,NA,7.4,12,11,11,11,10,14,15,21
"2018/01/05","窾地","PM10",30,29,27,18,15,10,13,11,17,21,19,14,5,10,12,16,14,14,13,8,4,2,2,8
"2018/01/05","窾地","SO2",2.2,1.4,1.4,2.3,2,1.8,0.9,1.3,1.6,2.2,2.1,2.2,2.3,2.1,2,2,1.6,1.6,1.6,1.8,2.1,2.1,1.8,1.3
"2018/01/06","窾地","CO",0.35,0.33,0.3,0.28,0.26,0.26,0.28,0.32,0.36,0.36,0.35,0.36,0.39,0.39,0.38,0.37,0.39,0.42,0.44,0.4,0.41,0.51,0.44,0.36
"2018/01/06","窾地","NOx",13,9.4,7.3,6.7,7,7.5,12,16,24,24,23,26,29,27,26,28,29,29,31,28,30,39,29,20
"2018/01/06","窾地","O3",27,29,29,30,30,30,26,23,20,20,20,19,18,18,18,17,14,16,14,16,14,9.2,13,21
