"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","萬里","CO",0.25,0.23,0.23,0.23,0.25,0.27,0.3,0.31,0.32,0.33,0.34,0.34,0.35,0.34,0.37,0.37,0.39,0.42,0.38,0.36,0.33,0.27,0.27,0.24
"2018/01/01","萬里","NOx",3.3,3.3,3.1,3.1,2.9,3.2,3.5,3.9,4.8,4.9,5.8,7.4,6.2,5.6,6.7,6.5,6.9,7.5,7,6,14,4.3,6,3.8
"2018/01/01","萬里","O3",53,54,54,53,53,54,53,53,52,51,49,48,50,50,50,50,49,49,50,50,38,49,45,50
"2018/01/01","萬里","PM10",96,98,89,90,88,80,80,106,102,75,70,67,64,65,71,70,63,62,67,67,57,55,57,50
"2018/01/01","萬里","SO2",3.4,2.1,2.3,2.2,2.1,2.3,2.5,2.5,2.4,2.3,2.3,2.6,2.7,2.3,2.2,2.3,3.2,2.3,2.3,2.4,9,2.5,2.7,2.5
"2018/01/02","萬里","CO",0.24,0.25,0.23,0.24,0.23,0.23,0.26,0.32,0.31,0.25,0.24,0.23,0.22,0.23,0.22,0.23,0.24,0.24,0.23,0.22,0.21,0.22,0.22,0.22
"2018/01/02","萬里","NOx",5.1,7,3.6,7.9,6.3,5.2,8.7,16,14,7.6,17,11,5.5,11,7.1,16,16,15,8.4,17,15,12,7.1,10
"2018/01/02","萬里","O3",43,41,48,34,33,46,37,30,35,42,35,42,47,42,45,39,37,38,43,33,35,35,37,33
"2018/01/02","萬里","PM10",44,35,29,27,25,28,29,25,26,28,33,38,35,33,31,31,29,30,34,35,39,35,28,30
"2018/01/02","萬里","SO2",4.8,4.8,2.2,6.4,3.1,2.9,3.7,4,3.8,2.3,15,7.6,2.8,9.3,3.6,14,15,12,4.8,16,14,7.8,2.2,7.6
"2018/01/03","萬里","CO",0.19,0.17,0.17,0.16,0.16,0.17,0.23,0.28,0.27,0.18,0.16,0.15,0.15,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.16,0.15,0.14,0.15
"2018/01/03","萬里","NOx",11,4.1,3.9,5.5,3.1,3.8,12,17,17,13,8.5,7.9,7.3,4.8,3.7,4.8,5.8,5.1,9.5,8.9,14,9.1,13,5.5
"2018/01/03","萬里","O3",34,41,43,42,42,34,26,19,26,36,40,41,29,37,40,40,40,41,37,38,30,36,32,38
"2018/01/03","萬里","PM10",29,28,29,27,26,23,17,18,19,27,NA,28,31,31,26,25,24,29,29,24,26,22,20,20
"2018/01/03","萬里","SO2",11,2.3,2.8,3.4,1.3,1.3,1.9,2.9,6.6,7.6,4.3,4.4,3,1.9,1.5,2.7,3.5,2,8,5.8,11,6.5,12,2.1
"2018/01/04","萬里","CO",0.13,0.12,0.13,0.14,0.14,0.16,0.21,0.31,0.28,0.2,0.18,0.17,0.3,0.27,0.26,0.29,0.32,0.47,0.47,0.34,0.24,0.2,0.18,0.17
"2018/01/04","萬里","NOx",4.3,3.6,13,7.8,6.1,6.5,12,23,18,14,12,12,16,14,19,20,20,28,25,14,9.3,5.6,4.8,5
"2018/01/04","萬里","O3",39,39,27,21,17,14,12,8.5,22,30,33,35,38,43,37,35,31,16,22,31,31,36,35,31
"2018/01/04","萬里","PM10",18,16,13,9,4,3,5,9,16,55,93,99,75,58,113,194,179,123,89,93,120,88,48,37
"2018/01/04","萬里","SO2",1.2,2.7,9.1,3.2,2.4,2.4,2.5,3.5,4.1,4.8,2.7,2,2.8,3.3,3.9,3.7,3.4,2.8,3.4,3.1,2.6,2.1,1.9,2
"2018/01/05","萬里","CO",0.17,0.17,0.17,0.18,0.19,0.2,0.2,0.21,0.19,0.2,0.21,0.2,0.18,0.17,0.17,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.24
"2018/01/05","萬里","NOx",4.6,3,3,3.3,3.7,4.2,4.2,7.1,5.7,5.4,7.8,6.9,4.1,3.5,3.1,3.1,4.1,3.8,4.1,4,3,2.1,1.9,2
"2018/01/05","萬里","O3",33,33,31,30,29,30,29,28,30,30,30,33,38,39,39,40,40,40,40,41,42,43,43,43
"2018/01/05","萬里","PM10",33,27,25,24,27,25,20,17,20,23,23,21,20,29,34,33,47,56,56,55,56,48,39,41
"2018/01/05","萬里","SO2",1.8,0.9,1.1,1,1,0.9,0.7,0.9,0.9,0.8,0.8,0.9,0.8,0.7,0.7,0.7,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.5
"2018/01/06","萬里","CO",0.24,0.26,0.25,0.24,0.23,0.22,0.23,0.22,0.23,0.22,NA,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.22
"2018/01/06","萬里","NOx",2.1,2.3,2,2.2,2.2,2.6,3.8,3.1,4,4.2,NA,NA,3.9,3.7,4,4.2,2.8,3.2,4.1,2.9,3.6,3,2.9,3.7
"2018/01/06","萬里","O3",43,43,43,44,43,43,42,42,42,41,NA,41,43,44,44,44,45,44,43,45,44,45,45,43
"2018/01/06","萬里","PM10",33,31,26,22,26,26,27,25,20,17,NA,17,19,18,19,23,27,29,27,22,22,26,21,16
"2018/01/06","萬里","SO2",1.2,1.9,1.7,1.8,1.9,2.3,2.1,2,1.6,1.9,NA,1.9,1.8,1.8,1.8,2.3,1.9,2.5,2.4,1.9,1.9,1.9,2.1,2.5
"2018/01/07","萬里","CO",0.21,0.18,0.19,0.18,0.19,0.18,0.17,0.18,0.16,0.13,0.13,0.13,0.13,0.14,0.15,0.16,0.14,0.13,0.14,0.14,0.13,0.12,0.12,0.13
"2018/01/07","萬里","NOx",3.2,2.7,2.8,2.4,2.9,2.7,7.2,6.5,6,4.7,5.1,5.9,5.3,6.8,7.5,8.7,6.9,4.6,4.6,5.7,4.2,4.3,4.5,5.2
"2018/01/07","萬里","O3",43,46,45,45,44,45,38,36,37,40,38,38,37,36,36,34,37,41,41,39,42,41,40,36
"2018/01/07","萬里","PM10",16,16,16,17,20,19,11,7,6,5,2,2,6,5,6,8,6,3,2,4,1,NA,2,5
"2018/01/07","萬里","SO2",2.3,2,2,2,2.2,2.1,5.8,2.4,2.1,2.2,2,1.9,2.1,2.2,2,2.1,2.2,2.1,2.2,2.1,1.8,2,2,2
"2018/01/08","萬里","CO",0.13,0.11,0.12,0.11,0.12,0.13,0.18,0.19,0.2,0.22,0.19,NA,NA,NA,NA,NA,0.54,0.51,0.5,0.49,0.5,0.5,0.48,0.47
"2018/01/08","萬里","NOx",4.2,1.4,1.1,1.2,1.7,2.1,6.9,8.1,7.7,9.4,NA,NA,NA,NA,NA,NA,8.1,7.6,7.2,6.9,6.6,6.1,6,5.6
"2018/01/08","萬里","O3",34,34,36,36,36,34,29,29,27,26,25,NA,NA,NA,31,30,28,29,28,28,28,28,28,29
"2018/01/08","萬里","PM10",1,1,2,1,NA,NA,4,3,4,2,NA,NA,NA,NA,18,17,15,15,28,37,38,38,39,36
"2018/01/08","萬里","SO2",1.3,1.3,0.8,1.3,1.4,1.3,1.1,1.3,1.3,1.5,NA,NA,NA,NA,NA,NA,2.4,2.3,2.3,2.4,2,2.1,2.2,2
"2018/01/09","萬里","CO",0.47,0.46,0.46,0.46,0.42,0.37,0.34,0.41,0.45,0.4,0.38,0.38,0.38,0.37,0.36,0.37,0.38,0.35,0.38,0.38,0.33,0.34,0.29,0.27
"2018/01/09","萬里","NOx",5,4.1,3.7,3.3,3.2,3.2,5.1,7.8,10,7.3,NA,NA,5.8,4.1,4.9,4.4,5.9,6.5,9.1,12,8.3,8.5,5.5,3.8
"2018/01/09","萬里","O3",30,32,40,44,41,40,40,35,29,36,40,43,44,47,47,46,42,40,31,26,39,34,41,46
"2018/01/09","萬里","PM10",34,44,52,51,45,42,49,42,29,44,77,91,91,88,83,80,75,62,41,28,47,58,52,58
"2018/01/09","萬里","SO2",1.2,0.5,1.2,1.1,0.6,0.2,0.4,0.4,0.6,1.1,1.1,1.5,1.1,1,0.9,0.7,0.8,0.9,0.5,0.8,1,0.9,0.8,0.9
"2018/01/10","萬里","CO",0.27,0.28,0.27,0.27,0.29,0.3,0.34,0.42,0.25,0.23,0.2,0.19,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.18,0.19,0.18,0.18
"2018/01/10","萬里","NOx",2.8,3.1,2.9,3,3.4,4.8,10,22,NA,5.5,4.8,4.4,4.1,3.4,3.5,3.8,NA,4,3.2,3.3,3,3,2.5,2.1
"2018/01/10","萬里","O3",44,44,52,52,51,37,29,24,46,48,49,51,51,54,55,56,56,55,56,55,55,55,54,54
"2018/01/10","萬里","PM10",72,79,112,109,67,56,39,30,46,56,50,54,58,52,48,47,70,82,71,67,65,71,71,69
"2018/01/10","萬里","SO2",1.6,2.1,2.1,2.1,2.2,1.9,1.9,2,2.1,2.2,2,1.9,1.4,1.3,1.5,1.7,1.7,1.6,1.6,1.3,1.7,1.8,1.5,1.6
