"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","觀音","CO",0.38,0.4,0.49,0.34,0.34,0.3,0.33,0.41,0.37,0.41,0.39,0.37,0.36,0.35,0.37,0.36,0.42,0.46,0.47,0.46,0.4,0.37,0.31,0.33
"2018/01/01","觀音","NOx",12,13,14,13,14,9,8.7,17,10,15,12,11,9.1,8.5,9.2,10,13,16,18,18,11,9.9,10,12
"2018/01/01","觀音","O3",38,37,36,36,33,36,38,31,38,38,40,40,42,42,41,38,34,31,29,30,38,39,37,32
"2018/01/01","觀音","PM10",89,72,85,83,80,63,68,75,72,73,72,71,66,68,67,57,45,46,50,57,60,59,55,52
"2018/01/01","觀音","SO2",5.2,4.1,4.3,3.9,3.7,2.5,2.6,3.9,4.4,4.4,3.3,3.5,2,2.4,2,1.7,2.2,3.2,5,5.6,3.7,4.2,4.3,3.7
"2018/01/02","觀音","CO",0.33,0.32,0.29,0.27,0.29,0.28,0.28,0.31,0.33,0.34,0.33,0.29,0.3,0.29,0.27,0.3,0.34,0.37,0.35,0.36,0.35,0.33,0.33,0.37
"2018/01/02","觀音","NOx",15,15,13,11,15,13,15,14,12,14,13,13,12,10,9.9,16,25,24,17,15,13,12,15,24
"2018/01/02","觀音","O3",29,29,32,32,28,28,28,30,32,32,35,37,40,41,39,34,24,23,26,26,27,28,23,15
"2018/01/02","觀音","PM10",46,41,42,48,42,28,19,21,28,32,37,37,37,41,39,46,56,64,61,47,42,36,43,42
"2018/01/02","觀音","SO2",3.3,3.4,3.6,3.3,3.9,3.5,3.7,2.2,1.3,1.4,0.9,1.3,1.4,1.2,1,1.8,4.6,2.8,1.5,1.2,1.5,1.2,1,1.6
"2018/01/03","觀音","CO",0.41,0.43,0.41,0.39,0.31,0.3,0.39,0.69,0.5,0.45,0.52,0.49,0.44,0.36,0.29,0.26,0.25,0.25,0.26,0.27,0.27,0.24,0.21,0.21
"2018/01/03","觀音","NOx",22,25,29,29,25,27,27,55,56,38,28,28,16,12,12,14,18,22,22,20,22,21,17,12
"2018/01/03","觀音","O3",13,11,5.2,4.7,12,9.4,7,5,8.4,17,32,35,53,59,48,35,25,19,18,20,18,20,23,25
"2018/01/03","觀音","PM10",48,47,48,47,40,43,43,56,57,58,47,NA,55,67,73,60,51,48,44,36,35,37,37,30
"2018/01/03","觀音","SO2",1.8,5.1,5.9,5.5,5,4.6,4.2,6.9,7,8.7,5.6,6.3,5.1,4.8,4,4.5,4.9,5,5.7,5.2,6.1,6,5.2,5
"2018/01/04","觀音","CO",0.21,0.2,0.21,0.25,0.26,0.34,0.41,0.53,0.29,0.21,0.24,0.22,0.21,0.2,0.19,0.22,0.24,0.25,0.25,0.22,0.18,0.18,0.17,0.16
"2018/01/04","觀音","NOx",11,11,15,14,14,24,32,34,17,8.4,10,8.1,7.2,7.4,9.6,13,11,11,15,11,7.9,7.1,7.4,5.4
"2018/01/04","觀音","O3",25,24,18,15,12,4.1,2.2,3.5,22,32,31,34,35,35,33,30,32,31,25,28,28,29,27,29
"2018/01/04","觀音","PM10",25,26,32,31,33,33,47,67,80,74,62,50,52,42,41,36,42,44,47,39,34,35,37,34
"2018/01/04","觀音","SO2",4.5,2.3,2.3,2,2.3,2.2,2.3,2.8,2.7,2.1,2.2,2,1.5,1.9,2.2,2.4,2.1,1.9,3.8,2.3,2,1.6,2,1.5
"2018/01/05","觀音","CO",0.17,0.19,0.19,0.19,0.2,0.2,0.21,0.24,0.23,0.22,0.2,0.21,0.21,0.19,0.18,0.19,0.2,0.21,0.22,0.23,0.27,0.28,0.27,0.29
"2018/01/05","觀音","NOx",6.9,5.4,4.9,5,5.2,5,7,7.6,7.9,8.3,7.9,8.4,6.6,8,7.1,8.5,10,12,11,11,10,11,9.5,7.1
"2018/01/05","觀音","O3",26,26,26,25,24,24,22,23,23,22,23,26,28,28,29,28,27,26,27,27,28,28,30,32
"2018/01/05","觀音","PM10",29,33,34,31,26,25,24,25,27,26,23,21,21,23,26,28,37,42,44,39,35,33,34,34
"2018/01/05","觀音","SO2",1.9,2,2.2,2,1.7,1.9,2,1.9,2,1.9,2,2.4,2.1,3.1,2.8,3.5,4.9,6.5,6.6,6.7,6.3,5.4,4.6,3.6
"2018/01/06","觀音","CO",0.3,0.27,0.25,0.25,0.23,0.21,0.22,0.23,0.24,0.23,0.22,0.28,0.3,0.27,0.24,0.24,0.26,0.26,0.25,0.21,0.22,0.18,0.19,0.23
"2018/01/06","觀音","NOx",8.4,8,9.7,9.8,12,12,8,12,14,12,14,24,22,22,18,15,12,12,17,9.4,12,5,11,8
"2018/01/06","觀音","O3",31,32,30,29,27,29,30,27,25,27,25,18,20,21,24,26,30,28,23,30,28,34,29,32
"2018/01/06","觀音","PM10",33,33,35,34,29,28,24,23,25,29,34,29,27,27,23,25,24,29,29,30,24,20,20,18
"2018/01/06","觀音","SO2",4.8,5.9,7.3,5.7,8.9,8.7,6.6,5.2,9,7.4,5.8,4.8,4.3,6,6.5,4.6,4.5,4,6.5,5.1,6.8,3,6.2,4.6
"2018/01/07","觀音","CO",0.23,0.24,0.25,0.2,0.17,0.16,0.19,0.18,0.19,0.19,0.19,0.17,0.19,0.2,0.18,0.23,0.2,0.19,0.17,0.18,0.23,0.26,0.32,0.38
"2018/01/07","觀音","NOx",9.3,10,8.3,6.2,4.3,5.5,8.2,9.5,13,12,11,8.8,9.9,9.4,9.1,13,12,9.2,8.4,6.8,8.6,15,25,30
