"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","陽明","CO",0.23,0.22,0.21,0.22,0.23,0.23,0.26,0.3,0.3,0.29,0.3,0.29,0.3,0.32,0.33,0.33,0.33,0.36,0.35,0.33,0.29,0.25,0.24,0.22
"2018/01/01","陽明","NOx",2,2.2,1.8,1.8,1.8,1.8,2,2.1,2.4,2.2,2.2,2.2,2.2,2.5,2.5,2.4,2.5,2.8,2.6,2.4,2.1,2.3,1.7,1.4
"2018/01/01","陽明","O3",48,48,48,47,47,48,48,48,48,47,46,46,46,45,47,47,47,47,48,49,48,46,45,46
"2018/01/01","陽明","PM10",16,23,29,27,25,30,22,19,29,35,30,33,33,16,12,11,13,12,8,7,8,9,12,10
"2018/01/01","陽明","SO2",1.7,1.2,1.3,1.1,1.3,1.5,1.4,1.3,1.6,1.5,1.6,1.5,1.5,1.2,1.2,1.2,1.3,1.5,1,1.1,1.2,1.3,1.3,1
"2018/01/02","陽明","CO",0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.19,0.18,0.17,0.17,0.17,0.16,0.16
"2018/01/02","陽明","NOx",4.2,4,6.6,5.3,3.2,3.1,4.6,4.4,2.3,2.6,2.6,2.8,2.9,3.1,2.6,2.8,3.8,4.4,3.3,2.6,2.4,2.5,2.3,2.2
"2018/01/02","陽明","O3",41,43,40,41,44,43,41,42,43,41,39,40,40,40,42,41,41,39,41,40,40,40,40,40
"2018/01/02","陽明","PM10",8,6,6,8,8,10,11,8,17,18,13,13,14,17,15,19,17,17,17,17,18,16,15,14
"2018/01/02","陽明","SO2",4.4,1.6,3.9,3.2,0.4,1.2,2.5,1.3,0.4,0.5,0.8,0.7,0.9,0.9,0.6,0.6,0.9,1.3,0.6,0.5,0.5,0.5,0.4,0.6
"2018/01/03","陽明","CO",0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12
"2018/01/03","陽明","NOx",2.1,1.3,1.2,1,0.8,0.8,1,1.1,2.2,2.9,1.9,1.6,2.3,2.2,2.1,2,2.4,4.5,4.6,3.4,2.1,1.8,1.4,1.2
"2018/01/03","陽明","O3",39,38,39,39,40,39,38,38,36,35,38,38,37,36,36,36,37,34,35,36,37,36,37,38
"2018/01/03","陽明","PM10",17,15,13,13,11,13,13,18,19,20,15,16,16,16,13,14,12,11,11,13,12,10,8,9
