"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","Às¼æ","CO",0.25,0.25,0.26,0.25,0.25,0.26,0.3,0.33,0.35,0.37,0.38,0.38,0.4,0.4,0.41,0.42,0.47,0.53,0.55,0.54,0.55,0.5,0.47,0.42
"2018/01/01","Às¼æ","NOx",2.4,1.7,1.7,1.6,1.9,2.7,3.2,4.7,6.6,6.9,7.6,7.5,7.6,7.4,7.7,8.7,10,13,13,12,14,12,11,9.6
"2018/01/01","Às¼æ","O3",46,49,50,49,48,48,47,45,43,44,45,45,45,45,43,41,37,34,34,35,33,35,35,36
"2018/01/01","Às¼æ","PM10",58,58,46,38,37,42,43,40,44,38,41,38,50,52,61,61,53,42,34,38,42,47,46,40
"2018/01/01","Às¼æ","SO2",1,1.4,1.3,1.4,1.5,1.5,1.4,1.6,1.8,1.7,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.6,1.7,1.6,1.7,1.7,1.6,1.5
"2018/01/02","Às¼æ","CO",0.38,0.32,0.29,0.27,0.28,0.33,0.46,0.56,0.54,0.49,0.4,0.37,0.36,0.33,0.32,0.33,0.4,0.53,0.63,0.6,0.6,0.55,0.56,0.59
"2018/01/02","Às¼æ","NOx",6.7,6.1,5.7,5.6,6.4,10,22,26,26,21,17,15,13,14,14,16,21,27,34,28,28,29,29,40
"2018/01/02","Às¼æ","O3",39,39,40,39,36,29,21,24,27,33,38,41,44,43,41,39,31,22,15,19,19,15,13,4.5
"2018/01/02","Às¼æ","PM10",29,26,23,20,19,23,34,31,35,24,25,21,27,24,23,32,38,39,35,34,37,49,48,38
"2018/01/02","Às¼æ","SO2",1.3,1.5,1.6,1.5,1.5,1.5,1.6,1.8,2,2.1,2.1,2.1,2.1,2.1,2.5,2.6,2.2,2.5,2.4,2.2,2.2,2.1,2,2
"2018/01/03","Às¼æ","CO",0.47,0.44,0.42,0.4,0.37,0.39,0.68,1.44,0.85,0.37,0.34,0.42,0.42,0.54,0.55,0.51,0.45,0.41,0.44,0.35,0.33,0.35,0.26,0.26
"2018/01/03","Às¼æ","NOx",27,31,28,24,34,29,60,105,70,19,13,13,13,21,29,30,25,24,24,16,14,18,12,14
"2018/01/03","Às¼æ","O3",6.8,6.1,3,4.8,3.2,5.1,3.8,4.1,9.5,25,39,54,65,72,68,54,36,22,21,26,28,26,29,27
"2018/01/03","Às¼æ","PM10",24,26,29,24,17,15,10,16,29,37,35,25,31,45,69,86,78,59,38,27,24,24,33,33
"2018/01/03","Às¼æ","SO2",1.8,1.7,1.5,1.5,1.6,1.6,2.1,3.3,2.9,1.8,2.1,2.7,3.1,4.3,4.7,4.2,3,2.1,1.9,1.6,1.5,1.7,1.6,1.6
"2018/01/04","Às¼æ","CO",0.24,0.24,0.29,0.35,0.45,0.49,0.58,1.17,0.63,0.75,0.73,0.65,0.68,0.49,0.43,0.44,0.43,0.47,0.46,0.38,0.35,0.35,0.29,0.27
"2018/01/04","Às¼æ","NOx",11,11,17,14,15,24,35,69,20,26,26,20,27,25,31,27,30,25,21,15,15,13,13,12
"2018/01/04","Às¼æ","O3",29,26,14,20,25,7.1,4.9,4.8,26,24,36,47,36,29,22,23,20,20,22,25,24,23,21,22
"2018/01/04","Às¼æ","PM10",27,23,25,33,46,51,48,34,50,80,110,110,100,85,74,62,58,47,44,41,40,35,27,27
"2018/01/04","Às¼æ","SO2",1.6,1.9,1.9,2.4,2.3,2,2.1,3.3,5.3,5.2,5.8,4.2,4.3,3.5,3.7,3.4,2.9,3,2.7,2.5,2.4,2.2,2.2,2.4
