"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","冬山","CO",0.24,0.23,0.23,0.22,0.21,0.22,0.26,0.29,0.36,0.27,0.28,0.31,0.34,0.27,0.26,0.34,0.39,0.39,0.34,0.34,0.4,0.45,0.42,0.37
"2018/01/01","冬山","NOx",2.6,4.4,4.7,4.2,4.2,5.3,8.2,10,17,9.8,11,13,15,6.7,5.1,14,17,13,9.1,5.9,12,14,14,6
"2018/01/01","冬山","O3",44,43,42,41,44,41,36,33,29,33,36,33,28,28,41,31,26,23,24,32,27,20,17,22
"2018/01/01","冬山","PM10",46,30,22,19,16,17,17,17,26,29,28,27,27,38,48,50,47,48,49,35,27,33,32,30
"2018/01/01","冬山","SO2",1.4,1.9,1.9,1.9,1.9,2,1.9,2,2,2.1,2,2.1,2.1,2.1,2,2.1,2.1,2,2,1.9,2,2,1.9,1.8
"2018/01/02","冬山","CO",0.32,0.33,0.34,0.32,0.33,0.32,0.41,0.51,0.55,0.37,0.41,0.37,0.38,0.39,0.23,0.28,0.37,0.25,0.23,0.23,0.26,0.36,0.31,0.26
"2018/01/02","冬山","NOx",4,2,5.4,3.1,5.5,3.3,16,20,36,15,23,21,16,27,5.6,14,28,5.4,6.3,4.5,5.9,12,7.8,3.9
"2018/01/02","冬山","O3",24,26,33,35,28,32,22,14,7.6,15,15,20,27,30,43,35,23,42,40,42,33,20,19,25
"2018/01/02","冬山","PM10",29,27,29,30,26,21,23,24,24,26,27,27,32,47,51,43,41,34,35,44,47,47,41,37
"2018/01/02","冬山","SO2",2,1,0.9,0.8,0.9,0.9,0.9,1.2,1.3,1.4,1.2,1.2,1.5,3.7,1.2,1.2,1.7,2,2.4,1.6,1.4,1.2,1.1,1.1
"2018/01/03","冬山","CO",0.28,0.28,0.27,0.29,0.28,0.29,0.37,0.49,0.42,0.33,0.31,NA,0.25,0.2,0.22,0.25,0.26,0.37,0.35,0.35,0.26,0.24,0.21,0.26
"2018/01/03","冬山","NOx",4.1,7,4.7,7.5,7.8,12,19,20,27,17,12,NA,9,6.6,15,23,24,35,33,39,28,30,18,18
"2018/01/03","冬山","O3",20,15,16,14,12,13,9.5,9.7,10,16,NA,25,31,40,32,23,21,17,15,11,19,15,25,25
"2018/01/03","冬山","PM10",38,33,31,43,51,40,36,45,49,48,45,NA,40,40,42,39,29,36,51,54,38,30,31,29
"2018/01/03","冬山","SO2",0.6,1.2,1.2,1.2,1.2,1.2,1.4,1.5,3.1,2.4,1.9,NA,2,1.7,2.8,1.4,1.3,1.9,4.8,5.9,3.7,4.8,3.5,3.8
"2018/01/04","冬山","CO",0.21,0.17,0.15,0.15,0.15,0.19,0.23,0.63,0.29,0.19,0.26,0.24,0.22,0.19,0.17,0.18,0.19,0.46,0.23,0.24,0.23,0.19,0.24,0.22
"2018/01/04","冬山","NOx",10,5.4,4.3,7.9,4.6,11,10,44,23,12,23,15,10,8.5,8.8,6.3,7.5,31,14,12,10,7.7,11,6.5
"2018/01/04","冬山","O3",26,25,23,20,20,13,12,5.1,14,25,24,28,34,38,29,36,26,13,20,21,19,17,13,15
"2018/01/04","冬山","PM10",31,29,24,31,36,29,33,37,30,36,51,48,37,36,35,31,29,32,37,34,28,26,32,38
"2018/01/04","冬山","SO2",2.4,1.2,1.1,1.1,1.1,1.1,1.1,1.5,1.8,1.7,1.7,1.6,1.7,1.6,1.3,1.4,1.4,1.8,1.7,1.4,1,1,1,0.9
"2018/01/05","冬山","CO",0.21,0.21,0.21,0.24,0.25,0.28,0.44,0.61,0.46,0.34,0.26,0.27,0.35,0.25,0.24,0.22,0.25,0.29,0.25,0.25,0.21,0.24,0.33,0.23
"2018/01/05","冬山","NOx",7,6.8,7.1,12,8.8,9.1,25,35,24,18,17,19,21,17,16,13,15,18,11,10,5,9.6,6.3,5.1
"2018/01/05","冬山","O3",14,14,13,6.6,9.9,8.2,5.6,4.1,3.8,13,22,23,21,27,29,31,30,28,33,35,37,32,34,33
"2018/01/05","冬山","PM10",33,37,39,38,40,35,44,51,45,35,23,23,34,34,30,27,25,28,24,18,17,15,16,15
"2018/01/05","冬山","SO2",1,1.2,1.1,1.1,1.1,1.1,1.6,1.7,1.7,1.7,1.4,1.3,1.3,1.1,1.1,1,1,1,0.9,0.9,0.9,1,1.5,0.9
"2018/01/06","冬山","CO",0.25,0.22,0.22,0.23,0.24,0.24,0.26,0.41,0.5,0.41,0.46,0.36,0.39,0.37,0.33,0.4,0.49,0.59,0.48,0.58,0.39,0.32,0.38,0.34
"2018/01/06","冬山","NOx",9.2,2.7,3.5,3.3,4.7,5,6.8,20,30,26,35,17,17,17,13,18,25,42,11,7.5,6,23,27,16
"2018/01/06","冬山","O3",24,30,32,32,31,29,24,20,15,21,15,23,31,31,33,29,23,9.4,34,37,38,22,15,21
"2018/01/06","冬山","PM10",13,13,13,15,13,12,10,9,11,13,15,14,20,27,23,23,21,23,29,23,15,13,16,18
"2018/01/06","冬山","SO2",1.2,1.6,1.6,1.6,1.8,1.6,1.6,2.3,2.1,1.9,1.9,1.9,2.8,2.3,3.6,2.4,2.7,5,2.2,2.9,3.9,3.1,4.2,1.7
"2018/01/07","冬山","CO",0.35,0.28,0.29,0.27,0.27,0.27,0.28,0.22,0.27,0.25,0.27,0.24,0.17,0.2,0.14,0.17,0.17,0.21,0.26,0.16,0.19,0.18,0.16,0.2
"2018/01/07","冬山","NOx",11,7.7,7.3,5.9,5.3,5.8,13,7.8,14,15,16,13,6.8,11,4.7,8.5,8.4,12,17,7,7.6,7.9,6,8.3
"2018/01/07","冬山","O3",24,25,24,25,24,24,22,38,32,32,31,34,37,32,38,35,34,27,23,29,28,28,28,26
"2018/01/07","冬山","PM10",18,21,20,15,8,7,11,7,10,14,11,10,11,14,16,9,6,11,15,15,14,14,13,11
"2018/01/07","冬山","SO2",2.1,1.1,1.1,1.2,1.2,1.1,1.2,1.7,1.5,1.2,1.1,1,0.9,0.9,1,1,0.9,1.1,1.1,0.9,0.9,0.8,0.8,0.9
"2018/01/08","冬山","CO",0.19,0.16,0.16,0.14,0.26,0.17,0.28,0.66,0.51,0.5,0.32,0.25,0.35,0.3,0.22,0.29,0.43,0.55,0.61,0.61,0.58,0.55,0.51,0.48
"2018/01/08","冬山","NOx",7.9,6.7,6.6,6.1,12,11,17,37,40,42,22,15,25,23,14,16,32,15,11,11,10,7.2,6.2,5.6
"2018/01/08","冬山","O3",25,28,30,30,28,21,15,9.3,11,11,14,19,16,18,28,23,11,22,25,26,26,30,32,33
"2018/01/08","冬山","PM10",15,12,7,11,14,15,18,24,23,25,23,16,11,8,11,15,21,19,4,7,17,20,22,21
"2018/01/08","冬山","SO2",1.1,0.9,0.9,0.9,1.4,0.9,1,1.3,1.7,2.4,1.4,1.2,1.2,1.3,1.2,1.4,2.7,1.3,0.9,1,0.9,0.9,0.9,0.9
"2018/01/09","冬山","CO",0.49,0.48,0.48,0.49,0.49,0.51,0.55,0.59,0.5,NA,0.44,0.46,0.44,0.48,0.51,0.48,0.49,0.54,0.64,0.55,0.48,0.41,0.36,0.31
"2018/01/09","冬山","NOx",5.4,4.9,4.7,6.3,7.4,11,16,21,18,NA,11,16,12,22,20,17,25,18,29,19,14,7.3,5.2,3.5
"2018/01/09","冬山","O3",32,31,31,29,29,33,29,25,25,NA,20,13,16,11,10,8.9,9,12,6.4,9,12,17,20,25
"2018/01/09","冬山","PM10",19,21,25,19,14,18,20,22,26,NA,33,36,42,49,57,59,53,51,56,52,45,42,36,33
"2018/01/09","冬山","SO2",0.8,0.8,0.8,1.4,1.8,2.2,1.8,2.3,2.8,NA,1.2,1.4,1.2,1.4,1.7,1.1,1.3,1.1,1.1,1,1,1.2,1.1,1.2
"2018/01/10","冬山","CO",0.27,0.25,0.21,0.22,0.22,0.23,0.29,0.46,0.36,0.31,0.34,0.32,0.3,0.24,0.22,0.23,0.25,0.32,0.29,0.23,0.2,0.24,0.21,0.19
"2018/01/10","冬山","NOx",4.6,2.6,2.3,2.5,3.5,7,11,24,23,10,22,23,18,14,16,18,20,24,17,9.1,7.3,7.2,4.4,3.1
"2018/01/10","冬山","O3",21,21,28,27,26,35,31,21,25,38,35,35,39,46,43,41,41,37,41,44,44,42,41,49
"2018/01/10","冬山","PM10",32,34,32,27,26,29,32,35,41,46,48,46,45,45,49,47,44,43,39,36,34,34,34,32
"2018/01/10","冬山","SO2",1.5,1.2,1,1.1,1.1,1.2,1.6,1.9,2.6,2.6,3.6,3.2,3,1.8,2,2.4,2.5,3.8,2.2,2.2,2.1,1.8,1.4,1.2
"2018/01/11","冬山","CO",0.19,0.18,0.18,0.19,0.19,0.2,0.24,0.4,NA,0.26,NA,NA,NA,NA,0.26,0.26,0.26,0.28,0.26,0.23,0.23,0.24,0.19,0.18
"2018/01/11","冬山","NOx",4.5,3.1,3,4.3,7.1,9,12,22,NA,10,NA,NA,NA,NA,NA,NA,17,14,12,8.6,7,9.1,5.2,3.5
"2018/01/11","冬山","O3",46,48,50,46,40,36,32,25,NA,43,NA,NA,NA,35,39,44,44,46,47,49,50,47,47,47
"2018/01/11","冬山","PM10",32,32,28,28,34,36,36,44,NA,49,49,55,NA,63,64,66,63,64,64,55,48,42,38,36
"2018/01/11","冬山","SO2",1.1,1.6,1.7,1.7,1.7,1.5,1.5,1.9,NA,2.1,NA,NA,NA,NA,1.5,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.6,1.5
"2018/01/12","冬山","CO",0.17,0.14,0.14,0.14,0.14,0.14,0.17,0.41,0.28,0.18,0.19,0.25,0.24,0.26,0.28,0.29,0.32,0.43,0.31,0.26,0.27,0.23,0.21,0.21
"2018/01/12","冬山","NOx",3.6,1.9,1.9,3.1,2.5,2,6.2,26,23,6.2,6.7,16,12,11,12,13,16,26,9,5.5,8.2,3.6,2.4,3
"2018/01/12","冬山","O3",46,46,44,42,39,42,37,20,25,41,43,NA,NA,NA,42,42,42,35,41,40,37,39,39,36
"2018/01/12","冬山","PM10",33,30,26,30,32,32,35,46,53,43,39,51,60,62,66,73,74,74,66,59,55,48,43,40
"2018/01/12","冬山","SO2",1.9,1.4,1.3,1.3,1.3,1.3,1.4,1.5,2.3,1.6,1.7,1.9,1.9,1.8,1.7,1.8,1.9,1.8,1.6,1.3,1.3,1.3,1.2,1.1
"2018/01/13","冬山","CO",0.2,0.2,0.21,0.19,0.18,0.21,0.3,0.34,0.25,0.18,0.18,0.19,0.21,0.16,0.15,0.16,0.16,0.18,0.16,0.16,0.19,0.16,0.16,0.15
"2018/01/13","冬山","NOx",2.7,2.4,5,4.3,6.3,12,27,20,16,6.1,6,8.5,13,2.8,3.4,7.4,3.1,6.2,5.3,4.5,9.2,4.9,5.4,3.7
"2018/01/13","冬山","O3",34,34,32,31,34,24,16,18,20,35,38,38,35,39,38,34,36,30,28,27,20,23,21,23
"2018/01/13","冬山","PM10",36,34,34,32,29,28,34,36,33,31,29,28,28,22,17,18,17,16,16,13,12,17,17,18
"2018/01/13","冬山","SO2",1.6,1.7,1.7,1.6,1.5,1.5,1.5,1.6,1.7,1.6,1.4,1.5,1.7,1.5,1.4,1.7,1.3,1.4,1.4,1.3,1.5,1.3,1.4,1.7
"2018/01/14","冬山","CO",0.16,0.15,0.14,0.15,0.13,0.17,0.29,0.56,0.46,0.3,0.19,0.2,0.19,0.17,0.18,0.18,0.21,0.22,0.21,0.24,0.23,0.19,0.22,0.22
"2018/01/14","冬山","NOx",4.4,2.3,2.4,3.6,3,8.4,27,51,31,16,7.2,8.1,6.7,8.3,8.4,7.9,10,16,15,17,14,9,12,10
"2018/01/14","冬山","O3",23,22,22,20,19,19,13,7.1,16,27,40,44,45,45,44,44,38,22,21,18,16,20,14,16
"2018/01/14","冬山","PM10",21,19,11,13,21,20,16,18,26,31,27,25,27,27,29,27,22,18,25,31,29,27,30,33
"2018/01/14","冬山","SO2",1.1,0.4,0.5,0.5,0.2,0.4,0.6,1,0.7,0.4,0.6,0.8,1,0.8,1.1,1.7,1.3,0.6,0.4,0.4,0.3,0.3,0.3,0.3
"2018/01/15","冬山","CO",0.22,0.21,0.18,0.17,0.19,0.23,0.36,0.52,0.4,0.29,0.24,0.24,0.29,0.43,0.16,0.18,0.21,0.27,0.24,0.21,0.22,0.33,0.32,0.26
"2018/01/15","冬山","NOx",8.5,6.6,11,14,11,14,42,30,35,25,18,16,12,13,12,18,21,14,7.3,7.7,8.8,18,16,12
"2018/01/15","冬山","O3",15,15,14,12,14,8.9,5.5,7.1,12,21,32,40,44,43,41,35,30,25,26,26,24,15,10,14
"2018/01/15","冬山","PM10",26,19,18,21,23,23,27,30,39,38,31,36,34,33,32,33,33,36,36,26,24,31,39,37
"2018/01/15","冬山","SO2",0.5,0.6,0.6,0.6,0.6,0.7,1,1.5,2.1,1.4,1.2,1.5,1.9,2.5,1.9,2.9,1.1,0.9,0.8,0.7,0.6,0.7,0.7,0.8
"2018/01/16","冬山","CO",0.27,0.26,0.21,0.25,0.24,0.26,0.29,0.89,0.98,0.65,0.28,0.26,0.3,0.32,0.28,0.29,0.41,0.41,0.33,0.35,0.33,0.34,0.32,0.31
"2018/01/16","冬山","NOx",10,9.9,6.6,14,13,21,25,59,84,63,19,15,17,18,19,23,27,27,22,18,15,12,9.2,8.7
"2018/01/16","冬山","O3",14,15,17,10,9.5,7,8.6,4.7,5.3,7.3,27,39,43,43,41,34,30,33,17,13,16,13,15,18
"2018/01/16","冬山","PM10",30,32,29,24,24,28,34,44,66,76,54,31,33,49,51,43,49,54,52,47,44,39,30,28
"2018/01/16","冬山","SO2",0.8,1.8,1.8,1.6,1.7,1.8,1.9,2.4,4.2,3.8,2.5,2.4,2.3,3.4,2.8,6.3,7.2,3.2,2.7,2.3,2.2,2,2,2
"2018/01/17","冬山","CO",0.31,0.26,0.45,0.29,0.27,0.36,0.55,0.91,0.98,0.32,0.25,0.22,0.24,0.27,0.24,0.26,0.3,0.36,0.36,0.39,0.24,0.26,0.23,0.22
"2018/01/17","冬山","NOx",11,8.5,21,13,10,23,42,58,81,25,28,15,9.1,17,22,22,21,19,16,19,8.4,7.7,6,4.4
"2018/01/17","冬山","O3",15,18,9.7,16,16,6.8,4.7,4.7,7.9,22,22,32,43,43,44,43,42,37,32,30,45,30,29,34
"2018/01/17","冬山","PM10",33,31,26,24,28,30,28,41,75,82,59,49,42,38,44,49,56,65,59,48,45,43,38,28
"2018/01/17","冬山","SO2",2.1,1.4,1.5,1.5,1.3,1.4,1.7,2.2,6.7,4.3,3.4,3.3,2.8,3.4,2.8,2.6,2.6,2.4,1.8,1.3,1.3,1.4,1.3,1.1
"2018/01/18","冬山","CO",0.19,0.18,0.17,0.18,0.17,0.18,0.22,0.29,0.27,0.27,0.29,0.35,0.25,0.29,0.23,0.28,0.43,0.38,0.28,0.28,0.24,0.24,0.23,0.19
"2018/01/18","冬山","NOx",3.4,2.1,1.8,1.8,3.5,7.1,9.5,10,19,20,28,34,12,23,9.9,18,36,25,12,14,6.9,7,6.1,2.4
"2018/01/18","冬山","O3",39,38,36,31,24,19,21,23,18,23,20,20,37,30,39,32,22,26,28,24,31,33,34,44
"2018/01/18","冬山","PM10",22,22,21,17,15,15,15,17,15,11,12,17,16,14,14,13,16,19,14,8,9,11,9,6
"2018/01/18","冬山","SO2",1.2,1.1,1.1,1.1,1,1.2,1.1,1.1,1.9,1.2,1.7,1.4,1.2,1.2,1.1,1.4,1.5,1.2,1.6,1.3,0.9,1.1,1.1,0.9
"2018/01/19","冬山","CO",0.22,0.2,0.2,0.21,0.21,0.21,0.23,0.33,0.48,0.39,NA,NA,0.39,0.33,0.31,0.37,0.36,0.4,0.45,0.47,0.39,0.34,0.41,0.4
"2018/01/19","冬山","NOx",4.3,4.5,2.9,6.6,6.3,5.5,6.4,10,33,31,NA,NA,27,29,19,18,18,20,20,16,16,11,14,13
"2018/01/19","冬山","O3",44,44,48,40,39,38,41,37,22,27,30,NA,NA,36,40,37,35,24,20,25,21,25,23,25
"2018/01/19","冬山","PM10",6,8,6,2,1,5,6,7,11,18,16,NA,27,31,28,26,22,16,26,25,24,27,29,34
"2018/01/19","冬山","SO2",0.8,1.4,1.4,1.4,1.3,1.5,1.5,1.5,1.6,3.2,NA,NA,2,1.7,1.6,1.6,1.5,1.8,1.6,1.5,1.5,1.5,1.4,1.4
"2018/01/20","冬山","CO",0.36,0.28,0.29,0.29,0.29,0.3,0.34,0.36,0.42,0.35,0.36,0.34,0.4,0.43,0.36,0.38,0.47,0.46,0.35,0.33,0.34,0.35,0.35,0.33
"2018/01/20","冬山","NOx",8.5,5,5,6.2,3.5,6,8.1,7.1,NA,7.1,9.2,9.9,21,NA,7.2,11,31,19,9.4,8.1,5.8,5.9,7.1,3.9
"2018/01/20","冬山","O3",29,37,39,39,43,42,43,45,36,NA,43,44,NA,36,48,42,29,35,39,37,37,31,34,48
"2018/01/20","冬山","PM10",40,39,30,24,18,21,32,36,32,27,31,32,39,53,52,43,42,41,34,28,20,17,18,13
"2018/01/20","冬山","SO2",1.4,1,1,1,1,1,0.9,1.1,1,1.2,1.2,1,1.2,1,0.9,1.1,1.2,1.1,1,0.8,0.8,0.8,0.9,0.8
"2018/01/21","冬山","CO",0.56,0.33,0.32,0.32,0.31,0.33,0.33,0.32,0.37,0.34,0.35,0.39,0.27,0.34,0.39,0.31,0.31,0.39,0.36,0.31,0.39,0.29,0.28,0.41
"2018/01/21","冬山","NOx",22,4.2,3.3,3.3,3.2,7.1,8.7,6.5,10,14,12,15,5.1,15,21,8.9,9.5,16,12,8.1,12,6.5,4.8,9.9
"2018/01/21","冬山","O3",35,50,44,45,50,43,41,45,41,41,43,43,51,42,36,41,36,28,26,22,18,25,22,19
"2018/01/21","冬山","PM10",5,9,12,6,2,5,5,7,12,11,10,12,8,9,13,13,11,13,17,18,15,15,10,5
"2018/01/21","冬山","SO2",1,0.4,0.6,0.6,0.5,0.5,0.4,0.3,0.7,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.3,0.4,0.6,0.5,0.6,0.4,0.4,0.3
"2018/01/22","冬山","CO",0.33,0.24,0.25,0.26,0.25,0.31,0.49,0.82,0.41,0.41,0.39,0.39,0.47,0.52,0.56,0.54,0.49,0.5,0.47,0.43,0.61,0.81,0.34,0.3
"2018/01/22","冬山","NOx",8.7,4.2,5.7,8.4,11,21,29,46,20,23,16,14,12,17,16,17,16,16,11,7.9,27,43,5.7,3.7
"2018/01/22","冬山","O3",20,19,18,14,14,8.3,9.6,8.5,23,27,36,43,38,41,54,52,47,48,49,48,35,25,49,47
"2018/01/22","冬山","PM10",10,12,12,13,14,14,18,22,24,44,53,51,56,50,52,53,50,53,49,44,43,46,45,38
"2018/01/22","冬山","SO2",0.8,1.7,1.6,1.5,1.6,1.7,1.8,2.3,2,2.7,2.1,1.7,1.6,2.1,1.7,1.7,1.6,1.6,1.5,1.4,1.5,1.6,1.5,1.2
"2018/01/23","冬山","CO",0.28,0.28,0.27,0.25,0.26,0.27,0.33,0.34,0.35,0.35,0.32,0.28,0.27,0.25,0.28,0.35,0.26,0.25,0.26,0.25,0.25,0.24,0.24,0.24
"2018/01/23","冬山","NOx",3,3.3,3.6,3.5,4.6,7.5,12,6.8,17,18,17,15,17,19,19,23,17,10,11,8.8,5.8,5.3,5.9,4.1
"2018/01/23","冬山","O3",43,43,39,41,42,37,27,27,29,34,43,50,47,45,43,37,35,40,38,45,50,51,51,53
"2018/01/23","冬山","PM10",31,26,25,27,29,28,34,38,37,41,48,50,46,46,47,43,33,27,25,28,32,36,38,38
"2018/01/23","冬山","SO2",1.2,1.5,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.7,1.4,1.5,1.7,2.5,2,1.6,1.4,1.4,1.5,1.4,1.2,1.2,1.2,1.3
"2018/01/24","冬山","CO",0.24,0.26,0.28,0.29,0.31,0.34,0.37,0.39,0.4,0.42,0.39,0.42,0.4,0.35,0.34,0.34,0.39,0.55,0.37,0.33,0.34,0.31,0.31,0.29
"2018/01/24","冬山","NOx",4.3,1.9,1.7,1.8,1.8,2,4.7,5.3,8.4,16,12,18,9.5,3.3,3.4,4.6,14,29,8.2,5.6,6.1,2.3,1.8,1.2
"2018/01/24","冬山","O3",54,53,53,52,53,49,44,43,41,35,38,34,41,47,48,46,37,26,40,40,39,43,41,44
"2018/01/24","冬山","PM10",38,36,30,23,34,50,55,54,44,NA,30,31,30,34,37,32,24,24,26,19,16,17,15,11
"2018/01/24","冬山","SO2",2,1.4,1.5,1.4,1.4,1.3,1.3,1.3,1.4,1.3,1.5,1.5,1.3,1.4,1.3,1.3,1.3,1.4,1.2,1.2,1.3,1.2,1.2,1.1
"2018/01/25","冬山","CO",0.28,0.25,0.25,0.24,0.24,0.24,0.24,0.3,0.26,0.26,0.28,0.28,NA,0.24,0.24,0.26,0.28,0.28,0.26,0.23,0.23,0.21,0.22,0.2
"2018/01/25","冬山","NOx",1.2,3.2,2.9,2.8,3.1,3.2,4.1,7,5.9,9.7,13,14,NA,5.7,6.6,7.6,12,10,8.1,6.5,4.1,3.2,3.3,3.5
"2018/01/25","冬山","O3",46,46,44,45,45,44,44,37,39,36,36,37,NA,41,43,41,36,34,36,30,30,35,33,33
"2018/01/25","冬山","PM10",15,19,15,13,12,11,8,10,10,10,13,16,NA,14,12,16,22,23,22,20,17,15,14,11
"2018/01/25","冬山","SO2",0.9,1.2,1.3,1.2,1.1,1.2,1.2,1.3,1.3,1.3,1.3,1.4,NA,1.3,1.4,1.2,1.3,1.3,1.3,1.1,1.2,1.2,1.1,1.2
"2018/01/26","冬山","CO",0.19,0.18,0.17,0.18,0.17,0.17,0.18,0.28,0.27,0.21,0.19,0.2,0.19,0.19,0.2,0.21,0.22,0.26,0.25,0.22,0.19,0.19,0.19,0.18
"2018/01/26","冬山","NOx",1.8,2.1,2.1,3.3,2.8,3.8,4.8,13,17,10,12,15,10,12,13,13,13,13,13,9,4.9,5,4.1,3.8
"2018/01/26","冬山","O3",36,41,42,39,41,42,39,35,32,36,36,35,38,37,36,36,35,34,33,34,38,37,37,36
"2018/01/26","冬山","PM10",11,14,11,6,8,11,11,11,18,19,17,20,17,20,20,14,15,18,16,15,14,14,14,13
"2018/01/26","冬山","SO2",1.8,1.8,1.7,1.8,1.8,1.8,1.9,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.7,1.6,1.7
"2018/01/27","冬山","CO",0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.27,0.28,0.27,0.25,0.25,0.27,0.24,0.21,0.23,0.22,0.24,0.23,0.26,0.23,0.29,0.32,0.25
