"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","©yÄõ","CO",0.26,0.25,0.24,0.25,0.24,0.24,0.25,0.29,0.35,0.35,0.32,0.33,0.34,0.37,0.32,0.35,0.42,0.55,0.58,0.41,0.42,0.49,0.5,0.46
"2018/01/01","©yÄõ","NOx",4.4,1.9,1.5,1.4,1.3,1.4,2.1,3.9,6.2,8.2,7.1,6.5,7.3,8.3,5.2,5.7,8.7,15,17,9.1,6.8,9.3,9.5,7.8
"2018/01/01","©yÄõ","O3",44,46,45,42,42,43,41,39,35,38,37,35,33,31,41,39,34,24,22,27,34,29,27,26
"2018/01/01","©yÄõ","PM10",68,69,42,44,42,40,38,44,53,57,55,45,40,48,56,57,57,55,55,47,38,42,48,46
"2018/01/01","©yÄõ","SO2",3.4,1.3,1.2,1.2,1.2,1.1,1.9,1.3,1.8,2.3,2.5,2.2,2,1.8,1.6,1.6,2.2,2.5,2.5,2.2,2,2.1,2,2.1
"2018/01/02","©yÄõ","CO",0.39,0.34,0.32,0.3,0.3,0.3,0.29,0.53,0.41,0.37,0.31,0.32,0.36,0.36,0.35,0.32,0.35,0.46,0.71,0.62,0.62,0.65,0.54,0.41
"2018/01/02","©yÄõ","NOx",5.1,4.4,3.5,2.1,2.5,3.2,4.6,15,13,11,7,6.8,7.1,13,13,12,13,16,24,23,20,24,18,13
"2018/01/02","©yÄõ","O3",28,28,27,29,25,29,20,19,27,31,40,41,43,38,38,40,38,32,23,14,13,12,17,15
"2018/01/02","©yÄõ","PM10",40,38,36,29,28,34,27,23,24,21,27,35,40,44,50,48,44,45,51,58,56,53,49,45
"2018/01/02","©yÄõ","SO2",1.6,1.4,1.3,1.2,1.1,1.1,1.3,1.6,1.7,1.7,1.5,1.6,1.5,1.8,2.1,1.9,1.8,1.9,2.2,2.3,2.5,2.8,2.9,3.3
"2018/01/03","©yÄõ","CO",0.41,0.32,0.3,0.27,0.28,0.27,0.28,0.92,0.64,0.37,0.33,0.32,0.33,NA,NA,0.23,0.29,0.39,0.41,0.3,0.27,0.29,0.19,0.17
"2018/01/03","©yÄõ","NOx",12,7,6.5,5.5,5.7,7,8.6,27,25,15,18,19,17,NA,NA,11,14,15,17,9.5,10,11,6.2,5.8
"2018/01/03","©yÄõ","O3",14,19,18,16,14,14,12,7.1,13,28,28,30,33,NA,36,36,32,29,27,36,34,33,37,37
"2018/01/03","©yÄõ","PM10",45,41,36,34,34,36,35,39,44,51,55,52,50,NA,37,38,40,45,50,47,39,32,29,27
"2018/01/03","©yÄõ","SO2",2.2,1.4,1.7,1.3,0.9,1.3,1.2,1.3,2.2,2.2,1.9,2,1.9,NA,NA,0.9,0.9,1.1,1.2,1,1.1,1,1,0.8
"2018/01/04","©yÄõ","CO",0.15,0.18,0.17,0.21,0.18,0.25,0.35,0.76,0.46,0.44,0.27,0.3,0.31,0.25,0.23,0.26,0.41,0.51,0.48,0.41,0.38,0.61,0.26,0.33
"2018/01/04","©yÄõ","NOx",3.7,4.7,4.1,5.7,5,8.6,15,33,18,20,12,9.4,9.4,7.1,5.8,7.2,15,20,22,14,13,21,6.8,8
"2018/01/04","©yÄõ","O3",39,34,33,28,18,13,11,5.5,22,19,29,35,39,44,45,43,36,24,15,21,18,8.4,16,14
"2018/01/04","©yÄõ","PM10",31,35,35,35,31,31,34,35,41,NA,41,42,47,48,41,39,48,60,60,47,43,44,38,39
"2018/01/04","©yÄõ","SO2",0.8,0.8,0.9,0.8,0.6,1,1.1,2.2,2.1,2.3,2.1,1.9,1.9,1.8,1.4,1.4,1.5,1.7,1.6,2,2,2.6,1.9,1.6
"2018/01/05","©yÄõ","CO",0.32,0.28,0.26,0.3,0.28,0.3,0.33,0.87,0.55,0.57,0.41,0.38,0.31,0.32,0.35,0.34,0.41,0.43,0.44,0.39,0.36,0.4,0.31,0.27
"2018/01/05","©yÄõ","NOx",6.8,4.6,4.1,5.5,5.8,6.3,8,35,28,30,16,12,9.5,8.4,9.7,9.3,11,12,11,11,10,9.6,6.4,4.1
"2018/01/05","©yÄõ","O3",16,19,18,14,11,10,8.9,3.3,4.5,7.4,19,25,28,29,30,31,29,29,31,31,32,33,34,36
"2018/01/05","©yÄõ","PM10",41,36,32,32,36,34,26,29,36,41,38,26,21,21,18,19,21,21,24,26,26,22,19,18
"2018/01/05","©yÄõ","SO2",1.2,1.8,2,1.6,1.4,1.5,1.4,2.7,2.3,3.5,2.5,2.4,2.5,2,1.7,1.4,1.3,1.4,1.3,1.4,1.5,1.4,1.3,1.2
"2018/01/06","©yÄõ","CO",0.27,0.22,0.23,0.23,0.22,0.2,0.22,0.27,0.29,0.34,0.34,0.34,0.37,0.35,0.29,0.28,0.31,0.32,0.31,0.31,0.29,0.3,0.29,0.29
"2018/01/06","©yÄõ","NOx",4.2,2.3,2,1.2,1.2,1.1,2.2,4,7.1,11,11,9.8,11,9.7,11,7.7,8.6,8.8,8.7,8.4,8.4,6.7,6.9,6
"2018/01/06","©yÄõ","O3",35,37,36,38,37,32,32,30,26,30,34,35,34,35,34,36,36,35,36,36,35,35,35,35
"2018/01/06","©yÄõ","PM10",16,18,16,18,19,14,14,14,14,16,20,20,19,21,19,21,19,18,26,24,15,19,22,21
