"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","三義","CO",0.26,0.28,0.27,0.26,0.25,0.25,0.25,0.27,0.27,0.29,0.3,0.31,0.32,0.31,0.32,0.37,0.4,0.41,0.46,0.45,0.52,0.53,0.52,0.5
"2018/01/01","三義","NOx",5.5,3.2,3,2.9,2.8,2.4,2.4,3.1,3.5,5.3,5.9,5.2,5.5,5.5,6.3,8,10,12,15,15,24,23,22,20
"2018/01/01","三義","O3",40,40,40,40,40,39,39,37,37,38,39,46,54,61,64,60,51,41,30,24,14,9.1,9.6,7.1
"2018/01/01","三義","PM10",53,47,46,46,41,40,36,32,30,28,26,27,34,42,43,49,53,50,53,51,47,49,49,44
"2018/01/01","三義","SO2",2.3,0.8,0.9,0.7,0.5,0.7,0.8,0.8,1.1,1.3,1.1,1.2,1.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/02","三義","CO",0.45,0.29,0.28,0.24,0.22,0.24,0.28,0.33,0.31,0.22,0.25,0.32,0.35,0.3,0.25,0.25,0.25,0.3,0.38,0.35,0.35,0.35,0.36,0.32
"2018/01/02","三義","NOx",10,5.3,5.4,5.4,4.7,5,6.9,6.1,5.7,3.9,5.8,10,14,11,6.4,8.1,9.3,9.4,17,12,13,14,14,9.4
"2018/01/02","三義","O3",24,30,26,17,15,17,19,24,34,43,45,40,47,55,61,58,60,59,40,33,33,37,30,43
"2018/01/02","三義","PM10",41,35,29,27,20,19,26,32,32,23,NA,38,44,45,32,28,40,56,64,54,44,46,53,52
"2018/01/02","三義","SO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/03","三義","CO",0.3,0.3,0.29,0.28,0.25,0.33,0.36,0.43,0.41,0.34,0.42,0.71,0.55,0.5,0.46,0.42,0.43,0.48,0.64,0.68,0.5,0.48,0.42,0.43
"2018/01/03","三義","NOx",8.6,15,12,9.2,7.8,26,22,21,19,13,14,28,22,19,14,11,13,13,17,21,12,15,14,13
"2018/01/03","三義","O3",41,27,23,29,24,7.5,16,15,22,38,50,51,59,69,80,82,77,71,50,29,37,36,38,35
"2018/01/03","三義","PM10",44,40,38,34,28,33,41,41,39,43,68,127,137,109,109,103,101,105,109,105,90,74,71,75
"2018/01/03","三義","SO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,3.2,3.6,3.6,2.5,1.9,1.9,1.4,1.4,1.6
"2018/01/04","三義","CO",0.4,0.59,0.84,0.77,0.71,0.74,0.67,0.66,0.6,0.53,0.5,0.44,0.24,0.24,0.25,0.28,0.36,0.26,0.22,0.22,0.22,0.21,0.25,0.22
"2018/01/04","三義","NOx",7,12,25,20,17,23,21,24,22,14,12,18,9.7,12,12,11,15,10,11,11,12,8.9,16,10
"2018/01/04","三義","O3",48,36,13,22,21,11,16,19,24,40,48,40,34,31,35,36,29,30,27,25,22,23,13,16
"2018/01/04","三義","PM10",74,87,115,148,165,163,179,193,179,157,144,131,74,21,28,43,49,32,17,18,16,15,17,15
"2018/01/04","三義","SO2",1.5,2,2.9,4.9,5.6,6.2,5.4,5.9,7.3,5.2,5.2,5.7,3.7,3.6,3.7,3.8,3.9,3.9,4.3,4.1,4.3,4.3,4.4,4.4
"2018/01/05","三義","CO",0.23,0.22,0.22,0.21,0.19,0.2,0.2,0.2,0.22,0.25,0.27,0.28,0.25,0.23,0.25,0.26,0.27,0.28,0.27,0.27,0.22,0.2,0.19,0.19
"2018/01/05","三義","NOx",14,11,10,13,8.8,10,11,8.1,11,16,20,20,21,17,18,17,17,19,18,17,11,7.6,6.5,5.3
"2018/01/05","三義","O3",14,15,14,13,17,11,11,16,15,12,11,14,15,17,18,19,18,15,14,15,22,23,25,26
"2018/01/05","三義","PM10",21,23,18,13,11,16,18,17,20,20,19,20,21,21,18,20,19,23,24,23,23,20,16,13
"2018/01/05","三義","SO2",2,1.3,1.6,1.8,1.8,2,2.4,2.4,2.4,2.7,2.8,3,3.3,3.2,3.3,3.7,3.6,3.5,3.7,4,4,3.9,4,4
"2018/01/06","三義","CO",0.2,0.23,0.23,0.23,0.24,0.24,0.24,0.26,0.28,0.31,0.35,0.32,0.29,0.25,0.23,0.29,0.38,0.38,0.38,0.41,0.39,0.37,0.35,0.31
"2018/01/06","三義","NOx",5.8,5.2,5.3,5.5,5.9,7.8,6,8.5,9.9,16,26,16,12,7.9,6.1,11,20,20,19,21,22,21,17,12
"2018/01/06","三義","O3",25,25,25,25,23,22,25,20,16,13,8.8,16,16,17,20,15,8.2,10,9.2,5.9,6.3,9.6,14,20
"2018/01/06","三義","PM10",13,14,15,10,11,11,11,16,15,11,16,20,19,18,14,12,13,13,10,8,6,8,13,13
"2018/01/06","三義","SO2",1.6,2,2,2,2.1,2.2,2.3,2.7,2.6,3,3.2,3.1,3.1,3.1,3,2.8,3,3.2,3.3,3.5,3.6,3.5,3.6,3.4
"2018/01/07","三義","CO",0.31,0.25,0.24,0.25,0.25,0.14,0.1,0.08,0.09,0.08,0.09,0.1,0.09,0.11,0.14,0.17,0.21,0.2,0.2,0.24,0.25,0.23,0.23,0.23
"2018/01/07","三義","NOx",11,12,12,11,11,7,4.6,4.2,4.5,4.4,5.2,5.2,6,6.6,9.5,10,12,12,11,14,11,7.8,8,10
"2018/01/07","三義","O3",18,22,23,21,22,42,44,47,45,45,43,41,43,39,33,32,30,29,26,21,21,27,27,23
"2018/01/07","三義","PM10",14,18,14,7,8,13,10,7,11,15,14,12,15,15,11,12,16,16,11,11,11,14,17,19
"2018/01/07","三義","SO2",1.3,1.2,1.3,1.4,1.5,1.4,1.5,1.7,1.6,1.8,1.7,1.7,1.8,1.9,1.9,2.1,2.1,2.4,2.4,2.4,2.3,2.5,2.6,2.6
"2018/01/08","三義","CO",0.2,0.28,0.29,0.21,0.21,0.21,0.2,0.28,0.31,0.5,0.31,0.2,0.16,0.22,0.3,0.3,0.32,0.33,0.38,0.38,0.44,0.57,0.6,0.6
"2018/01/08","三義","NOx",7.3,6.4,9.6,11,9.7,9.8,11,18,19,35,21,12,5.6,17,29,23,21,16,23,31,17,20,19,17
"2018/01/08","三義","O3",25,36,28,18,18,18,23,14,11,5.5,12,26,34,24,13,19,21,23,16,9.8,14,8.1,8.3,11
"2018/01/08","三義","PM10",20,19,21,10,9,14,9,13,16,27,27,9,8,13,12,15,20,21,16,14,13,14,11,11
"2018/01/08","三義","SO2",1.8,1.9,2,1.4,1.3,1.4,1.6,2.1,3.6,3.7,2.3,1.6,1.7,1.5,2.4,2.1,1.7,1.9,1.9,2.2,2.1,1.9,2,2
"2018/01/09","三義","CO",0.6,0.6,0.6,0.57,0.52,0.5,0.48,0.48,0.46,0.45,0.44,0.41,0.41,0.42,0.44,0.51,0.52,0.51,0.49,0.48,0.44,0.43,0.35,0.28
"2018/01/09","三義","NOx",14,12,13,8.4,6.9,8.3,8.3,11,9.5,12,12,10,9.3,11,14,22,24,21,18,16,12,10,7.8,6.3
"2018/01/09","三義","O3",13,14,15,21,24,25,31,29,31,30,31,34,33,33,29,22,23,25,26,26,29,29,35,37
"2018/01/09","三義","PM10",12,8,10,13,13,13,13,14,21,29,27,31,35,37,40,43,49,48,43,38,34,35,30,25
"2018/01/09","三義","SO2",2.5,1,1.4,1.1,1,1.2,1.3,1.3,1.2,1.1,1.3,1.4,1.6,1.7,1.8,2.1,2.2,1.7,1.2,1.3,1,1,0.9,1
"2018/01/10","三義","CO",0.25,0.2,0.19,0.2,0.2,0.23,0.25,0.29,0.34,0.34,NA,0.32,0.3,0.27,0.25,0.25,0.25,0.26,0.29,0.29,0.26,0.22,0.21,0.2
"2018/01/10","三義","NOx",6.7,3.1,2.2,2.4,2.7,2.3,2.7,3.2,7,8.8,NA,9.5,9.5,11,11,10,11,12,14,13,8.7,6.5,4.5,3.6
"2018/01/10","三義","O3",38,39,41,38,38,39,39,39,40,41,44,38,44,46,47,48,46,43,37,35,37,40,42,43
"2018/01/10","三義","PM10",22,19,16,17,16,20,26,30,37,41,NA,46,40,39,37,31,31,27,28,28,25,21,17,19
"2018/01/10","三義","SO2",0.5,1.1,1,1.1,1.3,1.3,1.5,1.7,1.9,2.1,NA,2.3,2.6,3,2.5,2.3,2.2,1.5,1.7,1.6,1.4,1.1,1.5,1.1
"2018/01/11","三義","CO",0.2,0.16,0.16,0.17,0.17,0.16,0.17,0.19,0.18,0.2,0.23,0.21,0.23,0.22,0.21,0.21,0.23,0.25,0.22,0.21,0.21,0.19,0.18,0.16
"2018/01/11","三義","NOx",4.3,3.1,4.3,3.9,3.7,3.5,4,4.9,4,6.3,8.6,8.8,9,9.5,10,7.5,11,14,10,9.1,7.2,7.1,6.3,4.8
"2018/01/11","三義","O3",45,47,46,46,45,45,44,42,41,41,42,46,49,49,50,50,46,42,44,45,45,46,46,47
"2018/01/11","三義","PM10",21,22,26,26,26,26,24,21,19,24,32,39,38,41,47,45,42,45,43,40,39,33,32,29
"2018/01/11","三義","SO2",1.4,2,2,1.9,2.2,2,2.1,1.9,1.7,1.7,2.6,2.6,2.4,2.6,2.5,1.9,2.3,2.1,1.6,1.5,2,2.5,2,1.9
"2018/01/12","三義","CO",0.16,0.16,0.16,0.16,0.17,0.17,0.18,0.19,0.19,0.19,0.19,0.19,0.23,0.23,0.25,0.26,0.29,0.3,0.29,0.28,0.25,0.24,0.23,0.22
"2018/01/12","三義","NOx",3.9,3.3,2.7,2.9,2.8,3.5,4.9,5.7,6.2,4.9,5.7,5.7,7.2,6.8,7.2,7.6,8.4,8.4,8.4,6.7,5.6,4.5,3.9,3.2
"2018/01/12","三義","O3",46,45,44,44,43,42,40,40,40,42,44,46,47,50,50,49,47,45,44,45,45,43,41,39
"2018/01/12","三義","PM10",26,25,23,21,16,17,21,23,25,23,26,32,34,40,43,47,48,46,47,45,41,35,33,31
"2018/01/12","三義","SO2",2.3,2.2,2.1,2.2,2.5,2.5,2.5,2.8,2.4,1.8,1.9,1.8,2,2.3,2.1,2,1.8,1.7,1.9,2.3,2,1.6,1.1,0.9
"2018/01/13","三義","CO",0.21,0.2,0.19,0.18,0.18,0.17,0.18,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.2,0.26,0.29,0.33,0.27,0.29,0.2
"2018/01/13","三義","NOx",2.4,1.3,1.3,0.9,0.8,0.6,1.5,5.2,4.4,5.5,3.2,4.5,3.3,2.9,4.1,5.7,6.7,6.4,7.4,12,19,12,15,4.2
"2018/01/13","三義","O3",38,38,37,37,37,36,33,29,30,33,38,43,47,48,46,43,40,36,31,21,11,16,11,20
"2018/01/13","三義","PM10",26,23,24,26,21,16,15,18,18,17,18,20,22,19,18,17,15,13,13,20,21,16,14,16
"2018/01/13","三義","SO2",1.7,2,1.9,2,1.7,1.6,1.6,1.6,1.6,1.4,1.3,1.3,1.3,1.6,1.5,1.5,1.2,1,0.9,0.7,0.8,0.7,0.6,0.5
"2018/01/14","三義","CO",0.25,0.21,0.2,0.2,0.19,0.19,0.2,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.18,0.17,0.19,0.23,0.23,0.31,0.33,0.27,0.27
"2018/01/14","三義","NOx",3.1,4,3.1,3.8,3.1,2.9,3.1,4.6,3.9,5.2,4.3,4.2,4.9,6.1,5.9,5.8,6.2,7.5,11,13,21,17,9.1,13
"2018/01/14","三義","O3",29,29,26,30,28,30,32,32,45,50,60,61,61,60,61,57,46,41,31,26,15,13,13,11
"2018/01/14","三義","PM10",19,21,20,21,22,20,21,23,26,27,29,30,27,29,28,27,28,24,23,24,24,26,25,24
"2018/01/14","三義","SO2",2.1,1.3,1,1.1,1.1,1,1.1,1.1,1.2,1.4,1.6,1.8,2,2.4,2.5,2.4,1.8,1.7,1.5,1.5,1.5,1.3,0.7,0.6
"2018/01/15","三義","CO",0.27,0.22,0.21,0.2,0.22,0.21,0.2,0.3,0.22,0.2,0.21,0.21,0.2,0.25,0.23,0.2,0.19,0.21,0.21,0.21,0.22,0.23,0.24,0.27
"2018/01/15","三義","NOx",11,6,5.3,4.8,4,4.1,4.6,16,8.6,5.8,12,11,9.1,14,14,11,9.2,9.5,11,11,12,13,9.5,18
"2018/01/15","三義","O3",12,18,24,27,22,21,22,20,34,38,38,41,46,47,51,48,45,38,32,30,25,24,20,10
"2018/01/15","三義","PM10",23,25,24,21,19,19,19,18,17,18,19,20,21,26,33,35,38,38,37,37,32,32,32,25
"2018/01/15","三義","SO2",0.7,1.6,1.4,1.3,1.4,1.3,1.2,1.2,1.7,2.1,2.2,2.5,2.2,3.7,3.9,3.1,2.1,1.4,1.6,1.4,1.4,1.3,1.1,0.5
"2018/01/16","三義","CO",0.25,0.26,0.35,0.28,0.29,0.25,0.23,0.25,0.24,0.22,0.28,0.19,0.18,0.17,0.18,0.22,0.28,0.37,0.4,0.34,0.3,0.26,0.22,0.18
"2018/01/16","三義","NOx",11,13,28,20,21,15,11,11,9.9,7.6,18,7.6,7.1,7.7,8.2,11,17,22,23,22,20,13,11,7.5
"2018/01/16","三義","O3",11,12,6.8,15,8.6,19,24,25,27,29,25,45,50,52,51,45,38,28,19,19,20,25,28,36
"2018/01/16","三義","PM10",28,33,32,34,31,31,35,38,40,42,43,32,24,23,20,27,32,42,53,43,29,18,10,8
"2018/01/16","三義","SO2",1.9,2.8,2.7,2.5,2,1.8,1.8,1.7,2.1,2.1,2.2,1.7,1.6,1.7,1.7,1.9,2.1,3,3.1,2.2,1.6,1.2,0.9,0.9
"2018/01/17","三義","CO",0.19,0.18,0.17,0.2,0.22,0.24,0.24,0.28,0.31,0.32,0.26,0.22,NA,0.21,0.26,0.33,0.34,0.36,0.33,0.36,0.39,0.35,0.36,0.27
"2018/01/17","三義","NOx",10,9.7,8,23,22,26,25,28,29,32,22,13,NA,10,16,17,16,16,12,14,14,16,12,8.4
"2018/01/17","三義","O3",34,26,24,8.1,6.6,3.9,5.9,7.7,9.4,12,21,29,41,46,51,63,59,50,47,39,25,17,9.6,12
"2018/01/17","三義","PM10",15,17,14,24,32,38,36,27,33,39,37,33,NA,32,39,60,85,96,89,86,77,50,31,29
"2018/01/17","三義","SO2",1.3,0.7,0.6,1.1,1.3,1.3,1,1,2,1.9,1.2,0.8,NA,1.3,2.3,2.8,2,1.3,0.9,0.9,0.6,0.9,0.1,-0.5
"2018/01/18","三義","CO",0.19,0.21,0.2,0.22,0.25,0.28,0.25,0.24,0.27,0.31,0.27,0.29,0.31,0.32,0.28,0.27,0.29,0.29,0.29,0.3,0.33,0.35,0.41,0.34
"2018/01/18","三義","NOx",5.5,19,14,16,15,13,7.3,7.1,11,17,14,19,18,19,15,13,14,15,14,13,15,15,14,13
"2018/01/18","三義","O3",16,11,9.4,10,12,17,22,22,18,16,19,20,28,35,45,45,37,32,30,26,21,19,16,15
"2018/01/18","三義","PM10",26,19,21,29,34,42,37,28,33,42,NA,36,41,47,46,47,53,57,50,42,38,36,60,54
"2018/01/18","三義","SO2",0.4,0.9,0.7,0.8,1.1,1.3,1.2,0.8,0.9,0.8,1,1,1.1,1.7,1.8,1.7,1.1,0.8,0.7,0.4,0.4,0.2,0.2,0
"2018/01/19","三義","CO",0.33,0.31,0.26,0.25,0.25,0.24,0.25,0.27,0.29,0.29,0.31,0.29,NA,NA,0.35,0.34,0.27,0.22,0.17,0.17,0.24,0.32,0.48,0.44
"2018/01/19","三義","NOx",16,15,13,12,10,9.2,9,10,11,10,12,10,NA,15,22,20,12,8.7,6.4,5.6,15,21,33,24
"2018/01/19","三義","O3",13,15,26,33,36,39,39,35,35,35,32,35,37,33,28,28,30,29,28,27,17,7.3,2.8,9.3
"2018/01/19","三義","PM10",31,28,20,17,17,10,9,11,11,11,13,18,18,17,24,30,27,20,15,10,12,21,32,39
"2018/01/19","三義","SO2",1,1.2,1,0.9,0.8,0.9,0.9,0.7,0.8,0.8,0.8,1,NA,1.5,1.7,1.7,1.1,0.9,0.7,0.8,0.8,1.1,1.6,1.2
"2018/01/20","三義","CO",0.4,0.35,0.34,0.32,0.32,0.33,0.35,0.37,0.39,0.42,0.42,0.44,0.42,0.43,0.41,0.44,0.44,0.43,0.47,0.49,0.48,0.45,0.45,0.44
"2018/01/20","三義","NOx",15,11,11,12,10,8.4,8.2,9.3,9.4,17,16,18,14,15,13,15,15,12,13,15,14,12,11,9.9
"2018/01/20","三義","O3",18,21,17,25,27,34,34,32,31,26,29,32,35,37,43,43,43,44,37,30,28,29,27,26
"2018/01/20","三義","PM10",39,33,30,32,24,18,24,29,32,42,47,53,57,54,53,60,73,84,85,72,56,42,29,22
"2018/01/20","三義","SO2",1.4,0.7,0.6,0.9,0.8,0.5,0.5,0.5,0.5,0.7,0.9,0.8,0.9,1,1.2,1.4,1.5,1.1,1,1.3,0.9,0.9,0.7,0.5
"2018/01/21","三義","CO",0.44,0.46,0.45,0.42,0.42,0.41,0.39,0.36,0.36,0.37,0.39,0.39,0.46,0.42,0.43,0.39,0.37,0.39,0.41,0.41,0.38,0.38,0.36,0.33
"2018/01/21","三義","NOx",8.8,9,8.4,11,10,10,11,9.1,7.8,7.9,10,11,20,13,12,12,13,12,12,12,11,8.8,8.3,8.7
"2018/01/21","三義","O3",20,20,18,20,21,23,25,29,27,25,22,28,35,58,64,64,52,42,36,32,29,31,27,27
"2018/01/21","三義","PM10",23,26,22,22,29,24,21,24,23,26,30,30,35,49,53,51,58,56,53,58,52,39,32,24
"2018/01/21","三義","SO2",0.7,1.5,1.6,1.5,2,1.7,1.7,1.3,1.3,1.4,1.5,1.6,4.5,2.6,2.7,2.5,3.7,1.9,1.4,1.5,2.1,1,1.2,1.2
"2018/01/22","三義","CO",0.31,0.28,0.28,0.28,0.3,0.29,0.33,0.36,0.34,0.32,0.36,0.38,0.38,0.39,0.44,0.51,0.47,0.51,0.5,0.47,0.46,0.44,0.42,0.41
"2018/01/22","三義","NOx",8.4,6.5,6.3,5.9,13,8.5,13,15,14,9.5,15,15,15,14,19,20,13,12,11,9.4,10,8,8.2,6.8
"2018/01/22","三義","O3",35,34,34,34,20,24,17,15,17,27,20,22,26,31,44,45,48,48,42,40,41,43,41,41
"2018/01/22","三義","PM10",13,8,11,15,19,17,13,16,20,27,40,46,46,41,47,60,49,38,33,28,30,32,33,32
"2018/01/22","三義","SO2",0.7,1.4,1.1,0.9,0.8,1,0.9,0.9,1.1,1.3,2.8,1.2,1.1,1.4,2.3,2.7,2.1,2.2,1.5,1.5,1.4,1.3,1.1,1.3
