"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","新竹","CO",0.34,0.32,0.34,0.32,0.29,0.29,0.32,0.36,0.37,0.36,0.37,0.38,0.39,0.4,0.43,0.44,0.46,0.55,0.57,0.59,0.6,0.58,0.52,0.49
"2018/01/01","新竹","NOx",8.4,7.3,7.1,7,5.9,6.2,6.9,8.7,9.1,8.4,7.9,7.7,7.4,7.8,8.9,9.5,10,14,14,14,15,16,14,14
"2018/01/01","新竹","O3",39,40,40,40,42,40,39,37,40,43,44,46,47,47,43,40,35,29,29,30,28,29,29,28
"2018/01/01","新竹","PM10",71,65,56,57,55,48,47,48,49,49,42,29,29,34,36,39,41,37,36,38,38,39,41,36
"2018/01/01","新竹","SO2",2.7,2.7,2.4,2.5,2.5,2.4,2.2,2.3,2.5,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.7,2.4,2.4,2.1,2.1,2.3,3.1,3.1
"2018/01/02","新竹","CO",0.43,0.34,0.42,0.4,0.32,0.3,0.36,0.56,0.57,0.5,0.56,0.73,0.54,0.44,0.43,0.42,0.44,0.5,0.48,0.59,0.6,1.04,1.35,1
"2018/01/02","新竹","NOx",13,8.6,16,16,14,9.7,17,30,27,27,31,34,25,16,17,19,24,28,28,33,30,53,73,53
"2018/01/02","新竹","O3",29,31,21,14,13,19,13,10,19,23,27,35,45,61,62,45,31,20,15,8.7,8.7,1,0.4,1
"2018/01/02","新竹","PM10",32,29,25,24,24,23,20,15,13,14,23,NA,44,41,41,50,57,50,35,31,31,30,34,37
"2018/01/02","新竹","SO2",1.4,1.2,1.8,1.3,1.5,1.2,1.2,1.1,1.4,1.7,1.9,2.3,2.2,2.6,2.8,2.7,3.1,3.1,2.8,2,1.7,2.1,2.6,2.2
"2018/01/03","新竹","CO",0.87,0.69,0.59,0.4,0.37,0.45,0.39,0.75,1.3,0.83,0.76,0.58,0.54,0.54,0.51,0.52,0.68,0.87,1.02,0.88,1.17,0.9,1.19,0.93
"2018/01/03","新竹","NOx",47,40,30,23,20,28,25,48,71,41,43,32,19,17,16,18,35,32,34,25,46,43,50,44
"2018/01/03","新竹","O3",0.6,0.1,3.1,3.7,6,1.7,3.1,2,3.8,17,24,38,55,66,66,61,43,44,35,42,16,8.6,4.1,8.2
"2018/01/03","新竹","PM10",37,36,42,43,33,30,28,25,39,67,83,90,94,98,98,97,108,116,125,129,121,103,82,87
"2018/01/03","新竹","SO2",3,1.2,1.4,1.5,1.1,1.1,0.9,1.5,3.3,4.8,6,6.1,3.7,3.5,3.4,3.4,3.8,3.2,3.2,3,3.3,2.8,2.1,2.7
"2018/01/04","新竹","CO",0.65,0.54,0.66,0.52,0.51,0.59,0.75,1.41,1.16,0.79,0.61,0.36,0.32,0.33,0.34,0.35,0.37,0.38,0.34,0.3,0.3,0.36,0.28,0.26
"2018/01/04","新竹","NOx",28,22,38,27,19,30,48,60,49,47,29,13,11,14,17,15,17,17,15,12,11,15,12,9.7
"2018/01/04","新竹","O3",21,21,5.7,16,22,3.9,0.4,1.7,6.7,10,16,31,35,33,29,32,27,26,24,26,27,22,24,26
"2018/01/04","新竹","PM10",93,87,95,106,105,99,87,86,103,104,88,60,39,40,45,42,34,31,29,29,30,33,40,44
"2018/01/04","新竹","SO2",2,3,4,5.5,4.1,2.7,2.3,3.7,4.5,5.5,2.9,1.7,1.1,1.4,1.3,1.1,1,1,1,1.1,0.8,1.2,1,1.3
"2018/01/05","新竹","CO",0.24,0.25,0.24,0.25,0.25,0.31,0.31,0.48,0.47,0.4,0.38,0.35,0.34,0.31,0.31,0.31,0.33,0.35,0.38,0.37,0.38,0.41,0.39,0.36
"2018/01/05","新竹","NOx",9.4,9.1,8.9,8.5,11,15,15,25,22,19,20,19,17,14,16,16,17,17,17,15,14,16,14,12
"2018/01/05","新竹","O3",24,25,23,23,19,14,15,8.3,12,16,16,17,21,24,23,22,21,22,22,23,23,21,24,27
