"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","打","CO",0.3,0.32,0.3,0.28,0.27,0.28,0.29,0.32,0.32,0.33,0.34,0.35,0.35,0.36,0.37,0.36,0.4,0.47,0.5,0.5,0.48,0.44,0.4,0.4
"2018/01/01","打","NOx",9.1,7.2,6.7,6,5.2,6.2,6.2,7.8,7.7,7.7,7.3,7.5,6.9,6.9,7.3,6.7,7.2,9.1,9.9,10,9.9,10,9.2,9.4
"2018/01/01","打","O3",43,42,42,44,45,42,42,41,45,47,48,50,51,50,49,46,43,40,38,38,39,39,38,37
"2018/01/01","打","PM10",64,60,55,58,58,60,62,57,56,61,65,66,56,46,38,38,45,56,59,50,51,52,48,47
"2018/01/01","打","SO2",2,2.1,2.2,1.7,2.2,2.4,2.1,2.2,1.9,1.6,1.5,1.6,1.7,1.7,2.4,2.5,2.5,2.7,2.2,2,1.9,2.1,1.9,2.2
"2018/01/02","打","CO",0.36,0.32,0.32,0.3,0.3,0.31,0.4,0.5,0.52,0.52,0.45,0.36,0.33,0.32,0.3,0.34,0.41,0.51,0.56,0.51,0.49,0.65,0.67,0.58
"2018/01/02","打","NOx",7.8,4.7,6.1,6.3,6.6,7.4,15,16,21,23,18,13,11,11,9.9,13,18,22,26,22,21,37,40,47
"2018/01/02","打","O3",41,42,38,37,37,35,29,31,30,33,40,50,59,60,50,38,35,26,20,21,20,7.2,4.8,2.7
"2018/01/02","打","PM10",43,29,21,23,23,22,20,21,25,34,36,24,19,22,NA,34,43,51,46,40,36,41,47,45
"2018/01/02","打","SO2",2.6,2.9,3,3.3,2.9,3,3.2,3.8,4.3,4.3,3.9,3.6,3.7,3.5,4.4,4.8,4.9,4.7,4.6,4.3,5.4,3.9,3.9,3.8
"2018/01/03","打","CO",0.42,0.38,0.43,0.47,0.49,0.41,0.66,0.82,0.68,0.48,0.42,0.46,0.49,0.45,0.36,0.36,0.5,0.61,0.56,0.38,0.36,0.34,0.27,0.24
"2018/01/03","打","NOx",34,20,21,39,46,48,64,57,67,37,37,28,20,14,11,10,29,34,22,20,18,17,13,12
"2018/01/03","打","O3",5.5,17,14,5.3,2.3,2.4,2.5,7.2,8.6,22,30,44,60,76,74,72,56,42,37,24,25,26,29,29
"2018/01/03","打","PM10",36,33,34,44,59,50,38,46,57,65,63,65,79,88,79,76,95,121,139,88,29,29,33,25
"2018/01/03","打","SO2",2.2,1.4,1.9,2,2.2,1.8,1.8,3.3,3.8,5,4.9,3.9,3.6,3.6,3.9,3.7,4.4,5.3,3.2,2.7,2.4,1.6,1.9,1.9
"2018/01/04","打","CO",0.3,0.27,0.31,0.41,0.51,0.54,0.73,0.85,0.93,0.83,0.34,0.21,0.21,0.21,0.2,0.22,0.22,0.21,0.19,0.19,0.19,0.19,0.19,0.18
"2018/01/04","打","NOx",20,18,20,25,26,45,76,72,86,69,19,9.1,8,6.5,7.4,9.2,11,8.2,8.6,7.6,7.8,7,6.9,6.4
"2018/01/04","打","O3",18,17,14,9.2,10,3.3,2.8,4.5,4.8,8.9,26,37,40,42,41,38,34,35,32,32,31,32,30,31
"2018/01/04","打","PM10",23,26,25,44,81,92,97,113,118,116,88,49,35,36,30,26,34,36,34,35,37,45,48,39
"2018/01/04","打","SO2",1,1.5,2.4,3.2,3.8,3.5,4,5.7,10,8.8,3.2,2.3,1.8,1.8,3.3,2.6,2.2,2.4,2.4,2.4,2,1.7,1.6,1.5
"2018/01/05","打","CO",0.18,0.17,0.17,0.17,0.19,0.2,0.23,0.35,0.32,0.25,0.24,0.21,0.22,0.21,0.19,0.19,0.2,0.24,0.24,0.25,0.25,0.26,0.27,0.27
"2018/01/05","打","NOx",5.1,4.1,4.6,3.7,4,6.6,7.8,14,14,12,12,11,8.9,7.2,6.7,6.9,7.8,8.7,10,9.9,8.7,7.4,7.8,7.9
"2018/01/05","打","O3",33,30,28,29,27,22,23,17,19,21,22,24,28,31,31,31,31,30,29,29,31,31,31,31
"2018/01/05","打","PM10",32,29,20,22,26,24,33,34,31,31,28,23,20,19,14,20,24,23,26,26,26,27,24,16
"2018/01/05","打","SO2",1.7,2,3,3.1,2.8,3,2.8,3.3,2.6,2.5,2.1,2.2,1.9,1.7,2.7,2.5,2.7,3,3.6,3.6,3,2.2,2.1,2.4
"2018/01/06","打","CO",0.27,0.26,0.25,0.25,0.24,0.23,0.25,0.27,0.29,0.3,0.29,0.34,0.32,0.3,0.31,0.31,0.33,0.34,0.37,0.34,0.31,0.23,0.21,0.22
"2018/01/06","打","NOx",6.9,7.1,6.6,5.9,5.3,5.2,6.9,9.1,11,12,13,14,14,13,15,16,17,17,17,16,16,9.9,6.7,9
"2018/01/06","打","O3",31,34,34,35,36,36,34,32,32,31,31,29,29,29,27,26,25,25,24,25,25,33,36,32
"2018/01/06","打","PM10",13,8,NA,4,13,11,11,15,18,20,20,14,11,14,5,2,11,11,13,16,16,21,24,18
"2018/01/06","打","SO2",1.8,3.7,4.4,4.2,4.2,4.2,4.1,3.8,3.7,3,3.1,2.8,2.8,2.7,3.5,3.8,3.8,3.7,3.6,4,3.4,3.6,3.4,3.1
"2018/01/07","打","CO",0.23,0.27,0.24,0.23,0.19,0.17,0.19,0.2,0.17,0.17,0.21,0.23,0.22,0.24,0.23,0.25,0.24,0.22,0.2,0.2,0.25,0.31,0.31,0.25
"2018/01/07","打","NOx",11,14,13,5.5,4.6,3.8,5.2,5.8,6,5.6,8.4,9.4,8.8,9.9,11,12,11,9.7,7.5,7.2,10,18,20,15
"2018/01/07","打","O3",29,26,29,37,40,42,40,41,41,43,40,40,38,35,35,32,34,36,37,37,30,18,15,15
"2018/01/07","打","PM10",14,12,4,3,11,11,9,12,13,16,18,15,14,11,NA,NA,9,13,14,13,18,19,16,14
"2018/01/07","打","SO2",5.2,2.5,3.8,2.6,2.2,2.1,2.3,2,1.8,1.2,1.3,1.1,0.7,0.9,1.5,1.8,2.1,2,1.6,2.1,1.7,1.4,0.9,0.8
"2018/01/08","打","CO",0.28,0.22,0.24,0.23,0.24,0.22,0.29,0.58,0.46,0.35,0.44,0.37,0.25,0.19,NA,0.21,0.25,0.5,0.6,0.61,0.61,0.61,0.63,0.65
"2018/01/08","打","NOx",19,19,16,11,14,14,15,22,27,20,28,40,21,12,NA,12,20,18,11,12,12,11,9.9,9.7
"2018/01/08","打","O3",8.4,12,13,21,16,18,20,17,16,21,16,10,20,28,NA,15,14,15,20,17,18,17,17,16
"2018/01/08","打","PM10",13,11,6,7,9,9,11,12,15,21,20,15,12,10,NA,NA,NA,13,15,12,12,14,13,13
"2018/01/08","打","SO2",-0.1,4.2,5.5,4.7,4.4,4.4,4.5,4.4,5,4.3,1.5,1.3,1.2,1.1,NA,2.3,2.7,2.5,2,2.1,2.3,1.8,1.9,1.9
"2018/01/09","打","CO",0.63,0.59,0.54,0.47,0.45,0.44,0.43,0.52,0.5,0.62,0.61,0.59,0.45,0.43,0.43,0.42,0.46,0.45,0.42,0.52,0.69,0.74,0.45,0.35
"2018/01/09","打","NOx",7.8,7.7,7.5,6.7,6.4,6,11,18,23,31,36,33,14,11,14,15,16,14,16,25,32,36,20,11
"2018/01/09","打","O3",19,19,23,30,34,35,31,25,23,18,19,20,33,38,36,35,33,33,31,20,13,9.9,25,34
"2018/01/09","打","PM10",16,16,20,23,25,25,29,33,39,40,39,48,52,51,56,59,58,54,46,45,50,53,53,45
"2018/01/09","打","SO2",1.2,1.7,1.8,2,2.2,1.6,2.2,2.4,2.5,2.3,3.1,3.3,2.5,2.5,2.6,2.6,2.1,1.9,2.8,2.7,2.4,2.6,2.9,2.7
"2018/01/10","打","CO",0.3,0.31,0.31,0.31,0.36,0.41,0.46,0.6,0.51,0.32,0.27,0.24,0.21,0.2,0.2,0.21,0.23,0.27,0.29,0.32,0.49,0.46,0.37,0.33
"2018/01/10","打","NOx",13,18,15,10,11,15,19,30,29,14,8.7,8.3,6.9,6,6.4,7.4,11,13,14,16,28,24,19,16
"2018/01/10","打","O3",33,29,31,36,34,30,28,22,27,40,47,48,51,53,53,53,50,46,43,40,27,30,35,35
"2018/01/10","打","PM10",39,36,39,43,43,45,50,52,54,49,39,37,33,33,34,27,28,32,34,36,42,42,38,37
"2018/01/10","打","SO2",5.4,4.2,3.6,2.7,2.4,2.6,2.5,2.9,2.7,2,1,1.1,1,0.7,0.7,0.6,1.1,0.8,0.8,0.9,1.4,1.9,2,1
