"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","竹東","CO",0.24,0.21,0.21,0.2,0.2,0.23,0.35,0.39,0.37,0.31,0.26,0.28,0.29,0.29,0.33,0.33,0.34,0.54,0.63,0.6,0.68,0.61,0.58,0.41
"2018/01/01","竹東","NOx",4.4,3.1,3.1,2.8,2.8,3.6,7.9,9.1,8.4,7,6.4,8.6,6.8,6.6,8.6,9.5,9.4,15,21,18,22,19,16,7.2
"2018/01/01","竹東","O3",43,44,44,43,41,38,24,20,23,38,41,43,46,45,41,38,34,25,19,20,14,15,16,23
"2018/01/01","竹東","PM10",46,47,36,29,24,26,22,17,20,25,27,29,27,30,32,35,37,30,28,31,31,31,32,29
"2018/01/01","竹東","SO2",0.9,1.5,1.7,1.6,1.4,1.7,2,2.5,2.8,3.1,5.3,3.9,2.7,2.1,1.9,1.8,1.9,2.3,3,3.4,3.7,5.3,4.6,3.4
"2018/01/02","竹東","CO",0.35,0.32,0.31,0.31,0.31,0.33,0.44,0.61,0.47,0.39,0.35,0.3,0.36,0.41,0.44,0.45,0.41,0.46,0.57,0.51,0.56,0.51,0.53,0.44
"2018/01/02","竹東","NOx",5.2,5.8,5.1,6,9,9.5,15,20,23,18,14,9.5,13,19,20,19,21,22,27,22,22,18,21,15
"2018/01/02","竹東","O3",28,26,20,18,11,15,8.9,15,15,23,33,40,43,53,69,68,41,25,16,14,12,15,9.7,14
"2018/01/02","竹東","PM10",23,17,20,23,21,17,14,18,21,21,21,17,14,17,30,42,43,42,38,33,32,30,27,25
"2018/01/02","竹東","SO2",1.9,1.9,1.7,1.6,2.2,1.6,1.6,2,2.6,3.1,2.8,2.3,2.5,3.6,4.2,3.6,3.7,3.2,3.7,2.7,2.8,3,3,2.8
"2018/01/03","竹東","CO",0.35,0.25,0.23,0.22,0.23,0.3,0.5,0.75,0.6,0.5,0.48,0.36,0.44,0.46,0.51,0.53,0.59,0.62,0.77,0.99,0.75,0.73,0.69,0.56
"2018/01/03","竹東","NOx",11,6.4,5.1,5.9,6.9,11,21,31,24,22,30,16,18,20,21,21,22,22,37,43,33,30,26,15
"2018/01/03","竹東","O3",15,17,21,20,20,14,7.9,7.2,13,22,27,52,60,65,67,68,60,56,33,13,25,20,17,22
"2018/01/03","竹東","PM10",21,17,14,14,12,11,14,22,27,31,47,82,86,78,99,103,113,121,119,124,113,98,95,93
"2018/01/03","竹東","SO2",2.1,2.1,1.5,1.1,1.3,1.3,2.2,3.1,4,4,5,4,3.6,4.5,4,3.7,3.4,3.3,3.4,3.4,5.9,4,3.4,2.9
"2018/01/04","竹東","CO",0.41,0.44,0.4,0.33,0.37,0.4,0.55,0.8,0.69,0.67,0.58,0.59,0.6,0.34,0.3,0.3,0.37,0.31,0.43,0.37,0.29,0.26,0.25,0.22
"2018/01/04","竹東","NOx",12,10,8.1,6.8,8.1,10,18,28,27,22,16,21,26,17,19,24,27,23,23,21,17,12,13,11
"2018/01/04","竹東","O3",18,17,16,18,17,13,6.7,5.4,8.6,24,36,30,26,33,28,20,17,18,14,13,15,18,18,18
"2018/01/04","竹東","PM10",73,54,55,48,44,46,46,55,64,100,134,132,117,92,67,53,50,46,49,53,37,30,32,30
"2018/01/04","竹東","SO2",2.3,0.9,0.5,0.5,0.5,0.3,0.5,1,2,4.2,3.5,NA,2.6,1.7,1.1,1.1,0.8,0.6,0.8,1,0.7,0.5,0.4,0.2
"2018/01/05","竹東","CO",0.21,0.2,0.18,0.18,0.19,0.2,0.27,0.44,0.35,0.34,0.28,0.27,0.27,0.25,0.27,0.27,0.25,0.23,0.21,0.23,0.23,0.24,0.24,0.24
"2018/01/05","竹東","NOx",11,12,8.9,7.9,9,13,19,32,22,23,17,20,18,15,15,18,17,13,11,11,9.9,8.7,9.5,8
"2018/01/05","竹東","O3",16,15,18,19,17,10,6,3.6,9.1,12,17,14,17,22,22,19,21,24,27,26,26,26,26,27
"2018/01/05","竹東","PM10",28,26,27,30,28,21,23,27,24,19,19,16,19,21,19,16,14,16,13,10,11,9,8,8
"2018/01/05","竹東","SO2",1.1,2.6,2.5,2.3,2.5,2.3,2.6,2.9,2.9,3.5,3,3.1,3,2.8,2.5,2.5,2.4,2.5,2.1,2.2,2,1.9,2,2.3
"2018/01/06","竹東","CO",0.24,0.24,0.24,0.24,0.25,0.28,0.32,0.31,0.45,0.49,0.44,0.35,0.39,0.41,0.37,0.39,0.4,0.45,0.45,0.45,0.44,0.43,0.41,0.32
"2018/01/06","竹東","NOx",8.7,5.3,5.4,5.6,5.8,6.6,8.5,7.8,14,18,20,18,17,15,21,24,23,22,21,22,20,18,17,11
"2018/01/06","竹東","O3",26,29,29,27,21,24,22,25,19,18,18,20,20,16,13,7.8,13,11,13,11,12,13,16,24
"2018/01/06","竹東","PM10",9,10,7,8,10,10,9,8,8,11,18,20,11,11,12,8,12,15,10,9,13,14,14,11
"2018/01/06","竹東","SO2",2.7,1.2,1.2,1,1.1,1.4,1.5,1.5,1.5,2.1,2.9,2.4,2.5,2.1,2.4,2.3,2,2.2,2,2.3,2.2,2.3,2.3,2.1
"2018/01/07","竹東","CO",0.33,0.27,0.24,0.2,0.15,0.1,0.09,0.11,0.1,0.09,0.08,0.13,0.21,0.21,0.34,0.25,0.3,0.28,0.27,0.25,0.26,0.33,0.27,0.26
"2018/01/07","竹東","NOx",10,9.8,8.7,7.6,5.3,4.6,4.7,5.5,6.5,6.3,5.2,9.5,15,13,18,16,20,18,17,13,14,16,12,12
"2018/01/07","竹東","O3",23,21,23,26,25,41,39,37,37,39,39,34,26,23,21,23,18,18,18,19,17,12,11,8.5
"2018/01/07","竹東","PM10",9,12,10,8,8,10,11,6,4,2,NA,1,6,8,11,10,10,13,11,9,11,11,12,12
"2018/01/07","竹東","SO2",1.9,0.5,0.5,0.5,0.3,-0.3,NA,-0.5,-0.4,1.2,1.2,1.4,1.7,1.8,2.3,4.7,3.7,2.5,2.5,2.4,2.1,2.5,2.6,2.4
"2018/01/08","竹東","CO",0.31,0.21,0.24,0.21,0.22,0.25,0.31,0.66,0.48,0.33,0.34,0.38,0.31,0.29,0.24,0.26,0.46,0.63,0.56,0.65,0.68,0.62,0.58,0.62
"2018/01/08","竹東","NOx",14,7.8,12,10,11,12,15,23,18,18,19,19,14,14,10,9.6,22,30,22,19,19,14,11,12
"2018/01/08","竹東","O3",6.3,8.2,9.7,17,14,13,9.7,8.4,14,17,16,17,16,23,25,26,14,7.8,12,13,12,16,19,15
"2018/01/08","竹東","PM10",10,15,16,13,12,10,9,13,15,15,13,12,11,8,5,3,9,15,12,9,8,10,10,7
"2018/01/08","竹東","SO2",2.4,1.4,1.5,1.3,1.2,1.1,1.1,1.4,2.1,2.2,2.2,2.1,1.9,1.7,1.4,1.1,1.4,2,2.2,2,1.6,1.6,1,1.1
"2018/01/09","竹東","CO",0.6,0.58,0.58,0.52,0.49,0.49,0.43,0.51,0.51,0.44,0.42,0.44,0.44,0.46,0.45,0.47,0.6,0.57,0.49,0.47,0.48,0.38,0.38,0.36
"2018/01/09","竹東","NOx",9.5,7.7,7.4,5.9,4.8,5,6.5,11,14,12,7.4,11,10,13,12,16,28,24,15,12,10,6,6.2,5.7
"2018/01/09","竹東","O3",18,19,19,24,30,33,34,30,27,32,34,32,33,30,30,28,18,21,29,30,30,35,33,32
"2018/01/09","竹東","PM10",10,11,7,8,9,13,20,28,32,29,29,32,38,38,41,48,54,53,46,42,37,34,34,32
"2018/01/09","竹東","SO2",1.4,0.6,0.6,0.6,0.7,0.5,0.4,0.3,0.7,0.6,0.8,1.1,1.3,0.9,1.4,1.7,1.3,1.3,1.2,1,0.8,0.7,0.5,1
"2018/01/10","竹東","CO",0.29,0.22,0.22,0.21,0.22,0.27,0.38,0.53,0.53,0.35,0.35,0.31,0.29,0.25,0.24,0.24,0.25,0.28,0.33,0.27,0.29,0.3,0.24,0.21
"2018/01/10","竹東","NOx",4.4,3.6,4.3,4.3,4.1,5.1,11,15,15,11,15,14,13,12,11,12,12,15,20,13,9.8,11,8,5.6
"2018/01/10","竹東","O3",34,36,33,34,34,35,28,25,26,41,35,45,40,49,48,48,46,42,35,42,40,32,37,44
"2018/01/10","竹東","PM10",27,18,15,13,11,16,23,27,31,37,39,38,36,35,32,33,35,32,32,32,25,24,27,28
"2018/01/10","竹東","SO2",0.8,1.7,1.5,1.5,1.6,1.8,1.7,2,2.8,3.3,3.9,3.3,3,2.6,2.4,2.6,2.4,2.3,2.6,1.8,2.4,2.6,1.7,1.7
"2018/01/11","竹東","CO",0.21,0.19,0.18,0.18,0.19,0.19,0.21,0.31,0.31,0.28,0.26,0.23,0.25,0.23,0.23,0.22,0.23,0.24,0.24,0.23,0.21,0.21,0.2,0.18
"2018/01/11","竹東","NOx",6.1,2.7,2.1,2.4,2.4,3,5,12,13,11,10,9.4,10,9,8.5,8.1,9.2,8.7,8.5,7.4,7.3,5.9,5.1,3.4
"2018/01/11","竹東","O3",42,47,48,47,47,45,40,37,33,40,37,42,44,45,46,47,40,44,46,48,46,47,46,47
"2018/01/11","竹東","PM10",25,24,26,28,31,27,28,32,31,40,46,38,37,39,42,42,38,42,44,42,38,36,33,28
"2018/01/11","竹東","SO2",2.8,2,2,2.1,2.1,1.9,1.9,2,NA,3.5,3.8,2.3,3,2.8,2.7,2.8,2.4,2.2,1.9,2.6,3.3,2.3,2.5,2.4
"2018/01/12","竹東","CO",0.17,0.14,0.15,0.14,0.15,0.16,0.16,0.21,0.19,0.18,NA,NA,0.23,0.23,0.25,0.26,0.28,0.28,0.25,0.24,0.22,0.21,0.2,0.19
"2018/01/12","竹東","NOx",2.9,2.7,2.5,2.6,3,3.6,5.1,8.4,8.3,7.4,NA,NA,7.7,7.7,8.5,8.2,9.8,10,9.2,8,7.6,6.3,5.6,5.4
"2018/01/12","竹東","O3",45,45,44,43,42,41,40,36,39,42,NA,42,45,46,47,47,45,45,45,43,40,39,38,38
"2018/01/12","竹東","PM10",27,24,22,26,24,23,25,27,29,26,NA,43,44,46,48,50,54,55,46,41,41,37,28,21
"2018/01/12","竹東","SO2",2.4,1.8,2.1,2,2.3,2.4,2.7,2.1,2.5,2.4,NA,NA,1.9,1.8,1.8,1.8,1.6,2.2,3,2.4,1.2,1,0.7,0.7
"2018/01/13","竹東","CO",0.17,0.16,0.17,0.19,0.2,0.26,0.31,0.3,0.31,0.18,0.17,0.16,0.16,0.15,0.14,0.14,0.13,0.16,0.15,0.24,0.32,0.39,0.31,0.24
"2018/01/13","竹東","NOx",2.8,3.4,3.6,5.5,6.4,9.9,13,13,14,7.6,6.3,5.3,6.1,5.5,5.4,4.7,5.1,6.9,7,11,14,16,13,9.3
"2018/01/13","竹東","O3",39,40,38,27,22,18,16,25,28,37,38,38,39,40,40,35,39,36,36,33,26,20,18,20
"2018/01/13","竹東","PM10",18,17,17,16,17,17,18,NA,21,19,13,12,16,18,17,16,18,18,13,11,11,11,11,16
"2018/01/13","竹東","SO2",2.3,1.3,1.2,1.4,1.6,1.8,1.8,2.5,2.6,1.9,1.6,1.5,1.1,1,1.1,1.1,0.9,1,0.9,1.2,2.2,2.5,2,2.5
"2018/01/14","竹東","CO",0.22,0.21,0.18,0.16,0.17,0.19,0.31,0.48,0.38,0.29,0.24,0.21,0.19,0.2,0.2,0.2,0.22,0.38,0.46,0.52,0.47,0.37,0.36,0.29
