"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","­]®ß","CO",0.29,0.28,0.28,0.28,0.3,0.7,0.67,0.84,0.63,0.37,0.34,0.35,0.35,0.36,0.39,0.42,0.46,0.53,0.56,0.64,0.75,0.74,0.72,0.72
"2018/01/01","­]®ß","NOx",8.7,8.5,8.8,9.9,11,31,33,45,25,13,10,11,12,13,15,18,19,26,21,25,33,34,43,42
"2018/01/01","­]®ß","O3",39,39,40,38,31,4.7,1.2,2.1,17,33,43,48,51,51,48,41,34,21,22,17,11,6.8,0.1,-0.2
"2018/01/01","­]®ß","PM10",74,61,56,54,45,42,43,50,42,43,45,43,44,44,51,50,56,57,50,38,51,53,51,49
"2018/01/01","­]®ß","SO2",2.6,2.4,2.3,2.6,2.4,1.8,1.9,2.2,2.6,2.9,2.3,2.6,2.9,3.7,3.7,4.4,3.6,4.9,3.1,3.3,3.6,3.5,2.1,1.9
"2018/01/02","­]®ß","CO",0.66,0.52,0.52,0.48,0.38,0.47,0.56,0.81,0.89,0.66,0.66,0.52,0.47,0.39,0.37,0.33,0.41,0.62,0.68,0.8,0.78,0.84,0.63,0.54
"2018/01/02","­]®ß","NOx",28,17,23,25,14,20,35,40,38,28,41,24,16,13,12,11,20,34,40,37,39,42,32,25
"2018/01/02","­]®ß","O3",1.1,6.5,0.4,0.7,6.5,1.3,-0.1,2.7,7.9,22,25,36,47,53,62,50,37,20,8.6,12,6.9,5.6,10,14
"2018/01/02","­]®ß","PM10",51,41,46,36,31,35,31,40,46,54,65,64,33,32,41,50,61,67,63,65,58,64,61,68
"2018/01/02","­]®ß","SO2",2,1.3,1.3,1.3,1.2,1.2,1.5,1.8,2,2,6.9,3.5,2.1,2.3,2.1,2,3.8,4,4.9,3.2,2.4,2.5,2.4,2.1
"2018/01/03","­]®ß","CO",0.45,0.45,0.5,0.44,0.38,0.41,0.55,1.01,0.87,0.64,0.54,0.53,0.56,0.56,0.58,0.54,0.57,0.98,1.09,0.71,0.65,0.82,0.74,0.68
"2018/01/03","­]®ß","NOx",25,21,30,29,26,17,23,62,66,36,24,31,21,17,17,22,21,34,39,24,30,40,41,36
"2018/01/03","­]®ß","O3",7.6,9.8,1.5,1.7,2.7,15,10,0.8,3.7,17,35,43,56,63,64,60,65,49,38,35,23,13,9.9,9.6
"2018/01/03","­]®ß","PM10",43,47,50,50,42,43,48,49,55,66,76,NA,93,105,117,110,100,120,116,111,109,116,115,112
"2018/01/03","­]®ß","SO2",1.2,2,1.8,1.8,1.6,1.6,1.8,2.3,3.6,4.6,5.5,7.4,4.1,3,3.8,6.4,4.9,4.8,4,2.9,3.9,4.4,4,3.6
"2018/01/04","­]®ß","CO",0.7,0.62,0.55,0.48,0.5,0.59,0.81,1.07,1.21,0.9,0.49,0.35,0.32,0.31,0.32,0.37,0.36,0.45,0.3,0.3,0.31,0.36,0.3,0.28
"2018/01/04","­]®ß","NOx",40,24,27,24,26,32,37,58,67,42,24,20,16,14,17,18,18,23,16,14,13,18,17,15
