"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","頭份","CO",0.28,0.26,0.26,0.25,0.25,0.27,0.3,0.39,0.38,0.31,0.31,0.33,0.33,0.34,0.36,0.38,0.41,0.53,0.55,0.57,0.58,0.6,0.66,0.69
"2018/01/01","頭份","NOx",11,10,8.2,11,8.5,8,11,14,16,9.5,9.5,9.3,9.1,9.6,9.9,11,12,18,18,19,24,31,29,30
"2018/01/01","頭份","O3",41,43,44,44,44,43,40,36,36,45,48,51,53,54,51,47,40,31,29,27,25,18,7.5,2.8
"2018/01/01","頭份","PM10",64,60,56,53,48,50,53,51,44,41,45,42,33,34,36,38,43,39,33,33,40,43,41,38
"2018/01/01","頭份","SO2",1.2,1.5,1.2,1.1,1.1,1.3,1.2,1.5,1.5,1.6,1.7,1.6,1.6,1.5,1.7,1.6,1.5,3.4,3.4,2.5,2.4,2.2,2.1,2.2
"2018/01/02","頭份","CO",0.55,0.48,0.45,0.39,0.37,0.39,0.48,0.71,0.68,0.63,0.64,0.52,0.43,0.43,0.36,0.29,0.36,0.59,0.78,0.82,0.93,0.91,0.52,0.53
"2018/01/02","頭份","NOx",19,16,19,11,13,21,26,34,34,37,38,26,20,18,14,12,19,33,50,45,46,44,31,33
"2018/01/02","頭份","O3",5.2,6.2,4.8,8.9,9.4,4.5,3.5,4.3,10,18,25,41,49,60,72,55,38,22,7.1,8.7,6.9,4.5,12,6.2
"2018/01/02","頭份","PM10",33,30,32,29,26,25,21,22,28,45,55,58,44,35,64,68,55,56,58,64,64,57,54,60
"2018/01/02","頭份","SO2",0.8,1.2,3.5,1.1,0.8,0.8,0.9,1.6,3.4,5.7,5.2,5.7,4.6,3.2,2.2,1.1,1.1,2.1,3.9,3.2,3.2,3.7,5.9,6
"2018/01/03","頭份","CO",0.57,0.47,0.49,0.39,0.33,0.33,0.46,0.89,1.12,0.61,0.52,0.54,0.51,0.55,0.54,0.5,0.59,0.81,0.6,0.6,0.7,0.82,0.86,0.91
"2018/01/03","頭份","NOx",40,23,29,19,10,11,24,54,83,33,25,21,19,16,13,16,26,43,30,27,36,43,37,61
"2018/01/03","頭份","O3",5.2,7.2,5.6,6.2,12,11,4.2,3.5,4.4,18,37,55,62,66,60,64,55,36,39,35,22,11,11,2.2
