"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","花蓮","CO",0.37,0.25,0.31,0.33,0.35,0.37,0.38,0.44,0.55,0.38,0.34,0.33,0.31,0.3,0.32,0.34,0.42,0.45,0.49,0.53,0.47,0.43,0.36,0.37
"2018/01/01","花蓮","NOx",7.8,4.1,7.7,9,6,7,10,16,20,14,13,11,8.5,6.8,6,7.9,12,16,18,17,17,13,11,10
"2018/01/01","花蓮","O3",37,46,35,30,30,26,24,18,15,33,36,41,45,48,48,44,37,32,28,26,23,20,19,15
"2018/01/01","花蓮","PM10",23,29,24,20,18,17,15,18,22,28,34,28,26,36,42,42,39,37,38,39,37,32,26,25
"2018/01/01","花蓮","SO2",1.9,1.3,1.7,1.6,1.4,1.3,1.5,1.5,1.6,2,2.4,2,2.1,1.6,1.3,1.3,1.6,1.8,1.7,1.6,1.9,1.4,1.4,1.3
"2018/01/02","花蓮","CO",0.31,0.3,0.31,0.32,0.27,0.28,0.38,0.46,0.47,0.39,0.4,0.4,0.36,0.26,0.28,0.37,0.55,0.68,0.73,0.5,0.34,0.29,0.26,0.27
"2018/01/02","花蓮","NOx",7.8,1.7,3.1,4.8,3.7,4.6,11,13,14,14,15,14,9.8,4.5,5.1,10,17,22,26,16,7.4,5.7,4.1,3.9
"2018/01/02","花蓮","O3",17,44,35,26,42,40,27,18,28,35,32,35,41,45,44,NA,28,23,13,20,29,26,30,28
"2018/01/02","花蓮","PM10",24,20,22,25,21,18,19,17,19,25,29,29,28,31,26,NA,39,41,41,39,36,27,24,27
"2018/01/02","花蓮","SO2",1.2,1.1,1.3,1.5,1.4,1.2,1.6,2.3,2,1.8,2.5,1.7,1.3,1.3,1.2,2.2,2,1.6,1.5,1.6,1.4,1.3,1.2,1.1
"2018/01/03","花蓮","CO",0.27,0.2,0.19,0.19,0.18,0.18,0.2,0.29,0.26,0.23,0.21,0.18,0.22,0.23,0.34,0.42,0.37,0.46,0.67,0.43,0.3,0.25,0.22,0.17
"2018/01/03","花蓮","NOx",5.2,3.1,3.3,2.6,2.4,2.5,3.5,7.5,7.3,7.6,5,3.8,5.1,5.2,13,18,14,18,27,17,11,8.2,8.4,4.8
"2018/01/03","花蓮","O3",23,24,25,21,16,16,16,13,17,21,40,43,42,42,32,27,30,26,15,22,25,24,23,25
"2018/01/03","花蓮","PM10",24,23,25,23,19,16,13,15,20,22,30,35,33,35,36,41,43,41,39,32,23,22,27,28
"2018/01/03","花蓮","SO2",1.1,1.5,1.5,1.5,1.4,1.4,1.8,1.9,2,3.5,3.7,1.6,1.5,1.8,1.9,2.1,1.9,2.1,2.4,2,1.6,1.6,1.8,1.5
"2018/01/04","花蓮","CO",0.16,0.14,0.14,0.13,0.13,0.13,0.17,0.3,0.21,0.18,NA,0.2,0.2,0.19,0.2,0.24,0.33,0.61,0.67,0.37,0.32,0.26,0.28,0.29
"2018/01/04","花蓮","NOx",4.4,1.2,1.1,0.4,0,0.7,2.4,9.7,6.5,4.5,NA,5.7,4.8,3.9,6.2,10,12,27,32,13,11,8.8,8.4,10
"2018/01/04","花蓮","O3",26,27,20,22,21,20,18,11,15,NA,17,20,25,31,30,27,27,9,3.7,7.2,7.6,7,6.2,6
"2018/01/04","花蓮","PM10",27,29,24,22,21,17,17,17,18,NA,25,21,17,20,27,42,46,39,38,31,24,20,15,17
"2018/01/04","花蓮","SO2",1.8,0.6,0.6,0.6,0.5,0.5,2.1,0.9,0.9,1.3,NA,1.2,0.8,1.2,5.2,2.1,1.1,1.1,1,0.8,0.7,0.7,0.7,0.6
"2018/01/05","花蓮","CO",0.17,0.16,0.15,0.13,0.13,0.21,0.37,0.81,0.52,0.44,0.33,0.33,0.31,0.3,0.3,0.26,0.25,0.27,0.25,0.24,0.24,0.24,0.23,0.27
