"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","金門","CO",0.52,0.53,0.51,0.49,0.5,0.49,0.52,0.52,0.51,0.51,0.49,0.49,0.48,0.49,0.5,0.5,0.51,0.52,0.52,0.49,0.49,0.5,0.49,0.48
"2018/01/01","金門","NOx",8.2,10,9.6,9.5,11,12,13,13,14,13,12,11,11,11,11,11,12,12,13,12,11,12,11,13
"2018/01/01","金門","O3",55,54,53,51,48,47,44,45,47,50,55,61,65,69,70,66,60,54,49,47,46,43,44,40
"2018/01/01","金門","PM10",145,145,138,134,133,132,131,137,138,130,127,127,127,129,131,132,130,126,119,122,126,121,116,119
"2018/01/01","金門","SO2",3.9,4.6,3.9,4,5.5,7.2,5.3,5.5,7.2,4.9,4,3.9,3.4,3.8,3.6,3.1,3.1,3.1,2.5,2.3,2.9,3.1,3,4.3
"2018/01/02","金門","CO",0.49,0.47,0.45,0.44,0.41,0.41,0.43,0.49,0.43,0.4,0.4,0.37,0.34,0.3,0.29,0.29,0.3,0.34,0.37,0.35,0.32,0.32,0.31,0.25
"2018/01/02","金門","NOx",15,15,17,15,9.6,8.4,14,14,23,14,15,13,11,9.3,8.7,8.8,9.6,12,14,13,14,17,31,16
"2018/01/02","金門","O3",35,35,35,37,41,40,30,34,33,41,43,46,52,57,57,57,52,43,39,34,32,27,16,29
"2018/01/02","金門","PM10",126,127,116,105,99,89,84,83,91,95,NA,99,93,80,68,63,62,65,69,73,69,66,79,79
"2018/01/02","金門","SO2",9.3,6,4.3,4.1,3.1,2.5,2,3.5,4.5,5.8,5.5,4.2,3.6,2.8,2.8,3,2.7,2.6,3.1,4.2,3.7,4.2,7,3.4
"2018/01/03","金門","CO",0.23,0.21,0.2,0.2,0.22,0.28,0.35,0.33,0.36,0.34,0.32,0.26,0.23,0.23,0.22,0.21,0.21,0.23,0.27,0.23,0.25,0.27,0.26,0.22
"2018/01/03","金門","NOx",8.7,5.3,4.8,4.8,7,18,19,19,32,27,13,8.5,5.6,5.2,5,5.5,6.6,7.9,8.6,8.4,7.9,13,12,10
"2018/01/03","金門","O3",35,37,37,36,29,15,16,21,19,28,40,51,51,50,51,50,44,40,38,39,37,29,29,32
"2018/01/03","金門","PM10",60,50,50,47,41,46,56,58,62,74,82,74,60,58,60,60,57,48,49,51,48,54,54,44
"2018/01/03","金門","SO2",2.4,2.4,2.2,2.1,1.8,1.8,1.8,2.2,3.3,5.3,7,3.8,2.9,2.4,2.6,2.5,2.9,3.2,3,2.9,2.5,3.4,3.8,3.6
