"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","馬公","CO",1.33,0.34,0.35,0.36,0.39,0.39,0.4,0.4,0.4,0.4,0.41,0.43,0.42,0.41,0.4,0.41,0.41,0.47,0.5,0.53,0.49,0.45,0.44,0.43
"2018/01/01","馬公","NOx",48,4.2,3.8,3.4,3.5,3.5,3.7,4.1,4.3,9,4.8,5.2,4.7,4.1,4.3,4.4,4.4,4.8,5.1,5,5.1,4.8,4.4,4
"2018/01/01","馬公","O3",49,47,48,49,50,49,49,48,48,48,51,53,54,54,55,56,54,53,53,53,51,49,48,47
"2018/01/01","馬公","PM10",662,663,63,62,66,65,63,60,59,62,65,67,69,65,61,63,64,67,73,79,74,75,75,64
"2018/01/01","馬公","SO2",16,1.9,1.7,1.4,1.5,1.1,1,0.8,1.1,1,0.9,1.6,1.4,1.3,1.1,1.4,0.9,0.9,0.6,0.5,0.5,0.7,0.4,1.1
"2018/01/02","馬公","CO",0.41,0.29,0.29,0.29,0.26,0.25,0.27,0.31,0.29,0.27,0.27,0.27,0.29,0.27,0.25,0.28,0.25,0.27,0.25,0.26,0.23,0.25,0.24,0.23
"2018/01/02","馬公","NOx",4.1,3.5,3.3,4.2,3.6,3.8,4.1,5.3,5.5,6.5,6.9,5.9,5.7,5.6,4.8,5.2,6.5,7.3,6.5,6.5,7.6,6,6.3,6.3
"2018/01/02","馬公","O3",46,46,46,45,45,44,44,42,41,42,44,49,50,53,55,54,51,49,49,47,44,44,42,39
"2018/01/02","馬公","PM10",57,46,44,55,54,51,52,54,57,54,55,56,57,59,59,58,54,48,46,39,49,63,47,53
"2018/01/02","馬公","SO2",1.1,1.9,1.9,2.1,1.7,1.8,1.6,1.8,2,2,2.2,2.5,2.2,2.4,2.3,2.3,2.5,2.3,2.2,2.2,2.3,2,2,2.3
"2018/01/03","馬公","CO",0.24,0.27,0.26,0.26,0.26,0.28,0.3,0.46,0.38,0.31,0.31,0.29,0.31,0.29,0.32,0.32,0.33,0.34,0.24,0.23,0.21,0.19,0.17,0.18
"2018/01/03","馬公","NOx",6.4,6.7,6,5.3,6.4,6.6,7.2,13,11,8.5,9,7.3,NA,NA,NA,9.2,12,11,6.9,6.4,6.2,5.3,4.8,4.6
"2018/01/03","馬公","O3",36,34,34,33,31,30,29,25,29,33,37,41,47,53,53,53,47,47,47,44,39,38,38,37
"2018/01/03","馬公","PM10",60,54,53,51,54,51,50,54,53,49,48,54,62,60,57,57,57,55,40,40,58,53,50,52
"2018/01/03","馬公","SO2",2.4,2.4,2.3,2.3,2.2,2.2,1.9,2,2.4,2.3,2.5,2.5,2.6,2.3,2.2,2.2,2.5,2.4,2.5,2.5,2.3,2.1,1.7,2
"2018/01/04","馬公","CO",0.19,0.26,0.28,0.29,0.3,0.29,0.3,0.34,0.34,0.31,0.29,0.3,0.3,0.28,0.26,0.26,0.28,0.3,0.27,0.26,0.27,0.25,0.26,0.24
"2018/01/04","馬公","NOx",3.8,4,3.7,2.8,3,3.2,3.8,5.3,NA,4.3,4.4,NA,NA,5.8,5.3,7.1,8.4,9.2,7.8,6.7,6.7,6.1,6.1,5.3
"2018/01/04","馬公","O3",38,38,38,38,37,37,37,35,35,35,35,36,37,38,38,35,34,33,34,35,34,34,33,32
"2018/01/04","馬公","PM10",41,35,34,25,30,39,32,34,31,30,29,17,26,36,24,21,18,14,12,15,21,19,12,11
"2018/01/04","馬公","SO2",1.8,2,1.8,1.8,1.6,1.6,1.5,1.4,1.5,1.5,1.5,1.8,1.7,1.7,1.7,1.7,1.8,1.7,1.6,1.5,1.5,1.5,1.4,2.1
"2018/01/05","馬公","CO",0.23,0.24,0.22,0.24,0.24,0.25,0.26,0.32,0.36,0.28,0.28,0.27,0.28,0.27,0.27,0.25,0.28,0.28,0.25,0.25,0.25,0.27,0.28,0.3
"2018/01/05","馬公","NOx",5,4.4,4.3,3.5,4,3.9,5.5,6.2,7.8,9.4,7.7,6.4,4.7,4.4,4.3,4.7,4.4,5.3,4.9,5,4.8,4.3,3.8,3.7
"2018/01/05","馬公","O3",31,32,32,30,29,30,29,34,33,26,28,30,34,35,36,40,38,35,34,33,33,34,34,34
"2018/01/05","馬公","PM10",17,22,18,14,14,15,14,14,20,19,20,24,23,22,18,14,15,16,15,16,17,19,21,19
"2018/01/05","馬公","SO2",2.2,2.4,2,2,2.1,1.8,2.2,1.9,2.5,3.3,2.6,2.5,2.2,2.1,2.1,2.1,2.1,2.1,1.7,2.2,1.9,1.7,1.6,2.2
"2018/01/06","馬公","CO",0.31,0.26,0.26,0.26,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.25,0.27,0.29,0.29,0.27,0.26,0.28,0.31,0.28,0.26,0.28,0.27
"2018/01/06","馬公","NOx",3.4,3.2,3.1,2,2.1,2.5,2.1,3,3.8,3.3,3.9,3.2,2.8,2.8,3,3,3.1,3.5,3.8,5.9,4.6,3.7,4.3,3.8
"2018/01/06","馬公","O3",35,36,36,35,34,35,35,35,34,35,35,36,37,38,38,39,38,38,35,29,33,33,31,31
"2018/01/06","馬公","PM10",17,18,22,21,19,18,17,17,23,23,14,11,15,15,8,3,8,9,7,6,NA,NA,NA,NA
"2018/01/06","馬公","SO2",2.3,1.9,1.7,1.8,1.9,1.7,1.4,1.5,1.7,1.6,1.6,1.7,1.9,1.7,1.4,1.6,1.8,1.4,1.4,1.4,1.3,1.4,1.2,1.9
"2018/01/07","馬公","CO",0.25,0.25,0.25,0.24,0.24,0.27,0.26,0.22,0.17,0.2,0.17,0.21,0.17,0.15,0.16,0.14,0.16,0.18,0.25,0.26,0.29,0.45,0.68,0.7
"2018/01/07","馬公","NOx",2.8,2.5,2.5,4.4,3.8,5,5.5,4.4,3.7,5.1,3.9,4.9,4.5,3,2.5,2.7,2.5,4,7.3,8,11,16,26,28
"2018/01/07","馬公","O3",33,32,31,29,30,24,26,33,39,39,41,40,40,40,39,39,38,37,34,31,27,21,14,11
"2018/01/07","馬公","PM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/07","馬公","SO2",2.1,1.1,1.1,1.3,1.2,0.8,0.9,1.1,1.1,1.1,1,1.5,1.8,1.3,1.3,1.4,1.1,1,1.2,1.7,2.4,2,2.7,3.7
"2018/01/08","馬公","CO",0.28,0.18,0.14,0.15,0.17,0.21,0.25,0.48,0.48,0.39,NA,0.27,0.19,0.19,0.18,0.22,0.39,0.38,0.28,0.31,0.5,0.45,0.48,0.55
"2018/01/08","馬公","NOx",9.2,5.4,3.8,4.6,5.8,8.5,14,28,30,19,NA,13,6.8,5.6,6.9,7.5,16,16,12,12,12,8.2,7.4,7.2
"2018/01/08","馬公","O3",22,26,28,25,23,18,12,6.7,9.9,16,NA,26,30,32,31,30,22,21,25,21,17,21,22,19
"2018/01/08","馬公","PM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/08","馬公","SO2",3.8,1.6,0.6,0.4,0.4,0.8,1.3,2.8,3.7,3,NA,1.5,0,-0.2,-0.4,-0.4,-0.2,0.2,1,1,1,0.8,0.7,1.4
"2018/01/09","馬公","CO",0.59,0.59,0.64,0.63,0.61,0.59,0.54,0.53,0.51,0.45,NA,0.42,0.42,0.4,0.38,0.38,0.39,0.41,0.38,0.36,0.28,0.28,0.24,0.25
"2018/01/09","馬公","NOx",7.5,7.7,8.9,8.3,7.3,5.7,4.8,5.4,6.1,5.2,NA,4.7,NA,NA,5.4,5.9,6,5.4,5.7,4.6,4.1,3.2,3.4,3
"2018/01/09","馬公","O3",18,17,12,11,13,19,23,26,28,33,36,NA,38,39,41,41,42,42,42,42,43,43,43,44
"2018/01/09","馬公","PM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,32,33,35,34,35,40,35,28,28,24
"2018/01/09","馬公","SO2",1.3,1.3,1.2,1.2,1.3,1.2,0.9,1,1.3,1.2,NA,NA,NA,2.7,3.1,2.8,2.7,2.6,2.8,2.8,2.5,2.6,2.3,1.9
"2018/01/10","馬公","CO",0.25,0.32,0.33,0.35,0.34,0.36,0.36,0.37,0.37,0.37,0.38,0.36,0.38,0.34,0.28,0.28,0.26,0.24,0.21,0.21,0.21,0.22,0.22,0.23
"2018/01/10","馬公","NOx",2.5,2.5,2.6,4,3.8,3.4,3.9,4.9,5.4,5.4,6.6,6.8,7.1,5.7,6.2,5.8,6.1,6.2,4.7,4.8,4.6,4.2,4.6,4
"2018/01/10","馬公","O3",45,45,45,45,45,45,45,44,45,45,46,46,51,55,55,57,56,53,53,52,52,52,51,51
"2018/01/10","馬公","PM10",25,32,29,27,31,33,33,31,32,34,33,32,34,35,33,28,26,24,22,20,23,24,25,26
"2018/01/10","馬公","SO2",1.9,1.2,1,1.2,1.2,1.3,1,1.2,1.4,1.4,1.7,2.2,2.2,1.7,1.9,1.9,1.5,1.3,1,0.9,0.8,1.1,1.2,1.4
"2018/01/11","馬公","CO",0.21,0.21,0.21,0.21,0.22,0.21,0.23,0.26,0.26,0.24,0.24,0.28,0.25,0.25,0.26,0.25,0.25,0.26,0.22,0.23,0.21,0.22,0.2,0.2
"2018/01/11","馬公","NOx",4,3.6,3.4,3,3,3.4,3.7,4.6,4.8,5.3,5.6,5.3,4.8,4.9,5.4,4.8,5.1,5.3,4.3,4,4.1,3.6,3.1,3
"2018/01/11","馬公","O3",51,51,51,51,50,49,49,47,46,46,48,51,54,55,55,56,56,55,54,53,51,52,51,50
"2018/01/11","馬公","PM10",20,21,24,25,28,28,27,28,27,27,29,32,38,36,37,41,40,35,37,36,32,33,35,33
