"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","馬祖","CO",0.53,0.61,0.63,0.63,0.62,0.6,0.61,0.6,0.61,0.58,0.56,0.57,0.57,0.56,0.58,0.56,0.54,0.52,0.5,0.5,0.51,0.49,0.47,0.44
"2018/01/01","馬祖","NOx",8.3,8.7,8.6,8.4,8,8,8,8.5,9,10,9.6,11,9.3,10,11,10,10,11,9.3,9,9.7,9.2,8.3,8.2
"2018/01/01","馬祖","O3",58,57,57,55,55,55,54,53,54,55,60,64,68,69,69,70,68,67,67,69,67,66,62,59
"2018/01/01","馬祖","PM10",138,149,152,155,157,148,142,146,148,142,139,137,131,131,131,129,130,125,121,118,113,107,100,94
"2018/01/01","馬祖","SO2",3.6,4.5,4.4,4.4,4.5,4.5,4.5,4.6,4.7,4.6,4.6,4.7,4.6,4.4,4.2,4.1,3.8,3.9,3.6,3.4,4,3.5,3.5,3.7
"2018/01/02","馬祖","CO",0.42,0.39,0.37,0.37,0.47,0.47,0.46,0.52,0.52,0.48,0.48,0.49,0.43,0.48,0.54,0.51,0.45,0.46,0.35,0.33,0.35,0.3,0.29,NA
"2018/01/02","馬祖","NOx",8.2,7.9,7.6,8.3,9.3,9.7,9.8,11,14,13,14,13,11,13,16,15,12,13,9,8.7,10,9.9,7.6,NA
"2018/01/02","馬祖","O3",55,53,52,49,44,43,42,41,37,37,38,40,46,46,42,42,43,41,45,45,39,41,43,NA
"2018/01/02","馬祖","PM10",93,84,68,65,71,77,72,63,63,72,135,133,72,64,65,66,61,59,56,59,62,56,52,NA
"2018/01/02","馬祖","SO2",3,3,2.9,3,4,4,4.4,3.8,4.3,4.2,3.7,3.8,3.3,3.5,3.8,4.5,3.5,3.6,2.6,2.5,3.1,3.2,2.7,NA
"2018/01/03","馬祖","CO",NA,0.44,0.49,0.42,0.37,0.34,0.34,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/03","馬祖","NOx",NA,14,NA,13,13,12,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/03","馬祖","O3",34,26,25,28,27,28,27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/03","馬祖","PM10",59,65,69,76,73,70,73,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/03","馬祖","SO2",NA,4,4.7,3.6,3.2,2.8,2.6,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/04","馬祖","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.21,0.23,NA,0.2,0.2,0.23,0.27,0.28,0.27,0.23
