"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","到て","CO",0.58,0.55,0.52,0.46,0.46,0.44,0.4,0.37,0.36,0.48,0.52,0.5,0.37,0.37,0.37,0.39,0.35,0.4,0.46,0.41,0.47,0.51,0.52,0.52
"2018/01/01","到て","NOx",16,16,15,14,14,15,15,16,17,19,17,14,9.7,9.7,12,13,11,13,16,13,15,15,17,17
"2018/01/01","到て","O3",16,15,16,17,15,15,15,15,20,22,32,44,56,60,58,59,55,46,37,33,27,24,20,17
"2018/01/01","到て","PM10",58,56,57,56,56,53,49,53,64,78,79,76,67,65,62,62,88,107,131,111,93,76,70,75
"2018/01/01","到て","SO2",3,4.9,3.8,3.6,3.9,3.7,3.5,3.3,4.2,5.1,4.7,3.9,3.3,3.9,5,5.1,3.9,3.5,3.4,3.4,5,4.9,4.8,4.1
"2018/01/02","到て","CO",0.53,0.52,0.51,0.54,0.64,0.6,0.61,0.83,0.67,0.76,0.64,0.55,0.44,0.41,0.29,0.3,0.33,0.43,0.41,0.42,0.43,0.42,0.4,0.42
"2018/01/02","到て","NOx",17,18,18,19,19,19,20,39,33,36,32,23,16,17,14,15,15,21,18,18,18,19,18,20
"2018/01/02","到て","O3",15,11,7,4.8,5.2,3.4,3.5,2.7,11,17,26,42,53,55,51,48,46,36,35,29,23,20,16,11
"2018/01/02","到て","PM10",63,56,47,51,50,47,51,59,67,76,84,92,84,78,70,80,82,85,88,90,100,95,93,72
"2018/01/02","到て","SO2",4.6,2.7,1.8,1.7,1.7,2,2.3,3.3,NA,8.2,7.5,5.1,3.9,4.1,3.6,3.2,2.8,2.5,2,2,1.8,1.6,1.5,1.4
"2018/01/03","到て","CO",0.41,0.42,0.37,0.3,0.34,0.31,0.37,0.45,0.5,0.39,0.32,0.3,0.3,0.29,0.3,0.3,0.29,0.32,0.43,0.43,0.42,0.44,0.49,0.54
"2018/01/03","到て","NOx",19,19,21,11,13,11,17,22,30,21,11,11,8.7,9.1,7.7,9.9,14,15,18,17,16,16,18,19
"2018/01/03","到て","O3",8.8,7.4,8.7,20,17,13,4.7,4,4.9,19,41,43,51,57,62,58,50,49,43,44,40,29,18,16
"2018/01/03","到て","PM10",62,54,59,61,58,46,34,35,48,56,59,NA,60,56,58,64,68,75,80,90,97,97,103,102
"2018/01/03","到て","SO2",0.9,1.8,1.7,1.5,1.6,1.4,1.7,1.8,2.6,4.3,4,2.7,2.4,2.3,2.5,2.3,2,2.5,2.4,2.1,2.7,2.2,1.9,2.1
"2018/01/04","到て","CO",0.52,0.48,0.39,0.33,0.34,0.36,0.36,0.58,0.71,0.53,0.48,0.42,0.39,0.4,0.35,0.32,0.36,0.37,0.35,0.35,0.37,0.38,0.31,0.29
"2018/01/04","到て","NOx",19,18,13,11,11,14,16,32,40,42,27,21,18,13,14,16,21,21,18,18,18,20,17,17
"2018/01/04","到て","O3",15,9.9,13,17,15,7.7,7.3,2.1,6.4,9.9,22,35,42,45,36,28,18,20,23,19,18,9.1,11,9.9
"2018/01/04","到て","PM10",111,107,100,90,82,71,63,68,84,91,99,98,107,109,111,104,85,66,47,41,38,55,49,43
"2018/01/04","到て","SO2",2,2,2,2.3,2.1,1.9,2.1,3.7,3.2,4.5,5.5,6.2,5.1,3.7,2.5,2.4,2.5,2.2,1.8,1.8,1.8,1.8,1.7,1.7
"2018/01/05","到て","CO",0.35,0.35,0.33,0.32,0.3,0.32,0.39,0.45,0.42,0.42,0.39,0.37,0.29,0.34,0.37,0.43,0.41,0.42,0.47,0.4,0.39,0.38,0.34,0.35
"2018/01/05","到て","NOx",18,18,19,20,14,14,18,27,28,29,21,24,14,18,23,27,26,31,33,29,30,27,24,23
"2018/01/05","到て","O3",7.5,6.3,4.3,3.8,11,9.9,4.6,2.4,4.2,8,14,16,26,24,19,16,14,5.7,3.4,4.2,2.5,3,3.9,2.4
"2018/01/05","到て","PM10",33,44,62,62,55,44,32,30,31,41,43,36,29,30,40,47,51,52,46,39,33,32,36,35
"2018/01/05","到て","SO2",1.6,1.9,1.8,2.2,2.3,2.3,2.7,2.8,3.9,3.9,3.8,3.5,3.1,3.6,3.8,4.7,3.9,4.3,5.2,4.4,4.5,3.4,3.1,3.4
"2018/01/06","到て","CO",0.33,0.31,0.31,0.32,0.32,0.32,0.33,0.37,0.41,0.45,0.48,0.46,0.41,0.43,0.48,0.41,0.33,0.35,0.36,0.34,0.43,0.54,0.48,0.52
"2018/01/06","到て","NOx",23,20,18,21,20,21,23,24,28,31,34,32,26,22,26,22,13,16,17,15,21,26,21,24
"2018/01/06","到て","O3",2.1,4.2,3.5,1.2,1.2,1,0.9,2,3,3.3,4.6,6.3,9.9,11,9.2,12,18,15,14,13,5,2.7,4.4,2.5
"2018/01/06","到て","PM10",34,28,27,27,39,39,39,25,30,26,26,22,33,39,46,40,34,29,33,31,29,28,29,21
"2018/01/06","到て","SO2",3.2,2.1,2,2.2,1.6,1.4,1.5,1.6,2.4,2.3,2.7,2.5,2.8,2.2,2.1,1.6,1.4,1.6,1.7,1.3,1.3,1.6,1.6,1.7
"2018/01/07","到て","CO",0.33,0.25,0.27,0.31,0.29,0.28,0.33,0.34,0.29,0.21,0.24,0.29,0.34,0.36,0.37,0.32,0.28,0.29,0.26,0.28,0.34,0.38,0.43,0.53
"2018/01/07","到て","NOx",11,7.1,7.1,9.1,10,9.1,12,12,11,7.8,9.6,10,12,10,12,13,13,13,14,15,17,21,29,36
