"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","嘉義","CO",0.66,0.68,0.56,0.55,0.49,0.46,0.47,0.45,0.59,0.64,0.68,0.63,0.46,0.42,0.4,0.47,0.57,0.65,0.69,0.66,0.59,0.58,0.6,0.56
"2018/01/01","嘉義","NOx",20,21,17,17,16,14,18,19,22,19,19,17,13,11,12,16,22,24,24,23,20,20,22,22
"2018/01/01","嘉義","O3",15,12,17,16,16,17,15,16,17,25,34,47,58,66,69,62,48,36,29,26,25,22,19,17
"2018/01/01","嘉義","PM10",69,71,77,79,75,70,58,61,70,71,74,80,81,80,65,77,80,93,96,95,93,76,70,64
"2018/01/01","嘉義","SO2",2.9,3,3.6,2.8,3.1,3,3.2,3.6,4.4,3.8,3.8,3.9,3.4,3.1,3.2,4.5,6.8,6.7,6.6,5.3,4.3,3.4,3,3.6
"2018/01/02","嘉義","CO",0.6,0.56,0.55,0.58,0.55,0.61,0.72,0.77,0.86,0.75,0.57,0.57,0.5,0.37,0.36,0.39,0.43,0.58,0.64,0.59,0.66,0.6,0.54,0.61
"2018/01/02","嘉義","NOx",20,27,23,24,20,24,27,29,36,31,23,25,21,17,14,14,19,23,27,28,31,31,32,33
"2018/01/02","嘉義","O3",15,7.5,4.2,3.8,1.9,4.8,3.6,6,12,27,41,48,54,52,54,50,46,35,26,21,14,7.2,6.1,4.9
"2018/01/02","嘉義","PM10",64,63,68,70,61,62,60,67,78,87,94,89,92,91,NA,136,107,106,95,99,101,105,107,92
"2018/01/02","嘉義","SO2",3.5,2.6,1.6,1.7,1.6,2.3,1.6,2.5,4.1,4.1,3.2,3.5,3.9,4.2,3.5,3.9,4.7,3.9,4,5.3,5.9,3.9,3.8,3.1
"2018/01/03","嘉義","CO",0.62,0.55,0.51,0.46,0.45,0.45,0.48,0.58,0.53,0.38,0.38,0.37,0.37,0.34,0.38,0.31,0.39,0.53,0.7,0.69,0.74,0.8,0.6,0.4
"2018/01/03","嘉義","NOx",31,28,26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/03","嘉義","O3",4.6,1.6,3.5,1.4,3.6,9.2,9.4,11,16,36,46,55,66,75,82,73,60,60,37,39,37,23,27,27
"2018/01/03","嘉義","PM10",86,82,98,98,94,99,104,117,107,94,85,78,92,93,62,58,88,94,121,141,158,163,158,134
"2018/01/03","嘉義","SO2",1.3,2.4,2.1,1.5,1.4,1.8,1.9,1.8,2.3,3,2.7,2.9,3.3,3.2,2.7,2.3,2.5,4.4,4.2,8.4,11,5.8,3.6,2.8
"2018/01/04","嘉義","CO",0.45,0.42,0.4,0.39,0.43,0.49,0.64,0.97,0.9,0.69,0.69,0.61,0.55,0.49,0.5,0.54,0.65,0.76,0.62,0.59,0.53,0.58,0.54,0.5
"2018/01/04","嘉義","NOx",16,16,13,9.8,11,12,20,47,53,38,36,26,25,22,24,28,33,43,36,30,26,28,29,27
"2018/01/04","嘉義","O3",18,14,19,27,22,14,5.9,2.9,5.2,12,19,32,39,37,27,22,16,8.4,8.5,7.6,9.5,7.4,4.3,3.7
"2018/01/04","嘉義","PM10",117,115,123,128,120,110,93,95,106,123,131,127,130,127,123,114,99,90,81,81,63,57,51,66
"2018/01/04","嘉義","SO2",3.1,3.2,2.8,2.5,2.6,2.7,2.7,3.3,51,9.3,5.7,5.7,5.4,4.1,3.7,7.3,4.1,4.7,3.3,3.4,3.3,4.8,4.2,2.8
"2018/01/05","嘉義","CO",0.42,0.32,0.29,0.31,0.39,0.42,0.45,0.5,0.54,0.47,0.51,0.46,0.41,0.36,0.42,0.4,0.47,0.56,0.55,0.54,0.48,0.51,0.43,0.42
"2018/01/05","嘉義","NOx",26,22,19,15,17,20,25,36,46,33,29,33,30,31,31,30,34,35,38,40,34,37,32,31
"2018/01/05","嘉義","O3",2.6,4,8,12,8.3,3,1.7,1.8,2.6,6.1,9.2,14,17,20,20,18,10,7.2,3.6,2,2.1,1.4,1.5,1.3
"2018/01/05","嘉義","PM10",67,66,53,44,41,53,53,55,52,56,50,42,40,44,56,57,59,50,58,58,59,42,37,32
"2018/01/05","嘉義","SO2",2.8,1.8,3,2.2,2.6,2.2,2.6,2.4,2.9,2.5,2.4,3.2,2.9,3.4,5,3.5,3.2,3.7,4.7,5.6,4.9,4,5.7,4.5
"2018/01/06","嘉義","CO",0.35,0.36,0.39,0.36,0.38,0.4,0.43,0.41,0.56,0.75,0.51,0.54,0.61,0.44,0.52,0.54,0.53,0.77,0.85,0.73,0.66,0.57,0.55,0.6
"2018/01/06","嘉義","NOx",27,21,20,21,23,27,28,28,30,45,35,31,40,29,28,29,29,38,46,42,38,31,31,31
"2018/01/06","嘉義","O3",2.9,3.6,2.7,2.8,1.7,1.6,1.4,2.9,3.9,4.2,5.8,6.5,6,10,11,9.3,8,2.5,1.2,1.3,1.5,2,1.7,1.7
"2018/01/06","嘉義","PM10",36,33,37,31,31,34,39,38,33,33,31,31,30,35,36,42,46,49,49,54,52,54,34,21
"2018/01/06","嘉義","SO2",5.5,2.9,2.8,2.4,2.5,2.9,3.7,3.6,3,3.1,3,2.8,2.7,2.2,2.2,2.2,2.3,2.4,3,2.2,1.3,1.7,1.1,2.7
