"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","±[­I","CO",0.35,0.28,0.26,0.24,0.24,0.25,0.28,0.31,0.31,0.41,0.43,0.4,0.35,0.36,0.33,0.33,0.34,0.36,0.35,0.39,0.4,0.43,0.51,0.59
"2018/01/01","±[­I","NOx",8.2,8.2,7.7,7.6,7.7,8.5,9.8,11,11,14,25,21,15,14,11,10,9,8.4,9,11,13,13,12,14
"2018/01/01","±[­I","O3",33,32,34,34,33,32,30,31,34,37,32,40,52,58,64,60,55,49,44,38,32,22,25,19
"2018/01/01","±[­I","PM10",63,57,65,57,63,65,76,80,84,81,82,80,78,74,88,107,134,142,137,123,102,97,76,61
"2018/01/01","±[­I","SO2",2.2,2.3,2.3,2.3,2.3,2.2,2.2,2.3,3.1,4.9,13,10,7.6,7.7,5,3.8,3,2.5,2.7,3.6,3.1,2.8,3.1,3.2
"2018/01/02","±[­I","CO",0.58,0.52,0.52,0.58,0.56,0.63,0.75,0.93,0.68,0.56,0.34,0.25,0.24,0.26,0.23,0.25,0.28,0.28,0.28,0.34,0.3,0.27,0.27,0.27
"2018/01/02","±[­I","NOx",15,14,14,18,20,31,46,48,35,24,17,12,11,7.2,7,9.5,10,11,11,15,14,11,13,13
"2018/01/02","±[­I","O3",15,15,12,8.2,6.1,2,2.3,4.3,12,24,34,41,52,56,59,55,52,45,38,29,23,23,16,13
"2018/01/02","±[­I","PM10",48,53,59,64,73,69,56,57,74,84,72,NA,NA,NA,NA,75,85,77,73,74,66,65,58,55
"2018/01/02","±[­I","SO2",2.8,2.3,2.5,3.3,2.6,2.2,2.3,3.3,4.5,6.3,5.5,4.2,3.4,2.8,2.6,2.6,2.2,2.6,2.6,2.3,1.9,1.7,1.7,1.6
"2018/01/03","±[­I","CO",0.27,0.28,0.28,0.3,0.33,0.3,0.35,0.36,0.42,0.4,0.33,0.35,0.34,0.32,0.3,0.31,0.35,0.53,0.56,0.52,0.32,0.19,0.17,0.16
"2018/01/03","±[­I","NOx",12,12,13,14,13,13,17,19,30,21,16,17,9.5,8.4,8.8,11,12,21,17,16,14,11,7.7,6.9
"2018/01/03","±[­I","O3",9.1,12,8.3,3.7,7.9,6.7,4.7,6.8,6.4,19,38,44,67,77,73,66,62,49,59,45,26,22,24,20
"2018/01/03","±[­I","PM10",60,41,43,26,37,63,71,79,118,120,106,109,97,90,93,98,120,134,143,134,83,60,53,45
"2018/01/03","±[­I","SO2",1,1.1,1.1,1.3,1.1,1.2,1.3,1.4,1.9,2.7,4,3.5,3.3,3.4,3.3,3.3,3.1,4.1,3.6,3,2.1,1.9,1.6,1.5
"2018/01/04","±[­I","CO",0.16,0.21,0.21,0.22,0.22,0.26,0.32,0.49,0.49,0.55,0.53,0.4,0.27,0.29,0.35,0.38,0.52,0.44,0.23,0.23,0.33,0.37,0.41,0.24
"2018/01/04","±[­I","NOx",8,11,8.4,6.8,7.5,8.5,10,17,17,20,16,15,12,14,15,17,23,21,11,11,12,13,13,11
"2018/01/04","±[­I","O3",15,13,23,27,25,22,22,17,16,20,33,31,33,33,32,28,19,19,29,25,20,19,17,17
"2018/01/04","±[­I","PM10",44,62,68,64,43,60,90,119,169,165,154,110,61,68,55,53,68,55,28,24,35,37,38,31
"2018/01/04","±[­I","SO2",1.4,2.1,2,1.9,1.9,1.7,1.9,2,2.5,4.2,4.5,3.6,3,3.8,3.3,3,2.8,2.5,2.2,2.1,2.3,2.4,2.1,2.1
"2018/01/05","±[­I","CO",0.26,0.3,0.33,0.24,0.23,0.23,0.27,0.53,0.5,0.33,0.41,0.44,0.5,0.4,0.38,0.43,0.41,0.34,0.34,0.35,0.32,0.31,0.39,0.31
"2018/01/05","±[­I","NOx",10,10,11,9.8,7.5,9.7,12,22,20,19,25,29,28,24,24,31,27,22,20,18,17,15,15,13
"2018/01/05","±[­I","O3",17,16,14,16,16,13,9.4,8.9,8.6,12,14,15,17,19,18,14,15,15,14,14,15,15,15,17
"2018/01/05","±[­I","PM10",35,41,51,48,40,28,36,37,34,29,39,47,49,48,39,45,40,32,26,31,32,24,26,27
"2018/01/05","±[­I","SO2",2.1,2.1,2.3,2.3,1.8,1.7,2,3.3,2.9,2.6,3.8,5.9,6.7,5,5.3,7.2,5.6,2.8,2.9,2.8,2.5,2.2,2.8,2.6
