"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","斗六","CO",0.52,0.49,0.41,0.39,0.4,0.41,0.36,0.38,0.42,0.53,0.5,0.46,0.41,0.38,0.36,0.43,0.42,0.43,0.43,0.45,0.47,0.48,0.47,0.53
"2018/01/01","斗六","NOx",16,15,15,10,20,16,34,16,19,14,13,12,9.3,8.1,8.1,12,12,12,15,17,22,20,18,24
"2018/01/01","斗六","O3",21,20,23,24,19,15,14,18,21,27,40,53,64,72,76,69,59,48,39,33,26,23,23,16
"2018/01/01","斗六","PM10",71,71,58,60,56,55,47,44,48,53,62,66,76,76,72,69,68,73,74,77,80,74,65,54
"2018/01/01","斗六","SO2",1.9,2.8,2.7,2.8,2.7,2.6,2.8,3,3.9,3.9,3.5,3.4,3.5,3.3,3.6,4.6,4.2,3.4,3,2.6,2.5,2.6,2.7,2.5
"2018/01/02","斗六","CO",0.55,0.58,0.53,0.53,0.54,0.48,0.63,0.7,0.62,0.53,0.53,0.53,0.56,0.47,0.41,0.36,0.45,0.55,0.54,0.53,0.77,0.67,0.64,0.57
"2018/01/02","斗六","NOx",20,23,20,26,21,16,29,37,34,22,19,NA,18,15,17,15,23,24,23,26,34,33,31,25
"2018/01/02","斗六","O3",12,4.5,7.5,3.5,1.4,2.2,1.7,3,12,25,37,48,55,63,55,55,42,33,27,22,12,9.4,5.8,7.1
"2018/01/02","斗六","PM10",52,51,55,55,60,57,51,49,68,78,80,NA,59,64,65,70,76,79,80,83,90,91,88,86
"2018/01/02","斗六","SO2",2.5,1.9,1.8,1.9,2,1.9,2.2,3,4.6,4.4,3.9,4.4,5.3,5.4,7.2,6.2,7.4,5.5,5.4,5,4.2,4.5,3.5,3.5
"2018/01/03","斗六","CO",0.51,0.55,0.48,0.45,0.39,0.39,0.45,0.53,0.53,0.46,0.46,0.41,0.43,0.43,0.45,0.44,0.44,0.53,0.65,0.76,0.81,0.78,0.44,0.65
