"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","新港","CO",0.42,0.36,0.31,0.29,0.29,0.3,0.33,0.38,0.38,0.38,0.4,0.46,0.47,0.43,0.4,0.38,0.37,0.4,0.42,0.46,0.46,0.44,0.47,0.52
"2018/01/01","新港","NOx",9.7,9.4,8.9,8.9,8.3,8.9,9.9,12,13,12,10,13,16,15,14,12,11,11,12,13,13,13,14,15
"2018/01/01","新港","O3",27,27,28,28,28,26,26,24,28,33,43,46,47,55,63,60,54,45,39,35,31,27,22,18
"2018/01/01","新港","PM10",74,63,60,65,64,64,69,86,91,84,74,69,68,73,81,115,133,143,117,95,87,81,78,68
"2018/01/01","新港","SO2",2.9,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.6,2,2.3,5.1,6.2,5.3,4.7,3.2,2.2,1.9,2.4,3.6,3.1,2.2,1.8,2.3
"2018/01/02","新港","CO",0.5,0.54,0.55,0.56,0.6,0.63,0.76,0.95,0.75,0.68,0.62,0.4,0.31,0.26,0.27,0.29,0.31,0.35,0.33,0.33,0.36,0.38,0.4,0.4
"2018/01/02","新港","NOx",16,14,15,17,23,37,44,46,38,24,21,18,10,7.6,7.2,7.9,11,11,13,12,15,17,19,18
"2018/01/02","新港","O3",14,16,12,7.2,4,1,0.9,3.2,11,25,34,37,45,53,57,57,51,45,38,33,27,21,13,11
"2018/01/02","新港","PM10",65,66,65,64,66,65,58,60,67,84,86,NA,72,66,76,89,100,114,111,109,87,81,68,65
"2018/01/02","新港","SO2",1.4,3,2.9,2.4,2.3,2.7,2.6,3.3,4.6,6.8,6.4,6.3,4,3.2,2.9,3.3,3.2,2.5,2.5,2.6,2.4,2.4,2.1,2.3
"2018/01/03","新港","CO",0.36,0.3,0.32,0.31,0.35,0.38,0.48,0.58,0.61,0.41,0.3,0.33,0.36,0.33,0.31,0.31,0.33,0.39,0.44,0.52,0.52,0.43,0.36,0.33
"2018/01/03","新港","NOx",15,15,14,14,26,26,32,45,49,27,9.2,12,13,16,8.5,11,14,19,16,20,18,16,15,16
"2018/01/03","新港","O3",13,8,8.6,7.6,3,1.3,1.1,1.9,5.1,24,47,55,63,67,72,70,73,50,50,40,43,36,21,15
"2018/01/03","新港","PM10",63,66,66,57,65,75,91,80,86,99,117,105,82,75,72,84,89,109,132,164,183,171,144,112
"2018/01/03","新港","SO2",2.1,-0.2,-0.5,-0.5,-0.3,0,1.3,0.9,2.8,3.2,1.6,1.3,1.5,1.3,1.2,2.4,3.6,2.8,2.3,3,2.9,1.4,0.7,0.7
"2018/01/04","新港","CO",0.3,0.35,0.38,0.49,0.49,0.51,0.46,0.48,0.38,0.48,0.5,0.48,0.4,0.31,0.33,0.39,0.43,0.42,0.33,0.29,0.3,0.35,0.25,0.24
"2018/01/04","新港","NOx",13,15,19,22,18,19,21,22,16,18,18,16,13,13,16,16,20,23,18,13,14,13,13,13
"2018/01/04","新港","O3",17,11,8.8,6,9.4,6.7,4,4.1,13,18,22,37,35,34,30,31,23,17,20,23,19,18,16,14
"2018/01/04","新港","PM10",97,85,84,101,128,153,148,130,107,110,127,150,146,134,104,84,65,64,64,56,48,43,49,48
"2018/01/04","新港","SO2",0.8,1.5,1.2,5.9,3.9,2,1.6,1.3,1.3,1.5,1.9,2.8,3.1,2.9,3,2.8,2.6,2,1.9,1.8,1.5,1.6,1.6,1.9
"2018/01/05","新港","CO",NA,0.3,0.29,0.43,0.32,0.29,0.31,0.37,0.56,0.44,0.34,0.4,0.46,0.46,0.37,0.4,0.42,0.39,0.34,0.36,0.31,0.3,0.29,0.29
"2018/01/05","新港","NOx",NA,11,12,15,11,11,13,16,24,24,19,20,25,24,21,24,24,23,20,20,19,17,16,15
"2018/01/05","新港","O3",12,13,12,8.4,NA,9.7,7.8,6.1,7.1,13,18,22,18,20,22,16,15,13,13,11,10,11,11,11
"2018/01/05","新港","PM10",48,56,63,64,59,56,54,56,57,58,52,50,52,53,59,55,55,51,45,39,37,42,42,37
"2018/01/05","新港","SO2",NA,1.7,2.7,3.8,2.7,2.3,2.1,2.6,3.7,2.7,2.5,3.7,4.7,4.9,3.6,4.9,4.1,3.2,2.4,2.8,2.7,2.7,2.5,2.5
"2018/01/06","新港","CO",0.31,0.28,0.28,0.3,0.32,0.34,0.37,0.48,0.43,0.43,0.37,0.45,0.46,0.41,0.37,0.32,0.39,0.55,0.6,0.6,0.53,0.53,0.36,0.27
"2018/01/06","新港","NOx",14,12,12,13,13,13,14,20,20,19,16,18,24,22,19,14,19,29,29,26,24,22,15,9.4
"2018/01/06","新港","O3",13,13,11,10,9.8,8.7,9.8,6.9,8.2,13,18,17,15,16,19,26,19,5.8,4.2,6.1,6.1,6.7,16,24
"2018/01/06","新港","PM10",38,34,33,20,25,20,22,24,28,29,29,28,29,23,26,31,32,45,59,66,59,37,27,14
"2018/01/06","新港","SO2",1.7,1.2,1.3,1.7,1.7,1.7,1.8,1.8,2.1,2.5,2.4,2.8,2.6,2,2.2,2.1,1.9,1.6,1.6,1.9,1.9,1.6,1.3,1.5
"2018/01/07","新港","CO",0.24,0.21,0.24,0.25,0.29,0.33,0.29,0.15,0.15,0.16,0.2,0.18,0.19,0.23,0.16,0.19,0.17,0.22,0.3,0.35,0.41,0.36,0.27,0.28
"2018/01/07","新港","NOx",5.9,4.4,5.9,6.8,9.2,11,8.6,6.3,6,6.4,7.7,8.9,8.3,9.4,7,7.5,8.4,10,14,16,20,20,12,13
"2018/01/07","新港","O3",30,28,24,22,19,19,23,37,38,38,36,34,32,31,35,31,28,25,18,13,7.6,4.2,8.9,6.1
"2018/01/07","新港","PM10",18,13,16,12,21,28,26,21,13,15,13,12,12,10,19,20,28,25,31,25,27,25,27,28
"2018/01/07","新港","SO2",1.7,0.9,1.1,1.1,1,1.9,1.6,1.4,1.4,1.2,1.5,2,1.9,2,2.1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,2
"2018/01/08","新港","CO",0.34,0.45,0.52,0.52,0.45,0.48,0.48,0.61,0.55,0.48,0.3,0.21,0.24,0.19,0.23,NA,0.22,0.26,0.24,0.23,0.22,0.21,0.18,0.38
"2018/01/08","新港","NOx",19,29,31,29,29,27,25,32,40,28,18,14,16,9.9,17,NA,NA,8.7,10,9.3,11,9,8.3,7.8
