"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","新營","CO",0.51,0.46,0.41,0.38,0.36,0.35,0.32,0.35,0.39,0.5,0.53,0.43,0.4,0.41,0.42,0.39,0.41,0.4,0.43,0.44,0.5,0.5,0.5,0.52
"2018/01/01","新營","NOx",14,13,12,12,14,14,14,14,17,19,17,12,11,13,13,13,14,14,15,15,16,16,17,18
"2018/01/01","新營","O3",22,21,22,20,19,18,19,19,20,23,33,47,55,55,60,58,52,44,37,31,27,25,21,17
"2018/01/01","新營","PM10",96,92,99,85,86,80,92,89,89,91,99,96,85,79,83,95,120,145,151,138,117,102,88,82
"2018/01/01","新營","SO2",2.4,3,2.7,2.9,2.8,2.8,2.9,3.1,3.7,3.9,3.9,3.3,3.8,5.2,5.1,5.1,4.4,3.2,3.4,5,5.5,5.2,4.7,4.7
"2018/01/02","新營","CO",0.61,0.52,0.55,0.55,0.66,0.76,0.61,0.77,0.71,0.64,0.59,0.57,0.52,0.42,0.32,0.34,0.38,0.42,0.42,0.44,0.4,0.4,0.37,0.37
"2018/01/02","新營","NOx",25,17,17,20,21,22,29,49,50,33,23,20,17,16,13,13,15,18,18,18,18,18,19,17
"2018/01/02","新營","O3",11,12,12,8.5,8.3,4.2,1.7,2.6,6.2,20,36,45,50,49,NA,NA,46,41,34,31,28,26,23,21
"2018/01/02","新營","PM10",80,79,75,71,76,75,76,86,109,124,113,93,84,87,NA,128,150,153,133,125,118,114,101,108
"2018/01/02","新營","SO2",5.4,3.5,3.4,2.7,3.3,2.6,2.2,2.8,4.2,5.1,4.8,4.6,5.1,5.3,3.4,2.9,2.8,2.4,2.2,2.3,2.1,2.3,2.1,2.3
"2018/01/03","新營","CO",0.37,0.36,0.34,0.42,0.39,0.39,0.41,0.53,0.54,0.41,0.35,0.33,0.37,0.36,0.35,0.36,0.4,0.46,0.49,0.48,0.52,0.57,0.52,0.34
"2018/01/03","新營","NOx",25,18,20,18,16,14,16,17,21,18,16,11,13,14,11,12,15,18,20,24,23,29,22,16
"2018/01/03","新營","O3",15,17,15,14,7.3,10,10,8.6,12,32,40,49,52,56,60,56,54,56,52,40,33,25,28,26
"2018/01/03","新營","PM10",111,122,106,110,106,103,83,66,71,80,89,90,96,99,95,92,88,99,108,125,142,157,170,149
"2018/01/03","新營","SO2",1.9,2.3,2,2,1.9,1.7,1.7,1.9,2.3,3.3,3.4,3.2,3.2,3,3,3.2,3.1,3.2,3.8,4.1,3.1,3.6,3.1,2.8
"2018/01/04","新營","CO",0.37,0.37,0.37,0.36,0.37,0.39,0.51,0.79,0.6,0.58,0.54,0.52,0.44,0.4,0.34,0.33,0.41,0.54,0.46,0.43,0.33,0.32,0.36,0.34
"2018/01/04","新營","NOx",18,14,13,11,10,14,21,58,48,36,37,41,16,16,17,20,25,34,29,26,21,20,20,18
"2018/01/04","新營","O3",18,20,17,23,26,18,11,1.5,5,7.1,10,18,42,36,29,22,18,9.7,11,8.9,14,11,9.8,12
"2018/01/04","新營","PM10",140,124,139,139,131,120,117,119,133,139,153,151,158,158,154,129,106,93,96,100,88,76,61,62
"2018/01/04","新營","SO2",3,1.7,1.7,1.7,1.6,1.6,2.4,2.6,2.2,2.6,2.7,3.5,3.4,2.2,1.9,1.9,2,1.9,2,1.6,1.6,1.4,1.5,1.4
"2018/01/05","新營","CO",0.32,0.31,0.32,0.31,0.35,0.4,0.42,0.42,0.39,0.42,0.46,0.36,0.39,0.42,0.47,0.43,0.45,0.49,0.44,0.38,0.38,0.34,0.34,0.32
"2018/01/05","新營","NOx",18,19,22,16,23,28,26,28,25,29,29,19,20,25,27,27,31,35,31,27,25,23,21,19
"2018/01/05","新營","O3",8.7,4.9,5.3,9.8,4.4,1,1.2,2.1,4.8,6.7,10,21,23,19,19,16,11,5.1,6.4,6.5,5.5,6.3,6.4,5.4
"2018/01/05","新營","PM10",65,74,74,71,62,61,59,64,64,66,66,63,58,60,68,77,72,69,70,68,58,49,47,47
"2018/01/05","新營","SO2",1.2,1.3,1.6,1.6,1.9,1.8,1.9,2,2.1,2.2,2.4,2.3,2.9,3.6,3.9,3.2,4.1,4.7,3.5,2.4,2.3,2.1,1.8,1.8
"2018/01/06","新營","CO",0.32,0.33,0.3,0.3,0.3,0.33,0.34,0.37,0.47,0.49,0.43,0.44,0.46,0.45,0.43,0.39,0.35,0.38,0.4,0.5,0.6,0.53,0.53,0.4
"2018/01/06","新營","NOx",18,16,17,18,18,20,22,21,32,39,27,23,23,23,24,22,18,20,21,28,30,26,27,20
"2018/01/06","新營","O3",7.5,8.7,5.4,4.1,5,1.8,1.5,3.7,2,4.1,6.9,12,13,12,14,15,21,17,12,3.4,3.1,4.7,2.9,8.8
"2018/01/06","新營","PM10",46,43,44,42,48,50,51,43,41,45,45,45,40,44,44,48,54,62,55,51,49,59,51,43
"2018/01/06","新營","SO2",2,1.8,1.5,1.5,1.5,1.8,1.8,1.6,1.9,2.1,1.8,1.9,1.8,1.5,1.7,1.6,1.5,1.3,1.2,1.3,1.4,1.5,1.6,1.3
"2018/01/07","新營","CO",0.29,0.25,0.25,0.28,0.3,0.32,0.35,0.33,0.2,0.22,0.28,0.35,0.39,0.42,0.29,0.27,0.31,0.29,0.31,0.4,0.52,0.45,0.47,0.45
"2018/01/07","新營","NOx",12,7.3,7.5,8.3,9.1,10,12,11,10,9.9,12,14,14,17,15,12,17,16,17,23,27,26,32,31
"2018/01/07","新營","O3",20,25,23,20,20,16,17,19,32,30,25,23,22,22,28,31,26,22,16,9.4,4.4,4.1,1.9,0.9
"2018/01/07","新營","PM10",33,35,29,33,31,33,27,31,31,35,26,27,34,52,66,67,67,65,68,72,68,62,61,63
"2018/01/07","新營","SO2",1.2,1.5,1.4,1.6,1.5,1.6,1.7,1.6,1.7,1.7,1.8,1.9,1.8,1.8,2.1,1.9,2.5,2,1.9,2.1,2.1,2.1,3,2.5
"2018/01/08","新營","CO",0.39,0.42,0.47,0.42,0.43,0.4,0.52,1.02,0.64,0.51,0.3,0.31,NA,0.26,0.23,0.23,0.24,0.29,0.23,0.25,0.26,0.24,0.22,0.2
"2018/01/08","新營","NOx",30,27,24,30,28,15,26,55,33,22,12,12,NA,14,15,14,14,15,13,10,12,14,13,12
"2018/01/08","新營","O3",0.4,0.6,0.8,0.3,0.5,5,2,1.5,3.6,7.6,NA,NA,18,19,20,22,23,23,23,27,23,20,19,20
"2018/01/08","新營","PM10",64,56,56,58,59,60,65,80,89,86,70,NA,58,48,44,35,32,34,32,27,21,26,29,31
"2018/01/08","新營","SO2",2.1,2,1.9,1.9,2.1,2.1,1.9,3.8,3.2,2.9,2,2.5,NA,1.6,1.2,1.3,1.1,1.1,1.2,1.2,1.2,1.4,1.5,1.4
"2018/01/09","新營","CO",0.46,0.58,0.51,0.63,0.58,0.61,0.6,0.61,0.56,0.55,0.56,0.58,0.53,0.49,0.46,0.51,0.52,0.57,0.6,0.6,0.58,0.46,0.46,0.4
