"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","朴子","CO",0.41,0.34,0.3,0.28,0.27,0.28,0.27,0.33,0.33,0.32,0.43,0.35,0.32,0.34,0.34,0.34,0.35,0.36,0.36,0.37,0.37,0.38,0.39,0.4
"2018/01/01","朴子","NOx",9.4,7.3,7.1,7.2,6.9,7.1,7.6,9.7,11,9.9,14,11,7.4,7,8.2,8.3,6.8,6.4,6.9,6.2,6.5,7.4,7.3,8.1
"2018/01/01","朴子","O3",30,30,31,31,33,31,31,29,33,38,40,50,60,68,68,63,58,51,48,44,41,36,31,28
"2018/01/01","朴子","PM10",81,85,85,84,80,76,80,96,106,98,86,83,92,99,104,124,115,117,104,111,107,85,70,56
"2018/01/01","朴子","SO2",2,1.8,2.1,2.1,1.9,1.9,1.8,2.2,2.7,3.2,6,5.6,3.9,3.7,3.9,3.6,2.7,1.9,1.8,1.6,1.7,1.8,1.7,1.7
"2018/01/02","朴子","CO",0.44,0.45,0.49,0.51,0.53,0.54,0.59,0.68,0.6,0.5,0.48,0.37,0.31,0.28,0.3,0.31,0.34,0.4,0.4,0.4,0.38,0.35,0.32,0.31
"2018/01/02","朴子","NOx",9.9,10,11,12,15,18,27,37,27,20,22,12,8.6,7.5,8.6,8.8,10,11,11,11,12,10,9.5,9.6
"2018/01/02","朴子","O3",25,22,20,15,11,5.7,2.9,5,17,28,31,46,54,55,55,58,55,49,42,37,33,33,33,28
"2018/01/02","朴子","PM10",63,65,79,80,84,68,65,63,76,81,69,60,60,76,NA,NA,NA,133,122,128,111,95,83,75
"2018/01/02","朴子","SO2",2.2,2.6,2.9,2.5,2.1,1.7,1.9,2.7,4.2,5.3,7.6,5.2,4,3.4,3,2.6,2.6,2.3,2.3,2.1,2.2,2.4,2.5,2
"2018/01/03","朴子","CO",0.28,0.27,0.27,0.3,0.29,0.32,0.43,0.51,0.45,0.5,0.32,0.31,0.32,0.29,0.34,0.32,0.37,0.53,0.45,0.46,0.55,0.46,0.26,0.23
"2018/01/03","朴子","NOx",8.7,7.7,9.1,11,9.1,15,15,19,24,22,8.8,6.6,7,5.6,7.4,7.2,9.9,16,16,14,19,13,10,11
"2018/01/03","朴子","O3",27,28,23,15,15,7.1,8.1,7.1,8.9,18,45,51,58,67,65,67,74,58,44,46,34,34,30,26
"2018/01/03","朴子","PM10",87,87,88,79,51,33,25,29,38,47,66,73,75,71,73,70,74,90,111,137,157,163,144,114
"2018/01/03","朴子","SO2",2.1,2.5,2.7,2.1,1.9,1.8,1.8,1.9,2,2.2,3.1,3,3,3.2,3.1,3,3.6,4.2,3.6,4.3,4.1,3,2.4,3.3
"2018/01/04","朴子","CO",0.23,0.23,0.35,0.38,0.37,0.44,0.53,0.7,0.51,0.42,0.41,0.37,0.34,0.29,0.26,0.29,0.33,0.47,0.4,0.23,0.22,0.25,0.3,0.35
"2018/01/04","朴子","NOx",8.9,9.2,13,15,12,17,29,33,22,16,16,14,12,11,11,13,17,24,20,9.3,9.1,10,11,13
"2018/01/04","朴子","O3",26,24,15,17,20,7.3,4.1,4.4,11,19,25,33,39,38,35,31,24,16,17,29,25,21,18,15
"2018/01/04","朴子","PM10",92,79,73,73,94,107,124,128,131,135,138,145,135,123,99,87,78,80,82,66,54,47,50,53
"2018/01/04","朴子","SO2",2.3,1.9,1.7,1.8,1.8,2,2.8,3.4,2.8,3.2,3.6,3.4,2.7,2.8,2.4,2.3,2.1,2.2,2.1,1.7,1.6,1.6,1.6,1.8
"2018/01/05","朴子","CO",0.39,0.32,0.3,0.29,0.33,0.28,0.24,0.4,0.38,0.35,0.34,0.34,0.29,0.27,0.3,0.27,0.29,0.32,0.34,0.34,0.4,0.4,0.43,0.43
"2018/01/05","朴子","NOx",12,11,10,11,13,12,12,17,17,19,15,18,18,16,23,20,18,23,22,22,22,22,22,23
