"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","臺南","CO",0.65,0.6,0.55,0.49,0.5,0.47,0.43,0.46,0.52,0.64,0.67,0.62,0.48,0.48,0.43,0.47,0.51,0.58,0.52,0.51,0.51,0.53,0.53,0.52
"2018/01/01","臺南","NOx",18,18,17,15,17,15,17,19,21,23,22,18,11,11,11,13,14,15,13,13,15,16,17,19
"2018/01/01","臺南","O3",17,17,18,19,17,17,17,18,20,25,33,46,59,62,67,64,60,51,45,40,34,29,25,20
"2018/01/01","臺南","PM10",71,74,62,58,56,54,57,58,76,76,82,82,80,97,95,99,92,107,122,118,102,86,74,72
"2018/01/01","臺南","SO2",2,2.3,2,2.2,2.3,2.3,2.4,2.6,3.1,3.3,3.1,2.9,2.7,4,3.6,3.6,3.3,2.5,1.9,2.2,2.5,2.8,3.1,3.1
"2018/01/02","臺南","CO",0.56,0.58,0.52,0.68,0.68,0.57,0.65,0.93,1.21,0.95,0.84,0.72,0.56,0.46,0.44,0.45,0.54,0.66,0.73,0.61,0.51,0.59,0.54,0.62
"2018/01/02","臺南","NOx",21,21,16,19,22,18,29,37,46,40,36,28,16,13,13,13,18,22,24,21,17,20,23,30
"2018/01/02","臺南","O3",15,13,20,15,11,14,4.6,5.8,11,20,30,46,64,66,65,64,55,45,37,35,35,29,22,11
"2018/01/02","臺南","PM10",68,71,68,75,69,69,61,69,73,81,90,94,89,82,95,96,102,77,82,82,91,92,91,94
"2018/01/02","臺南","SO2",3.3,3.9,3.5,4.7,4.9,3.3,3.5,3.7,5.4,7.7,5.9,5.3,4.6,3.9,3.7,3.4,3.6,3.3,3,2.7,2.3,2.2,2.6,2.7
"2018/01/03","臺南","CO",0.51,0.44,0.33,0.31,0.33,0.37,0.48,0.86,1.17,0.83,0.49,0.43,0.43,0.38,0.38,0.34,0.4,0.52,0.59,0.58,0.55,0.58,0.64,0.63
"2018/01/03","臺南","NOx",25,21,10,9.5,11,17,26,42,47,36,21,14,12,9.6,10,10,11,16,19,18,20,22,24,23
"2018/01/03","臺南","O3",14,18,28,28,24,14,5.7,3.5,12,30,45,53,60,67,66,56,60,58,55,54,50,45,35,31
"2018/01/03","臺南","PM10",95,93,81,66,64,69,85,87,92,138,NA,NA,78,79,NA,65,61,67,65,68,70,85,103,116
"2018/01/03","臺南","SO2",2.1,2,1.4,1.4,1.7,1.5,1.3,1.5,2.8,3.8,2.9,2.3,2.1,2.1,2.1,1.7,1.8,1.9,2.1,1.9,2.1,2.4,2.5,3
"2018/01/04","臺南","CO",0.53,0.54,0.46,NA,0.42,0.52,0.63,1.05,0.94,0.58,0.5,0.46,0.54,0.4,0.38,0.43,0.49,0.72,0.57,0.54,0.43,0.53,0.49,0.32
"2018/01/04","臺南","NOx",17,18,26,NA,14,18,30,51,39,25,19,19,19,14,14,17,24,36,22,23,17,25,22,15
"2018/01/04","臺南","O3",37,30,19,23,28,28,18,7.8,16,26,36,45,53,43,38,33,23,9.9,26,22,29,17,13,19
"2018/01/04","臺南","PM10",120,123,116,112,107,112,115,126,130,120,105,102,108,109,98,95,100,96,76,48,40,45,47,37
"2018/01/04","臺南","SO2",NA,NA,4.1,3.8,3.4,4.6,4.7,4.9,4.9,3.9,3.8,3.9,4.1,2.9,2.6,2.5,2.4,2.4,2.1,2,1.9,2.2,2,1.8
"2018/01/05","臺南","CO",0.34,0.37,0.37,0.33,0.33,0.32,0.4,0.66,0.7,0.53,0.48,0.49,0.45,0.42,0.44,0.44,0.5,0.6,0.56,0.59,0.58,0.5,0.49,0.43
"2018/01/05","臺南","NOx",15,19,23,20,17,16,21,34,37,34,28,24,17,17,19,21,27,28,27,34,36,33,26,23
"2018/01/05","臺南","O3",21,12,5.6,7,9.7,13,8.3,2.7,4,8,15,19,29,28,25,22,13,11,8.8,2.8,1.3,1.7,3.2,3.8
"2018/01/05","臺南","PM10",33,36,48,54,55,48,45,46,56,59,51,42,39,40,48,55,65,62,56,50,43,40,39,39
"2018/01/05","臺南","SO2",1.9,1.5,1.4,1.4,1.4,1.5,1.4,1.8,2.2,2.4,2.4,2.1,2.2,2.8,2.5,2.7,2.8,2.6,2.6,3,2.9,2.5,2.2,2.1
"2018/01/06","臺南","CO",0.42,0.42,0.46,0.46,0.41,0.39,0.39,0.46,0.63,0.75,0.7,0.67,0.64,0.62,0.54,0.48,0.47,0.58,0.52,0.5,0.46,0.54,0.42,0.41
"2018/01/06","臺南","NOx",25,21,22,25,25,26,25,26,41,57,49,40,30,26,25,21,20,23,20,20,21,26,18,20
"2018/01/06","臺南","O3",2.1,3.8,3.1,1.2,1.1,0.8,1,2.4,2.5,3.1,4.8,6.7,14,13,13,16,19,16,18,15,11,4.8,10,7.9
"2018/01/06","臺南","PM10",44,36,34,23,27,30,27,20,18,30,39,45,38,37,37,36,36,36,42,40,32,38,27,20
