"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","臺西","CO",0.34,0.44,0.33,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.29,0.32,0.33,0.33,0.34,0.35,0.36,0.38,0.38,0.39,0.39,0.41,0.43,0.45
"2018/01/01","臺西","NOx",16,18,16,8.6,7.5,8.8,8.7,8.6,8,7.1,7.4,8.2,8.7,9,8.9,8.2,8.1,8.1,7.7,7.6,7.6,7.3,8.2,9
"2018/01/01","臺西","O3",27,25,29,40,40,38,39,40,43,46,51,57,63,66,65,62,56,53,51,48,45,45,40,34
"2018/01/01","臺西","PM10",67,67,62,57,63,67,62,59,59,57,62,81,95,97,75,52,52,52,54,54,52,51,53,57
"2018/01/01","臺西","SO2",7.5,7.8,7.2,3.5,3,3.4,3.2,2.8,2.8,2.7,2.5,3,2.7,2.7,2.8,2.4,2.6,2.5,2.5,2.4,2.3,2.3,2.6,2.5
"2018/01/02","臺西","CO",0.48,0.55,0.54,0.51,0.6,0.68,0.63,0.72,0.55,0.34,0.24,0.25,0.24,0.26,0.28,0.26,0.27,0.25,0.26,0.24,0.22,0.25,0.27,0.31
"2018/01/02","臺西","NOx",9.8,15,15,15,23,24,25,38,29,13,12,11,11,10,9.8,11,12,8.7,9.2,8.6,8.6,7.9,11,14
"2018/01/02","臺西","O3",30,20,18,16,7.7,5.8,6.9,8,18,34,43,47,49,55,57,57,53,53,47,43,40,41,32,25
"2018/01/02","臺西","PM10",62,61,58,59,66,70,66,68,65,55,45,48,58,57,57,62,63,60,58,58,57,56,60,66
"2018/01/02","臺西","SO2",2.6,3.2,2.5,2.3,2.2,3.3,3.5,3.2,3.3,3.8,4.8,4.5,3.8,3.8,3.1,3.7,3.9,2.4,2.1,2,2.5,2.3,3.3,2.2
"2018/01/03","臺西","CO",0.3,0.3,0.33,0.33,0.31,0.31,0.34,0.39,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.2,0.18,0.17,0.18,0.17
"2018/01/03","臺西","NOx",13,15,28,44,18,14,14,19,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7.9,7,6.1,6.1,6.2
"2018/01/03","臺西","O3",21,20,8.8,2.1,7.4,9.1,8.2,7.5,5.8,2.4,NA,NA,NA,NA,NA,NA,NA,NA,57,43,42,37,38,37
"2018/01/03","臺西","PM10",69,72,73,70,68,73,56,37,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,79,59,58,54,51
"2018/01/03","臺西","SO2",2.2,2.5,2.7,4.7,1.9,1.7,1.4,1.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,3.8,3.5,3.8,3.9,3.8
"2018/01/04","臺西","CO",0.17,0.17,0.17,0.19,0.21,0.23,0.3,0.45,0.36,0.22,0.22,0.21,0.2,0.19,0.19,0.2,0.19,0.22,0.18,0.16,0.17,0.19,0.22,0.31
"2018/01/04","臺西","NOx",5.8,9.9,11,12,9.4,12,18,26,16,9.1,7.7,8.3,8.1,7.1,6.1,7.5,8.5,10,9.6,7.1,8,8.4,11,13
"2018/01/04","臺西","O3",35,28,20,12,20,15,11,9.7,18,34,37,37,38,36,42,39,36,35,33,34,30,29,24,19
"2018/01/04","臺西","PM10",49,53,53,46,44,50,55,69,100,83,48,42,35,40,44,40,37,36,31,26,29,33,34,42
"2018/01/04","臺西","SO2",2.2,2,1.3,1.2,1.3,1.1,1.1,1.3,1.5,2.2,1.9,1.8,1.6,1.3,1.2,1.5,1.5,1.7,2.1,1.5,1.6,1.9,1.3,0.5
"2018/01/05","臺西","CO",0.41,0.25,0.22,0.23,0.31,0.44,0.47,0.24,0.26,0.37,0.25,0.24,0.22,0.22,NA,0.24,0.11,0.1,0.1,0.1,0.13,0.13,0.14,0.14
