"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","³Á¼d","CO",0.51,0.43,0.44,0.28,0.28,0.33,0.4,0.46,0.29,0.25,0.26,0.29,0.3,0.3,0.31,0.32,0.33,0.34,0.35,0.35,0.4,0.4,0.41,0.44
"2018/01/01","³Á¼d","NOx",18,11,17,15,14,17,16,19,15,7.5,6.8,6.8,6.7,7.2,6.5,5.9,6.3,6.4,6.2,6.8,8,6.9,8,11
"2018/01/01","³Á¼d","O3",25,29,24,27,29,25,25,24,31,41,46,51,57,59,57,54,50,47,45,41,38,37,32,23
"2018/01/01","³Á¼d","PM10",78,71,83,70,77,95,91,85,70,69,75,85,93,96,183,111,120,138,123,70,77,75,67,67
"2018/01/01","³Á¼d","SO2",6.2,3.8,5.8,5.2,4.6,4.7,4.2,5.1,5.6,2.5,2,2.2,1.8,1.9,1.9,1.8,1.6,1.6,1.5,1.5,1.7,1.7,1.6,1.5
"2018/01/02","³Á¼d","CO",0.51,0.62,0.64,0.63,0.65,0.66,0.71,0.87,0.65,0.42,0.32,0.28,0.28,0.29,0.31,0.3,0.32,0.34,0.31,0.33,0.43,0.31,0.33,0.33
"2018/01/02","³Á¼d","NOx",13,17,19,22,23,25,33,51,34,16,9.7,7.5,10,8.2,8.8,9.8,10,11,10,19,39,10,11,14
"2018/01/02","³Á¼d","O3",18,13,11,7.6,5,2.7,2.3,4.4,13,30,39,44,44,51,50,51,48,44,41,31,19,30,26,18
"2018/01/02","³Á¼d","PM10",71,74,81,80,74,71,77,89,90,61,65,86,127,171,192,133,112,93,73,72,70,80,84,76
"2018/01/02","³Á¼d","SO2",1.7,2.5,2.5,2.8,2.2,2,2.2,3.5,3.8,3.2,2.3,2.3,2.3,2.1,2.2,2,1.9,1.8,1.6,1.6,1.8,1.7,1.5,1.6
"2018/01/03","³Á¼d","CO",0.37,0.34,0.41,0.37,0.3,0.32,0.43,0.56,0.51,0.54,0.4,0.37,0.4,0.37,0.34,0.37,0.38,0.6,0.42,0.2,0.21,0.2,0.19,0.19
"2018/01/03","³Á¼d","NOx",13,13,24,17,16,18,21,32,34,32,20,20,19,24,30,32,13,23,15,10,9.5,9.4,9,7.6
"2018/01/03","³Á¼d","O3",13,12,5.6,6.8,4.5,3.5,4.5,4.4,5.2,10,28,38,48,52,55,44,55,47,45,35,32,28,25,26
"2018/01/03","³Á¼d","PM10",72,74,80,72,79,76,68,54,73,120,112,105,110,111,120,107,120,138,126,65,66,62,63,60
"2018/01/03","³Á¼d","SO2",1.4,1.3,1.4,1.4,1.2,1.6,1.4,1.5,1.5,1.7,3.2,3.4,3.3,6.8,10,9.3,2.8,4.2,2.4,2.2,1.6,1.5,1.4,1.5
