"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","¤¯ªZ","CO",0.87,0.87,0.86,0.78,0.77,0.7,0.7,0.83,0.8,0.75,0.7,0.64,0.63,0.58,0.53,0.46,0.41,0.48,0.64,0.6,0.56,0.57,0.57,0.59
"2018/01/01","¤¯ªZ","NOx",20,22,22,19,21,20,21,29,26,26,31,18,15,13,12,12,11,18,26,22,20,21,19,19
"2018/01/01","¤¯ªZ","O3",15,12,10,11,8.4,8,8.3,7.5,17,27,42,63,73,85,86,78,73,59,44,39,34,28,25,21
"2018/01/01","¤¯ªZ","PM10",95,89,91,93,90,79,78,82,86,93,99,102,110,109,105,96,102,119,125,133,137,137,129,119
"2018/01/01","¤¯ªZ","SO2",2.5,2.5,2.3,2.5,2.5,2.5,2.7,2.7,3.2,4.3,7.1,4.8,3.6,3.5,3.5,3.5,2.9,3.5,3.4,3.2,3,3.3,4.3,4.5
"2018/01/02","¤¯ªZ","CO",0.61,0.61,0.61,0.59,0.53,0.53,0.63,1.02,1.29,0.98,0.8,0.79,0.57,0.52,0.4,0.35,0.37,0.42,0.5,0.51,0.52,0.76,0.68,0.59
"2018/01/02","¤¯ªZ","NOx",18,21,19,24,22,24,30,54,80,78,40,25,17,16,11,12,18,17,23,23,27,39,37,32
"2018/01/02","¤¯ªZ","O3",19,13,13,9.5,11,7,8.7,6.3,11,18,52,66,77,79,77,69,62,61,51,46,38,15,10,9.5
"2018/01/02","¤¯ªZ","PM10",107,101,99,97,90,81,71,78,88,119,NA,NA,112,104,87,77,87,91,101,86,86,98,122,131
"2018/01/02","¤¯ªZ","SO2",4,3.8,3.6,4,4.8,3.1,3.3,4,6.9,9.8,8.2,5.6,5.3,5.1,4.2,3.5,3.5,3.7,3.9,3.8,3.7,4.2,3.6,3.4
"2018/01/03","¤¯ªZ","CO",0.57,0.56,0.52,0.61,0.58,0.56,0.62,1.01,1.36,0.6,0.44,0.44,0.47,0.45,0.4,0.37,0.4,0.47,0.49,0.51,0.58,0.5,0.56,0.49
"2018/01/03","¤¯ªZ","NOx",31,26,25,30,42,33,26,46,95,57,27,19,19,17,16,16,16,19,19,22,29,24,29,20
"2018/01/03","¤¯ªZ","O3",9,11,8.9,5.8,3.6,4.1,5,5.9,6.4,19,38,51,61,76,74,69,67,59,54,47,37,44,35,45
"2018/01/03","¤¯ªZ","PM10",127,122,114,118,116,128,114,113,124,145,89,70,105,112,111,101,87,86,85,83,84,98,109,116
"2018/01/03","¤¯ªZ","SO2",3,2.7,2.7,2.7,3.3,3.1,2.9,3,5.1,15,8.6,6.9,6.5,4.4,3,2.8,3.2,3.4,2.8,3.6,3.2,2.7,2.9,2.8
