"ら戳","代","代兜","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","玡马","CO",1.2,1.06,1,0.99,0.88,0.78,0.81,0.93,0.98,1.01,0.95,0.8,0.63,0.58,0.54,0.5,0.48,0.48,0.52,0.77,0.74,0.79,0.77,0.81
"2018/01/01","玡马","NOx",31,29,25,24,23,21,24,29,33,30,28,37,25,21,23,23,21,18,19,28,28,30,29,29
"2018/01/01","玡马","O3",8.5,9.8,10,8.5,8.2,9.5,7.6,6.8,11,26,47,44,60,68,67,66,63,58,52,37,29,22,18,15
"2018/01/01","玡马","PM10",126,117,107,112,109,101,94,96,100,102,104,110,108,94,88,91,97,102,106,114,126,127,118,108
"2018/01/01","玡马","SO2",3.4,2.4,2.2,2.4,2.7,2.3,2.4,2.5,2.9,3.1,4.5,13,7.9,7.8,9.5,9.5,7.4,2.9,3.2,3.1,2.7,2.7,3.1,3.6
"2018/01/02","玡马","CO",0.72,0.73,0.73,0.68,0.62,0.58,0.75,1.21,1.49,1.11,0.8,0.56,0.56,0.53,0.4,0.36,0.37,0.41,0.48,0.41,0.38,0.68,1.05,0.97
"2018/01/02","玡马","NOx",23,25,27,24,22,21,28,45,57,40,51,26,28,23,23,40,35,25,27,25,19,27,45,45
"2018/01/02","玡马","O3",16,14,9.3,11,14,16,11,7.4,13,40,39,60,63,74,64,43,44,50,47,47,49,35,10,6.7
"2018/01/02","玡马","PM10",103,101,101,104,105,98,82,81,95,104,109,96,89,93,81,75,82,81,78,80,80,83,110,131
"2018/01/02","玡马","SO2",3.4,3.4,3.3,3.5,3.3,2.8,3.3,4.3,4.9,5.8,18,9.6,9,6.8,9.2,18,15,9.6,9.3,8.5,5.6,3.3,3.5,3
"2018/01/03","玡马","CO",0.86,0.99,0.91,0.56,0.53,0.61,0.77,1.08,1.35,1.05,0.53,0.49,0.5,0.42,0.35,0.33,0.34,0.4,0.49,0.59,0.5,0.64,0.81,0.59
"2018/01/03","玡马","NOx",40,45,43,23,24,26,38,47,64,53,26,20,20,24,20,16,16,22,21,19,18,24,32,23
"2018/01/03","玡马","O3",5,2.2,2.6,12,10,6.3,4.4,7.5,11,22,40,51,61,66,64,65,61,53,49,48,47,40,28,40
