"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","大寮","CO",0.94,0.93,0.93,0.93,0.88,0.84,0.85,0.89,0.96,0.83,0.89,0.8,1.21,1.29,0.67,0.59,0.53,0.52,0.46,0.57,0.71,0.63,0.57,0.53
"2018/01/01","大寮","NOx",23,22,20,24,27,19,19,26,28,27,31,21,36,44,22,23,21,25,19,22,31,29,27,20
"2018/01/01","大寮","O3",14,14,12,5.9,3.1,8,6.3,6,14,25,43,64,85,63,85,78,66,59,57,47,28,23,20,21
"2018/01/01","大寮","PM10",104,104,106,98,88,90,90,92,104,97,111,96,134,129,84,89,76,80,77,75,97,95,98,79
"2018/01/01","大寮","SO2",4,3.4,2.4,2.8,3.4,2.5,2.3,3.3,3.1,5.4,7.5,7,16,23,7,8.7,9.4,7.8,4.6,3.5,4.5,4.9,5,4.2
"2018/01/02","大寮","CO",0.56,0.61,0.6,0.59,0.58,0.59,0.66,0.84,1.06,0.81,1.04,0.79,0.8,0.75,0.52,0.44,0.52,0.59,0.52,0.46,0.44,0.66,0.72,0.76
"2018/01/02","大寮","NOx",20,25,20,21,19,17,29,44,72,39,42,30,31,37,22,24,33,40,34,24,22,33,32,34
"2018/01/02","大寮","O3",17,9.2,10,7.6,11,12,5.5,4.2,8.1,31,46,59,60,53,73,65,50,37,39,46,42,24,18,10
"2018/01/02","大寮","PM10",75,78,85,86,84,82,78,83,101,90,122,96,82,90,72,62,75,76,75,61,66,81,94,100
"2018/01/02","大寮","SO2",3.8,4.4,3.2,3.6,3.1,2.2,3.3,4.1,7.9,7.9,12,15,17,15,6.2,6,5.9,5.8,7.5,5.7,4.3,3.9,4,3.2
"2018/01/03","大寮","CO",0.73,0.72,0.68,0.66,0.64,0.68,0.69,NA,NA,0.82,0.56,0.41,0.43,0.43,0.44,0.47,0.41,0.47,0.45,0.58,0.48,0.42,0.45,0.68
"2018/01/03","大寮","NOx",32,30,29,28,32,33,35,NA,NA,54,30,18,17,19,22,38,32,33,26,30,22,21,18,21
"2018/01/03","大寮","O3",9.2,5.8,3.4,3.4,1.2,1.8,1.1,1.4,NA,15,39,54,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/03","大寮","PM10",99,99,95,95,105,110,97,NA,NA,104,88,77,78,89,92,116,91,72,68,71,67,72,80,81
"2018/01/03","大寮","SO2",3.2,2.5,2.9,2.6,2.9,3.4,2.9,NA,NA,8.2,8.2,7.7,7.8,8.4,9,11,9.7,9,6.9,6.5,5.7,5.7,5.5,7.7
"2018/01/04","大寮","CO",0.38,0.39,0.35,0.4,0.39,0.39,0.53,0.67,0.71,0.51,0.36,0.32,0.42,0.53,0.46,0.45,0.5,0.64,0.67,0.74,0.54,0.45,0.43,0.41
"2018/01/04","大寮","NOx",18,29,17,17,20,24,25,38,44,NA,21,20,27,47,33,30,32,34,37,38,27,23,20,19
"2018/01/04","大寮","O3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,48,43,33,29,21,10,13,15,14,15
"2018/01/04","大寮","PM10",77,80,65,90,77,77,89,83,76,62,55,65,74,91,91,112,103,115,112,111,82,NA,46,49
"2018/01/04","大寮","SO2",4.7,7.3,4.1,4.6,3.5,5.2,4,4,3.4,4,2.7,2.5,5.5,11,6.3,4.7,3.2,3.2,1.6,1.5,1.4,1.3,1.4,1.3
"2018/01/05","大寮","CO",0.4,0.41,0.39,0.39,0.34,0.35,0.4,0.62,0.64,NA,0.47,0.36,0.26,0.32,0.36,0.37,0.44,0.66,0.81,0.81,0.64,0.63,0.74,0.83
"2018/01/05","大寮","NOx",18,21,17,18,14,18,22,38,46,50,46,29,16,23,30,29,39,50,60,55,41,39,44,53
"2018/01/05","大寮","O3",13,11,11,8.8,10,6.5,3.8,2,2.5,3.5,7.5,20,25,27,23,23,13,3.8,0.9,0.4,0.6,0.3,1,1.2
"2018/01/05","大寮","PM10",53,63,81,56,40,33,34,38,56,52,53,50,36,63,55,60,75,62,76,71,65,58,61,57
