"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","小港","CO",1.02,0.98,0.95,0.96,0.86,0.82,0.89,0.99,1.06,0.93,0.93,0.91,0.83,0.68,0.51,0.48,0.47,0.42,0.45,0.56,0.76,0.72,0.72,0.74
"2018/01/01","小港","NOx",26,31,33,35,23,38,49,57,69,47,37,53,28,23,21,24,23,22,20,25,28,27,26,34
"2018/01/01","小港","O3",15,9.9,5.9,6.1,9.9,3.1,3.4,4.7,7.4,21,44,44,67,71,74,68,69,60,55,45,33,26,22,13
"2018/01/01","小港","PM10",129,122,118,113,107,94,92,84,87,93,108,124,128,118,93,89,94,101,101,94,115,120,121,117
"2018/01/01","小港","SO2",2.3,4.1,4.2,4.7,2.7,5,6.5,6.2,8.4,7.3,8.6,19,12,7.7,7.6,9.1,8.4,7.6,6.4,6.7,3.6,2.9,3.6,4.2
"2018/01/02","小港","CO",0.69,0.62,0.66,0.69,0.64,0.64,0.83,1.34,1.58,1.45,0.87,0.65,0.53,0.54,0.42,0.39,0.39,0.4,0.38,0.36,0.38,0.44,0.79,0.85
"2018/01/02","小港","NOx",33,31,33,32,35,40,55,82,106,88,81,43,26,22,20,27,31,27,21,24,26,26,38,53
"2018/01/02","小港","O3",11,8.7,6.3,4.4,6.1,7.1,4.2,5.1,7.4,19,24,49,64,77,70,52,41,44,49,45,40,34,18,4.3
"2018/01/02","小港","PM10",110,106,94,99,109,108,103,106,104,116,114,139,120,125,94,NA,99,87,78,68,81,84,92,106
"2018/01/02","小港","SO2",5,6.2,5.9,4.5,6.2,4.9,3.4,5.2,8.1,12,30,18,11,7,5.9,5.7,6.4,4.9,5.1,5.7,7.3,8.1,4.5,5.8
"2018/01/03","小港","CO",0.89,0.82,0.75,0.79,0.77,0.71,0.8,1.17,1.05,1.01,0.64,0.52,0.51,0.44,0.4,0.36,0.36,0.44,0.41,0.46,0.47,0.54,0.72,0.58
"2018/01/03","小港","NOx",57,74,79,52,48,45,64,93,60,62,50,33,27,39,37,29,28,36,28,22,21,25,36,28
"2018/01/03","小港","O3",3.5,3.4,3.6,4,3.5,3.1,2.4,4.5,11,17,32,50,62,58,61,63,57,46,51,51,49,42,28,37
"2018/01/03","小港","PM10",121,130,115,120,114,114,119,134,140,140,129,126,109,102,96,66,62,95,89,85,77,83,82,85
"2018/01/03","小港","SO2",4.6,6.1,5.9,4.5,3.4,3,3.8,7.1,6.4,7.4,9.4,7.5,8,16,13,9.8,9.2,10,9.1,4.5,3.3,3.8,3.3,3.2
"2018/01/04","小港","CO",0.46,0.46,0.39,0.36,0.37,0.41,0.44,0.67,0.81,0.55,0.41,0.47,0.48,0.4,0.44,0.54,0.61,0.84,1.06,1.07,0.72,0.56,0.52,0.51
"2018/01/04","小港","NOx",24,27,23,14,17,21,25,39,57,47,28,38,55,39,28,35,45,52,66,67,57,38,34,33
"2018/01/04","小港","O3",43,32,37,40,31,35,30,20,14,22,36,37,33,42,49,37,22,12,5.6,3.2,3.1,9,6.4,6.5
"2018/01/04","小港","PM10",74,78,81,82,87,80,78,75,79,76,69,67,85,96,107,104,118,129,140,131,110,84,63,57
"2018/01/04","小港","SO2",3.4,6.6,6.9,3.6,3.2,3.3,3.8,4.5,5.3,6.2,4,6.2,15,10,5.9,5.3,4.2,3.2,3,3.6,3.8,3.1,3.9,3.4
"2018/01/05","小港","CO",0.49,0.45,0.43,0.38,0.39,0.41,0.52,1,1.05,0.79,0.69,0.65,0.49,0.48,0.49,0.47,0.6,0.81,1,1.07,0.9,0.98,1.26,1.12
"2018/01/05","小港","NOx",34,34,33,27,33,37,51,80,69,74,81,72,38,33,39,45,45,59,61,67,61,74,84,67
"2018/01/05","小港","O3",4.9,3.7,3.9,4.5,3,3,2.6,3.2,4.2,4.6,6.8,12,22,27,22,16,12,4.9,3.1,3.1,3,3.2,3.1,1.9
"2018/01/05","小港","PM10",61,66,56,49,NA,NA,NA,44,45,46,39,56,63,71,62,54,53,58,72,77,81,77,78,73
"2018/01/05","小港","SO2",2.9,3,3.6,3.6,3.2,3.5,4.7,6,4.5,4.9,5.6,6.5,3.7,3,3.1,3.6,3.2,3.4,3.3,3.9,4.5,5.7,6,4.5
"2018/01/06","小港","CO",0.73,0.71,0.54,0.51,0.49,0.52,0.62,0.85,1.06,0.98,1.05,0.48,0.46,0.47,0.45,0.54,0.82,0.99,0.95,1.08,0.82,0.76,0.62,0.59
"2018/01/06","小港","NOx",50,54,40,40,52,51,51,60,69,82,103,47,41,33,27,29,51,64,57,57,49,38,32,36
"2018/01/06","小港","O3",2.5,2.6,2.3,2.4,2.6,2.7,2.8,3.1,4,4.7,7.5,15,18,24,26,26,11,3.5,3.1,3.5,2.7,3.3,5.5,3.3
"2018/01/06","小港","PM10",67,56,46,53,58,58,52,45,49,54,58,64,61,56,43,40,52,71,83,81,75,75,66,52
"2018/01/06","小港","SO2",3.5,3.7,3.4,3.3,3.7,4.4,4.6,4,3.9,7.3,13,17,10,5,3.3,3,3.9,4,3.7,3.6,3.3,2.8,2.6,2.9
"2018/01/07","小港","CO",0.64,0.54,0.48,0.44,0.36,0.35,0.4,0.45,0.51,0.6,0.6,0.47,0.62,0.51,0.39,0.39,0.4,0.37,0.32,0.42,0.5,0.35,0.3,0.31
"2018/01/07","小港","NOx",37,27,24,26,20,14,21,23,27,29,40,38,35,26,28,27,28,30,21,31,52,40,30,31
"2018/01/07","小港","O3",2.2,4,6.2,3.7,7.9,15,9.7,11,11,15,21,27,38,47,47,55,50,41,37,24,11,18,25,24
"2018/01/07","小港","PM10",36,28,32,19,19,14,35,35,40,37,54,49,54,44,53,48,60,54,44,28,31,49,53,51
"2018/01/07","小港","SO2",2.6,2.9,2.8,4,3.5,2.8,3.4,3.3,3.7,3.9,11,16,13,9,14,17,14,14,7.4,9.7,17,16,11,10
"2018/01/08","小港","CO",0.39,0.79,0.56,0.46,0.42,0.43,0.5,1.15,1.23,1.47,1.14,NA,0.27,0.21,NA,NA,NA,0.49,0.54,0.51,0.32,0.37,0.35,0.31
"2018/01/08","小港","NOx",37,38,25,28,28,33,37,49,69,37,26,NA,29,18,NA,NA,NA,35,34,29,16,18,15,13
"2018/01/08","小港","O3",14,11,17,14,13,7,6.4,5.6,5.8,16,24,NA,NA,NA,26,23,NA,11,8.6,12,24,23,26,27
"2018/01/08","小港","PM10",39,51,56,63,58,58,43,50,55,67,57,50,41,27,NA,22,NA,28,26,26,25,17,8,10
"2018/01/08","小港","SO2",16,5.2,3.9,5.9,5.5,5.4,4.9,4.8,13,21,22,NA,NA,4.2,NA,NA,NA,2.3,3.3,2.9,1.9,2.3,1.7,1.7
"2018/01/09","小港","CO",0.29,0.23,0.3,0.42,0.34,0.4,0.33,0.53,0.78,0.88,0.66,0.66,0.66,0.67,0.69,0.72,0.8,0.84,0.83,0.72,0.74,0.74,0.74,0.65
"2018/01/09","小港","NOx",14,13,12,13,11,13,16,32,42,50,45,57,40,39,53,52,61,50,46,40,50,49,45,39
"2018/01/09","小港","O3",27,25,22,19,27,22,26,17,7.8,6.2,8.8,8.5,12,12,6.8,5.8,4.2,4.3,5.5,5.1,2.9,3.2,3,3.3
"2018/01/09","小港","PM10",19,25,24,19,25,18,15,12,20,32,32,39,41,49,50,48,43,29,20,19,30,36,41,46
"2018/01/09","小港","SO2",1.8,2.2,1.8,1.7,1.6,1.6,1.6,2.4,2.6,2.4,2.3,3.5,2,1.9,2.5,2.3,2,1.7,1.6,1.5,2.2,4.9,2.8,2.5
"2018/01/10","小港","CO",0.58,0.47,0.41,0.3,0.27,0.31,0.41,0.67,0.63,0.5,0.52,0.55,0.52,0.6,0.61,0.59,0.59,0.74,0.74,0.55,0.54,0.55,0.55,0.46
"2018/01/10","小港","NOx",25,21,15,11,14,28,31,47,42,55,65,65,45,45,49,55,50,55,44,34,33,37,37,34
"2018/01/10","小港","O3",8.1,13,20,29,28,10,9.6,6.9,13,9.7,10,17,26,29,26,19,21,16,21,24,23,17,17,17
"2018/01/10","小港","PM10",48,38,26,23,31,37,32,36,39,52,50,52,45,41,41,44,63,70,76,71,60,67,63,71
"2018/01/10","小港","SO2",2.2,2.1,1.7,1.6,1.8,2.9,2.5,2.7,2.3,3.5,4.3,5,4.3,4.7,4.4,4.9,4.5,3.7,3.3,3.7,3.2,3,3.2,3.4
"2018/01/11","小港","CO",0.42,0.37,0.3,0.25,0.24,0.29,0.39,0.66,0.74,0.7,0.66,0.77,0.63,0.45,0.47,0.52,0.54,0.69,0.73,0.52,0.48,0.46,0.42,0.4
"2018/01/11","小港","NOx",28,24,18,15,16,24,34,49,58,66,66,77,54,40,36,53,51,62,54,34,33,28,26,25
"2018/01/11","小港","O3",19,20,25,28,27,15,11,7.9,9.1,10,12,15,25,31,31,19,17,7.6,16,25,22,24,23,23
"2018/01/11","小港","PM10",63,50,42,45,50,50,42,35,49,59,77,80,73,70,64,56,53,58,64,71,69,71,67,65
"2018/01/11","小港","SO2",3.1,3.1,2.9,2.8,2.8,3.1,3,3.4,3.6,4.8,4.8,6.1,6.4,8,4.4,4.6,4.9,4.7,3.9,4.5,4.1,3.2,3.4,3.6
"2018/01/12","小港","CO",0.36,0.35,0.32,0.27,0.27,0.3,0.44,0.69,0.9,0.66,0.52,0.61,0.66,0.43,NA,NA,0.36,0.45,0.5,0.6,0.66,0.65,0.78,0.67
"2018/01/12","小港","NOx",20,18,16,13,13,28,55,65,71,49,53,41,48,33,NA,NA,39,40,41,44,45,46,48,41
"2018/01/12","小港","O3",26,26,29,32,31,13,3.9,6.5,10,17,21,34,36,49,NA,NA,35,35,29,18,13,10,7.2,9.4
"2018/01/12","小港","PM10",59,42,39,46,56,53,49,44,53,60,64,66,67,80,NA,NA,64,70,78,94,97,99,88,86
"2018/01/12","小港","SO2",3.4,2.5,2.6,2.5,2.4,3.5,5.1,5,4.2,3.9,5,8.3,13,11,NA,NA,6.6,6.6,6.9,5.2,5.5,5.4,4.1,3.3
"2018/01/13","小港","CO",0.69,0.53,0.52,0.46,0.45,0.52,0.64,1.01,1.18,1.16,0.84,0.58,0.44,0.37,0.32,0.28,0.27,0.32,0.43,0.59,0.76,0.74,0.72,0.52
"2018/01/13","小港","NOx",47,29,32,39,41,46,70,112,109,81,74,27,23,23,20,17,15,18,24,31,40,46,50,34
"2018/01/13","小港","O3",6.5,12,9.9,4.5,3.4,2.9,2.5,4.9,7.3,14,20,50,59,63,68,65,65,56,47,39,29,20,11,18
"2018/01/13","小港","PM10",86,85,91,92,82,73,70,81,89,95,101,92,90,80,44,35,46,46,46,57,64,66,74,70
"2018/01/13","小港","SO2",3.1,3.8,3.5,6.6,7.9,8.4,11,13,11,10,10,6.8,7.4,7.4,5.5,4.9,4.1,3.9,4.2,3.3,3.6,4.6,5.9,5
"2018/01/14","小港","CO",0.51,0.38,0.33,0.3,0.28,0.3,0.33,0.47,0.4,0.52,0.53,0.4,0.37,0.29,0.26,0.28,0.32,0.34,0.44,0.48,0.52,0.48,0.59,0.57
"2018/01/14","小港","NOx",29,18,15,13,12,13,17,36,27,24,28,16,14,18,15,19,19,15,26,27,36,35,48,50
"2018/01/14","小港","O3",20,27,31,28,28,28,21,14,27,44,52,60,67,64,67,67,69,65,46,39,19,13,4.5,2.6
"2018/01/14","小港","PM10",72,67,61,48,38,30,33,34,42,50,50,47,55,63,71,54,47,41,43,52,63,73,69,69
"2018/01/14","小港","SO2",3.7,2.1,2.3,2.2,1.7,1.4,1.8,2.3,2.9,3.2,6.8,5.7,4.1,6.2,5.2,5.5,4.8,3.1,5.4,3,2.7,3.1,3.7,4.7
"2018/01/15","小港","CO",0.52,0.45,0.36,0.37,0.33,0.31,0.52,1.24,1.05,0.9,0.74,NA,NA,NA,0.42,0.32,0.31,0.4,0.72,0.98,1.17,0.96,0.81,0.76
"2018/01/15","小港","NOx",38,32,31,37,31,20,46,93,76,57,67,NA,NA,NA,59,49,47,NA,78,56,67,63,69,61
