"日期","測站","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","屏東","CO",0.95,1,1.02,0.95,0.91,0.85,0.97,0.91,0.84,0.72,0.76,0.63,0.54,0.52,0.54,0.55,0.77,0.81,0.62,0.7,0.58,0.55,0.55,0.56
"2018/01/01","屏東","NOx",21,25,25,20,20,17,19,19,19,16,16,12,10,11,13,13,27,33,25,27,21,19,19,21
"2018/01/01","屏東","O3",15,10,6.2,7.6,6.1,9.8,5.1,7.7,14,29,49,61,64,77,84,75,62,49,45,34,33,29,26,20
"2018/01/01","屏東","PM10",132,121,117,122,118,114,108,103,92,97,98,98,85,76,78,84,103,110,112,104,101,102,105,100
"2018/01/01","屏東","SO2",2.9,2.1,2.1,1.9,1.8,1.9,2.4,2.4,2.8,3.3,3.7,3.7,3.5,4,4,3.6,7.8,7.2,4.6,4.5,3.4,3.1,3.1,2.9
"2018/01/02","屏東","CO",0.56,0.53,0.55,0.53,0.53,0.53,0.72,1.26,1.09,0.86,0.75,0.79,1,0.75,0.59,0.53,0.51,0.61,0.7,0.82,0.96,0.98,0.95,0.66
"2018/01/02","屏東","NOx",20,20,18,17,15,13,22,46,33,25,23,25,36,31,21,19,23,28,32,42,39,38,37,28
"2018/01/02","屏東","O3",15,12,11,9.8,13,17,7.3,4.8,19,34,50,61,68,80,77,73,55,44,36,24,24,21,16,14
"2018/01/02","屏東","PM10",100,95,90,95,97,105,96,93,92,92,98,103,114,114,106,NA,99,88,88,88,97,102,102,108
"2018/01/02","屏東","SO2",1.7,1.5,1.4,1.1,1.4,1.6,1.7,3.1,3.3,3.2,4.7,7.1,13,10,6.3,6,4.7,3,3,5.1,3.6,4.1,2.8,1.7
"2018/01/03","屏東","CO",0.61,0.57,0.57,0.56,0.52,0.5,0.62,1,0.94,0.71,0.43,0.39,0.39,0.36,0.36,0.4,0.44,0.53,0.51,0.49,0.48,0.48,0.42,0.41
"2018/01/03","屏東","NOx",25,18,16,16,14,15,21,36,37,32,18,15,11,8.9,9,16,22,25,25,21,19,19,17,15
"2018/01/03","屏東","O3",15,19,16,11,9.7,7.9,3.5,4.7,11,20,40,50,61,65,67,72,60,51,44,42,38,38,40,40
"2018/01/03","屏東","PM10",102,94,81,88,82,79,66,82,85,89,81,89,94,97,79,80,82,89,76,67,62,68,79,84
"2018/01/03","屏東","SO2",2.1,2.6,2.3,2.1,2,1.9,2.1,2.5,3.2,3.4,5.8,7.3,5.9,4.4,3.9,5,4.4,4.8,4.6,4.6,3.3,3,2.9,2.9
"2018/01/04","屏東","CO",0.38,0.5,0.49,0.46,0.46,0.51,0.59,0.66,0.72,NA,0.42,0.34,0.39,0.49,0.56,0.64,0.67,0.68,0.78,0.68,0.62,0.58,0.47,0.46
"2018/01/04","屏東","NOx",15,12,14,11,11,12,16,24,27,23,15,8.2,13,21,25,24,23,25,28,23,18,16,13,11
"2018/01/04","屏東","O3",40,39,31,36,29,22,19,13,14,23,33,43,49,51,49,46,38,33,27,23,27,19,20,23
"2018/01/04","屏東","PM10",85,76,79,72,71,76,84,91,91,91,82,59,59,69,86,106,121,134,139,129,106,71,45,40
"2018/01/04","屏東","SO2",2.9,2,1.8,2,1.7,1.7,1.9,1.9,2.2,2.6,2.6,1.9,2.7,3.9,4.4,3.8,2.4,2.2,1.8,1.5,1.4,1.2,1.2,1.1
"2018/01/05","屏東","CO",0.41,0.37,0.38,0.38,0.41,0.33,0.4,0.67,0.61,0.47,0.34,NA,NA,NA,0.38,0.45,NA,0.68,0.66,0.67,0.74,0.89,0.74,0.57
"2018/01/05","屏東","NOx",11,11,11,11,10,9.9,12,28,35,25,19,NA,14,11,17,NA,22,29,34,36,37,44,39,29
"2018/01/05","屏東","O3",21,19,17,18,16,14,9.6,4,4.8,8.3,15,NA,NA,24,23,21,19,12,6.1,4.2,2.4,1.7,1.7,1.5
"2018/01/05","屏東","PM10",35,36,36,39,39,35,32,29,31,28,28,25,29,29,31,35,51,58,66,66,72,70,73,70
"2018/01/05","屏東","SO2",0.9,1,1,1.1,1,1.1,1.1,1.4,1.6,1.5,1.7,1.7,1.6,1.5,1.9,1.8,1.7,1.7,1.8,1.9,1.8,2,1.8,1.8
"2018/01/06","屏東","CO",0.54,0.48,0.49,0.41,0.41,0.45,0.58,0.62,0.71,0.65,0.7,0.48,0.45,0.53,0.51,0.62,0.68,0.7,0.71,0.63,0.67,0.55,0.46,0.41
"2018/01/06","屏東","NOx",26,24,23,23,22,22,29,29,32,36,34,21,22,28,25,35,42,39,37,30,31,25,19,17
"2018/01/06","屏東","O3",1.6,1.5,1.7,1.5,1.6,1.6,1.7,2.4,2.8,4.3,8.2,17,25,27,25,16,8.7,3.2,2,3.2,2.3,3.9,7.1,7.7
"2018/01/06","屏東","PM10",67,54,43,32,28,28,31,34,32,26,NA,NA,30,40,44,53,51,55,58,67,58,49,42,39
"2018/01/06","屏東","SO2",1.6,1.9,1.8,1.7,1.5,1.5,1.6,1.6,1.7,1.8,2.2,2.2,2.8,3,2.2,2.6,5.2,2.2,1.8,1.7,1.7,1.5,1.5,1.2
"2018/01/07","屏東","CO",0.5,0.49,0.52,0.46,0.48,0.43,0.45,0.49,0.55,0.47,0.44,0.49,0.48,0.48,0.42,0.42,0.51,0.59,0.58,0.69,0.82,0.8,0.95,0.83
"2018/01/07","屏東","NOx",23,23,26,22,21,17,16,17,17,15,13,14,13,11,9.7,9.3,12,20,21,27,30,28,36,31
"2018/01/07","屏東","O3",3.4,2.8,2.1,5.1,3.2,5.1,5.6,7.4,10,16,25,25,33,41,44,48,50,41,35,29,21,21,11,7.7
"2018/01/07","屏東","PM10",28,18,17,13,12,10,21,25,29,30,38,43,45,52,44,49,51,67,65,53,40,39,48,60
"2018/01/07","屏東","SO2",1.6,1.8,1.9,2,1.9,1.8,1.7,1.8,1.9,2.2,2.9,3.5,2.6,2.2,2.2,2.5,3,4.2,4,4.3,3.1,3.8,4.9,2.8
"2018/01/08","屏東","CO",0.59,0.51,0.48,0.42,0.42,0.45,0.56,0.82,1.28,1.03,0.58,0.35,0.28,0.42,0.46,0.31,0.29,0.36,0.47,0.41,0.28,0.31,0.3,0.34
"2018/01/08","屏東","NOx",23,20,17,14,12,15,20,25,37,34,23,12,8.5,11,15,17,14,13,20,19,12,10,10,12
"2018/01/08","屏東","O3",12,14,14,15,15,9.3,9.3,7.7,7.2,14,20,28,32,37,34,20,22,22,14,11,22,25,24,20
"2018/01/08","屏東","PM10",71,77,89,84,80,75,79,71,69,65,63,52,32,36,40,56,41,24,10,15,22,19,13,7
"2018/01/08","屏東","SO2",2.9,2.1,2.3,2.2,2.1,2.1,1.8,2.1,2.9,3.5,2.7,2.1,1.7,3.7,4.3,2.7,0.8,0.9,0.9,0.8,0.7,0.7,0.7,0.7
"2018/01/09","屏東","CO",0.28,0.22,0.23,0.27,0.34,0.4,0.33,0.44,0.45,0.62,0.61,0.51,0.54,0.59,0.54,0.59,0.66,0.66,0.67,0.68,0.61,0.58,0.57,0.57
"2018/01/09","屏東","NOx",12,7,7.8,7.6,8,9.1,8.6,16,17,21,21,20,21,23,23,27,35,32,30,30,26,25,24,23
"2018/01/09","屏東","O3",19,25,23,20,25,23,25,23,19,11,12,19,14,12,11,8.8,4.7,5.5,5.4,3.9,5.4,4.2,4.8,5.1
"2018/01/09","屏東","PM10",5,3,3,7,9,9,8,7,8,12,16,15,11,11,16,25,25,31,29,31,20,27,19,22
