"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","´_¿³","CO",1.13,1.05,0.95,0.96,0.89,0.79,0.87,1.12,1.19,1.3,1.12,1.01,0.72,0.63,0.61,0.59,0.55,0.66,0.93,0.95,0.97,0.94,0.78,0.97
"2018/01/01","´_¿³","NOx",32,29,26,24,25,25,26,34,35,37,31,36,29,23,25,28,27,23,29,33,37,33,29,35
"2018/01/01","´_¿³","O3",11,12,10,8.7,7.7,9.4,7.6,7.4,11,20,43,48,58,65,66,63,60,55,44,35,25,22,19,13
"2018/01/01","´_¿³","PM10",120,116,107,103,101,95,93,102,111,114,118,118,116,108,97,92,97,104,109,122,136,131,118,113
"2018/01/01","´_¿³","SO2",3.4,2.7,2.5,2.7,2.9,2.6,2.6,3,3.5,3.7,4,8.7,6.3,5.7,6.8,7.9,7.2,3.1,3.6,3.6,3.3,3.4,3.7,4.3
"2018/01/02","´_¿³","CO",0.82,0.74,0.69,0.64,0.59,0.55,0.82,1.8,2.33,1.52,0.96,0.69,0.6,0.56,0.46,0.49,0.61,0.64,0.65,0.52,0.48,0.74,1.1,0.89
"2018/01/02","´_¿³","NOx",31,29,27,24,23,18,27,59,79,51,50,30,29,26,30,25,47,48,33,29,23,26,46,41
"2018/01/02","´_¿³","O3",12,11,8.4,9.9,11,15,10,5.1,7.4,33,35,55,60,69,58,55,35,30,43,43,43,34,9.4,7.1
"2018/01/02","´_¿³","PM10",105,99,102,105,108,104,88,86,126,146,128,109,98,97,85,78,88,95,87,79,75,81,102,120
"2018/01/02","´_¿³","SO2",4.1,3.2,3.1,3.4,3.9,2.6,3.1,4.3,5.6,6,16,11,9.5,8.3,12,5.7,15,17,9.9,7.6,5.3,3.1,3.4,3
"2018/01/03","´_¿³","CO",0.84,0.88,0.87,0.58,0.59,0.73,1.05,2.01,2.06,1.44,0.94,0.73,0.81,0.58,0.49,0.5,0.7,0.7,0.76,0.76,0.63,1.03,0.74,0.59
"2018/01/03","´_¿³","NOx",42,40,42,24,27,32,52,88,83,65,38,25,27,26,25,26,30,37,29,22,22,39,30,25
"2018/01/03","´_¿³","O3",4.3,1.6,1.6,12,9.1,4.6,3.1,3.1,6,16,33,47,58,69,64,60,55,44,46,49,45,31,33,41
"2018/01/03","´_¿³","PM10",124,117,113,122,132,130,123,125,134,132,114,100,104,107,102,99,94,85,80,79,79,84,95,92
"2018/01/03","´_¿³","SO2",3.5,3.2,3.1,2.8,2.4,2.3,3.1,5.1,8.5,6.7,6.7,5.4,5.1,5,5.2,4.9,4.9,5.4,4.5,2.5,3.3,2.8,2.5,2.4
"2018/01/04","´_¿³","CO",0.52,0.43,0.35,0.35,0.39,0.44,0.79,1.8,1.52,1.18,0.83,0.87,0.61,0.48,0.49,0.67,1.14,1.64,1.4,1.18,0.93,0.86,0.68,0.58
"2018/01/04","´_¿³","NOx",21,18,15,19,21,18,40,79,53,55,49,35,34,34,17,31,51,70,61,53,43,46,27,26
"2018/01/04","´_¿³","O3",45,42,44,36,35,40,20,9.1,18,19,24,36,40,38,50,36,19,4.6,1.6,8.8,9.8,6.2,11,9.9
"2018/01/04","´_¿³","PM10",86,90,98,98,91,86,86,93,97,93,93,89,88,98,103,106,125,141,124,102,81,68,63,58
"2018/01/04","´_¿³","SO2",2.5,3.1,3.1,4.9,5.7,3.7,6.8,7.8,4.6,4.5,6.1,3.4,7.6,4.4,3.4,4.6,3.6,4.3,3.8,2.7,2.3,2.8,2.1,2
"2018/01/05","´_¿³","CO",0.47,0.5,0.45,0.4,0.43,0.45,0.81,1.11,1.41,1.33,1.36,1.2,0.86,NA,NA,0.79,1.08,1.18,1.23,1.25,1.14,1.28,1.22,0.74
"2018/01/05","´_¿³","NOx",22,27,19,17,20,20,37,40,52,57,65,50,NA,NA,NA,34,47,50,54,59,58,63,62,44
"2018/01/05","´_¿³","O3",9.2,5.7,8.9,9.5,9.6,8.5,3.1,2.5,2.5,3.1,5.6,11,17,NA,NA,19,10,3.6,1.3,0.8,0.9,0.8,1.1,0.6
"2018/01/05","´_¿³","PM10",57,58,60,56,49,45,45,47,44,48,51,NA,64,NA,69,67,59,71,84,85,78,71,71,69
"2018/01/05","´_¿³","SO2",2.1,2.8,2.1,1.7,1.7,2.2,2.1,2.4,2.9,3,4.2,3.3,2.8,NA,NA,2.7,3.2,3.3,3.7,3.9,3.8,4,4.4,3.9
"2018/01/06","´_¿³","CO",0.7,0.57,0.57,0.52,0.46,0.57,0.71,1.18,1.56,1.97,1.78,0.78,0.8,0.69,0.69,0.94,1.2,1.27,1.16,1.09,0.86,0.98,0.77,0.71
"2018/01/06","´_¿³","NOx",44,38,36,33,32,33,34,50,66,75,72,46,42,33,30,49,62,62,56,53,42,46,38,37
"2018/01/06","´_¿³","O3",0.7,0.6,0.6,0.7,0.6,1.1,0.9,1.5,1.7,2.8,5,8.6,11,16,19,9.3,4.3,2,1.1,1,1.7,1.2,1.9,0.8
"2018/01/06","´_¿³","PM10",57,46,45,42,41,39,36,41,50,70,82,65,53,50,44,64,95,97,81,69,65,68,60,51
"2018/01/06","´_¿³","SO2",3.7,2.7,2.7,2.1,2.2,2.1,2.3,2.9,3.4,4.2,5.2,11,4.2,2.6,2.4,2.7,4,4,3.4,3.1,2.6,2.4,2.2,2.2
"2018/01/07","´_¿³","CO",0.66,0.5,0.47,0.43,0.35,0.39,0.52,0.65,0.9,0.97,0.85,0.64,0.77,0.81,0.54,0.55,0.61,0.68,0.73,0.95,0.87,0.44,0.38,0.39
"2018/01/07","´_¿³","NOx",35,24,24,20,16,17,19,21,35,36,28,33,41,37,34,27,26,29,30,37,49,35,25,23
