"¤é´Á","´ú¯¸","´ú¶µ","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2018/01/01","«í¬K","CO",0.49,0.42,0.39,0.32,0.29,0.27,0.25,0.23,0.21,0.21,0.19,0.19,0.18,0.19,0.19,0.19,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.22
"2018/01/01","«í¬K","NOx",4.3,3,2.7,2.3,2.1,2.1,1.9,1.9,2,2,1.8,2,1.8,1.6,1.8,1.8,1.8,1.9,1.7,1.9,1.8,1.7,2,1.8
"2018/01/01","«í¬K","O3",43,44,43,45,45,45,45,46,46,48,50,52,53,54,53,53,52,51,51,52,51,50,48,47
"2018/01/01","«í¬K","PM10",19,18,23,27,24,25,27,26,23,20,24,28,28,29,33,36,36,41,39,36,37,35,33,30
"2018/01/01","«í¬K","SO2",1.5,0.8,0.7,0.1,0.4,0.8,0.1,0.1,0.1,0.2,0.6,0.4,0,0.3,0.2,0.4,0.1,0.1,0.1,0.1,-0.2,0.2,0.1,0
"2018/01/02","«í¬K","CO",0.22,0.26,0.25,0.24,0.25,0.24,0.24,0.22,0.24,0.24,0.19,0.2,0.21,0.2,0.18,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15
"2018/01/02","«í¬K","NOx",1.9,2.8,2.9,2.6,2.7,2.6,2.5,2.5,2.6,2.6,2.7,2.6,2.5,2.6,2.4,2.3,2.5,2.4,2.3,2.7,2.9,2.5,2.6,2.8
"2018/01/02","«í¬K","O3",47,46,46,45,45,46,47,47,46,47,49,48,48,49,48,49,48,47,47,48,47,47,47,47
"2018/01/02","«í¬K","PM10",22,15,22,28,30,27,25,27,27,28,25,24,26,26,23,27,30,33,38,43,42,39,41,41
"2018/01/02","«í¬K","SO2",0.4,1.7,1.5,1.7,1.7,1.3,1.5,1.6,1.6,1.9,1.5,1.7,1.7,1.6,1.8,1.6,1.7,1.7,1.6,1.9,1.8,1.7,1.9,1.9
"2018/01/03","«í¬K","CO",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.11
